adashmoq             |блуждать, заблудиться                                                                                                     |[sound:uz_adashmoq.mp3]
allanarsa            |что-то                                                                                                                    |[sound:uz_allanarsa.mp3]
almashmoq            |меняться, обмениваться                                                                                                    |[sound:uz_almashmoq.mp3]
alohida              |отдельный, обособленный                                                                                                   |[sound:uz_alohida.mp3]
amaki                |дядя                                                                                                                      |[sound:uz_amaki.mp3]
amma                 |тётя                                                                                                                      |[sound:uz_amma.mp3]
ammo                 |но, однако                                                                                                                |[sound:uz_ammo.mp3]
ana                  |вон, вот                                                                                                                  |[sound:uz_ana.mp3]
andava               |мастерок, шпатель                                                                                                         |[sound:uz_andava.mp3]
aniq                 |точный, точно                                                                                                             |[sound:uz_aniq.mp3]
aniqlamoq            |уточнять, выяснять; определить                                                                                            |[sound:uz_aniqlamoq.mp3]
anjir                |инжир                                                                                                                     |[sound:uz_anjir.mp3]
anor                 |гранат                                                                                                                    |[sound:uz_anor.mp3]
anhor                |речка                                                                                                                     |[sound:uz_anhor.mp3]
ancha                |много, довольно много                                                                                                     |[sound:uz_ancha.mp3]
aql                  |ум, разум, рассудок                                                                                                       |[sound:uz_aql.mp3]
aqlli                |умный, разумный                                                                                                           |[sound:uz_aqlli.mp3]
aralashmoq           |вмешиваться, соваться                                                                                                     |[sound:uz_aralashmoq.mp3]
arang                |едва, еле-еле, с трудом                                                                                                   |[sound:uz_arang.mp3]
ari                  |оса                                                                                                                       |[sound:uz_ari.mp3]
arava                |арба, телега                                                                                                              |[sound:uz_arava.mp3]
aravacha             |тележка, коляска                                                                                                          |[sound:uz_aravacha.mp3]
arazlamoq            |быть в ссоре, дуться, обижаться                                                                                           |[sound:uz_arazlamoq.mp3]
arqon                |аркан, веревка, канат                                                                                                     |[sound:uz_arqon.mp3]
arra                 |пила                                                                                                                      |[sound:uz_arra.mp3]
arralamoq            |пилить                                                                                                                    |[sound:uz_arralamoq.mp3]
artmoq               |вытирать, обтирать                                                                                                        |[sound:uz_artmoq.mp3]
arzimoq              |стоить; быть достойным                                                                                                    |[sound:uz_arzimoq.mp3]
arzon                |дешёвый, недорогой                                                                                                        |[sound:uz_arzon.mp3]
arg'imchoq           |качели                                                                                                                    |[sound:uz_arg'imchoq.mp3]
archa                |ёлка                                                                                                                      |[sound:uz_archa.mp3]
arch(i)moq           |очищать, обдирать, чистить                                                                                                |[sound:uz_arch(i)moq.mp3]
asab                 |нервы                                                                                                                     |[sound:uz_asab.mp3]
asal                 |мёд                                                                                                                       |[sound:uz_asal.mp3]
asalari              |пчела                                                                                                                     |[sound:uz_asalari.mp3]
asar                 |произведение                                                                                                              |[sound:uz_asar.mp3]
asbob                |инструмент, прибор                                                                                                        |[sound:uz_asbob.mp3]
askar                |воин, солдат                                                                                                              |[sound:uz_askar.mp3]
asr                  |век, столетие                                                                                                             |[sound:uz_asr.mp3]
asramoq              |1. беречь <br> 2. спасать, выручать [см. saqlamoq]                                                                        |[sound:uz_asramoq.mp3]
assalomu alaykum     |здравствуйте                                                                                                              |[sound:uz_assalomu_alaykum.mp3]
atrof                |вокруг, окружность                                                                                                        |[sound:uz_atrof.mp3]
avaylamoq            |беречь                                                                                                                    |[sound:uz_avaylamoq.mp3]
avlod                |потомки, потомок                                                                                                          |[sound:uz_avlod.mp3]
avval                |раньше, сперва, сначала                                                                                                   |[sound:uz_avval.mp3]
axborot              |сообщение, известие, информация                                                                                           |[sound:uz_axborot.mp3]
axir                 |ведь                                                                                                                      |[sound:uz_axir.mp3]
axloq                |поведение [см. xulq]                                                                                                      |[sound:uz_axloq.mp3]
axloqli              |воспитанный                                                                                                               |[sound:uz_axloqli.mp3]
axloqsiz             |невоспитанный                                                                                                             |[sound:uz_axloqsiz.mp3]
axtarmoq             |искать, отыскивать, разыскивать [см. qidirmoq, izlamoq]                                                                   |[sound:uz_axtarmoq.mp3]
ayamoq               |жалеть                                                                                                                    |[sound:uz_ayamoq.mp3]
ayb                  |вина, проступок                                                                                                           |[sound:uz_ayb.mp3]
aybdor               |виновный, виновник                                                                                                        |[sound:uz_aybdor.mp3]
ayirmoq              |вычитать                                                                                                                  |[sound:uz_ayirmoq.mp3]
ayiq                 |медведь                                                                                                                   |[sound:uz_ayiq.mp3]
ayiqcha              |медвежонок                                                                                                                |[sound:uz_ayiqcha.mp3]
aylanmoq             |1. кружиться <br> 2. превращаться                                                                                         |[sound:uz_aylanmoq.mp3]
aynan                |точь-в-точь, точно                                                                                                        |[sound:uz_aynan.mp3]
ayol                 |женщина                                                                                                                   |[sound:uz_ayol.mp3]
aytmoq               |1. говорить, сказать <br> 2. рассказывать [рассказать]                                                                    |[sound:uz_aytmoq.mp3]
ayvon                |веранда, терраса                                                                                                          |[sound:uz_ayvon.mp3]
ayyor                |хитрый, лукавый [см. mug'ambir]                                                                                           |[sound:uz_ayyor.mp3]
aziz                 |уважаемый, дорогой                                                                                                        |[sound:uz_aziz.mp3]
azob                 |мучение, мука                                                                                                             |[sound:uz_azob.mp3]
azoblamoq            |мучить, истязать; пытать                                                                                                  |[sound:uz_azoblamoq.mp3]
ashula               |песня [см. qo'shiq]                                                                                                       |[sound:uz_ashula.mp3]
ashula aytmoq        |петь                                                                                                                      |[sound:uz_ashula_aytmoq.mp3]
achinmoq             |жалеть, сожалеть                                                                                                          |[sound:uz_achinmoq.mp3]
achomlamoq           |обнимать                                                                                                                  |[sound:uz_achomlamoq.mp3]
achchiq              |горький; кислый                                                                                                           |[sound:uz_achchiq.mp3]
achchiqlanmoq        |сердиться, злиться                                                                                                        |[sound:uz_achchiqlanmoq.mp3]
a'lo                 |отличный                                                                                                                  |[sound:uz_a'lo.mp3]
a'lochi              |отличник                                                                                                                  |[sound:uz_a'lochi.mp3]
a'zo                 |член                                                                                                                      |[sound:uz_a'zo.mp3]
badan                |тело [см. tana]                                                                                                           |[sound:uz_badan.mp3]
badantarbiya         |физзарядка                                                                                                                |[sound:uz_badantarbiya.mp3]
baho                 |цена, стоимость, оценка, отметка                                                                                          |[sound:uz_baho.mp3]
bahona               |повод, причина, предлог                                                                                                   |[sound:uz_bahona.mp3]
bahor                |весна [см. ko'klam]                                                                                                       |[sound:uz_bahor.mp3]
bahorgi              |весенний                                                                                                                  |[sound:uz_bahorgi.mp3]
bajarmoq             |выполнять [выполнить]                                                                                                     |[sound:uz_bajarmoq.mp3]
baland               |высокий                                                                                                                   |[sound:uz_baland.mp3]
baliq                |рыба                                                                                                                      |[sound:uz_baliq.mp3]
balki                |может быть, возможно                                                                                                      |[sound:uz_balki.mp3]
band                 |занятый                                                                                                                   |[sound:uz_band.mp3]
baqirmoq             |кричать                                                                                                                   |[sound:uz_baqirmoq.mp3]
barg                 |лист, листья                                                                                                              |[sound:uz_barg.mp3]
baravar              |равный, одинаковый, поровну                                                                                               |[sound:uz_baravar.mp3]
baribir              |всё равно, безразлично                                                                                                    |[sound:uz_baribir.mp3]
barmoq               |палец                                                                                                                     |[sound:uz_barmoq.mp3]
barobar              |наравне, поровну                                                                                                          |[sound:uz_barobar.mp3]
barcha               |весь, вся, всё, все                                                                                                       |[sound:uz_barcha.mp3]
battar               |хуже, ещё хуже                                                                                                            |[sound:uz_battar.mp3]
baxil                |скупой, жадный                                                                                                            |[sound:uz_baxil.mp3]
baxt                 |счастье                                                                                                                   |[sound:uz_baxt.mp3]
baxtli               |счастливый                                                                                                                |[sound:uz_baxtli.mp3]
baxtsiz              |несчастливый, несчастный                                                                                                  |[sound:uz_baxtsiz.mp3]
bayram               |праздник                                                                                                                  |[sound:uz_bayram.mp3]
bayroq               |знамя, флаг                                                                                                               |[sound:uz_bayroq.mp3]
bashara              |лицо                                                                                                                      |[sound:uz_bashara.mp3]
bazm                 |вечеринка                                                                                                                 |[sound:uz_bazm.mp3]
ba'zan               |иногда                                                                                                                    |[sound:uz_ba'zan.mp3]
begona               |чужой, посторонний                                                                                                        |[sound:uz_begona.mp3]
behi                 |айва                                                                                                                      |[sound:uz_behi.mp3]
bekat                |остановка                                                                                                                 |[sound:uz_bekat.mp3]
bel                  |поясница, талия                                                                                                           |[sound:uz_bel.mp3]
belgi                |знак, отметка                                                                                                             |[sound:uz_belgi.mp3]
belgilamoq           |намечать, обозначать                                                                                                      |[sound:uz_belgilamoq.mp3]
belkurak             |лопата                                                                                                                    |[sound:uz_belkurak.mp3]
bemaza               |невкусный                                                                                                                 |[sound:uz_bemaza.mp3]
bemor                |больной [см. kasal]                                                                                                       |[sound:uz_bemor.mp3]
bermoq               |давать [дать], отдавать [отдать], вручать [вручить]                                                                       |[sound:uz_bermoq.mp3]
bekinmoq             |прятаться, укрываться                                                                                                     |[sound:uz_bekinmoq.mp3]
bekitmoq             |закрывать, запирать, прятать, укрывать                                                                                    |[sound:uz_bekitmoq.mp3]
bet                  |лицо                                                                                                                      |[sound:uz_bet.mp3]
betob                |больной                                                                                                                   |[sound:uz_betob.mp3]
bezatmoq             |украшать                                                                                                                  |[sound:uz_bezatmoq.mp3]
besh                 |пять, пятёрка                                                                                                             |[sound:uz_besh.mp3]
beshik               |колыбель                                                                                                                  |[sound:uz_beshik.mp3]
bechora              |бедный, несчастный                                                                                                        |[sound:uz_bechora.mp3]
bilak                |кисть                                                                                                                     |[sound:uz_bilak.mp3]
bilan                |с, со, вместе с                                                                                                           |[sound:uz_bilan.mp3]
bildirmoq            |заявлять, выражать                                                                                                        |[sound:uz_bildirmoq.mp3]
bilim                |знание, познание                                                                                                          |[sound:uz_bilim.mp3]
bilmoq               |знать, понимать                                                                                                           |[sound:uz_bilmoq.mp3]
binafsha             |фиалка                                                                                                                    |[sound:uz_binafsha.mp3]
bino                 |здание, помещение, стройка                                                                                                |[sound:uz_bino.mp3]
binokor              |строитель [см. quruvchi]                                                                                                  |[sound:uz_binokor.mp3]
bir                  |один [одна, одно]                                                                                                         |[sound:uz_bir.mp3]
biram                |такой [преувеличение]                                                                                                     |[sound:uz_biram.mp3]
birdan               |вдруг, неожиданно-нега­данно, сразу, разом                                                                                |[sound:uz_birdan.mp3]
birga                |вместе, совместно                                                                                                         |[sound:uz_birga.mp3]
birinchi             |первый, впервые, первый раз; первоклассный                                                                                |[sound:uz_birinchi.mp3]
birinchilik          |первенство                                                                                                                |[sound:uz_birinchilik.mp3]
birlashmoq           |соединяться, объединяться                                                                                                 |[sound:uz_birlashmoq.mp3]
birlik               |единство, единение, солидарность                                                                                          |[sound:uz_birlik.mp3]
biroq                |но, однако                                                                                                                |[sound:uz_biroq.mp3]
birov                |кто-то, некто, некий                                                                                                      |[sound:uz_birov.mp3]
birpas               |один миг, одно мгновение, немного                                                                                         |[sound:uz_birpas.mp3]
bitta                |один, одна, штука                                                                                                         |[sound:uz_bitta.mp3]
biz                  |мы                                                                                                                        |[sound:uz_biz.mp3]
bobo                 |дед, дедушка                                                                                                              |[sound:uz_bobo.mp3]
bodom                |миндаль                                                                                                                   |[sound:uz_bodom.mp3]
bodring              |огурец                                                                                                                    |[sound:uz_bodring.mp3]
bol                  |мёд                                                                                                                       |[sound:uz_bol.mp3]
bola                 |младенец, ребенок, мальчик, детёныш                                                                                       |[sound:uz_bola.mp3]
bolalik              |детство, ребячество, мальчишество                                                                                         |[sound:uz_bolalik.mp3]
bolakay              |мальчуган                                                                                                                 |[sound:uz_bolakay.mp3]
bolta                |топор                                                                                                                     |[sound:uz_bolta.mp3]
bolg'a               |молоток                                                                                                                   |[sound:uz_bolg'a.mp3]
bor                  |есть, существует                                                                                                          |[sound:uz_bor.mp3]
bormoq               |идти, пойти; ехать                                                                                                        |[sound:uz_bormoq.mp3]
bosmaxona            |типография                                                                                                                |[sound:uz_bosmaxona.mp3]
bosmoq               |давить, нажать; наступать                                                                                                 |[sound:uz_bosmoq.mp3]
boy                  |богатый                                                                                                                   |[sound:uz_boy.mp3]
boya                 |немного раньше, недавно                                                                                                   |[sound:uz_boya.mp3]
boylik               |богатство                                                                                                                 |[sound:uz_boylik.mp3]
boychechak           |подснежник                                                                                                                |[sound:uz_boychechak.mp3]
bozor                |базар, рынок                                                                                                              |[sound:uz_bozor.mp3]
bog'                 |сад                                                                                                                       |[sound:uz_bog'.mp3]
bog'bon              |садовник                                                                                                                  |[sound:uz_bog'bon.mp3]
bog'lamoq            |привязывать, связывать, завязывать                                                                                        |[sound:uz_bog'lamoq.mp3]
bog'cha              |садик, детский сад                                                                                                        |[sound:uz_bog'cha.mp3]
bosh                 |1. голова <br> 2. вершина, верхушка <br> 3. начало                                                                        |[sound:uz_bosh.mp3]
boshlamoq            |начинать [начать], приступать [приступить]                                                                                |[sound:uz_boshlamoq.mp3]
boshlang'ich         |начальный                                                                                                                 |[sound:uz_boshlang'ich.mp3]
boshliq              |руководитель, начальник                                                                                                   |[sound:uz_boshliq.mp3]
boshqa               |другой                                                                                                                    |[sound:uz_boshqa.mp3]
boshqatdan           |снова, заново                                                                                                             |[sound:uz_boshqatdan.mp3]
boshqotirma          |головоломка                                                                                                               |[sound:uz_boshqotirma.mp3]
bu                   |этот, эта, это                                                                                                            |[sound:uz_bu.mp3]
bugun                |сегодня                                                                                                                   |[sound:uz_bugun.mp3]
bugungi              |сегодняшний                                                                                                               |[sound:uz_bugungi.mp3]
bukmoq               |сложить, гнуть, сгибать                                                                                                   |[sound:uz_bukmoq.mp3]
bulbul               |соловей                                                                                                                   |[sound:uz_bulbul.mp3]
buloq                |родник, источник                                                                                                          |[sound:uz_buloq.mp3]
bulut                |облако, туча                                                                                                              |[sound:uz_bulut.mp3]
bulutli              |облачный, пасмурный                                                                                                       |[sound:uz_bulutli.mp3]
buramoq              |вертеть, крутить, закручивать, ввинчивать, завинчивать                                                                    |[sound:uz_buramoq.mp3]
burgut               |орёл                                                                                                                      |[sound:uz_burgut.mp3]
burun                |нос                                                                                                                       |[sound:uz_burun.mp3]
burch                |долг, обязанность                                                                                                         |[sound:uz_burch.mp3]
burchak              |угол                                                                                                                      |[sound:uz_burchak.mp3]
butun                |целый, весь                                                                                                               |[sound:uz_butun.mp3]
butunlay             |совсем, целиком, полностью                                                                                                |[sound:uz_butunlay.mp3]
buva                 |дед, дедушка                                                                                                              |[sound:uz_buva.mp3]
buvi                 |бабушка                                                                                                                   |[sound:uz_buvi.mp3]
buyuk                |1. великий <br> 2. грандиозный, громадный, огромный                                                                       |[sound:uz_buyuk.mp3]
buyrak               |почка                                                                                                                     |[sound:uz_buyrak.mp3]
buyum                |вещь, предмет [см. narsa]                                                                                                 |[sound:uz_buyum.mp3]
buzmoq               |ломать [сломать], нарушать                                                                                                |[sound:uz_buzmoq.mp3]
buzoq                |телёнок                                                                                                                   |[sound:uz_buzoq.mp3]
bug'doy              |пшено, пшеница                                                                                                            |[sound:uz_bug'doy.mp3]
bug'                 |пар                                                                                                                       |[sound:uz_bug'.mp3]
bug'u                |олень                                                                                                                     |[sound:uz_bug'u.mp3]
bo'lak               |часть, кусок, пачка; початок                                                                                              |[sound:uz_bo'lak.mp3]
bo'lmoq              |делить, разделять, распределять                                                                                           |[sound:uz_bo'lmoq.mp3]
bo'pti               |ладно                                                                                                                     |[sound:uz_bo'pti.mp3]
bo'r                 |мел                                                                                                                       |[sound:uz_bo'r.mp3]
bo'ri                |волк                                                                                                                      |[sound:uz_bo'ri.mp3]
bo'yamoq             |красить, окрашивать                                                                                                       |[sound:uz_bo'yamoq.mp3]
bo'yin               |шея                                                                                                                       |[sound:uz_bo'yin.mp3]
bo'yoq               |краска                                                                                                                    |[sound:uz_bo'yoq.mp3]
bo'yoqchi            |красильщик, маляр                                                                                                         |[sound:uz_bo'yoqchi.mp3]
bo'ysunmoq           |подчиняться                                                                                                               |[sound:uz_bo'ysunmoq.mp3]
bo'taloq             |верблюжонок                                                                                                               |[sound:uz_bo'taloq.mp3]
bo'g'in              |сустав                                                                                                                    |[sound:uz_bo'g'in.mp3]
bo'g'iq              |хриплый, сиплый                                                                                                           |[sound:uz_bo'g'iq.mp3]
bo'g'iz              |горло, глоток, гортань                                                                                                    |[sound:uz_bo'g'iz.mp3]
bo'g'moq             |душить                                                                                                                    |[sound:uz_bo'g'moq.mp3]
bo'sh                |пустой, порожний; свободный                                                                                               |[sound:uz_bo'sh.mp3]
bo'shamoq            |освобождаться                                                                                                             |[sound:uz_bo'shamoq.mp3]
dada                 |отец, папа                                                                                                                |[sound:uz_dada.mp3]
daftar               |тетрадь                                                                                                                   |[sound:uz_daftar.mp3]
dahliz               |сени, прихожая                                                                                                            |[sound:uz_dahliz.mp3]
dahshat              |страх, ужас                                                                                                               |[sound:uz_dahshat.mp3]
dala                 |поле                                                                                                                      |[sound:uz_dala.mp3]
dam                  |отдых                                                                                                                     |[sound:uz_dam.mp3]
dam olmoq            |отдыхать                                                                                                                  |[sound:uz_dam_olmoq.mp3]
dangasa              |лодырь, лентяй                                                                                                            |[sound:uz_dangasa.mp3]
daraxt               |дерево                                                                                                                    |[sound:uz_daraxt.mp3]
dard                 |болезнь, недуг; горе                                                                                                      |[sound:uz_dard.mp3]
darrov               |быстро, немедленно                                                                                                        |[sound:uz_darrov.mp3]
dars                 |урок, учебное занятие                                                                                                     |[sound:uz_dars.mp3]
darslik              |учебник                                                                                                                   |[sound:uz_darslik.mp3]
