|word_ru|word_uz|topic_index|topic_ru|chapter_index|chapter_ru|part_index|part_ru
24|Пожалуйста (ответ)|Marhamat|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
25|Не стоит благодарности|Tashakkur bildirishga arzimaydi.|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
26|Не за что|Arzimaydi|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
27|Извини!|Kechir!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
28|Извините!|Kechiring!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
29|извинять|kechirmoq|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
30|извиняться|kechirim so‘ramoq|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
31|Мои извинения.|Meni kechirgaysiz.|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
32|Простите!|Afv etasiz!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
33|прощать (кого-л.)|afv etmoq|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
34|Ничего страшного (ответ)|Hechqisi yo‘q|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
35|пожалуйста (при просьбе)|marhamat qilib|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
36|Не забудьте!|Unutmang!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
37|Конечно!|Albatta!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
38|Конечно нет!|Albatta, yo‘q!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
39|Согласен!|Roziman!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
40|Хватит!|Bas!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
41|господин|Janob|3|Обращения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
42|госпожа|Xonim|3|Обращения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
43|девушка|Yaxshi qiz|3|Обращения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
44|молодой человек|Yaxshi yigit|3|Обращения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
45|мальчик|Bolakay|3|Обращения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
46|девочка|Qizaloq|3|Обращения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
47|0 ноль|nol|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
48|1 один|bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
49|2 два|ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
50|3 три|uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
51|4 четыре|to‘rt|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
52|5 пять|besh|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
53|6 шесть|olti|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
54|7 семь|etti|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
55|8 восемь|sakkiz|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
56|9 девять|to‘qqiz|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
57|10 десять|o‘n|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
58|11 одиннадцать|o‘n bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
59|12 двенадцать|o‘n ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
60|13 тринадцать|o‘n uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
61|14 четырнадцать|o‘n to‘rt|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
62|15 пятнадцать|o‘n besh|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
63|16 шестнадцать|o‘n olti|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
64|17 семнадцать|o‘n etti|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
65|18 восемнадцать|o‘n sakkiz|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
66|19 девятнадцать|o‘n to‘qqiz|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
67|20 двадцать|yigirma|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
68|21 двадцать один|yigirma bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
69|22 двадцать два|yigirma ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
70|23 двадцать три|yigirma uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
71|30 тридцать|o‘ttiz|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
72|31 тридцать один|o‘ttiz bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
73|32 тридцать два|o‘ttiz ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
74|33 тридцать три|o‘ttiz uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
75|40 сорок|qirq|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
76|41 сорок один|qirq bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
77|42 сорок два|qirq ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
78|43 сорок три|qirq uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
79|50 пятьдесят|ellik|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
80|51 пятьдесят один|ellik bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
81|52 пятьдесят два|ellik ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
82|53 пятьдесят три|ellik uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
83|60 шестьдесят|oltmish|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
84|61 шестьдесят один|oltmish bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
85|62 шестьдесят два|oltmish ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
86|63 шестьдесят три|oltmish uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
87|70 семьдесят|etmish|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
88|71 семьдесят один|etmish bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
89|72 семьдесят два|etmish ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
90|73 семьдесят три|etmish uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
91|80 восемьдесят|sakson|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
92|81 восемьдесят один|sakson bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
93|82 восемьдесят два|sakson ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
94|83 восемьдесят три|sakson uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
95|90 девяносто|to‘qson|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
96|91 девяносто один|to‘qson bir|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
97|92 девяносто два|to‘qson ikki|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
98|93 девяносто три|to‘qson uch|4|Числа от 1 до 100|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
99|100 сто|yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
100|200 двести|ikki yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
101|300 триста|uch yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
102|400 четыреста|to‘rt yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
103|500 пятьсот|besh yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
104|600 шестьсот|olti yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
105|700 семьсот|etti yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
106|800 восемьсот|sakkiz yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
107|900 девятьсот|to‘qqiz yuz|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
108|1000 тысяча|ming|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
109|2000 две тысячи|ikki ming|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
110|3000 три тысячи|uch ming|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
111|10000 десять тысяч|o‘n ming|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
112|100000 сто тысяч|yuz ming|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
113|миллион|million|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
114|миллиард|milliard|5|Числа от 100 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
115|первый|birinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
116|второй|ikkinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
117|третий|uchinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
118|четвёртый|to‘rtinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
119|пятый|beshinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
120|шестой|oltinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
121|седьмой|ettinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
122|восьмой|sakkizinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
123|девятый|to‘qqizinchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
124|десятый|o‘ninchi|6|Числа. Порядковые числительные|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
125|дробь|kasr|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
126|одна вторая|ikkidan bir|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
127|одна третья|uchdan bir|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
128|одна четвертая|to‘rtdan bir|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
129|одна восьмая|sakkizdan bir|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
130|одна десятая|o‘ndan bir|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
131|две третьих|uchdan ikki|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
132|три четвёртых|to‘rtdan uch|7|Числа. Дроби|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
133|вычитание|ayirish|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
134|вычитать|ayirmoq|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
135|деление|bo‘lish|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
136|делить|bo‘lmoq|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
137|сложение|qo‘shish|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
138|сложить (матем.)|qo‘shmoq|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
139|прибавлять|yana qo‘shmoq|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
140|умножение|ko‘paytirish|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
141|умножать|ko‘paytirmoq|8|Числа. Математические действия|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
142|цифра|raqam|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
143|число|son|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
144|числительное|sanoq son|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
145|минус|minus|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
146|плюс|plyus|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
147|формула|formula|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
148|вычисление|hisoblash|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
149|считать|sanamoq|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
150|подсчитывать|hisoblamoq|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
151|сравнивать|solishtirmoq|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
152|Сколько? (неисчисл.)|Qancha?|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
153|Сколько? (исчисл.)|Nechta?|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
154|сумма|summa|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
155|результат|natija|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
156|остаток|qoldiq|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
157|несколько|bir nechta|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
158|немного|bir oz ...|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
159|остальное|qolgani|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
160|полтора|bir yarim|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
161|дюжина|o‘n ikkita|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
162|пополам (на 2 части)|ikkiga bo‘lib|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
163|поровну|teng-baravar|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
164|половина|yarim|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
165|раз|marta|9|Числа. Разное|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
166|бежать|yugurmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
167|бояться|qo‘rqmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
168|брать|olmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
169|быть|bo‘lmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
170|видеть|ko‘rmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
171|владеть|ega bo‘lmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
172|возражать|eʼtiroz bildirmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
173|входить (в комнату и т.п.)|kirmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
174|выбирать|tanlamoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
175|выходить (из дома)|chiqmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
176|говорить (разговаривать)|gapirmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
177|готовить (обед)|tayyorlamoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
178|давать|bermoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
179|делать|qilmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
180|доверять|ishonmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
181|думать|o‘ylamoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
182|жаловаться|shikoyat qilmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
183|ждать|kutmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
184|забывать|unutmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
185|завтракать|nonushta qilmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
186|заказывать|buyurtma bermoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
187|заканчивать|tugatmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
188|замечать (увидеть)|ko‘rib qolmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
189|записывать|yozib olmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
190|защищать (страну)|himoya qilmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
191|звать (на помощь и т.п.)|chaqirmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
192|знать (кого-л.)|tanimoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
193|знать (что-л.)|bilmoq|10|Самые важные глаголы - 1|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
194|играть|o‘ynamoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
195|идти|yurmoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
196|извиняться|kechirim so‘ramoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
197|изменить (поменять)|o‘zgartirmoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
198|изучать|o‘rganmoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
199|иметь|ega bo‘lmoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
200|интересоваться|qiziqmoq|11|Самые важные глаголы - 2|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
