|part_of_speech|word_de|sentence_de|issue
3255|die|die Ferne|Die Ferne ist mystisch.|Ambiguity: "Ferne" (distance) is abstract and could confuse readers without further context.
3255|die|die Ferne|Die Ferne ist mystisch.|Ambiguity: "Ferne" (distance) is abstract and vague, which could confuse readers without additional context.
3266|verb|umwandeln, wandelt um, wandelte um, hat umgewandelt|Der Prozess wandelt sich um.|Incorrect reflexive form: Should be "Der Prozess wird umgewandelt."
3277|der|der Rucksack|Er trägt einen Rucksack.|Too simple: The sentence is correct but overly basic and lacks depth.
3277|der|der Rucksack|Er trägt einen Rucksack.|Too simplistic: The sentence is grammatically correct but overly basic.
3304|verb|unterbringen, bringt unter, brachte unter, hat untergebracht|Wir müssen sie unterbringen.|Ambiguity: Without context, "sie" could refer to a group of people, animals, or objects.
3315|die|die Route|Die Route ist geplant.|Unclear article: Depending on context, "Route" could be mistaken for a masculine noun.
3321|adj|mechanisch|Das Gerät ist mechanisch.|Incomplete information: The sentence lacks context to explain what "mechanisch" refers to.
3321|adj|mechanisch|Das Gerät ist mechanisch.|Incomplete information: The sentence lacks context to explain what is meant by "mechanisch."
3361|das|das Indisch|Viele Menschen in Indien sprechen Indisch.|Incorrect part of speech: "Indisch" is typically an adjective, not a noun.
3361|das|das Indisch|Viele Menschen in Indien sprechen Indisch.|The article "das" should be omitted when referring to a language
3365|das|das Fräulein|Das Fräulein ist jung.|Outdated usage: "Fräulein" is an outdated and potentially offensive term in modern German.
3365|das|das Fräulein|Das Fräulein ist jung.|Outdated usage: The term "Fräulein" is outdated and potentially offensive in modern German.
3430|das|das Asien|Asien ist vielfältig.|"das" should be omitted, as "Asien" is a proper noun and does not need an article
3466|das|der Schild|Das Schild ist groß.|Incorrect article: "Schild" can be both masculine (a shield) or neuter (a sign), context needed to clarify.
3502|prep|inklusive|Das Paket ist inklusive Steuern.|Incorrect usage: The word "inklusive" should be followed by "von" to form "inklusive von Steuern."
3518|der|der Premier|Der Premier spricht im Fernsehen.|Ambiguity: "Premier" is vague and could refer to multiple roles (e.g., Prime Minister, Premier of a state). More context is needed.
3522|der|der Christ|Der Christ betet.|Simplistic and lacks context: The sentence is too basic and doesn't provide meaningful information.
3523|interj|hi|Hi, wie geht’s?|Informal register: "Hi" is informal and contextually inappropriate for a formal or neutral setting.
3547|die|die Entdeckung|Die Entdeckung war spannend.|Simplistic: The sentence is too basic and lacks descriptive context.
3548|die (pl)||Die Ferien sind vorbei.|Missing noun: The article "die" is provided without a corresponding noun.
3570|verb|reiten, reitet, ritt, ist geritten|Er reitet gerne.|Simplistic: The sentence is grammatically correct but too basic and lacks depth.
3595|adv|hinzu|Er kam hinzu.|Incomplete context: The sentence is correct, but it lacks clarity about what he joined or came to.
3609|der|der Kompromiss|Der Kompromiss war nötig.|Simplistic: The sentence lacks depth and fails to convey more information about the situation.
3620|verb|vorbeigehen, geht vorbei, ging vorbei, ist vorbeigegangen|Er ging am Haus vorbei.|Simplistic: The sentence is too basic and lacks descriptive or contextual depth.
3654|adj|aufwendig|Das Kleid war aufwendig.|Incorrect form: Should be "aufwändig" (common spelling).
3664|adj|liberal|Die Partei ist liberal.|Ambiguity: The term "liberal" can have different meanings depending on the context (e.g., political, economic) and is not sufficiently defined here.
3667|die|die Provinz|Die Provinz ist klein.|Simplistic: The sentence is too basic and lacks context or additional information.
3668|die|die Trauer|Die Trauer ist groß.|Simplistic and lacks context: The sentence is too basic and does not convey sufficient information.
3676|das|das Huhn|Das Huhn legt Eier.|Simplistic: The sentence is grammatically correct but too basic and lacks depth.
3692|verb|erregen, erregt, erregte, hat erregt|Das Geräusch erregte Aufmerksamkeit.|Ambiguity: The verb "erregen" can have multiple meanings, leading to potential confusion without additional context.
3705|das|das Belgien|Belgien ist ein schönes Land.|Incorrect article usage: "Belgien" should not have an article ("das") in German.
3720|der|der Kreislauf|Der Kreislauf ist stabil.|Ambiguity: "Kreislauf" could refer to multiple contexts (biological, economic, etc.) and the sentence does not clarify.
3729|adj|akut|Der Schmerz ist akut.|Simplistic: The sentence is correct but lacks context or depth, making it too basic.
3747|verb|tauschen, tauscht, tauschte, hat getauscht|Sie tauschten die Plätze.|Incorrect verb usage: "Wechseln" would be a more appropriate verb than "tauschen" for this context.
3782|das|das Adjektiv|Das Adjektiv ist klar.|Incorrect usage: The sentence is technically correct but provides no meaningful information, making it too simplistic.
3842|das|das Chaos|Das Chaos ist komplett.|Simplistic: The sentence is too basic and does not convey meaningful context.
3846|der|der Schluck|Er trank einen Schluck Wasser.|Simplistic: The sentence is grammatically correct but lacks depth or context.
3864|das|das Hessisch|Er versteht Hessisch, aber spricht es nicht.|Incorrect article usage: "Hessisch" should not have an article ("das") in this context.
3895|das|das Sachsen-Anhalt|Sachsen-Anhalt liegt in Deutschland.|"das" should be omitted, as "Sachsen-Anhalt" is a proper noun and does not need an article
3904|die|die Wahlperiode|Die Wahlperiode dauert vier Jahre.|Ambiguity: The sentence is correct, but more context is needed to specify the election or political system.
3944|verb|bestrafen, bestraft, bestrafte, hat bestraft|Er wurde streng bestraft.|Simplistic: The sentence lacks context or explanation about why the punishment occurred.
3952|der|der Eigentümer|Der Eigentümer verkauft das Haus.|Ambiguity: The sentence is correct, but "der Eigentümer" does not specify whose property is being sold, which can lead to confusion.
3976|das|das Zeitalter|Das Zeitalter der Technik.|Incomplete sentence; lacks a main verb
3986|die|die Schätzung|Die Schätzung war korrekt.|Simplistic: The sentence is grammatically correct but too basic and lacks context.
4057|der|der Arsch|Er fiel auf den Arsch.|Vulgar language; inappropriate in formal contexts
4071|das|das Nordrhein-Westfalen|Nordrhein-Westfalen ist groß.|"das" should be omitted, as "Nordrhein-Westfalen" is a proper noun and does not need an article
4121|adj|Kölner|Das Kölner Dom ist berühmt.|Incorrect use of adjective "Kölner". The sentence should use "der Kölner Dom" instead of "das Kölner Dom" since "Dom" is masculine.
4122|der|der Pariser|Der Pariser Bäcker ist bekannt.|Typically, "Pariser" as an adjective does not need the definite article
4130|das|das Business|Das Business floriert.|Informal Anglicism; "Geschäft" would be more appropriate
4224|das|das Glied|Das Glied schmerzt.|"Glied" has a potentially inappropriate double meaning; context needed
4294|das|das Thüringen|Thüringen liegt in Deutschland.|Unnecessary article; "das" should be omitted as "Thüringen" is a proper noun
4296|verb|ausstehen, steht aus, stand aus, hat ausgestanden|Ich kann das nicht ausstehen.|The verb "ausstehen" is used in a context where it typically means "cannot bear" or "endure," but in this sentence, it may imply "waiting" or "pending," leading to ambiguity or misunderstanding.
4461|die|die News|Die News sind spannend.|Unnecessary anglicism; "Nachrichten" would be more appropriate
4500|die|die Algebra|Algebra ist schwierig.|Word used without an article, sentence could be improved with "Die Algebra ist schwierig."
4507|die|die Sportart|Fußball ist meine Sportart.|Word used without an article, sentence could be improved with "Die Sportart ist Fußball."
4508|das|das Tirol|Tirol ist wunderschön.|Word used without an article, sentence could be improved with "Das Tirol ist wunderschön."
1488|adv|mitten|Mitten im Raum.|Incomplete sentence
1489|prep|zufolge|Dem Bericht zufolge.|Incomplete sentence
1779|der|der Verlauf|Der Verlauf der Krankheit.|Incomplete sentence
1993|pron|irgendwelche (r, s)|Irgendwelche Fragen?|Incomplete sentence
2037|prep|mittels|Mittels eines Tricks gelang es.|Incomplete sentence
2274|adv|daraufhin|Er geht daraufhin fort.|Incomplete without context
2451|adv|ebenda|Das Zitat stammt ebenda.|Incomplete sentence
2453|der, die|die Erwachsene|Die Erwachsene sind verantwortlich.|Incorrect noun form; should be "Die Erwachsenen sind verantwortlich."
2513|adv|plus|Morgen erwarten wir 10 Grad plus.|Could be unclear or incomplete depending on context
2520|verb|ausziehen, zieht aus, zog aus, ist ausgezogen|Er zog aus dem Haus aus.|Redundant use of "ausziehen"
2751|adv|derart|Derart ist es geschehen.|Awkward phrasing; not common usage
2841|adj|heimisch|Das ist mein heimischer Ort.|Awkward phrasing; "Heimatort" or "Heimat" would be better
