|part_of_speech|word_de|sentence_de
2641|der|der Kredit|Ich brauche einen Kredit.
2642|das|das Wohnzimmer|Das Wohnzimmer ist gemütlich.
2644|die|die Leitung|Die Leitung hat gewechselt.
2645|verb|strahlen, strahlt, strahlte, hat gestrahlt|Die Sonne strahlt hell.
2652|der|der Sportler|Der Sportler trainiert hart.
2660|der|der Kommentar|Der Kommentar war hilfreich.
2662|das|das Radio|Das Radio ist laut.
2666|verb|ansteigen, steigt an, stieg an, ist angestiegen|Die Preise steigen an.
2667|die|die Rückkehr|Die Rückkehr war erfreulich.
2691|verb|bereiten, bereitet, bereitete, hat bereitet|Der Unfall hat großen Schaden bereitet.
2692|die|die Entstehung|Die Entstehung des Lebens ist ein Rätsel.
2700|adj|erkennbar|Das Bild ist erkennbar.
2712|der, die|die Erste|Die Erste ist die Beste.
2721|verb|austauschen, tauscht aus, tauschte aus, hat ausgetauscht|Sie tauschten die Ideen aus.
2722|verb|beschleunigen, beschleunigt, beschleunigte, hat beschleunigt|Das Auto beschleunigt schnell.
2727|der|der Protest|Der Protest war friedlich.
2728|die|die Tour|Die Tour war aufregend.
2735|der|der Außenminister|Der Außenminister reiste ab.
2740|der, die, das|die Alte|Der Alte ging spazieren.
2750|verb|zögern, zögert, zögerte, hat gezögert|Er zögerte mit der Antwort.
2751|adv|derart|Derart ist es geschehen.
2753|verb|einziehen, zieht ein, zog ein, hat eingezogen|Wir ziehen nächste Woche ein.
2758|der|der Atem|Ich verlor den Atem.
2777|verb|abbilden, bildet ab, bildete ab, hat abgebildet|Das Buch bildet die Realität ab.
2782|das|das Brasilien|Brasilien ist ein großes Land.
2786|verb|hinausgehen, geht hinaus, ging hinaus, ist hinausgegangen|Wir gehen hinaus.
2790|adj|bürgerlich|Das ist ein bürgerliches Recht.
2805|die|die Dichte|Die Dichte des Materials ist hoch.
2821|die|die Opposition|Die Opposition protestiert.
2828|die|die Adresse|Ich brauche deine Adresse.
2833|das|das Niederländisch|Niederländisch ist leicht zu lernen.
2841|adj|heimisch|Das ist mein heimischer Ort.
2844|der|der Bildschirm|Der Bildschirm ist groß.
2851|die|die Beteiligung|Die Beteiligung war groß.
2854|die|die Hut|Er steht auf der Hut.
2915|die|die Aufklärung|Die Aufklärung war notwendig.
2917|adj|denkbar|Das ist denkbar.
2921|die|die Schönheit|Die Schönheit der Natur ist überwältigend.
2924|das|das Dänemark|Dänemark ist wunderschön.
2925|pron|dazwischen|Er steht dazwischen.
2927|das|das Tibet|Tibet liegt in Asien.
2935|die|die Truppe|Die Truppe marschiert.
2944|die|die Kasse|Die Kasse ist leer.
2945|die (pl)||Er hat viele Schulden.
2954|die|die Zunge|Die Zunge ist rosa.
2997|pron|wodurch|Wodurch ist das passiert?
3011|adj|konsequent|Das ist konsequent gehandelt.
3014|der|der Gehalt|Der Gehalt des Buches ist tiefgründig.
3043|das|das Zitat|Das Zitat ist bekannt.
3059|die|die Anerkennung|Die Anerkennung war groß.
3066|das|das Weihnachten|Das Weihnachten ist bald.
3080|adj|zugehörig|Das ist zugehörig.
3115|adj|langweilig|Dieses Buch ist langweilig.
3146|adj|cool|Diese Idee ist cool.
3150|der|der Irak|Irak ist weit weg.
3150|verb|strecken, streckt, streckte, hat gestreckt|Er streckt die Arme.
3175|verb|angucken, guckt an, guckte an, hat angeguckt (ankucken)|Er guckt den Film an.
3179|verb|isolieren, isoliert, isolierte, hat isoliert|Der Ingenieur isoliert die Wand.
3205|interj|ha|Ha, das ist lustig!
3218|adj|intelligent|Der Schüler ist intelligent.
3255|die|die Ferne|Die Ferne ist mystisch.
3266|verb|umwandeln, wandelt um, wandelte um, hat umgewandelt|Der Prozess wandelt sich um.
3277|der|der Rucksack|Er trägt einen Rucksack.
3304|verb|unterbringen, bringt unter, brachte unter, hat untergebracht|Wir müssen sie unterbringen.
3315|die|die Route|Die Route ist geplant.
3321|adj|mechanisch|Das Gerät ist mechanisch.
3361|das|das Indisch|Viele Menschen in Indien sprechen Indisch.
3365|das|das Fräulein|Das Fräulein ist jung.
3422|adj|fix|Das Problem wurde fix gelöst.
3430|das|das Asien|Asien ist vielfältig.
3466|das|der Schild|Das Schild ist groß.
3502|prep|inklusive|Das Paket ist inklusive Steuern.
3518|der|der Premier|Der Premier spricht im Fernsehen.
3522|der|der Christ|Der Christ betet.
3523|interj|hi|Hi, wie geht’s?
3547|die|die Entdeckung|Die Entdeckung war spannend.
3548|die (pl)||Die Ferien sind vorbei.
3570|verb|reiten, reitet, ritt, ist geritten|Er reitet gerne.
3585|der|der Sex|Das Thema war Sex.
3595|adv|hinzu|Er kam hinzu.
3609|der|der Kompromiss|Der Kompromiss war nötig.
3620|verb|vorbeigehen, geht vorbei, ging vorbei, ist vorbeigegangen|Er ging am Haus vorbei.
3650|verb|einschlagen, schlägt ein, schlug ein, hat eingeschlagen|Er schlug den Nagel ein.
3653|adj|akademisch|Die Arbeit ist akademisch.
3654|adj|aufwendig|Das Kleid war aufwendig.
3664|adj|liberal|Die Partei ist liberal.
3667|die|die Provinz|Die Provinz ist klein.
3668|die|die Trauer|Die Trauer ist groß.
3676|das|das Huhn|Das Huhn legt Eier.
3692|verb|erregen, erregt, erregte, hat erregt|Das Geräusch erregte Aufmerksamkeit.
3705|das|das Belgien|Belgien ist ein schönes Land.
3720|der|der Kreislauf|Der Kreislauf ist stabil.
3729|adj|akut|Der Schmerz ist akut.
3747|verb|tauschen, tauscht, tauschte, hat getauscht|Sie tauschten die Plätze.
3764|verb|kippen, kippt, kippte, hat gekippt|Der Stuhl kippte.
3782|das|das Adjektiv|Das Adjektiv ist klar.
3842|das|das Chaos|Das Chaos ist komplett.
3846|der|der Schluck|Er trank einen Schluck Wasser.
3864|das|das Hessisch|Er versteht Hessisch, aber spricht es nicht.
3895|das|das Sachsen-Anhalt|Sachsen-Anhalt liegt in Deutschland.
3904|die|die Wahlperiode|Die Wahlperiode dauert vier Jahre.
3944|verb|bestrafen, bestraft, bestrafte, hat bestraft|Er wurde streng bestraft.
3952|der|der Eigentümer|Der Eigentümer verkauft das Haus.
3976|das|das Zeitalter|Das Zeitalter der Technik.
3986|die|die Schätzung|Die Schätzung war korrekt.
4036|interj|au|Au, das tut weh!
4046|verb|scheißen, scheißt, schiss, hat geschissen|Das Kind hat gescheißt.
4057|der|der Arsch|Er fiel auf den Arsch.
4071|das|das Nordrhein-Westfalen|Nordrhein-Westfalen ist groß.
4121|adj|Kölner|Das Kölner Dom ist berühmt.
4122|der|der Pariser|Der Pariser Bäcker ist bekannt.
4130|das|das Business|Das Business floriert.
4170|die (pl)||Die Taliban kontrollieren das Gebiet.
4224|das|das Glied|Das Glied schmerzt.
4273|adv|binnen|Binnen einer Woche.
4274|adj|einstig|Sein einstiger Freund.
4280|adj|obig|Das obige Beispiel.
4294|das|das Thüringen|Thüringen liegt in Deutschland.
4296|verb|ausstehen, steht aus, stand aus, hat ausgestanden|Ich kann das nicht ausstehen.
4344|verb|abspielen, spielt ab, spielte ab, hat abgespielt|Das Lied spielt ab.
4364|interj|öh|Öh, was meinst du?
4413|verb|fügen (sich), fügt, fügte, hat gefügt|Sie fügte sich ihrem Schicksal.
4435|interj|mmh|Mmh, das schmeckt gut.
4461|die|die News|Die News sind spannend.
4500|die|die Algebra|Algebra ist schwierig.
4506|adv|soeben|Ich habe es soeben gesehen.
4507|die|die Sportart|Fußball ist meine Sportart.
4508|das|das Tirol|Tirol ist wunderschön.
4528|prep|seitens|Seitens des Unternehmens.
4561|adj|derzeitig|Die derzeitig Lage.
4611|adj|fließend|Das Wasser fließt fließend.
4679|adv|nirgends|Er wohnt nirgends.
4943|verb|verstoßen, verstößt, verstieß, hat verstoßen|Er hat das Gesetz verstoßen.
5067|adj|norwegisch|Die norwegische Fjorde sind wunderschön.
