|part_of_speech|word_de|sentence_de|word_en|sentence_en
886|die|die Ebene|Die Ebene war flach und endlos weit.|plane, level|The plane was flat and endlessly wide.
930|adv|mittlerweile|Mittlerweile hat er das Problem gelöst.|in the meantime, since then|In the meantime, he solved the problem.
944|das|das Verfahren|Das Verfahren ist sehr effizient.|method, process, technique|The process is very efficient.
979|der|der Faktor|Der Faktor Zeit spielt eine große Rolle.|factor|The factor of time plays an important role.
980|die|die Bindung|Die Bindung zwischen ihnen war stark.|relationship, attachment|The relationship between them was strong.
985|der|der Abschnitt|Der Abschnitt des Buches war spannend.|section, paragraph, chapter, passage|The chapter of the book was thrilling.
997|die|die Hälfte|Die Hälfte der Arbeit ist geschafft.|half|Half of the work is done.
998|der|der Kontakt|Ich habe keinen Kontakt mehr zu ihm.|contact|I have no contact with him anymore.
1012|die|die Position|Die Position des Stuhls ist festgelegt.|position|The position of the chair is fixed.
1030|verb|eingehen, geht ein, ging ein, ist eingegangen|Ich werde darauf noch eingehen.|to mention, discuss, react to, cater|I will still discuss that.
1033|adv|weg|Der Hund war plötzlich einfach weg.|gone, vanished|The dog was suddenly just gone.
1058|die|die Ruhe|Die Ruhe im Raum war angenehm.|silence, peace|The silence in the room was pleasant.
1059|die|die Darstellung|Die Darstellung der Fakten war korrekt.|presentation, description, depiction|The depiction of the facts was accurate.
1084|verb|lauten, lautet, lautete, hat gelautet|Die Antwort lautet: Ja, das ist korrekt.|to be (answer)|The answer is: Yes, that is correct.
1090|die|das Grüne|Er engagiert sich für das Grüne.|the Greens|He is involved with the Greens.
1112|der|der Sieg|Nach einem langen Kampf kam der Sieg.|victory|After a long fight, victory came.
1164|der|der Beitrag|Sein Beitrag war sehr wertvoll.|contribution|His contribution was very valuable.
1199|der|der Bund|Der Bund der Staaten wurde gestärkt.|association, alliance, bunch|The alliance of the states was strengthened.
1212|der|der Gang|Wir gingen langsam durch den Gang.|corridor, aisle, course|We walked slowly through the corridor.
1217|verb|fassen, fasst, fasste, hat gefasst|Er fasst die Tasse fest in der Hand.|to grab, grasp, hold|He holds the cup firmly in his hand.
1235|der|der Gegensatz|Im Gegensatz dazu steht seine Meinung.|opposite, contrast|In contrast, his opinion differs.
1252|die|die Tat|Die Tat war mutig, aber gefährlich.|deed, action|The deed was brave, but dangerous.
1273|das|das Maß|Das Maß der Dinge ist immer relativ.|measure|The measure of things is always relative.
1286|verb|zwingen, zwingt, zwang, hat gezwungen|Er zwang sie, das Geheimnis zu verraten.|to force|He forced her to reveal the secret.
1290|die|die Forderung|Die Forderung nach Gerechtigkeit wuchs.|demand, claim|The demand for justice grew.
1298|verb|umgehen, umgeht, umging, hat umgangen|Man muss vorsichtig damit umgehen.|to treat, handle|You have to handle it carefully.
1300|verb|verlaufen, verläuft, verlief, ist verlaufen|Die Besprechung verlief ohne Probleme.|to proceed, get lost|The meeting proceeded without problems.
1336|verb|erwähnen, erwähnt, erwähnte, hat erwähnt|Er hat die wichtigsten Punkte erwähnt.|to mention|He mentioned the most important points.
1339|verb|vertreten, vertritt, vertrat, hat vertreten|Er vertritt die Firma bei Konferenzen.|to represent, advocate, substitute|He represents the company at conferences.
1345|verb|prägen, prägt, prägte, hat geprägt|Diese Erfahrung prägte sein Leben.|to shape, mint|This experience shaped his life.
1363|der|der Kreis|Im Kreis der Freunde fühlt er sich wohl.|circle, district|He feels comfortable among his friends.
1401|das|das Netz|Das Netz war gestern sehr instabil.|net, network|The network was very unstable yesterday.
1404|die|die Erkenntnis|Die Erkenntnis traf ihn plötzlich.|realization, discovery|The realization hit him suddenly.
1465|verb|sichern, sichert, sicherte, hat gesichert|Er sichert die Daten vor Verlust.|to secure, safeguard|He secures the data from loss.
1503|das|das Objekt|Das Objekt ist von unschätzbarem Wert.|object|The object is of inestimable value.
1510|die|die Übung|Die Übung half ihm, sich zu verbessern.|exercise, practice|The practice helped him improve.
1520|das|das Fernsehen|Das Fernsehen berichtet vom Ereignis.|television|The television is reporting on the event.
1521|die|die Formel|Die Formel war schwer zu verstehen.|formula|The formula was hard to understand.
1523|das|das Sommersemester|Das Sommersemester beginnt im April.|summer semester|The summer semester starts in April.
1532|die|die Strecke|Die Strecke war länger als erwartet.|distance, route|The route was longer than expected.
1540|der|der Nachmittag|Am Nachmittag treffen wir uns wieder.|afternoon|We will meet again in the afternoon.
1543|die|die Öffentlichkeit|Die Öffentlichkeit war schockiert.|public|The public was shocked.
1575|verb|überleben, überlebt, überlebte, hat überlebt|Er überlebt das Unglück unverletzt.|to survive|He survived the accident without injury.
1598|conj|solange|Solange es regnet, bleiben wir im Haus.|as long as|As long as it rains, we will stay in the house.
1608|verb|wenden, wendet, wandte, hat gewandt|Er wendet das Auto auf der engen Straße.|to turn around|He turns the car around on the narrow street.
1619|verb|vorsehen, sieht vor, sah vor, hat vorgesehen|Das Gesetz sieht neue Maßnahmen vor.|to plan, provide for|The law provides for new measures.
1620|die|die Schwierigkeit|Die Schwierigkeit liegt im Detail.|difficulty|The difficulty lies in the details.
1637|der|der Dienst|Der Dienst begann um acht Uhr morgens.|service, duty|The service started at eight in the morning.
1638|das|das Lager|Das Lager war groß und gut organisiert.|camp, storeroom|The camp was large and well-organized.
1640|prep|anhand|Anhand der Daten analysieren wir.|on the basis of, with the aid of|We analyze on the basis of the data.
1641|der|der Bus|Der Bus kommt täglich um acht Uhr.|bus|The bus arrives at eight o'clock every day.
1642|der|der Franken, Fr.|Der Preis betrug zwanzig Franken.|(Swiss) franc|The price was twenty francs.
1653|die|die Gegend|Die Gegend ist bekannt für ihre Weine.|area, region|The region is known for its wines.
1658|die|die AfD (Alternative für Deutschland)|Die AfD schnitt in der Wahl gut ab.|AfD, Alternative für Deutschland|The AfD did well in the election.
1669|verb|beachten, beachtet, beachtete, hat beachtet|Beachte die Regeln des Spiels genau.|to pay attention, observe|Pay close attention to the rules of the game.
1704|die|die Leiter|Die Leiter steht in der Ecke des Raumes.|ladder|The ladder is standing in the corner of the room.
1708|das|das Kriterium|Das Kriterium war streng definiert.|criterion|The criterion was strictly defined.
1714|verb|drängen, drängt, drängte, hat gedrängt|Er drängte mich, schneller zu arbeiten.|to push, insist|He pushed me to work faster.
1745|das|das Büro|Er arbeitet jeden Tag im Büro.|office|He works in the office every day.
1773|die|die Führung|Die Führung des Teams war vorbildlich.|management, command, leadership|The leadership of the team was exemplary.
1808|die|die Haltung|Seine Haltung war immer aufrecht.|posture, attitude|His posture was always upright.
1835|die|die Aufmerksamkeit|Er bekam sofort volle Aufmerksamkeit.|attention|He immediately received full attention.
1857|die|die Initiative|Die Initiative kam von den Mitarbeitern.|initiative|The initiative came from the employees.
1861|der|der Geburtstag|Mein Geburtstag wird groß gefeiert.|birthday|My birthday will be celebrated in a big way.
1900|die|die Falle|Die Falle wurde geschickt gestellt.|trap|The trap was cleverly set.
1917|adv|ausgerechnet|Ausgerechnet jetzt fehlt mir die Zeit.|of all times|Of all times, now I don't have time.
1939|der|der Übergang|Der Übergang war schwer, aber nötig.|crossing, transition|The transition was difficult but necessary.
1981|die|die Hochschule|Die Hochschule ist sehr angesehen hier.|college, university|The university is highly respected here.
1982|die|die Umsetzung|Die Umsetzung des Plans ist im Gange.|transfer, implementation|The implementation of the plan is underway.
1988|adv|hierbei|Hierbei wurde nichts beschädigt.|while doing this, on this occasion|Nothing was damaged while doing this.
1991|das|das Wunder|Das Wunder ereignete sich plötzlich.|miracle|The miracle happened suddenly.
1992|der|der Abschluss|Der Abschluss des Projekts ist heute.|end, conclusion, graduation|The conclusion of the project is today.
2015|die|die Gegenwart|In der Gegenwart gibt es viele Chancen.|present|In the present, there are many opportunities.
2017|die|die Aminosäure|Aminosäuren sind Bausteine der Proteine.|amino acid|Amino acids are the building blocks of proteins.
2030|verb|wagen, wagt, wagte, hat gewagt|Er hat es gewagt, nachzufragen.|to dare, risk|He dared to ask.
2037|prep|mittels|Mittels Technik lösten wir das Problem.|by means of|We solved the problem using technology.
2054|die|die Ladung|Die Ladung des Lkw war zu schwer.|charge, load|The load on the truck was too heavy.
2085|adv|quasi|Das Projekt ist quasi abgeschlossen.|almost, virtually|The project is almost finished.
2092|verb|absehen, sieht ab, sah ab, hat abgesehen|Man konnte das Problem schon absehen.|to foresee, be in sight|You could already foresee the problem.
2111|die|die Bewertung|Die Bewertung der Arbeit war positiv.|assessment, evaluating, evaluation|The evaluation of the work was positive.
2115|das|Israel|Israel ist ein Land im Nahen Osten.|Israel|Israel is a country in the Middle East.
2116|die|die Lippe|Sie biss sich nervös auf die Lippe.|lip|She nervously bit her lip.
2150|der|der Rang|Sein Rang in der Armee ist hoch.|standing, status|His rank in the army is high.
2160|verb|integrieren, integriert, integrierte, hat integriert|Das System wurde erfolgreich integriert.|to integrate|The system was successfully integrated.
2168|die|die Stiftung|Die Stiftung fördert viele Projekte.|foundation, institute, donation|The foundation supports many projects.
2176|verb|vorgehen, geht vor, ging vor, ist vorgegangen|Die Polizei ging mit Vorsicht vor.|to go on, go ahead, be fast, have priority|The police proceeded with caution.
2179|die|die Geburt|Die Geburt verlief ohne Probleme.|birth|The birth went smoothly.
2204|die|die Stellung|Ihre Stellung in der Firma ist sicher.|position, standing|Her position in the company is secure.
2206|die|die Belastung|Die Belastung der Brücke ist sehr hoch.|load, strain|The strain on the bridge is very high.
2271|die|die Überlegung|Nach kurzer Überlegung änderte sie sich.|thought, thinking|After brief thought, she changed her mind.
2274|adv|daraufhin|Daraufhin änderte er seine Meinung.|as a result|As a result, he changed his mind.
2307|die|die Förderung|Die Förderung kam von der Regierung.|support, promotion, funding|The funding came from the government.
2318|prep|hinsichtlich|Hinsichtlich dessen bin ich zufrieden.|with regard to|With regard to that, I am satisfied.
2377|der|der Gipfel|Der Gipfel des Berges war schneebedeckt.|peak, summit|The summit of the mountain was snow-covered.
2389|die|die Dienstleistung|Diese Dienstleistung wird oft genutzt.|service|This service is frequently used.
2403|verb|belasten, belastet, belastete, hat belastet|Diese Entscheidung belastet uns alle.|to load, burden|This decision burdens us all.
2435|der|der Kontext|Der Kontext der Rede war unklar.|context|The context of the speech was unclear.
2443|der|der Motor|Der Motor des Autos war defekt.|motor, engine|The car's engine was defective.
2508|die|die Beschäftigung|Er fand schnell eine neue Beschäftigung.|employment, work, job, pursuit|He quickly found a new job.
2511|der|der Zeitraum|Der Zeitraum umfasst einige Monate.|period of time|The period covers a few months.
2541|verb|entschließen (sich), entschließt, entschloss, hat entschlossen|Sie entschloss sich für das Angebot.|to decide|She decided on the offer.
2553|verb|fliehen, flieht, floh, ist geflohen|Viele Menschen flohen vor dem Krieg.|to flee, escape|Many people fled the war.
2572|verb|anstehen, steht an, stand an, hat angestanden|Die Menschen standen geduldig an.|to line up, be in line|The people stood patiently in line.
2578|das|das Café|Wir treffen uns heute im neuen Café.|coffeehouse, coffee shop|We are meeting today in the new café.
2584|der|der Respekt|Sein Respekt vor dem Lehrer war groß.|respect|His respect for the teacher was great.
2604|verb|unterliegen, unterliegt, unterlag, hat unterlegen|Das Team unterlag im Finale dem Gegner.|to be defeated, be subject|The team was defeated by the opponent in the final.
2618|adv|keineswegs|Das war keineswegs meine Absicht.|by no means, not at all|That was by no means my intention.
2647|der|der Austausch|Der Austausch von Ideen war produktiv.|exchange|The exchange of ideas was productive.
2670|die|die Betrachtung|Die Betrachtung dauerte mehrere Stunden.|contemplation, examination|The contemplation took several hours.
2680|der|der Abbau|Der Abbau der Kosten war dringend nötig.|reduction, decline, mining|The reduction of costs was urgently needed.
2698|verb|versichern, versichert, versicherte, hat versichert|Er versicherte mir, dass es sicher sei.|to insure, assert, assure|He assured me that it was safe.
2715|die|die Ernährung|Eine gesunde Ernährung ist wichtig.|food, diet|A healthy diet is important.
2729|der|der Überblick|Er gab uns einen Überblick zum Thema.|view, overview|He gave us an overview of the topic.
2762|das|das Muster|Das Muster auf der Decke war bunt.|pattern, model|The pattern on the blanket was colorful.
2779|verb|etablieren, etabliert, etablierte, hat etabliert|Die Firma hat sich schnell etabliert.|to establish|The company quickly established itself.
2880|die|die Scheibe|Die Scheibe des Fensters war zerbrochen.|disk, slice, (glass) pane|The window pane was broken.
2891|die|die Presse|Die Presse berichtete über den Vorfall.|press|The press reported on the incident.
2902|der|der Anhänger|Der Anhänger wurde gestern repariert.|pendant, supporter, trailer|The trailer was repaired yesterday.
2910|verb|herausstellen (sich), stellt heraus, stellte heraus, hat herausgestellt|Es stellte sich als wahr heraus.|to emphasize, turn out|It turned out to be true.
2915|die|die Aufklärung|Die Aufklärung des Falls dauerte lange.|enlightenment, solution|The solution to the case took a long time.
2929|verb|widersprechen, widerspricht, widersprach, hat widersprochen|Er widersprach den Vorwürfen vehement.|to contradict|He vehemently contradicted the accusations.
2946|der|der Hinblick|Im Hinblick darauf ändert sich nichts.|view|In view of that, nothing changes.
2965|das|das Wirtschaftsforum|Das Wirtschaftsforum ist jährlich.|economic forum|The economic forum is held annually.
2969|der|der Islam|Der Islam ist eine große Religion.|Islam|Islam is a major religion.
2974|das|das Zelt|Das Zelt stand auf einer schönen Wiese.|tent|The tent was on a beautiful meadow.
2983|verb|hemmen, hemmt, hemmte, hat gehemmt|Die Krise hemmt das Wachstum stark.|to inhibit, hinder|The crisis is severely hindering growth.
2996|der|der Übersetzer|Der Übersetzer arbeitete sehr schnell.|translator|The translator worked very quickly.
2998|verb|zusagen, sagt zu, sagte zu, hat zugesagt|Er hat die Einladung zugesagt.|to promise, accept|He accepted the invitation.
