|part_of_speech|word_de
4717|das|das Saudi-Arabien
4727|die|die Pflege
4749|das|das Nordkorea
4761|das|das Kuba
4769|die|die Energiewirtschaft
4773|das|das Tennis
4806|der|der Brexit
4809|das|das Insulin
4846|der|der DFB (Deutscher Fußball-Bund)
4850|das|das Mitleid
4857|das|das Wohl
4885|das|das Silber
4888|der|die Verletzte
4903|die|die Wachstumsrate
4932|die|die NATO
4952|die|die Leere
4976|der|der Stickstoff
4977|der|der Trost
4988|das|das Trinken
5017|das|das Argentinien
5038|der|der Tiroler
5062|die|die Butter
5068|der, die|die Reiche
5073|die|die Beachtung
5077|der, die|die Delegierte
5079|das|das Grundeinkommen
5080|das|das Nachhinein
5082|das|das Obst
5090|der|der Zorn
5093|der|der Mars
5097|die|die Offenheit
