der Mann ist hoch|the man is high
die Frage ist einfach|the question is simple
Gilt es noch?|is it still valid?
gerade und wahr|straight and true
gerade jetzt|right now
|
|
|
|
die Welt ist groß|the world is big
gar nicht|not at all
mein eigenes Auto|my own car
genau richtig|exactly right
ich mag es|I like it
spät abends|late in the evening
bis später|see you later
bereits fertig|already finished
es ist möglich|it is possible
so schnell wie möglich|as fast as possible
zehn Prozent|ten percent
während der Reise|during the trip
während er spricht|while he speaks
einige Freunde|some friends
dafür bin ich|I am for it
kurz und knapp|short and concise
richtig gemacht|done right
stark wie ein Löwe|strong as a lion
brauchen wir das|do we need that
die Hand ist sauber|the hand is clean
etwa zehn Minuten|about ten minutes
etwa zu spät|after all, too late
weitere Informationen|further information
das Ende ist nah|the end is near
|
solche Sachen|such things
nie wieder|never again
der Fall ist klar|the case is clear
schön und gut|beautiful and good
|
|
|
|
Warum nicht?|Why not?
|
das Wort des Tages|the word of the day
darauf kommt es an|it depends on it
eben jetzt|just now
das kann man eben nicht ändern| there's nothing you can do about it
die Seite ist leer|the page is empty
das Teil ist kaputt|the part is broken
jung und frei|young and free
vier Jahre alt|four years old
besser als je zuvor|better than ever
fast fertig|almost done
schnell und einfach|fast and easy
die Stadt schläft|the city sleeps
spielen wir|let's play
zwar nicht|admittedly not
ein Euro|one euro
die Arbeit ist schwer|the work is hard
eine Million|one million
das Problem ist gelöst|the problem is solved
verstehen, was gesagt wird|to understand what is being said
bekommen, was man braucht|to get what one needs
meinen, was richtig ist|to think what is right
davon weiß ich nichts|I know nothing about it
fahren in die Stadt|to drive into the city
kennen die Wahrheit|to know the truth
dich zu sehen|to see you
die Mutter ist liebevoll|the mother is loving
die Woche ist vorbei|the week is over
der Weg ist lang|the path is long
weiter so|keep going
das Auge sieht alles|the eye sees everything
oft unterwegs|often on the road
die Leute kommen und gehen|people come and go
|
sogar besser als vorher|even better than before
jedoch ist es schwierig|however, it is difficult
|
|
deshalb bin ich hier|therefore I am here
weit entfernt|far away
sitzen im Garten|to sit in the garden
der Vater arbeitet hart|the father works hard
Dein Hund ist süß.|Your dog is cute.
|
das Geld ist knapp|money is tight
das Unternehmen wächst|the company is growing
nächste Woche|next week
|
klar und deutlich|clear and distinct
der Doktor ist hier|the doctor is here
ein Paar Schuhe|a pair of shoes
ein paar Minuten|a few minutes
alles Recht|all right
das Recht und das Gesetz|right and law
recht schön|rather beautiful
wegen des Wetters|because of the weather
dir geht es gut|you are well
das Wasser ist kalt|the water is cold
bestehen auf der Wahrheit|to insist on the truth
|
der Punkt ist wichtig|the point is important
der Grund ist unbekannt|the reason is unknown
der Kopf tut weh|the head hurts
beginnen wir|let's begin
laufen im Park|to run in the park
das Bild ist schön|the picture is beautiful
verschiedene Arten|different kinds
der Name ist bekannt|the name is known
die Aufgabe ist schwer|the task is difficult
schwer zu verstehen|difficult to understand
entsprechen den Erwartungen|to meet the expectations
|
die Art von Mensch|the kind of person
mir geht es wohl|I am well
wohl möglich|probably possible
die Geschichte ist spannend|the story is exciting
|
entstehen aus der Notwendigkeit|to arise from necessity
sicher und geschützt|safe and secure
neben dem Haus|beside the house
allein zu Hause|alone at home
die Abbildung ist deutlich|the illustration is clear
hinter dem Haus|behind the house
besonders gut|particularly good
|
kaum zu glauben|hard to believe
der Freund ist treu|the friend is loyal
fünf Tage|five days
scheinen in der Sonne|to shine in the sun
eine Stunde warten|to wait an hour
aussehen wie ein Star|to look like a star
ich spiele gern|I love to play
überhaupt nicht|not at all
bestimmt besser|certainly better
|
der Professor erklärt|the professor explains
darüber sprechen|to talk about it
|
|
damals war es anders|then it was different
|
|
frei und unabhängig|free and independent
|
der wirtschaftliche Wert|the economic value
|
|
suchen nach dem Schlüssel|to search for the key
Europa ist schön|Europe is beautiful
gemeinsam stark|strong together
rund und glatt|round and smooth
rund 100 Leute|approximately 100 people
die Zahl ist hoch|the number is high
das Thema ist interessant|the topic is interesting
handeln mit Waren|to trade goods
das Buch lesen|to read the book
ein bisschen Hilfe|a little help
|
anders als erwartet|different than expected
politisch aktiv|politically active
|
der Blick aus dem Fenster|the view from the window
die Form ist rund|the shape is round
einzeln verpackt|individually wrapped
|
die Zeit vergeht|time passes
leicht und schnell|light and fast
je größer, desto besser|the bigger, the better
je nach Bedarf|according to need
verlieren, was man liebt|to lose what one loves
die beste Entscheidung|the best decision
|
der Monat ist vorbei|the month is over
die Lösung des Problems|the solution to the problem
die Sache ist kompliziert|the thing is complicated
bekannt und berühmt|well-known and famous
das Ziel erreichen|to reach the goal
er steigt die Treppe hinauf|he climbs the stairs
|
|
eine Minute warten|to wait a minute
nachts lesen|read at night
die Nacht ist dunkel|the night is dark
der Platz ist frei|the place is free
schlecht gelaunt|in a bad mood
das Spiel gewinnen|to win the game
die Familie ist groß|the family is big
jemand wartet|someone is waiting
|
|
zehn Jahre alt|ten years old
der Preis ist hoch|the price is high
europäische Länder|European countries
sonst nichts|nothing else
der Staat ist stark|the state is strong
|
der Bereich ist groß|the area is large
tatsächlich wahr|actually true
der Ort ist klein|the place is small
am Abend lesen|to read in the evening
ein ruhiger Abend|a quiet evening
die einzige Lösung|the only solution
die Stelle ist besetzt|the place is occupied
unterschiedliche Meinungen|different opinions
das Gesicht ist freundlich|the face is friendly
die Entwicklung ist schnell|the development is fast
die Uhr zeigt die Zeit|the clock shows the time
mehrere Optionen|several options
die Tür schließen|to close the door
|
das Buch legen|to lay the book
direkt nebenan|directly next door
|
die Tür ist offen|the door is open
die Wahrheit erkennen|to recognize the truth
die Person ist wichtig|the person is important
der Moment ist gekommen|the moment has come
die Schule ist groß|the school is big
darin liegt der Schlüssel|in it lies the key
das Auto ist schnell|the car is fast
niemand weiß es|nobody knows it
die Gesellschaft ist vielfältig|the society is diverse
|
|
früh aufstehen|to get up early
|
|
die Gruppe ist klein|the group is small
das Ding ist kaputt|the thing is broken
Na, wie geht's?|Well, how are you?
das Spiel gewinnen|to win the game
zunächst einmal|first of all
|
die Tür öffnen|to open the door
der Schritt ist einfach|the step is simple
|
die meiste Zeit|most of the time
eine Möglichkeit|a possibility
der Sinn des Lebens|the meaning of life
Was ist passiert?|What happened?
manchmal gehe ich|sometimes I go
der Vergleich hinkt|the comparison is flawed
das System funktioniert|the system works
die Rolle spielen|to play the role
das Ergebnis ist positiv|the result is positive
die Dinge vergleichen|to compare things
das Glas ist voll|the glass is full
|
|
die Straße ist lang|the street is long
die Angst ist groß|the fear is big
allgemein bekannt|generally known
|
jene Tage sind vorbei|those days are over
|
Oh, das tut weh!|Oh, that hurts!
Was bedeutet das?|What does that mean?
die Stimme ist laut|the voice is loud
die Reaktion ist schnell|the reaction is quick
die Medizin wirkt|the medicine works
|
der Raum ist leer|the room is empty
die Eltern sind stolz|the parents are proud
das Buch bezeichnen|to name the book
die Funktion ist wichtig|the function is important
häufig gefragt|frequently asked
der Film erscheint|the film appears
in den USA leben|to live in the USA
der Flüchtling kommt|the refugee comes
früher war es besser|in former times it was better
das Pro und Kontra|the pros and cons
pro Person|per person
eine Lösung ergeben|to produce a solution
die Entscheidung treffen|to make a decision
die Universität besuchen|to attend the university
das betrifft mich|that concerns me
oben auf dem Berg|up on the mountain
die Richtung ändern|to change the direction
den Weg bestimmen|to determine the way
es fehlt etwas|something is missing
die Sprache lernen|to learn the language
das Produkt kaufen|to buy the product
die Situation verstehen|to understand the situation
außerdem bin ich müde|besides, I am tired
es ist nämlich so|you see, it is like this
ein internationales Team|an international team
der Anfang ist gemacht|the beginning is made
sechs Monate|six months
das Auto nutzen|to use the car
soziale Medien|social media
die Folge ist klar|the consequence is clear
ein langer Satz|a long sentence
manche Leute|some people
die Verbindung ist schlecht|the connection is bad
den Text beschreiben|to describe the text
das Licht ist an|the light is on
ähnlich wie vorher|similar to before
die Regel befolgen|to follow the rule
gegenüber dem Haus|opposite the house
der Kollege ist nett|the colleague is nice
bisher keine Probleme|no problems so far
tief und ruhig|deep and calm
halb voll|half full
laut lachen|to laugh loudly
|
sofort losgehen|to start immediately
die Grenze überschreiten|to cross the border
die Meinung ändern|to change one's mind
die Entscheidung treffen|to make the decision
das Haus verlassen|to leave the house
eine neue Idee|a new idea
die Städte verbinden|to connect the cities
eine Milliarde Dollar|one billion dollars
|
die Energie sparen|to save energy
plötzlich laut|suddenly loud
danach gehen wir|afterwards we go
die Kraft fehlt|the strength is missing
lieber allein|rather alone
mir gehört es|it belongs to me
|
ein gutes Gefühl|a good feeling
trotzdem weiter|nevertheless further
sich wohlfühlen|to feel comfortable
die Informationen sind wichtig|the information is important
dadurch lernen wir|through it we learn
|
|
die Zukunft planen|to plan the future
die Pflanze wächst|the plant grows
|
die Wand ist weiß|the wall is white
den Text lesen|to read the text
der Himmel ist schwarz|the sky is black
im Schlaf sterben|to die in sleep
auf dem Markt|at the market
die Blume ist rot|the flower is red
halt dich fest|just hold on
zehn Meter|ten meters
nahe dem Fluss|near the river
nahe bei mir|close to me
die Hilfe ist da|help is here
das Kapitel lesen|to read the chapter
ausgehen am Abend|to go out in the evening
die Bedeutung ist klar|the meaning is clear
die Sterne betrachten|to look at the stars
die Chemie stimmt|the chemistry is right
die Luft ist frisch|the air is fresh
der Körper ist stark|the body is strong
die Struktur ist komplex|the structure is complex
die Aussage stimmt|the statement is correct
um Hilfe bitten|to ask for help
im letzten Jahrhundert|in the last century
das ist wahrscheinlich|that is likely
es ist wahrscheinlich|it is probable
das Haus ist öffentlich|the house is public
euch gehört es|it belongs to you
insgesamt 100 Leute|altogether 100 people
den Tag anfangen|to start the day
das ist genug|that is enough
das Deutsche lernen|to learn German
das System verändern|to change the system
die Wohnung ist groß|the apartment is big
die Prüfung gelingen|to pass the exam
bald zurück|back soon
geringes Einkommen|low income
ein spannender Film|an exciting film
das Auto kaufen|to buy the car
den Film ansehen|to watch the movie
das Fenster öffnen|to open the window
die Musik hören|to listen to music
aus dem Fenster schauen|to look out the window
ein Stück Kuchen|a piece of cake
ein besonderes Geschenk|a special gift
der Hund ist tot|the dog is dead
an Gott glauben|to believe in God
völlig normal|completely normal
eine positive Einstellung|a positive attitude
ein Gespräch führen|to have a conversation
darum geht es|that's what it's about
der Kunde wartet|the customer is waiting
eine große Menge|a large amount
die Regierung entscheiden|the government decides
die Antwort geben|to give the answer
die Einladung annehmen|to accept the invitation
das ist falsch|that is wrong
der Zusammenhang ist klar|the context is clear
langsam gehen|to walk slowly
den Arm heben|to raise the arm
nachdem er gegangen war|after he had gone
der Tisch ist groß|the table is large
|
|
das Herz schlägt|the heart beats
arbeiten wir zusammen|let's work together
inzwischen ist viel passiert|a lot has happened in the meantime
ebenso gut|just as good
der Boden ist kalt|the floor is cold
bevor wir gehen|before we go
|
die Politik ist wichtig|politics is important
der Tod ist traurig|death is sad
der Erfolg ist groß|success is great
zudem ist es sinnvoll|moreover, it makes sense
die Bank ist geöffnet|the bank is open
ab morgen|from tomorrow
persönlich kenne ich ihn|I know him personally
der Präsident spricht|the president speaks
|
der Junge spielt|the boy plays
sogenanntes Phänomen|so-called phenomenon
die Polizei hilft|the police help
die Chance nutzen|to take the chance
gewiss ist das wahr|certainly, that is true
innerhalb der Stadt|within the city
die Kunst ist schön|the art is beautiful
die Lage ist ernst|the situation is serious
der Schüler lernt|the pupil learns
gesamt Deutschland|entire Germany
der Druck steigt|the pressure increases
verschwinden aus dem Blick|to disappear from view
wir wohnen hier|we live here
den Arm bewegen|to move the arm
das Buch enthält|the book contains
aufnehmen und abspielen|to record and play
die Kosten sind hoch|the costs are high
das Wintersemester beginnt|the winter semester begins
|
der Tisch ist fest|the table is firm
aktuelle Nachrichten|current news
ein Begriff ist wichtig|a concept is important
etwas erleben|to experience something
relativ gesehen|relatively speaking
laut dem Bericht|according to the report
die Füße sind kalt|the feet are cold
Daten speichern|to save data
der Krieg ist vorbei|the war is over
der Gast kommt|the guest is coming
eine Aussage machen|to make a statement
das Gesetz ist neu|the law is new
den Tag planen|to plan the day
das Problem ist schwierig|the problem is difficult
das Gut verkaufen|to sell the goods
ein Kilometer laufen|to run a kilometer
zusätzliche Kosten|additional costs
|
der Gedanke ist gut|the thought is good
das Haus besitzen|to own the house
ach so|oh, I see
die Partei wählt|the party elects
ich freue mich|I am happy
das Bild hängt|the picture hangs
|
die Zelle teilen|to divide the cell
eine enge Gasse|a narrow alley
die Kultur ist reich|the culture is rich
der Prozess beginnt|the trial begins
der Sohn lacht|the son laughs
herzlichen Dank|heartfelt thanks
trotz des Regens|in spite of the rain
mehr Geld fordern|to demand more money
Medizin studieren|to study medicine
das Buch gefällt mir|I like the book
das Mädchen lacht|the girl laughs
gutes Verhalten|good behavior
sich verhalten|to behave
mindestens zehn|at least ten
ziemlich gut|quite good
das Interesse steigt|the interest rises
zwei Dinge unterscheiden|to distinguish two things
wobei es wichtig ist|whereby it is important
jeweils am Morgen|each morning
der Arm reicht|the arm reaches
sieben Tage|seven days
zumindest ein Versuch|at least one attempt
die Tür schlagen|to hit the door
das Tier ist wild|the animal is wild
in jedem Fall|in any case
am besten|the best
die Temperatur erhöhen|to raise the temperature
um das Kind sorgen|to take care of the child
wertvolle Erfahrung|valuable experience
der Patient wartet|the patient waits
am frühen Morgen|early in the morning
der Morgen ist schön|the morning is beautiful
der Arzt hilft|the doctor helps
Was geschieht hier?|What happens here?
Bayern ist groß|Bavaria is large
das Problem lösen|to solve the problem
irgendwie schaffen wir es|somehow we will manage
einen Dienst anbieten|to offer a service
das passiert oft|that happens often
alles okay|everything okay
ein Okay geben|to give an okay
ich wünsche dir Glück|I wish you luck
das Thema interessiert mich|the topic interests me
ein Unterschied machen|to make a difference
ein Foto machen|to take a photograph
ein Glas trinken|to drink a glass
derselbe Fehler|the same mistake
eine Farbe wählen|to choose a color
gleichzeitig arbeiten|to work simultaneously
knapp bei Kasse|short of cash
gute Mitarbeiter|good employees
eine Aufgabe übernehmen|to take over a task
Glück haben|to have luck
alles ist normal|everything is normal
leider nicht|unfortunately not
die Grundlage ist wichtig|the basis is important
acht Stunden|eight hours
gute Leistung|good performance
die Daten liegen vor|the data is available
die Feier erfolgt|the celebration takes place
eine gute Beziehung|a good relationship
die Kosten zunehmen|the costs increase
ein Molekül finden|to find a molecule
die Veranstaltung findet statt|the event takes place
das Paket ankommt|the package arrives
das Auftreten von Fehlern|the occurrence of errors
das Problem trat plötzlich auf|the problem occurred suddenly
insbesondere heute|especially today
technische Details|technical details
wann kommst du|when are you coming
los geht's|let's go
das Bett ist groß|the bed is big
die Höhe messen|to measure the height
wesentliche Unterschiede|essential differences
englische Sprache|English language
Englisch unterrichten|to teach English
zuletzt besucht|last visited
alles ist rein|everything is pure
das Zimmer ist sauber|the room is clean
indem er liest|while he reads
ein Haus bauen|to build a house
ein gutes Verhältnis|a good relationship
selten sehen|to see rarely
eine Zeitung lesen|to read a newspaper
innere Ruhe|inner peace
beispielsweise helfen|for example, help
Bedingungen erfüllen|to fulfill conditions
das Fenster öffnen|to open the window
der Zug kommt|the train is coming
derzeit verfügbar|currently available
das Gerät funktioniert|the device works
sowohl groß als auch klein|both big and small
gut schlafen|to sleep well
statt zu reden|instead of talking
das Werk ist bekannt|the work is known
der Baum ist grün|the tree is green
ein guter Bürger|a good citizen
im Restaurant dienen|to serve in the restaurant
echt Gold|real gold
eine Firma gründen|to found a company
die Wirtschaft wächst|the economy grows
das Buch stecken|to put the book
ich hoffe es|I hope so
etwas erfahren|to experience something
das Mittel benutzen|to use the means
eine Folie zeigen|to show a slide
gute Arbeit leisten|to perform good work
eine Tochter haben|to have a daughter
der Lehrer unterrichtet|the teacher teaches
das Kleid passt|the dress fits
den Himmel beobachten|to observe the sky
eine Einführung schreiben|to write an introduction
das Element ist wichtig|the element is important
die Musik klingt|the music sounds
jemanden lieben|to love someone
eine Dame trifft|to meet a lady
eine Vorlesung halten|to give a lecture
die Punkte zählen|to count the points
meistens sonnig|mostly sunny
die Nacht ist dunkel|the night is dark
Österreich besuchen|to visit Austria
ein Modell bauen|to build a model
eine Bewegung machen|to make a movement
unten am Fluss|down by the river
in der Mitte|in the middle
hin und her|back and forth
aufgrund der Situation|because of the situation
sich mit einem Thema beschäftigen|to deal with a topic
zuvor war es anders|it was different before
miteinander sprechen|to talk with each other
dennoch gut|nevertheless good
einen Ball werfen|to throw a ball
ein Angebot machen|to make an offer
ein Projekt starten|to start a project
ein Auto verkaufen|to sell a car
auf eine Frage reagieren|to react to a question
ein Buch schreiben|to write a book
eine Nachricht kriegen|to get a message
ca. 100 Leute|approximately 100 people
die EU ist groß|the EU is large
die Größe messen|to measure the size
eine harte Arbeit|a hard work
es ist offenbar|it is apparent
mein Bruder|my brother
an einem Projekt beteiligen|to participate in a project
eine Phase durchlaufen|to go through a phase
eine Information angeben|to provide information
eine Reise planen|to plan a trip
erfolgreich sein|to be successful
ein guter Zustand|a good condition
eine wahre Geschichte|a true story
in der ersten Reihe|in the first row
die Natur genießen|to enjoy nature
eine Rechnung machen|to calculate
bloß ein Fehler|only a mistake
bloß das|just that
notwendige Maßnahmen|necessary measures
neue Länder entdecken|to discover new lands
die Sitzung dauert|the meeting lasts
wirtschaftliche Lage|economic situation
private Angelegenheiten|private matters
modernes Design|modern design
langes Haar|long hair
deswegen bleiben wir|therefore we stay
Gefahr spüren|to sense danger
unabhängige Medien|independent media
morgen früh|tomorrow morning
ein stabiler Rahmen|a stable frame
übrigens, wie geht's|by the way, how are you
politische Einheit|political unity
überall suchen|to search everywhere
ein Problem feststellen|to detect a problem
chemische Stoffe|chemical substances
eine wichtige Rede|an important speech
soziale Unterstützung|social support
chemische Reaktion|chemical reaction
ein schlimmer Fehler|a serious mistake
schlimmere Folgen|worse consequences
Urlaub in der Schweiz|vacation in Switzerland
irgendwann später|sometime later
ein erfolgreiches Geschäft|a successful business
weder groß noch klein|neither big nor small
der Anteil der Kosten|the share of the costs
genaue Angabe|precise information
ein starkes Team|a strong team
außer Dienst|off duty
heißer Sommer|hot summer
das beste Hotel|the best hotel
laute Musik|loud music
eins ist sicher|one thing is certain
hohes Alter|old age
hohe Sicherheit|high security
Mitglied der SPD|member of the SPD
niedriger Preis|low price
ständige Bewegung|constant movement
ein gefährlicher Einsatz|a dangerous assignment
Produkte liefern|to deliver products
den Punkt betonen|to stress the point
die Erde schützen|to protect the earth
neue Studie|new study
ganz vorne|at the very front
rechte Hand|right hand
eine andere Meinung|a different opinion
den Kopf drehen|to turn the head
ein berühmter Künstler|a famous artist
aktiv teilnehmen|to participate actively
neuer Versuch|new attempt
somit endet es|consequently it ends
die Rechnung bezahlen|to pay the bill
gute Eigenschaft|good quality
längst vergessen|long forgotten
eine neue Methode|a new method
gute Ordnung|good order
Reise nach Russland|trip to Russia
die Wahl gewinnen|to win the election
daraus lernen|to learn from it
Wünsche erfüllen|to fulfill wishes
die liebe Mama|the dear mommy
große Region|large region
freier Sonntag|free Sunday
das Internet nutzen|to use the internet
eine Nummer wählen|to dial a number
freundlich lächeln|to smile kindly
ein schönes Lächeln|a beautiful smile
genauso wichtig|just as important
jemanden überzeugen|to convince someone
ein interessantes Buch|an interesting book
menschliche Natur|human nature
ein Elektron finden|to find an electron
Urlaub in Frankreich|vacation in France
volle Freiheit|complete freedom
spezielle Fragen|specific questions
französische Küche|French cuisine
eine negative Antwort|a negative answer
zentrale Rolle|central role
höhere Ebene|higher level
Freunde besuchen|to visit friends
gestern Abend|yesterday evening
ein guter Spieler|a good player
absoluter Gewinn|absolute profit
hoch fliegen|to fly high
ein treuer Hund|a loyal dog
eine Frage beantworten|to answer a question
weiterhin aktiv|still active
an der Wand|on the wall
rechts abbiegen|to turn right
konkrete Beispiele|concrete examples
russische Kultur|Russian culture
die Rechnung zahlen|to pay the bill
zugleich Lehrer und Schüler|both teacher and student
ein weites Feld|a wide field
Geld verdienen|to earn money
amerikanische Politik|American politics
eine Sekunde warten|to wait a second
ein langer Brief|a long letter
aktives Mitglied|active member
praktische Anwendung|practical application
große Gefahr|great danger
ein Buch binden|to bind a book
weltweite Nachrichten|worldwide news
wahre Liebe|true love
der Beginn der Reise|the beginning of the journey
Produkte aus China|products from China
eine breite Straße|a wide street
draußen spielen|to play outside
starke Wirkung|strong effect
gute Bildung|good education
rotes Blut|red blood
das große Meer|the big sea
eine große Anzahl|a large number
große Veränderungen|major changes
durchaus möglich|absolutely possible
großer Mund|big mouth
die Kosten berechnen|to calculate the costs
die Gesamtsumme beträgt|the total amounts to
berechnen die Kosten|to calculate the costs
beträgt insgesamt|amounts to a total
fremde Länder|foreign countries
die Untersuchung durchführen|to conduct the examination
der Fehler finden|to find the mistake
mittlerweile besser|better in the meantime
aufbauen ein Haus|to build up a house
die Sonne scheint|the sun is shining
ein Prinzip anwenden|to apply a principle
vorher anrufen|to call beforehand
der Kampf beginnt|the fight begins
zur Verfügung stehen|to be available
eine Feier veranstalten|to host a celebration
das Programm beenden|to finish the program
auf der linken Seite|on the left side
einen Einfluss haben|to have an influence
die Temperatur messen|to measure the temperature
der Raum ist leer|the room is empty
eine Nachricht mitteilen|to communicate a message
ein Verfahren anwenden|to use a method
vielen Dank|many thanks
Bezug auf etwas nehmen|to refer to something
mehr Geld verlangen|to demand more money
zuerst kommen|to come first
eine Analyse machen|to conduct an analysis
klassische Musik|classical music
eine ehemalige Kollegin|a former colleague
das Bein ist gebrochen|the leg is broken
ein Glas Wasser|a glass of water
eine Untersuchung machen|to conduct an examination
es ist kalt|it is cold
große Sorgen haben|to have big worries
der Himmel ist blau|the sky is blue
zukünftige Pläne|future plans
die nationale Wirtschaft|the national economy
in der Kirche|in the church
links abbiegen|to turn left
die CDU wählen|to vote for the CDU
bislang nichts Neues|nothing new so far
die Größe messen|to measure the size
ein lieber Freund|a dear friend
unbedingt nötig|absolutely necessary
im Verein spielen|to play in the club
ein Atom spalten|to split an atom
historische Ereignisse|historical events
das Schiff sinkt|the ship is sinking
die Kosten steigen|the costs are rising
eine Vorstellung haben|to have an idea
ein entscheidender Schritt|a decisive step
das Brot teilen|to share the bread
ein Typ Mensch|a type of person
aus einem Land stammen|to come from a country
wissenschaftliche Studien|scientific studies
wieso nicht|why not
ein wichtiger Faktor|an important factor
starke Bindungen|strong bonds
deutsche Literatur|German literature
eine Überraschung planen|to plan a surprise
eine Aussage bestätigen|to confirm a statement
bewusst leben|to live consciously
ein Abschnitt lesen|to read a section
die Nähe der Stadt|the proximity to the city
zahlreiche Möglichkeiten|numerous possibilities
medizinische Versorgung|medical care
übrige Zeit|remaining time
die Türkei besuchen|to visit Turkey
die Produktion steigern|to increase production
einen Knopf drücken|to press a button
eine Drohung aussprechen|to make a threat
eine Linie ziehen|to draw a line
Gas geben|to accelerate
einen Brief schicken|to send a letter
die Hälfte des Kuchens|half of the cake
der Kontakt ist wichtig|the contact is important
ein Interview führen|to conduct an interview
es ist egal|it doesn't matter
reisen nach Europa|to travel to Europe
auf den Berg steigen|to climb the mountain
irgendwo in der Stadt|somewhere in the city
die Verbindung trennen|to disconnect the connection
mehr Geld benötigen|to need more money
eine Erinnerung haben|to have a memory
einen Unfall verhindern|to prevent an accident
die Sicht ist klar|the view is clear
100 Dollar|100 dollars
viel Schmerz leiden|to suffer much pain
einen Anspruch erheben|to make a claim
die Position ist frei|the position is free
Sport treiben|to do sports
das BGB ist wichtig|the civil code is important
große Nachfrage|high demand
die Farbe Blau|the color blue
einen Film anschauen|to watch a movie
eine teure Uhr|an expensive watch
die Medien berichten|the media report
die Arbeit richten|to direct the work
ein Institut besuchen|to visit an institute
einen Plan machen|to make a plan
immerhin hat er es versucht|after all, he tried
ein Tor schießen|to score a goal
