|part_of_speech|word_de|word_meanings_en|sentence_en|sentence_de
3586|pron|wovon|from what, about what|What are you actually talking about?|Wovon redest du eigentlich gerade?
3739|verb|werten, wertet, wertete, hat gewertet|to rate, judge|They judged his actions fairly.|Sie werteten sein Handeln fair.
3756|die|die Abgabe|delivery, handing in|The delivery was successful today.|Die Abgabe war heute erfolgreich.
3764|verb|kippen, kippt, kippte, hat gekippt|to tilt, overbalance|The chair tilted backward slowly.|Der Stuhl kippte langsam nach hinten.
4051|verb|vernetzen, vernetzt, vernetzte, hat vernetzt|to link, network|We connected all the systems.|Wir haben alle Systeme vernetzt.
4061|verb|klauen, klaut, klaute, hat geklaut|to steal, shoplift|He stole a watch last week.|Er klaute letzte Woche eine Uhr.
4064|verb|ablenken, lenkt ab, lenkte ab, hat abgelenkt|to distract, deflect|The noise distracted her again.|Der Lärm lenkte sie wieder ab.
4074|verb|anmerken, merkt an, merkte an, hat angemerkt|to remark, notice, let show|She noted the change quickly.|Sie merkte die Änderung schnell an.
4210|verb|verankern, verankert, verankerte, hat verankert|to anchor, enshrine|The rules are firmly anchored.|Die Regeln sind fest verankert.
4213|verb|beseitigen, beseitigt, beseitigte, hat beseitigt|to eliminate, clear|They cleared all obstacles.|Sie beseitigten alle Hindernisse.
4221|verb|verziehen, verzieht, verzog, hat verzogen|to distort, twist|His face twisted in pain.|Sein Gesicht verzog sich vor Schmerz.
4231|adv|abschließend|concluding, final|Finally, he said goodbye.|Abschließend verabschiedete er sich.
4237|verb|streifen, streift, streifte, hat gestreift|to touch, brush|He brushed against her.|Er streifte leicht an ihr vorbei.
4252|verb|andauern, dauert an, dauerte an, hat angedauert|to continue, last|The meeting lasted for hours.|Das Treffen dauerte stundenlang an.
4271|verb|ausbleiben, bleibt aus, blieb aus, ist ausgeblieben|to be missing, fail to appear, stay out|His reply stayed out today.|Seine Antwort blieb heute aus.
4298|verb|einschließen, schließt ein, schloss ein, hat eingeschlossen|to lock up, involve, include|He included her in the plan.|Er schloss sie in den Plan ein.
4361|verb|vernehmen, vernimmt, vernahm, hat vernommen|to hear, examine, question|They questioned the suspect.|Sie vernahmen den Verdächtigen.
4388|verb|haften, haftet, haftete, hat gehaftet|to adhere, be liable|The glue stuck to the wall.|Der Kleber haftete an der Wand.
4413|verb|fügen (sich), fügt, fügte, hat gefügt|to comply, defer to, resign oneself to|He accepted his fate quietly.|Er fügte sich leise seinem Schicksal.
4572|verb|schalten, schaltet, schaltete, hat geschaltet|to switch, shift|He shifted to a lower gear.|Er schaltete in einen niedrigeren Gang.
4584|verb|überholen, überholt, überholte, hat überholt|to pass, overhaul|She overtook the car quickly.|Sie überholte das Auto schnell.
4624|verb|verwirklichen, verwirklicht, verwirklichte, hat verwirklicht|to fulfill, realize, turn into reality|She realized her dreams.|Sie verwirklichte ihre Träume.
4668|verb|nachlassen, lässt nach, ließ nach, hat nachgelassen|to decrease, decline, let up|The pain slowly eased up.|Der Schmerz ließ langsam nach.
4671|adv|bestens|optimally, very well|He performed very well today.|Er hat sich heute bestens gezeigt.
4702|verb|ausdenken, denkt aus, dachte aus, hat ausgedacht|to think of, devise, make up|He made up the story.|Er dachte sich die Geschichte aus.
4722|adj|ausgesprochen|pronounced, expressed, exceptional|The view is truly amazing.|Der Blick ist ausgesprochen schön.
4756|das|das Gutachten|report, (expert) opinion|The report is now complete.|Das Gutachten ist jetzt fertig.
4792|verb|abgehen, geht ab, ging ab, ist abgegangen|to come off, go off, exit, leave|The train leaves in five minutes.|Der Zug geht in fünf Minuten ab.
4860|verb|antreffen, trifft an, traf an, hat angetroffen|to find, encounter, meet|We encountered him in the park.|Wir haben ihn im Park angetroffen.
4886|verb|thematisieren, thematisiert, thematisierte, hat thematisiert|to broach the issue, make a subject of discussion|They discussed the problem.|Sie thematisierten das Problem.
4964|verb|anstoßen, stößt an, stieß an, hat angestoßen|to toast, initiate|We toasted to success.|Wir stießen auf den Erfolg an.
4978|verb|zuschlagen, schlägt zu, schlug zu, hat zugeschlagen|to strike, slam|The door slammed shut loudly.|Die Tür schlug plötzlich laut zu.
4979|verb|behindern, behindert, behinderte, hat behindert|to obstruct, impede|The snow obstructed the way.|Der Schnee behinderte den Weg.
5010|verb|beeinträchtigen, beeinträchtigt, beeinträchtigte, hat beeinträchtigt|to affect, impair|Noise affected his sleep.|Der Lärm beeinträchtigte seinen Schlaf.
