|part_of_speech|word_de|word_en|sentence_en|sentence_de
2557|verb|anerkennen, erkennt an, erkannte an, hat anerkannt|to recognize|His work was recognized by everyone.|Seine Arbeit wurde von allen anerkannt.
2572|verb|anstehen, steht an, stand an, hat angestanden|to line up|We had to line up to get inside.|Wir mussten anstehen, um reinzukommen.
2883|verb|dastehen, steht da, stand da, hat dagestanden|to stand there|He stood there silently all day.|Er stand den ganzen Tag still da.
3154|verb|absetzen, setzt ab, setzte ab, hat abgesetzt|to dismiss|He was dismissed from his position.|Er wurde von seiner Position abgesetzt.
3198|adv|hinweg|for (many years)|She stayed quiet for many years.|Sie schwieg viele Jahre hinweg.
3395|adv|untereinander|among (our)selves|We discussed the plan among ourselves.|Wir besprachen den Plan untereinander.
3496|verb|sicherstellen, stellt sicher, stellte sicher, hat sichergestellt|to confiscate|The police confiscated the goods.|Die Polizei stellte die Waren sicher.
3504|adv|seinerseits|for his part|He, for his part, agreed.|Er hat seinerseits zugestimmt.
3576|verb|nachfragen, fragt nach, fragte nach, hat nachgefragt|to ask (sb)|I will ask again tomorrow.|Ich werde morgen nochmal nachfragen.
3650|verb|einschlagen, schlägt ein, schlug ein, hat eingeschlagen|to take|He took a new path.|Er hat einen neuen Weg eingeschlagen.
3899|der|der Befund|finding(s)|The doctor shared the findings.|Der Arzt hat den Befund mitgeteilt.
4038|verb|beauftragen, beauftragt, beauftragte, hat beauftragt|to hire (a firm)|We hired a firm to do the job.|Wir haben eine Firma damit beauftragt.
4058|verb|auskennen, kennt aus, kannte aus, hat ausgekannt|to know one’s way around|He knows his way around this city well.|Er kennt sich gut in dieser Stadt aus.
4195|verb|aufspringen, springt auf, sprang auf, ist aufgesprungen|to jump up/on|She jumped up suddenly and left.|Sie sprang plötzlich auf und ging.
4271|verb|ausbleiben, bleibt aus, blieb aus, ist ausgeblieben|to fail to appear|The expected call didn't come.|Der erwartete Anruf blieb aus.
4438|verb|zerreißen, zerreißt, zerriss, hat zerrissen|to tear (up, to pieces)|She tore the letter in anger.|Sie hat den Brief vor Wut zerrissen.
4886|verb|thematisieren, thematisiert, thematisierte, hat thematisiert|to discuss|We should discuss the problem.|Wir sollten das Problem thematisieren.
4940|verb|ergehen, ergeht, erging, hat ergangen|to fare|He fared well in the new city.|Es erging ihm gut in der neuen Stadt.
4960|verb|mitspielen, spielt mit, spielte mit, hat mitgespielt|to join in|The children like to join in the game.|Die Kinder spielen gern mit im Spiel.
4978|verb|zuschlagen, schlägt zu, schlug zu, hat zugeschlagen|to slam|He slammed the door loudly.|Er hat die Tür laut zugeschlagen.
4979|verb|behindern, behindert, behinderte, hat behindert|to obstruct|The accident obstructed the traffic.|Der Unfall hat den Verkehr behindert.
4982|die|die Größenordnung|magnitude|The problem is of great magnitude.|Das Problem hat große Größenordnung.
4989|verb|verkehren, verkehrt, verkehrte, hat verkehrt|to socialize|He often socializes in this café.|Er verkehrt oft in diesem Café.
4991|adj|zulässig|permitted|Smoking is not permitted here.|Rauchen ist hier nicht zulässig.
