|part_of_speech|word_de|word_pl_de|sentence_de|word_en|sentence_en
51|conj|oder||Willst du Tee oder Kaffee trinken?|or|Do you want to drink tea or coffee?
52|pron|all||All diese Fragen müssen geklärt werden.|all|All these questions must be clarified.
53|prep|aus||Er zog das Buch aus der Tasche.|out, out of, from|He pulled the book out of the bag.
54|pron|was||Was genau willst du damit erreichen?|what|What exactly do you want to achieve with that?
55|adv|nur||Ich habe nur noch zehn Minuten.|only|I only have ten minutes left.
56|verb|sagen, sagt, sagte, hat gesagt||Ich wollte dir etwas Wichtiges sagen.|to say, tell|I wanted to tell you something important.
57|adv|dann||Dann gingen sie ins Restaurant.|then|Then they went to the restaurant.
58|conj|wenn||Wenn es regnet, bleibe ich zu Hause.|if, when|If it rains, I stay at home.
59|verb|müssen, muss, musste, hat gemusst||Du musst das bis morgen erledigen.|to have to, must|You must finish that by tomorrow.
60|conj|um||Er arbeitet, um Geld zu verdienen.|in order to|He works in order to earn money.
61|prep|um||Er läuft jeden Morgen um den See.|around, at|He runs around the lake every morning.
62|part|ja||Ja, ich komme sofort nach Hause.|yes, of course|Yes, I am coming home right away.
63|pron|kein||Keiner hat heute die Aufgabe erledigt.|no|No one completed the task today.
64|prep|über||Er sprang über den Zaun schnell.|above, over, about|He quickly jumped over the fence.
65|adv|da||Da liegt das Buch auf dem Tisch.|there|There lies the book on the table.
66|conj|da||Er geht nach Hause, da es spät ist.|because|He is going home because it is late.
67|verb|geben, gibt, gab, hat gegeben||Sie gibt ihm einen wichtigen Hinweis.|to give|She gives him an important clue.
68|prep|vor||Vor dem Haus wartete ein Mann.|in front of, before, ago|A man waited in front of the house.
69|pron|mein||Mein Hund wartet immer vor der Tür.|my, mine|My dog always waits in front of the door.
70|adv|mehr||Ich brauche mehr Informationen.|more|I need more information.
71|das|das Jahr||Das Jahr verging schneller als erwartet.|year|The year passed faster than expected.
72|pron|du||Du hast den besten Kuchen gebacken.|you|You baked the best cake.
73|prep|durch||Er geht durch den dunklen Wald.|through|He walks through the dark forest.
74|pron|viel||Viel kann man darüber nicht sagen.|much, a lot, many|Not much can be said about it.
75|verb|wollen, will, wollte, hat gewollt||Ich will das morgen erledigen.|to want to|I want to finish that tomorrow.
76|verb|machen, macht, machte, hat gemacht||Er macht das Frühstück für die Familie.|to do, make|He makes breakfast for the family.
77|pron|andere (r, s)||Der andere blieb im Auto sitzen.|other|The other stayed in the car.
78|verb|sollen, soll, sollte, hat gesollt||Du sollst deine Hausaufgaben machen.|should, ought to|You should do your homework.
79|adv|schon||Er hat schon angefangen zu essen.|already|He has already started eating.
80|part|schon||Das ist schon eine gute Idee, oder?||That’s really a good idea, isn’t it?
81|verb|kommen, kommt, kam, ist gekommen||Er kam gestern aus dem Urlaub zurück.|to come|He came back from vacation yesterday.
82|pron|mir||Er hat mir die Wahrheit gesagt.|me|He told me the truth.
83|adv|immer||Er kommt immer zu spät nach Hause.|always|He always comes home late.
84|pron (relexive, in accusative case)|mich||Ich habe mich für den Job beworben.||I applied for the job.
85|pron|mich||Er hat mich einfach ignoriert.|me|He simply ignored me.
86|verb|gehen, geht, ging, ist gegangen||Wir müssen jetzt wirklich gehen.|to go|We really need to go now.
87|adj|groß||Der Baum im Garten ist sehr groß.|big, large, great|The tree in the garden is very large.
88|adv|hier||Hier beginnt unsere lange Reise.|here|Here begins our long journey.
89|adj|ganz||Ich habe den ganzen Tag gearbeitet.|whole, all the|I worked the whole day.
90|part|ganz||Das war ganz anders als erwartet.|quite|That was quite different than expected.
91|num|zwei||Zwei Stunden blieben uns noch übrig.|two|We had two hours left.
92|adv|also||Also, wie lösen wir dieses Problem?|so|So, how do we solve this problem?
93|adv|jetzt||Jetzt ist der perfekte Moment.|now|Now is the perfect moment.
94|adv|doch||Er wollte kommen, doch wurde krank.|however, but|He wanted to come, but he got sick.
95|part|doch||Komm doch schnell, es regnet bald!||Come quickly, it will rain soon!
96|adv|wieder||Wir treffen uns wieder am Freitag.|again|We will meet again on Friday.
97|pron|uns||Wir treffen uns morgen um acht Uhr.|us, we|We are meeting tomorrow at eight o'clock.
98|adj|gut||Das Wetter ist heute wirklich gut.|good|The weather is really good today.
99|conj|bis||Warte hier, bis ich zurück bin.|until|Wait here until I get back.
100|prep|bis||Bis morgen bleibt noch viel zu tun.|until, till|There is still much to do until tomorrow.
101|verb|wissen, weiß, wusste, hat gewusst||Ich wusste, dass es so kommen würde.|to know|I knew it would turn out like this.
102|verb|sehen, sieht, sah, hat gesehen||Er hat den Film schon gesehen.|to see|He has already seen the movie.
103|pron|einer||Einer muss die Wahrheit sagen.|(some)one|Someone has to tell the truth.
104|adv|sehr||Er war sehr zufrieden mit dem Ergebnis.|very|He was very satisfied with the result.
105|conj|mal||Tausend mal tausend ist eine Million.|times|A thousand times a thousand is a million.
106|das|das Mal||Das erste Mal ist immer besonders.|time, mark|The first time is always special.
107|part|mal||Komm mal her und sieh dir das an.||Come here and take a look at this.
108|verb|lassen, lässt, ließ, hat gelassen||Er ließ das Buch auf dem Tisch.|to let, allow, have done|He left the book on the table.
109|adj|neu||Ich habe ein neues Buch gekauft.|new|I bought a new book.
110|verb|stehen, steht, stand, hat gestanden||Er steht früh auf und geht joggen.|to stand|He gets up early and goes jogging.
111|pron|unser||Unser Hund ist sehr freundlich.|our|Our dog is very friendly.
112|pron|jede (r, s)||Jeder brachte etwas zur Feier mit.|every|Everyone brought something to the celebration.
113|conj|weil||Ich bin müde, weil ich arbeite.|because|I am tired because I am working.
114|prep|unter||Der Hund schläft unter dem Tisch.|under|The dog is sleeping under the table.
115|der|der Mensch||Der Mensch ist ein soziales Wesen.|human being|The human being is a social creature.
116|pron|ihm||Ich habe ihm das Buch gegeben.|him|I gave him the book.
117|pron|ihn||Er sah ihn gestern in der Stadt.|him|He saw him in the city yesterday.
118|conj|denn||Er ging nicht, denn es regnete.|because|He didn't go because it was raining.
119|part|denn||Was machst du denn am Wochenende?|anyway|What are you doing on the weekend, anyway?
120|das|das Beispiel||Das Beispiel zeigt es deutlich.|example|The example shows it clearly.
121|adj|erste (r, s)||Der erste Schnee ist gefallen.|first|The first snow has fallen.
122|die|die Zeit||Die Zeit verging sehr schnell.|time|Time passed very quickly.
123|adj|lang||Der lange Weg führt durch den Wald.|long|The long path leads through the forest.
124|adv|lang||Er sprach stundenlang über das Thema.|for a long time|He talked about the topic for a long time.
125|verb|leben, lebt, lebte, hat gelebt||Er lebt schon lange in dieser Stadt.|to live|He has lived in this city for a long time.
126|die|die Frau||Die Frau winkte aus dem Fenster.|woman, wife, Mrs.|The woman waved from the window.
127|pron|etwas||Etwas muss hier falsch gelaufen sein.|something, some, a little|Something must have gone wrong here.
128|part|selbst, selber||Selbst die Experten waren überrascht.|even|Even the experts were surprised.
129|pron|selbst, selber||Er hat das Auto selbst repariert.|-self|He repaired the car himself.
130|adj|wenig||Es bleibt nur wenig Zeit bis zur Abgabe.|few|There is only a little time left until the deadline.
131|pron|wenige||Wenige wussten von dem Geheimnis.|little, few|Few knew about the secret.
132|verb|finden, findet, fand, hat gefunden||Er findet den Schlüssel unter dem Sofa.|to find|He finds the key under the sofa.
133|prep|gegen||Er kämpfte gegen den starken Wind.|against|He fought against the strong wind.
134|prep|zwischen||Zwischen den Bäumen war es dunkel.|between|It was dark between the trees.
135|num|drei||Drei Freunde gingen zusammen ins Kino.|three|Three friends went to the cinema together.
136|verb|liegen, liegt, lag, hat gelegen||Das Buch liegt auf dem Schreibtisch.|to lie|The book is lying on the desk.
137|pron|wo||Wo liegt der Schlüssel, den du suchst?|where|Where is the key that you are looking for?
138|pron|nichts, nix||Nichts ist für immer verloren.|nothing|Nothing is lost forever.
139|adj|klein||Das Haus ist klein, aber gemütlich.|small, little|The house is small but cozy.
140|der|der Tag||Der Tag begann mit Sonnenschein.|day|The day began with sunshine.
141|adj|deutsch||Er liest gerne deutsche Literatur.|German|He enjoys reading German literature.
142|das|das Deutsch||Er lernt Deutsch in der Schule.|German|He is learning German at school.
143|verb|bleiben, bleibt, blieb, ist geblieben||Er blieb die ganze Nacht wach.|to stay, remain|He stayed awake all night.
144|adv|nun, nu||Nun beginnen wir mit der Arbeit.|now|Now we start with the work.
145|conj|sondern||Er ist nicht faul, sondern fleißig.|but (on the contrary)|He is not lazy but diligent.
146|adv|heute||Heute müssen wir viel erledigen.|today|Today we have a lot to do.
147|pron|beide||Beide trafen sich gestern wieder.|both|Both met again yesterday.
148|adj|hoch||Der Baum ist sehr hoch gewachsen.|high, tall|The tree has grown very tall.
149|pron|damit||Er ging, damit sie ungestört war.|with it|He left so she could be undisturbed.
150|conj|ohne||Er ging ohne ein Wort zu sagen.|without|He left without saying a word.
151|prep|ohne||Ohne ihn ist alles halb so schön.|without|Without him, everything is half as nice.
152|der|der Mann||Der Mann hilft seinem Nachbarn oft.|man|The man often helps his neighbor.
153|pron|welch, -e, -er, -es||Welches Buch suchst du gerade?|which|Which book are you currently looking for?
154|verb|tun, tut, tat, hat getan||Ich weiß nicht, was ich tun soll.|to do|I don't know what I should do.
155|adv|einmal||Wir treffen uns einmal pro Woche.|once|We meet once a week.
156|pron|ihnen||Er hat ihnen das Buch gegeben.|them|He gave them the book.
157|pron|Ihnen||Ich habe Ihnen das Buch geschickt.|you|I sent you the book.
158|verb|heißen, heißt, hieß, hat geheißen||Er heißt Max und wohnt in Berlin.|to be called|He is called Max and lives in Berlin.
159|conj|ob||Ob er es schafft, ist fraglich.|whether, if|Whether he will make it is questionable.
160|verb|denken, denkt, dachte, hat gedacht||Er denkt oft an seine Kindheit.|to think|He often thinks about his childhood.
161|pron|dabei||Er war dabei, als es passierte.|with it, there|He was there when it happened.
162|prep|seit||Ich wohne hier seit drei Jahren.|since, for|I have lived here for three years.
163|adj|einfach||Das einfache Problem war schnell gelöst.|simple, easy|The simple problem was quickly solved.
164|part|einfach||Das war einfach nicht das Richtige.|simply|That simply wasn’t the right thing.
165|adv|erst||Sie kam erst um Mitternacht nach Hause.|first, only, not until|She didn’t come home until midnight.
166|part|erst||Ich habe es erst gestern erfahren.||I only found out about it yesterday.
167|das|das Kind||Das Kind spielt im Sandkasten.|child|The child is playing in the sandbox.
168|das|das Land||Das Land ist sehr weit und grün.|land, country, state|The land is very wide and green.
169|verb|stellen, stellt, stellte, hat gestellt||Ich stelle die Vase auf den Tisch.|to place, set, put|I place the vase on the table.
170|verb|zeigen, zeigt, zeigte, hat gezeigt||Er zeigt mir den Weg zur Stadt.|to show|He shows me the way to the city.
171|adj|natürlich||Der Fluss folgt seinem natürlichen Lauf.|natural|The river follows its natural course.
172|adv|natürlich||Natürlich komme ich, wie versprochen.|naturally, of course|Of course, I will come as promised.
173|adj|alt||Das Buch ist sehr alt, aber interessant.|old|The book is very old but interesting.
174|adv|dort||Dort drüben ist ein schöner Park.|there|There is a beautiful park over there.
175|das|Deutschland||Deutschland ist bekannt für Autos.|Germany|Germany is known for cars.
176|adj|gleich||Wir haben das gleiche Problem.|same, right away, just|We have the same problem.
177|verb|nehmen, nimmt, nahm, hat genommen||Er nahm das Buch und ging weg.|to take|He took the book and walked away.
178|verb|dürfen, darf, durfte, hat gedurft||Er durfte nicht ohne Erlaubnis gehen.|to be allowed to, may|He was not allowed to leave without permission.
179|adj|wichtig||Pünktlichkeit ist im Job wichtig.|important|Punctuality is important in the job.
180|adv|vielleicht||Vielleicht sehen wir uns nächste Woche.|perhaps, maybe|Perhaps we’ll see each other next week.
181|part|vielleicht||Das war vielleicht ein Abenteuer!||That was quite an adventure!
182|verb|hören, hört, hörte, hat gehört||Ich höre oft Musik beim Arbeiten.|to hear|I often hear music while working.
183|das|das Haus||Das Haus steht leer seit Monaten.|house|The house has been empty for months.
184|part|nein, nee, nö||Nein, das kann nicht wahr sein!|no|No, that can't be true!
185|pron|wer||Wer hat den Schlüssel genommen?|who, whoever|Who took the key?
186|pron|dazu||Er hat nichts weiter dazu gesagt.|in addition, furthermore, to that, for that|He didn't say anything more about that.
187|adj|eigentlich||Er ist der eigentliche Besitzer.|actual, real|He is the actual owner.
188|adv|eigentlich||Eigentlich wollte ich früher kommen.|actually|Actually, I wanted to come earlier.
189|part|eigentlich||Er sollte eigentlich schon hier sein.||He should actually be here already.
190|adj|letzte (r, s)||Die letzte Chance ist nun vorbei.|last|The last chance is now gone.
191|verb|fragen, fragt, fragte, hat gefragt||Er fragte nach dem Weg zum Bahnhof.|to ask|He asked for the way to the train station.
192|der|der Herr||Der Herr am Eingang grüßte freundlich.|Mr.|The gentleman at the entrance greeted kindly.
193|verb|halten, hält, hielt, hat gehalten||Er hält das Seil fest in der Hand.|to stop, hold|He holds the rope firmly in his hand.
194|verb|glauben, glaubt, glaubte, hat geglaubt||Er glaubt an das Gute im Menschen.|to believe|He believes in the good in people.
195|die|die Frage||Die Frage blieb unbeantwortet.|question|The question remained unanswered.
196|verb|gelten, gilt, galt, hat gegolten||Das Angebot gilt nur für heute.|to be valid|The offer is only valid for today.
197|adj|gerade||Er hat die Linie gerade gezogen.|straight|He drew the line straight.
198|adv|gerade||Er kam gerade noch rechtzeitig.|just, just now, right now|He arrived just in time.
199|verb|folgen, folgt, folgte, ist gefolgt||Der Hund folgte seinem Besitzer.|to follow|The dog followed its owner.
200|verb|sprechen, spricht, sprach, hat gesprochen||Wir haben lange miteinander gesprochen.|to speak|We spoke with each other for a long time.
201|verb|führen, führt, führte, hat geführt||Er führt die Gruppe durch den Wald.|to lead|He leads the group through the forest.
202|verb|bringen, bringt, brachte, hat gebracht||Er brachte das Paket zur Post.|to bring, take|He took the package to the post office.
203|die|die Welt||Die Welt dreht sich immer weiter.|world|The world keeps on turning.
204|adv|gar||Er war gar nicht so überrascht.|at all|He wasn't surprised at all.
205|adj|eigen||Er brachte sein eigenes Essen mit.|own|He brought his own food.
206|adj|genau||Der genaue Termin steht noch aus.|exact|The exact date is yet to be set.
207|verb|mögen, mag, mochte, hat gemocht||Er mochte den Kuchen sehr gern.|to like|He really liked the cake.
208|adj|spät||Es ist schon zu spät für eine Antwort.|late|It is already too late for a response.
209|adj|spät||Die späte Ankunft sorgte für Unruhe.|later|The later arrival caused unrest.
210|adv|bereits||Er ist bereits auf dem Weg hierher.|already|He is already on his way here.
211|adj|möglich||Bei uns ist fast alles möglich.|possible|Almost anything is possible with us.
212|adv|möglich||Wir machen es so schnell wie möglich.|as . . . as possible, if possible|We will do it as quickly as possible.
213|das|das Prozent||Das Produkt ist zehn Prozent teurer.|percent|The product is ten percent more expensive.
214|conj|während||Während ich lese, höre ich Musik.|while, whereas|While I read, I listen to music.
215|prep|während||Während des Tages arbeite ich.|during, while|During the day, I work.
216|pron|einige||Einige von uns gingen früh nach Hause.|a few, some|Some of us went home early.
217|pron|dafür||Ich bin dafür, dass wir loslegen.|for it, for that|I am for it, that we should get started.
218|adj|kurz||Der Film war überraschend kurz.|short|The film was surprisingly short.
219|adj|richtig||Dein Vorschlag war absolut richtig.|correct, right|Your suggestion was absolutely correct.
220|adj|stark||Der Wind wehte heute besonders stark.|strong|The wind blew particularly strong today.
221|verb|brauchen, braucht, brauchte, hat gebraucht||Wir brauchen mehr Informationen.|to need|We need more information.
222|die|die Hand||Er hält die Hand seiner Mutter.|hand|He holds his mother's hand.
223|adv|etwa||Etwa zehn Leute kamen zur Party.|about, approximately|About ten people came to the party.
224|part|etwa||Das ist eben nicht so einfach.|after all|That is not so simple after all.
225|adj|weitere (r, s)||Ein weiterer Vorschlag wurde gemacht.|additional, further|A further suggestion was made.
226|das|das Ende||Das Ende des Films überraschte alle.|end|The end of the film surprised everyone.
227|verb|schreiben, schreibt, schrieb, hat geschrieben||Er schreibt einen Brief an seine Mutter.|to write|He is writing a letter to his mother.
228|pron|solch||Solch ein Verhalten ist unakzeptabel.|such|Such behavior is unacceptable.
229|adv|nie||Er hat nie wieder daran gedacht.|never|He never thought about it again.
230|der|der Fall||Der Fall wurde schnell gelöst.|fall, case|The case was solved quickly.
231|adj|schön||Am See war es gestern sehr schön.|beautiful, pleasant, good|It was very beautiful at the lake yesterday.
232|adj|wirklich||Die wirkliche Lösung überrascht alle.|real, actual|The real solution surprised everyone.
233|adv|wirklich||Das war wirklich eine Überraschung.|really, actually|That was really a surprise.
234|pron|denen||Er hilft denen, die ihn brauchen.|whom, that|He helps those whom need him.
235|verb|nennen, nennt, nannte, hat genannt||Er nannte seinen Namen ohne Zögern.|to name, call|He named his name without hesitation.
236|adv|warum||Warum fragst du immer wieder dasselbe?|why|Why do you keep asking the same thing?
237|verb|ziehen, zieht, zog, hat gezogen||Er zog die Tür leise hinter sich zu.|to pull, move|He quietly pulled the door shut behind him.
238|das|das Wort||Das Wort hat viele Bedeutungen.|word|The word has many meanings.
239|pron|darauf, drauf||Er wartet darauf, dass es beginnt.|on it, to it|He is waiting for it to begin.
240|adv|eben, ebend||Ich habe eben erst davon gehört.|just, now|I just heard about it now.
241|part|eben, ebend||Das ist eben das Problem hier.||That is exactly the problem here.
242|die|die Seite||Der Fluss ist auf der rechten Seite.|side, page|The river is on the right side.
243|der, das|das Teil||Das Teil des Motors ist defekt.|part|The part of the engine is defective.
244|adj|jung||Der junge Mann geht zur Arbeit.|young|The young man goes to work.
245|num|vier||Vier Freunde kamen zusammen zum Essen.|four|Four friends came together for a meal.
246|adj|besser||Heute fühle ich mich schon besser.|better|Today I already feel better.
247|adv|fast||Er war fast zu spät zur Besprechung.|almost|He was almost too late for the meeting.
248|adj|schnell||Der schnelle Läufer gewann das Rennen.|fast|The fast runner won the race.
249|die|die Stadt||Die Stadt leuchtet in der Nacht hell.|city, town|The city lights up brightly at night.
250|verb|spielen, spielt, spielte, hat gespielt||Die Kinder spielen fröhlich im Park.|to play|The children play happily in the park.
251|adv|zwar||Er kommt zwar spät, aber er kommt.|admittedly, to be precise|He comes late, admittedly, but he does come.
252|der|der Euro||Der Euro ist eine stabile Währung.|euro (unit of currency)|The euro is a stable currency.
253|die|die Arbeit||Die Arbeit begann um acht Uhr.|work|The work began at eight o'clock.
254|die|die Million, Mio.||Der Gewinn beträgt eine Million Euro.|million|The profit amounts to one million euros.
255|das|das Problem||Das Problem ist schnell gelöst.|problem|The problem is quickly solved.
256|verb|verstehen, versteht, verstand, hat verstanden||Er versteht die Aufgabe nicht.|to understand|He does not understand the task.
257|verb|bekommen, bekommt, bekam, hat bekommen||Er bekommt morgen sein Gehalt.|to get, receive|He will receive his salary tomorrow.
258|verb|meinen, meint, meinte, hat gemeint||Er meint, das wäre eine gute Idee.|to think, have an opinion|He thinks that would be a good idea.
259|pron|davon||Davon kann ich ein Lied singen.|from it, about it, thereof|I could sing a song about that.
260|verb|fahren, fährt, fuhr, ist gefahren||Sie fährt jeden Morgen zur Arbeit.|to drive, ride, go|She drives to work every morning.
261|verb|kennen, kennt, kannte, hat gekannt||Ich kenne ihn seit vielen Jahren.|to know|I have known him for many years.
262|pron|dich||Ich habe dich lange nicht gesehen.|you, yourself|I haven't seen you for a long time.
263|die|die Mutter||Die Mutter umarmte ihr Kind liebevoll.|mother|The mother lovingly embraced her child.
264|die|die Woche||Die Woche ging sehr schnell vorbei.|week|The week passed very quickly.
265|der|der Weg||Der Weg führte direkt zum Ziel.|path, way|The path led directly to the goal.
266|adv|weiter||Er ging weiter, ohne sich umzusehen.|further|He walked further without looking back.
267|das|das Auge||Sie hat ein blaues Auge nach dem Sturz.|eye|She got a black eye after the fall.
268|adv|oft||Er besucht sie oft am Wochenende.|often|He often visits her on the weekend.
269|die (pl)||die Leute|Die Leute gingen schweigend fort.|people|The people left in silence.
270|adv|allerdings||Allerdings war die Entscheidung richtig.|though, indeed, certainly|Indeed, the decision was correct.
271|adv|sogar||Sogar der Hund versteht das Signal.|even, in fact|Even the dog understands the signal.
272|adv|jedoch||Er kam, jedoch war er zu spät.|however|He came, however, he was too late.
273|verb|setzen, setzt, setzte, hat gesetzt||Er setzt das Glas auf den Tisch.|to set, place, put|He places the glass on the table.
274|verb|setzen, setzt, setzte, hat gesetzt||Er setzte sich leise auf den Stuhl.|to sit down|He sat down quietly on the chair.
275|adv|deshalb||Deshalb hat er die Arbeit gewechselt.|therefore|That's why he changed jobs.
276|adj|weit||Der weite Weg führte zum Strand.|widely, far|The far road led to the beach.
277|verb|sitzen, sitzt, saß, hat gesessen||Er hat stundenlang am Fenster gesessen.|to sit|He sat at the window for hours.
278|der|der Vater||Der Vater holte seine Tochter ab.|father|The father picked up his daughter.
279|pron|dein||Dein Buch liegt noch im Wohnzimmer.|your|Your book is still in the living room.
280|verb|arbeiten, arbeitet, arbeitete, hat gearbeitet||Er arbeitet seit Jahren in dieser Firma.|to work|He has been working at this company for years.
281|das|das Geld||Ich habe mein ganzes Geld ausgegeben.|money|I spent all my money.
282|das|das Unternehmen||Das Unternehmen expandiert weiter.|enterprise, company|The company is expanding further.
283|adj|nächste (r, s)||Das nächste Treffen ist im März.|next|The next meeting is in March.
284|verb|erklären, erklärt, erklärte, hat erklärt||Der Lehrer erklärt die Aufgabe.|to explain|The teacher explains the task.
285|adj|klar||Die klare Anweisung verhinderte Fehler.|clear|The clear instruction prevented mistakes.
286|der|der Doktor||Der Doktor verschrieb ein Medikament.|doctor|The doctor prescribed a medication.
287|das|das Paar||Das Paar ging zusammen durch den Park.|pair, couple|The couple walked together through the park.
288|pron|ein paar||Ein paar Leute haben abgesagt.|a few|A few people canceled.
289|adj|recht||Die rechte Wahl brachte neue Chancen.|all right|The all right choice brought new opportunities.
290|das|das Recht||Das Recht schützt die Schwachen.|right, law|The law protects the weak.
291|part|recht||Das ist recht kompliziert, aber machbar.|rather, quite|That is rather complicated, but doable.
292|prep|wegen||Wegen des Regens blieb er zu Hause.|because of|Because of the rain, he stayed home.
293|pron|dir||Ich habe dir das Buch gegeben.|you|I gave you the book.
294|das|das Wasser||Das Wasser kocht auf dem Herd.|water|The water is boiling on the stove.
295|verb|bestehen, besteht, bestand, hat bestanden||Er hat die schwierige Prüfung bestanden.|to exist, insist, pass (an exam)|He passed the difficult exam.
296|verb|versuchen, versucht, versuchte, hat versucht||Er versucht, das Problem zu lösen.|to try, attempt|He is trying to solve the problem.
297|der|der Punkt||Der Punkt ist klar formuliert.|dot, point, period|The point is clearly articulated.
298|der|der Grund||Der Grund bleibt ihm ein Rätsel.|reason, basis|The reason remains a mystery to him.
299|der|der Kopf||Er hielt den Kopf gesenkt und schwieg.|head|He kept his head down and remained silent.
300|verb|beginnen, beginnt, begann, hat begonnen||Er beginnt jeden Tag mit einem Lächeln.|to begin|He begins every day with a smile.
301|verb|laufen, läuft, lief, ist gelaufen||Er läuft jeden Morgen fünf Kilometer.|to run|He runs five kilometers every morning.
302|das|das Bild||Das Bild hängt schief an der Wand.|picture|The picture hangs crooked on the wall.
303|adj|verschieden||Er probierte verschiedene Methoden aus.|different, diverse|He tried different methods.
304|der|der Name||Sein Name steht auf der Liste.|name|His name is on the list.
305|die|die Aufgabe||Die Aufgabe ist ziemlich schwer.|task, assignment, job|The task is quite difficult.
306|adj|schwer||Der Koffer war schwer zu tragen.|difficult, heavy|The suitcase was heavy to carry.
307|verb|entsprechen, entspricht, entsprach, hat entsprochen||Das Ergebnis entspricht den Erwartungen.|to correspond|The result corresponds to the expectations.
308|verb|treffen, trifft, traf, hat getroffen||Wir treffen uns heute Abend im Café.|to meet|We are meeting this evening at the café.
309|die|die Art||Welche Art von Musik magst du?|type, kind|What kind of music do you like?
