|word_en|sentence_en
1501|to express|He expressed his opinion openly.
1506|to contain|The product shows many advantages.
1512|to dress|He puts on his jacket and goes outside.
1530|to draw up|He sets the table up in front of the window.
1546|to occupy|The demonstrators occupied the square.
1550|ticket|The map shows all hiking trails.
1555|before|He is afraid of losing.
1558|to go back|He goes back to his parents.
1567|to introduce|The company introduced a new product.
1570|to be in charge|He has extensive resources at his disposal.
1582|to encounter|He encountered her on the street.
1587|to determine|He laid down the rules for the game.
1594|to assume|He suspects that it will rain.
1617|to allow|The door is hard to close.
1619|to provide for|The law provides for new measures.
1621|to detect|He clearly perceived the noises.
1622|to point to|The sign points to the danger.
1635|to cry|He often cries at sad movies.
1636|to enjoy|He enjoys the sunset by the sea.
1640|on the basis of|We analyze on the basis of the data.
1660|to dip|He dove deep into the clear water.
1665|to wear|Today I am wearing a coat.
1669|to observe|Pay close attention to the rules of the game.
1672|to enforce|He quickly enforced his will.
1690|to paint|He painted the wall with blue paint.
1692|to sink|She significantly lowered the price.
1694|to design|He designed the poster creatively.
1696|dealings|Handling the device is easy.
1701|to stop|He stops the car at the traffic light.
1706|to fall|He fell badly while skiing.
1712|be canceled|The class is canceled today.
1714|to push|He pushed me to work faster.
1721|to pack|He packs his suitcase for the trip.
1724|to apply|He successfully applies the technique.
1739|to order|He ordered food for everyone.
1752|to refer|He referred to the rules in the contract.
1754|to enter|He enters the data into the system.
1763|shift|The shift ends at midnight.
1768|to take|He took the course at the university.
1771|to obligate|He is obligated to help.
1785|sector|The industry has been booming in recent years.
1791|daily routine|The daily routine quickly returned.
1794|to enter|He entered the room without hesitation.
1800|to arrive|He arrived late for the meeting.
1814|to limit|We need to limit the expenses.
1822|to pay attention|You have to pay attention to the details.
1832|to turn over|He carefully turned the picture over.
1867|to say goodbye|We said goodbye warmly.
1885|hike|He likes to hike in the mountains.
1896|to manage|He manages his affairs himself.
1913|to commit|He is committed to environmental protection.
1917|of all times|Of all times, now I don't have time.
1924|to care|He takes care of his sick father.
1927|to derive|He derives the rules from the text.
1929|to shine|The lamp shines brightly in the dark.
1931|to expand|He expanded his knowledge through books.
1934|to be correct|This description is exactly correct.
1954|to express|He expresses his concerns openly.
1962|optimum|The result was optimal for us.
1964|to add|He adds new ideas to the text.
1966|to select|He selects the best candidate.
1967|to ask|The police are questioning the witnesses.
1974|inc.|The company recorded high profits.
1975|to train|She is training to become a teacher.
1984|to frighten|The loud bang frightens the children.
1985|to acquire|He has acquired a new house.
1986|nature (of sth)|The nature of the problem is complex.
1988|while doing this|Nothing was damaged while doing this.
1990|to steer|She steers the boat through the river.
1993|some|There were always some problems.
1996|to give away|He gave away the secret.
1997|to adjust|He adjusted the design to the wishes.
2005|to plan|We have a lot planned for the weekend.
2006|to hide|He skillfully hides his feelings.
2022|next to it|Next to it lies the correct book.
2027|to treat|He properly treated the wound.
2030|to dare|He dared to ask.
2041|to apologize|She apologizes for the mistake.
2045|to rise|The sun rises early in the morning.
2047|to approach|He slowly approaches the door.
2051|to assess|He assesses the result as positive.
2053|to inspire|The concert inspired everyone.
2077|to make easier|The new system makes the work easier.
2092|to foresee|You could already foresee the problem.
2098|to increase|He significantly increased his performance.
2105|work (out)|The plan worked out better than expected.
2108|to resolve|He quickly resolves the situation.
2119|to start|He is starting his new position.
2121|to take care|Please take care of the children!
2132|to realize|He finally realized his dream.
2138|to arrange|He arranges the files alphabetically.
2145|normally|Normally, I am punctual.
2150|rank|His rank in the army is high.
2162|to sign up|He signed up on time.
2176|to proceed|The police proceeded with caution.
2195|to knock|He knocked, but no one opened the door.
2199|to mark|The area is clearly marked.
2201|to be surprised|He is surprised by the result.
2205|to pick up|He picks up the book from the floor.
2211|to require|The project requires a lot of patience.
2229|to accuse|He accused him of lying.
2233|to organize|He is organizing the party in the garden.
2234|to stir|He stirs the coffee with the spoon.
2236|to activate|He activates the new account online.
2241|to position|He positioned the cut precisely.
2244|to mix|He mixes the colors carefully.
2257|to take part|He is taking part in the challenge.
2263|to operate|He operates the machine effortlessly.
2268|concerning this|There are no further questions concerning this.
2282|to point|He points to the picture on the wall.
2311|to pretend|He pretends to know nothing.
2315|to carry out|He carried out the task precisely.
2325|to assign|He assigns the files to the project.
2336|resident|The residents were friendly.
2339|to train|He trains daily at the gym.
2345|to transfer|He was transferred to Berlin.
2362|to undertake|They undertook a trip to Asia.
2371|to transform|He transformed the room into an office.
2372|to quarrel|They quarreled over the money.
2374|to provide|We are providing the resources.
2387|to meet|He met her at a party.
2397|to surround|The house is surrounded by trees.
2403|to burden|This decision burdens us all.
2417|to take care|I will take care of that immediately.
2425|to support|The building is supported by pillars.
2429|to restrict|He is restricting his expenses.
2437|to dismantle|He is dismantling the old shed.
2438|to stimulate|The book stimulates thought.
2453|adult|The adults had a lot of fun.
2455|to attribute|He attributes the success to the team.
2465|to trust|He dares to travel alone.
2467|to present|He presented his ideas to the team.
2473|to draw up|He is drawing up a list with all the names.
2477|to expand|He expanded the house into a hotel.
2478|to report|He immediately reported the theft.
2482|to get off|He got off at the last stop.
2487|to lend|The library also lends out DVDs.
2492|to assess|He critically assesses the situation.
2493|to advise|He advises him to be careful.
2499|to rise (up)|The balloon rises into the sky.
2512|to come up|Suddenly, a strong wind came up.
2520|to move out|He moved out of his parents' house.
2536|balance sheet|The company's balance sheet is positive.
2544|to shiver|He shivered from the cold at night.
2553|to flee|Many people fled the war.
2557|to acknowledge|He publicly acknowledged her courage.
2558|to keep|He keeps calm in every situation.
2566|on what|On what is this assumption exactly based?
2572|to stand|The people stood patiently in line.
2587|to award|She forgave him for the mistake.
2594|to agree|He eventually agreed to the proposal.
2602|to practice|He practices his skills daily.
2604|to be subject|The team was defeated by the opponent in the final.
2616|to bear|He can no longer bear the noise.
2622|to bring in|He brings in many new ideas.
2632|what for|What do you need the tool for?
2640|to build|He built a new building.
2651|to block|He blocked the street due to construction work.
2658|to spread|He spread the map out on the table.
2666|to rise|The level rose sharply after the rain.
2668|to honor|He was honored for his work.
2691|to cause|The accident caused great damage.
2698|to assure|He assured me that it was safe.
2701|called|A woman named Anna called.
2704|to save|He saves the file on the computer.
2719|to shrug|He briefly shrugged his shoulders.
2720|to connect|He connected the device to the power.
2721|to exchange|They exchanged phone numbers.
2724|to hire|We are hiring new employees.
2777|to portray|He accurately portrayed the landscape.
2783|to seize|He seizes the opportunity immediately.
2786|to go out|We are going out into the garden.
2789|to advise|He advises the customers kindly.
2850|to perform|He performs his duties well.
2862|to grant|He granted him protection from the enemies.
2874|to overcome|He overcame the challenge.
2880|(glass) pane|The window pane was broken.
2881|to remain|We will remain here until tomorrow.
2883|to stand there|He stands there alone and waits.
2885|to govern|The president governs the country.
2889|hurt|My head hurts terribly.
2890|to dismiss|The manager was dismissed without notice.
2893|to vote|We must vote on the proposal.
2906|to mutter|He mutters quietly to himself.
2910|to turn out|It turned out to be true.
2914|to stop|The game was stopped due to rain.
2916|to get by|He gets along well with his neighbors.
2920|to lack|There is a lack of fresh fruit here.
2922|to process|He processed the data quickly.
2925|between (them)|He stood between them and listened.
2926|to board|He boards the train every morning.
2972|to enter|He enters his name in the list.
2979|to lock|He carefully locks the door.
2983|to hinder|The crisis is severely hindering growth.
2986|to press|The water pressed through the roof.
2992|to edit|He edits the pictures on the computer.
2997|how|How did you come up with this idea?
2998|to accept|He accepted the invitation.
3000|to owe|He owes his success to hard work.
3009|to remove|He removes the book from the shelf.
3012|to fight|The fire department fights the fire.
3024|initially|Initially, the project was very chaotic.
3053|to break open|He broke the door open by force.
3055|to presuppose|He assumed basic knowledge.
3073|to aspire to|He is striving for a promotion.
3075|to unite|They agreed on a compromise.
3085|to wait|He waits to see what will happen.
3092|to follow|The students follow the teacher.
3108|to drive out|He drove away the flies with a cloth.
3112|to hold back|He often holds back his opinion.
3116|to pursue|He thoroughly pursued the matter.
3122|to correct|The teacher corrects the tests.
3142|unique characteristic|The unique feature was emphasized.
3144|to steer|The captain steers the ship safely.
3149|to contain|The book contains many topics.
3154|to take off|He carefully takes off his glasses.
3155|to command|The general commands the troops.
3158|to commit|He is making a serious mistake.
3179|to insulate|He carefully insulated the cable.
3186|to ask|He challenged him to a duel.
3188|canton (Switzerland)|The canton has its own laws.
3192|key word|The keyword was aptly chosen.
3198|over|He jumped over the ditch.
3199|to point out|The teacher points out the mistake.
3200|to furnish|The house is well furnished.
3210|in time|The timely intervention saved lives.
3212|to roar|The lion roars loudly in its cage.
3220|to look after|He has looked after the project from the start.
3236|to hit|He hits the nail with the hammer.
3241|to be eliminated|He is eliminated from the competition.
3266|to convert|The process converts the energy.
3270|to take off|He takes off his coat and sits down.
3283|to float|The leaf floated gently to the ground.
3286|to complete|He successfully completed his studies.
3293|to come from|It emerged from the letter that he was lying.
3323|balancing|The balance was achieved in the end.
3330|to turn toward|He turns toward the problem.
3342|to broadcast|The station broadcasts news.
3351|to store|The goods are stored in the warehouse.
3376|to harm|Too much sugar harms the teeth.
3395|among themselves|They divided the loot among themselves.
3397|to clarify|He clearly clarified his views.
3404|to park|He parks the bicycle in front of the house.
3406|fat|The bold font was immediately noticeable.
3407|to consume|The engine consumes a lot of gasoline.
3408|to identify|He identifies himself with the passport.
3409|to bend|He bent the rod with his bare hands.
3412|to stroll|We strolled along the lake.
3431|to let in|He let no one into the house.
3441|to hand over|He hands over the package to the recipient.
3442|to clarify|They clarified the misunderstanding.
3449|to arrest|The police arrest the perpetrator.
3450|to continue|He continues to write the report.
3478|to fall ill|He suddenly fell seriously ill.
3492|(go) to ruin|The plan ultimately went to ruin.
3493|to deviate|The plan deviates from the original.
3496|to secure|The police secure evidence.
3504|for his part|He, for his part, responded.
3507|to break out|The fire suddenly broke out.
3515|what . . . for|What are you looking for in the bag?
3524|to drag|He drags the boxes into the basement.
3532|to lure|He lures the cat with food.
3533|to put out|He put out the fire with water.
3536|to carry out|The ritual was carried out quietly.
3538|to raise|She quickly raised the money.
3550|(trade) fair|The trade fair attracted many visitors.
3551|to separate|She passed away peacefully.
3554|cover (distance)|He covered a long distance.
3557|to be imminent|The exam is imminent in two days.
3561|afterwards|He came afterward and explained himself.
3566|continuation|The inventory was carefully checked.
3576|inquire|He inquired about the way.
3579|to postpone|He postponed the appointment by a week.
3586|about what|What do you dream of at night?
3611|to sketch|He sketches the design on paper.
3620|to pass|He passed by his childhood home.
3630|to recite|He recited the poem flawlessly.
3631|to hide|He hides the secret to his success.
3635|to suggest|He suggests that he will leave soon.
3640|to unfold|He unfolded the paper carefully.
3645|on what|On what do you recognize the truth?
3647|to howl|The wind howls loudly around the house.
3648|to resign|The president unexpectedly resigned.
3650|to hammer|He hammered the nail into the wall.
3655|to assess|He assesses the situation correctly.
3662|to squat|He squats in front of the TV for hours.
3674|to avert|He averts the danger just in time.
3684|to evade|He skillfully evaded the question.
3688|to supply|The river supplies a lot of water.
3692|to attract|He attracted a lot of attention.
3702|at an angle|The angled tree fell during strong winds.
3713|to be mistaken|He was mistaken in his assumption.
3725|to suppress|He suppressed the thought immediately.
3728|to give way|He skillfully avoided the car.
3739|to judge|The book was rated positively.
3746|to rush|The wind rushes through the trees.
3747|to exchange|He exchanged the books for CDs.
3756|delivery|The submission of the tax return is due.
3763|to publish|The newspaper was republished.
3764|to tilt|The chair suddenly tipped over.
3766|to wipe|She wipes the dust from the shelf.
3768|to raise|He successfully provided the proof.
3783|to brake|He braked the car sharply.
3784|to install|He installed a new door.
3798|to reflect|The mirror reflects the light.
3819|to confess|He admits to his mistakes.
3827|to regret|He deeply regrets his decision.
3835|to be dropped|The appointment was canceled due to illness.
3870|to stare at|He stares at her all the time.
3875|to blow|A cold wind blows through the city.
3884|to consult|He consulted experts for advice.
3899|finding|The finding was unfortunately positive.
3936|to be too much|The test is too much for many students.
3941|to gain|He gains significantly during training.
3979|to confuse|The question confused him greatly.
4000|to display|He displays his artworks.
4008|laterally|The side door was locked.
4027|concern|He expressed strong concerns.
4029|to murder|The king was treacherously murdered.
4038|to hire|He hired the firm immediately.
4040|to penetrate|The water penetrated the basement.
4046|to crap|The dog crapped in the garden.
4049|to type|He types the text quickly.
4051|to link|He networked the devices for use.
4053|to continue|He continues with the work.
4054|to take off|He quickly takes off from the city.
4058|to know one's way around|He knows his way around the city well.
4061|to steal|He shoplifted the apple from the market stand.
4064|to distract|He skillfully distracts him from the topic.
4069|to listen|He listens to the quiet noise.
4070|to understand|I can understand your arguments.
4074|to remark|You couldn't tell anything from him.
4077|to follow through|He follows through with his plan consistently.
4078|to recover|He recovered after the illness.
4080|rate|The rating for the show increased.
4087|to emphasize|He emphasizes the most important points.
4091|to reduce|He consciously reduced the risks.
4098|to burst|The balloon burst loudly in the room.
4115|to instruct|He instructed the employees to be cautious.
4123|to rant|He ranted loudly about the noise.
4132|to delight|The gift delighted him greatly.
4133|to develop|The city is developing new areas.
4151|to take off|The plane took off on time.
4153|to attach|He attaches the shelf to the wall.
4154|to escape|He narrowly escaped the danger.
4193|to survive|He survived the illness.
4195|to jump up/on|He quickly jumped up from the chair.
4197|to start|The concert started on time.
4210|to anchor|The right was enshrined in the law.
4213|to clear|He eliminated the errors in the code.
4220|to divide|The text was divided into chapters.
4221|to distort|The child twisted its face in disgust.
4231|final|Finally, he thanked everyone.
4232|to open|He opened the book to page ten.
4237|to brush|The dog wanders through the forest.
4240|to support|He supports his family with difficulty.
4252|to continue|The rain lasts all day.
4253|to straighten up|He slowly straightened up again.
4254|to run out|The contract expires next year.
4267|to fall apart|The old building is slowly falling apart.
4269|to take over|The new boss replaced the old one.
4271|to fail to appear|The expected answer did not appear.
4272|to get|He gets the tickets for the concert.
4275|to oppose|He opposes the pressure.
4282|to monitor|The police monitor the area.
4296|to be pending|The decision is still pending.
4298|to lock up|He locked the books in the cabinet.
4306|to illuminate|The light illuminates the room.
4309|to complicate|The rain complicates the drive.
4318|to conquer|They conquer the castle in a storm.
4323|to visit|He visited the doctor due to pain.
4324|to research|He is researching a new medication.
4340|to evoke|The picture evokes emotions.
4351|to complain|He complains about the noise.
4352|to accommodate|He accommodates the suggestion.
4361|to hear|The judge questions the witness.
4362|to extend|The project extends over years.
4366|to present|She performed her poem impressively.
4388|to adhere|He is liable for the damage caused.
4390|to err|He was wrong about the street.
4392|to decay|The old house is slowly deteriorating.
4394|to settle|The company is settling here.
4397|to realize|He finally realizes his mistake.
4408|common feature|The common features are obvious.
4413|to defer to|He resigned himself to his fate.
4424|to evaluate|He thoroughly evaluated the data.
4427|to follow|He immediately followed the request.
4438|to tear (up, to pieces)|The dog tears the old toy to pieces.
4456|to dampen|He cautiously dampened expectations.
4470|to appreciate|He appreciates her performance in the project.
4482|to arrive|The guests will arrive around evening.
4485|to plead|The lawyer pleaded for innocence.
4507|(type of) sport|This sport requires endurance.
4546|to break|The glass shattered into a thousand pieces.
4563|to input|He inputs the data into the system.
4568|to organize|He skillfully organizes the work.
4570|to depart|He finally departs early tomorrow.
4572|to shift|He immediately switched off the light.
4584|to overhaul|He overtakes the slow car.
4585|to precede|He bravely led the way into battle.
4591|to flow into|The river flows into the open sea.
4619|to ring|The bells rang in the morning.
4624|to fulfill|He realized his dream.
4625|to fasten|He attaches the picture to the wall.
4629|to shake|The news shook him.
4637|to stay overnight|He stays overnight at the hotel by the lake.
4642|to defeat|The team defeated the opponent in the final.
4656|to operate|The doctor operates on the patient.
4657|to sting|The bee stung him in the arm.
4661|to confuse|He often confused the twins.
4664|to create|The plant produced many flowers.
4666|to tie|He establishes contacts at the fair.
4668|to decrease|The pain is finally easing.
4671|optimally|He recovered very well during the vacation.
4682|to arrange|They made an appointment for the evening.
4685|familial|We live in a close-knit family environment.
4690|to deepen|The book deepens his knowledge.
4693|to favor|The mild climate favors growth.
4697|to promote|He pushed the project forward swiftly.
4700|to define|She distances herself from the others.
4702|to devise|He makes up a story.
4706|to couple|He couples the trailer to the car.
4711|to resign|He quickly resigned after the scandal.
4722|expressed|The weather was exceptionally good.
4723|to page|The president declared the state of emergency.
4755|to dye|She dyed her hair blond.
4756|report|The expert opinion confirmed the suspicion.
4766|to resemble|He strongly resembles his father.
4778|to stumble|He stumbled over the threshold.
4780|to attribute|The success is attributed to him.
4785|to shine|The table shines after polishing.
4792|to exit|He leaves early after the party.
4795|(academic) department|The academic department is well equipped.
4804|to report|He accurately reported the conversation.
4817|to refine|He further developed the concept.
4832|to collapse|The building suddenly collapsed.
4834|to exploit|He took advantage of the opportunity.
4840|to tighten|He tightens the bow with all his strength.
4842|to blast|They blew up the old bridge.
4858|to dismantle|He dismantles the engine into parts.
4860|to encounter|I met him in the park yesterday.
4862|to lay out|He lays out the plan on the table.
4877|to water|She waters the flowers in the garden.
4879|to collect|He collects the money at the register.
4886|to broach|We need to address the issue.
4892|to file|She arranges the books alphabetically.
4896|to glow|The iron glowed red in the fire.
4906|to pull in|He consulted the expert for advice.
4929|to wake|The book awakens great interest.
4931|to examine|He examined the picture attentively.
4936|to switch off|He switched off the device immediately.
4937|to flip|He flips through the magazine.
4940|to enact|The command was enacted to all soldiers.
4943|break (the law)|He broke the law.
4953|to date back|The event dates back a long time.
4956|to raise|He raised the window to let in some air.
4963|to forgive|He forgave him for the harsh words.
4964|to initiate|We toasted to the success.
4966|to issue|The new law was enacted yesterday.
4978|to strike|He strikes immediately at the offer.
4979|to obstruct|The traffic accident obstructs the flow.
4983|to go|He is going to Berlin tomorrow.
4987|to spin|The spider spins its web carefully.
4989|to consort|The bus runs every 30 minutes.
4990|to surprise|It surprised him to see her there.
5005|to cause|He arranged the repair immediately.
5009|to broadcast|The broadcaster radiates the program.
5010|to affect|Noise impairs concentration.
5013|to heal|The doctor heals the sick patient.
5029|to classify|The risk was classified as high.
5045|to yield|He eventually yielded to the pressure.
5055|to fumble|He fumbles for the light switch.
5058|to stick together|The friends always stick together.
5075|to bestow|Fate bestows joy upon us.
5089|further development|The further development continues.
5091|to conjure|The wizard conjured the spirit.
5101|to produce|He manufactures handcrafted furniture.
5108|to cover|The curtain covers the window.
