41|dann|dan|adv|then|Erst gehen wir einkaufen und dann in ein Restaurant.|First we go shopping, then we go to a restaurant.|||||||||2898.71114619662 | 0.912808569013773
42|wenn|vɛn|conj|if, when|Ich erzähle es dir, wenn wir uns sehen.|I’ll tell you when we see each other.|||||||||2838.04308388525 | 0.953047308965478
43|müssen, muss, musste, hat gemusst|ˈmʏsn̩|verb|to have to, must|Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.|I have to be home by nine o’clock or my mother will be angry.|||||||||2787.72456916558 | 0.95541198033977
44|um|ʊm|prep|around, at|Die Kinder laufen um den Baum.|The children run around the tree.|conj|in order to|Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.|I also work on weekends in order to pay for my vacation.|||||2684.72192884814 | 0.967943124461274
45|ja|jaː|part|yes, of course|Ja, ich verstehe das.|Yes, I understand that.|||||||||2526.52170137494 | 0.816524121127013
46|kein|kaɪ̯n|pron|no|Sie haben keine Chance, das Spiel zu gewinnen.|They have no chance of winning the game.|||||||||2476.99172361464 | 0.96257523573994
47|über|ˈyːbɐ|prep|above, over, about|Über mir fliegt ein Flugzeug.|There’s a plane flying above me.|||||||||2382.26872137056 | 0.972624814379222
48|da|daː|adv|there|Da hinten steht mein Auto.|There’s my car over there.|conj|because|Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.|Because I have a new job, I’m moving to another city.|||||2326.43044793532 | 0.897028411444342
49|geben, gibt, gab, hat gegeben|ˈɡeːbn̩|verb|to give|Timo gibt dem Verkäufer die Bücher.|Timo gives the books to the seller.|||||||||2240.43063580425 | 0.965516657502514
50|vor|foːɐ̯|prep|in front of, before, ago|Laura wartet vor der Tür auf ihre Freunde.|Laura is waiting in front of the door for her friends.|||||||||2163.79470006568 | 0.953935750434218
51|mein|maɪ̯n|pron|my, mine|Anna ist meine kleine Schwester.|Anna is my little sister.|||||||||2105.19654727264 | 0.895121119210004
52|mehr|meːɐ̯|adv|more|Ich habe Hunger und möchte mehr Brot.|I’m hungry and want more bread.|||||||||2081.88542341133 | 0.957348988440384
53|das Jahr, -e|jaːɐ̯|das|year|Ein Jahr hat 52 Wochen.|A year has 52 weeks.|||||||||2079.56909609318 | 0.937609843063699
54|du|duː|pron|you|Wer bist du?|Who are you?|||||||||2042.06430696324 | 0.829500305900465
55|durch|dʊʁç|prep|through|Ralf läuft durch die Stadt.|Ralf walks through the city.|||||||||2037.92448792656 | 0.940426723338643
56|viel|fiːl|pron|much, a lot, many|Ich gebe im Urlaub viel Geld aus.|I spend a lot of money on vacation.|||||||||2032.99613193051 | 0.942867754176494
57|wollen, will, wollte, hat gewollt|ˈvɔlən|verb|to want to|Die Kinder wollen spielen.|The children want to play.|||||||||2017.6689447828 | 0.933935560312433
58|machen, macht, machte, hat gemacht|ˈmaxn̩|verb|to do, make|Die Schüler machen ihre Aufgaben.|The students do their tasks.|||||||||1971.09598062013 | 0.928747377659966
59|andere (r, s)|ˈandəʁə|pron|other|Es gibt noch einen anderen Weg zum Bahnhof.|There’s another way to the station.|||||||||1940.9344419243 | 0.970559908460345
60|sollen, soll, sollte, hat gesollt|ˈzɔlən|verb|should, ought to|Ihr sollt in der Bibliothek leise sein.|You should be quiet in the library.|||||||||1839.85386044532 | 0.957702018605499
61|schon|ʃoːn|adv|already|Günter arbeitet schon seit 30 Jahren hier.|Günter has been working here for 30 years now.|part||Die Karten für das Theater sind schon sehr teuer.|The tickets for the theater are really expensive.|||||1839.70600976544 | 0.933228590427611
62|kommen, kommt, kam, ist gekommen|ˈkɔmən|verb|to come|Wir kommen morgen Abend zu dir.|We’ll come to your place tomorrow night.|||||||||1836.94613040765 | 0.945349345004173
63|mir|miːɐ̯|pron|me|Gibst du mir dein Fahrrad?|Are you giving me your bike?|||||||||1798.99778923807 | 0.887596981997641
64|immer|ˈɪmɐ|adv|always|Zum Frühstück esse ich immer eine Scheibe Brot.|I always have a slice of bread for breakfast.|||||||||1703.33839935474 | 0.946640638434254
65|mich|mɪç|pron|me|Timo setzt sich neben mich an den Tisch.|Timo sits down next to me at the table.|(Reflexive pronoun in the acc.)||Nach der Schule lege ich mich immer kurz ins Bett.|After school I always lie down in bed for a while.|||||1683.87139317034 | 0.890610230542574
66|gehen, geht, ging, ist gegangen|ˈɡeːən|verb|to go|Wir gehen heute ins Theater.|We’re going to the theater today.|||||||||1648.68293135855 | 0.943839694253337
67|groß|ɡʁoːs|adj|big, large, great|Florian hat eine große Wohnung.|Florian has a big apartment.|||||||||1636.95344408795 | 0.967856249522763
68|hier|hiːɐ̯|adv|here|Hier ist mein Zimmer.|Here is my room.|||||||||1620.5420186211 | 0.927950154780344
69|ganz|ɡant͡s|adj|whole, all the|Das ganze Zimmer ist leer.|The whole room is empty.|part|quite|Er löst die Aufgabe ganz gut.|He’s solving the task quite well.|||||1575.44756125725 | 0.930999448797306
70|zwei|t͡svaɪ̯|num|two|Anna hat zwei Schwestern, Tina und Sarah.|Anna has two sisters, Tina and Sarah.|||||||||1571.2584586606 | 0.969659722450975
71|also|ˈalzo|adv|so|Das ist also der neue Schüler.|So, this is the new student.|||||||||1568.25216150301 | 0.841750680672394
72|jetzt|jɛt͡st|adv|now|Wir müssen jetzt ins Bett.|We have to go to bed now.|||||||||1541.49118844446 | 0.903612771181303
73|doch|dɔx|adv|however, but|Heute scheint die Sonne, doch ich bleibe zu Hause.|Today the sun is shining, but I’m staying at home.|part||Er kommt doch nicht zum Spiel.|He’s not coming to the game after all.|||||1539.17486112632 | 0.925322604620131
74|wieder|ˈviːdɐ|adv|again|Lea kommt wieder zu spät.|Lea’s late again.|||||||||1530.50095457327 | 0.943114098344875
75|uns|ʊns|pron|us, we|Katharina besucht Max und mich, wir freuen uns darauf.|Katharina is visiting Max and me, we are looking forward to it.|||||||||1478.65464949483 | 0.91466462780057
76|gut|ɡuːt|adj|good|Die Blumen riechen gut.|The flowers smell good.|||||||||1441.79054664438 | 0.93859692519171
77|bis|bɪs|prep|until, till|Meine Mutter arbeitet bis sieben Uhr.|My mother works until seven o’clock.|conj|until|Ich warte hier, bis er kommt.|I’ll wait here until he comes.|||||1411.33330658879 | 0.963605755817309
78|wissen, weiß, wusste, hat gewusst|ˈvɪsn̩|verb|to know|Max weiß viel und ist gut in der Schule.|Max knows a lot and is good at school.|||||||||1358.50133031113 | 0.916710470585838
79|sehen, sieht, sah, hat gesehen|ˈzeːən|verb|to see|Seit er die neue Brille hat, kann er besser sehen.|Since he got the new glasses, he can see better.|||||||||1358.30419607129 | 0.932617627168081
80|einer|ˈaɪ̯nɐ|pron|(some)one|Dieses Problem ist nur eines von vielen.|This problem is only one of many.|||||||||1328.48764229519 | 0.955910080872484
81|sehr|zeːɐ̯|adv|very|Sie ist eine sehr gute Ärztin.|She’s a very good doctor.|||||||||1307.83783067174 | 0.913939113905231
82|Mal|maːl|das|time, mark|Maria hat ein dunkles Mal auf ihrer Haut.|Maria has a dark mark on her skin.|conj|times|Ein mal eins ist eins.|One times one equals one.|part||Meine Freundin Veronika hat mal im Ausland gearbeitet.|My friend Veronika once worked abroad.|1288.1736902475 | 0.864058607333295
83|lassen, lässt, ließ, hat gelassen|ˈlasn̩|verb|to let, allow, have done|Lass mich gehen!|Let me go!|||||||||1256.58292831282 | 0.96398012280464
84|neu|nɔɪ̯|adj|new|Ich habe eine neue Tasche, weil die alte kaputt ist.|I got a new bag because the old one’s broken.|||||||||1213.21339554759 | 0.942132654393388
85|stehen, steht, stand, hat gestanden|ˈʃteːən|verb|to stand|Die Fahrräder stehen im Keller.|The bicycles stand in the cellar.|||||||||1187.19167588844 | 0.953336903884843
86|unser|ˈʊnzɐ|pron|our|Unser Verein hat das Spiel verloren.|Our club lost the game.|||||||||1171.0266682214 | 0.898939563471416
87|jede (r, s)|ˈjeːdə|pron|every|Wir fahren jeden Sommer in den Urlaub.|We go on vacation every summer.|||||||||1162.50061234823 | 0.96914746429124
88|weil|vaɪ̯l|conj|because|Frederiks Mutter steht früh auf, weil sie um sechs Uhr arbeiten muss.|Frederik’s mother gets up early because she has to work at six o’clock.|||||||||1157.86795771195 | 0.933161866147258
89|unter|ˈʊntɐ|prep|under|Unter der Brücke fließt ein Fluss.|Under the bridge a river flows.|||||||||1133.62044621138 | 0.97116677733196
90|der Mensch, -en|mɛnʃ|der|human being|Es gibt über sieben Milliarden Menschen auf der Welt.|There are over seven billion human beings in the world.|||||||||1093.5529119635 | 0.928551717276978
91|ihm|iːm|pron|him|Tom zieht zu Anna und sie gibt ihm die Schlüssel zu ihrer Wohnung.|Tom moves in with Anna and she gives him the keys to her apartment.|||||||||1083.89333421124 | 0.893099727526526
92|ihn|iːn|pron|him|Ich treffe ihn immer am Donnerstag in der Universität.|I always meet him on Thursday at the university.|||||||||1078.66927685542 | 0.89738719518441
93|denn|dɛn|conj|because|Heute sind alle Geschäfte geschlossen, denn es ist Sonntag.|Today all shops are closed because it is Sunday.|part|anyway|Was sagt denn deine Mutter dazu?|What does your mother say about that anyway?|||||1055.21030231423 | 0.926592565403401
94|das Beispiel, -e|ˈbaɪ̯ˌʃpiːl|das|example|Das Beispiel passt nicht gut zu diesem Argument.|The example does not fit this argument well.|||||||||1027.41437449651 | 0.902441456358117
95|erste (r, s)|ˈeːɐ̯stə|adj|first|Jonah feiert heute seinen ersten Geburtstag.|Jonah celebrates his first birthday today.|||||||||1025.29518141821 | 0.961540976125913
96|die Zeit, -en|t͡saɪ̯t|die|time|Jannik braucht viel Zeit für seine Aufgabe.|Jannik needs a lot of time for his task.|||||||||967.288431344699 | 0.952768817550733
97|lang|laŋ|adj|long|Mit ihren langen Beinen rennt sie schneller als Max.|With her long legs she runs faster than Max.|adv|for a long time|Jeden Tag warten sie lange auf den Bus.|Every day they wait a long time for the bus.|||||929.931492894641 | 0.953243081418035
98|leben, lebt, lebte, hat gelebt|ˈleːbn̩|verb|to live|Frauen leben länger als Männer.|Women live longer than men.|||||||||927.565882016537 | 0.941043891921357
99|die Frau, -en|fʁaʊ̯|die|woman, wife, Mrs.|Frauen sollten den gleichen Lohn bekommen wie Männer.|Women should be paid the same as men.|||||||||926.087375217722 | 0.917261060941017
100|etwas|ˈɛtvas|pron|something, some, a little|Jeder macht die Welt etwas besser.|Everybody makes the world a little better.|||||||||919.187676823253 | 0.930477172520158
101|selbst, selber|zɛlpst|pron|-self|Es ist wichtig, sich selbst zu lieben.|It is important to love yourself.|part|even|Selbst wenn es regnet, spielen sie im Garten.|Even when it rains, they play in the garden.|||||905.04329511459 | 0.955155094889989
102|wenig|ˈveːnɪç|adj|few|Es gibt nur wenige Menschen, denen er vertraut.|There are just a few people he trusts.|pron|little, few|Diese Pflanze braucht nur sehr wenig Wasser.|This plant only needs very little water.|||||887.991183368257 | 0.962348269658071
103|finden, findet, fand, hat gefunden|ˈfɪndn̩|verb|to find|Ich kann meine Tasche nicht finden.|I can’t find my bag.|||||||||885.132736890548 | 0.9628238328014
104|gegen|ˈɡeːɡn̩|prep|against|Ich verliere immer gegen dich.|I always lose against you.|||||||||880.598649374183 | 0.910626576081244
105|zwischen|ˈt͡svɪʃn̩|prep|between|Mein Fahrrad steht zwischen den Bäumen.|My bicycle is standing between the trees.|||||||||878.233038496079 | 0.954298413877516
106|drei|dʁaɪ̯|num|three|Im Deutschen gibt es drei Artikel, der, die und das.|In German there are three articles, “der”, “die”, and “das”.|||||||||870.889788061964 | 0.965531590521175
107|liegen, liegt, lag, hat gelegen|ˈliːɡn̩|verb|to lie|Der Hund liegt unter dem Stuhl.|The dog is lying under the chair.|||||||||861.624478789391 | 0.955290920118278
108|wo|voː|pron|where|Wo bist du geboren?|Where were you born?|||||||||848.317917600056 | 0.925074906525509
109|nichts, nix|nɪçt͡s|pron|nothing|Wenn es dunkel ist, kann man nichts sehen.|When it’s dark, you can see nothing.|||||||||837.968370008351 | 0.915102724438912
110|klein|klaɪ̯n|adj|small, little|Martin hat eine kleine Schwester.|Martin has a little sister.|||||||||823.232585580163 | 0.955925715560189
111|der Tag, -e|taːk|der|day|Eine Woche hat sieben Tage.|A week has seven days.|||||||||822.98616778036 | 0.941968355151611
112|deutsch|dɔɪ̯t͡ʃ|adj|German|Nina interessiert sich für deutsche Geschichte.|Nina is interested in German history.|das|German|Deutsch ist eine schwierige Sprache.|German is a difficult language.|||||795.781642682165 | 0.910052001511723
113|bleiben, bleibt, blieb, ist geblieben|ˈblaɪ̯bn̩|verb|to stay, remain|Anna möchte für ein Jahr im Ausland bleiben.|Anna wants to stay abroad for a year.|||||||||790.705436006234 | 0.959805337984468
114|nun, nu|nuːn|adv|now|Nun habt ihr euch euren Urlaub verdient.|Now you’ve earned your vacation.|||||||||786.072781369947 | 0.951964837051296
115|sondern|ˈzɔndɐn|conj|but (on the contrary)|Nicht er mag Fußball, sondern seine Schwester.|He doesn’t like soccer, but his sister does.|||||||||786.023497809986 | 0.95214684999404
116|heute|ˈhɔɪ̯tə|adv|today|Heute ist mein Geburtstag.|Today is my birthday.|||||||||778.877381615714 | 0.930109246020444
117|beide|ˈbaɪ̯də|pron|both|Er hat zwei Kinder und liebt sie beide.|He has two children and loves them both.|||||||||766.014372466024 | 0.966884934591719
118|hoch|hoːx|adj|high, tall|Diese Berge sind sehr hoch.|These mountains are very high.|||||||||763.057358868394 | 0.955913400337143
119|damit|daˈmɪt|pron|with it|Ich nehme den Wagen und fahre damit zur Arbeit.|I take the car and drive to work with it.|||||||||761.726702749461 | 0.964096968226734
120|ohne|ˈoːnə|prep|without|Ich verlasse meine Wohnung nie ohne Schlüssel.|I never leave my apartment without a key.|conj|without|Du sprichst, ohne nachzudenken.|You talk without thinking.|||||761.184583589895 | 0.967323157226431
121|der Mann, -̈er|man|der|man|Sie wohnt mit einem Mann zusammen.|She lives with a man.|||||||||758.129002872344 | 0.920786715200132
122|welch, -e, -er, -es|vɛlç|pron|which|Welchen Film magst du lieber?|Which movie do you like better?|||||||||757.143331673134 | 0.926516499855671
123|tun, tut, tat, hat getan|tuːn|verb|to do|Heute habe ich nichts zu tun.|Today I have nothing to do.|||||||||753.200646876295 | 0.930056312196529
124|einmal|ˈaɪ̯nmaːl|adv|once|Ich möchte einmal im Leben nach Paris fahren.|I want to go to Paris once in my life.|||||||||731.02304489407 | 0.934765801641185
125|ihnen|ˈiːnən|pron|them|Er gibt ihnen den Schlüssel, damit Tina und Erik in seiner Wohnung schlafen können.|He gives them the key so that Tina and Erik can sleep in his apartment.|pron|you|Kann ich Ihnen etwas zu trinken anbieten?|Can I offer you something to drink?|||||720.032811022879 | 0.928874524882094
126|heißen, heißt, hieß, hat geheißen|ˈhaɪ̯sn̩|verb|to be called|Sein Freund heißt Markus.|His friend is called Markus.|||||||||717.667200144775 | 0.960981141543069
127|ob|ɔp|conj|whether, if|Ich kann mich nicht entscheiden, ob ich Bier oder Wein nehme.|I can’t decide if I’ll have beer or wine.|||||||||713.034545508488 | 0.959313008026385
128|denken, denkt, dachte, hat gedacht|ˈdɛŋkn̩|verb|to think|Ich denke gerade an meinen letzten Urlaub.|I’m thinking about my last vacation.|||||||||706.2826977939 | 0.908065457022327
129|dabei|daˈbaɪ̯|pron|with it, there|Lisa ist auch dabei.|Lisa will be there too.|||||||||694.602494083262 | 0.971887752713601
130|seit|zaɪ̯t|prep|since, for|Ihre Schwester ist seit drei Monaten im Ausland.|Her sister has been abroad for three months.|||||||||690.46267504658 | 0.932890727565786
131|einfach|ˈaɪ̯nfax|adj|simple, easy|Die Prüfung war sehr einfach.|The exam was very simple.|part|simply|Du musst einfach nur geradeaus gehen.|You must simply walk straight ahead.|||||680.408828814639 | 0.938932170762948
132|erst|eːɐ̯st|adv|first, only, not until|Erst solltest du deine Eltern fragen.|First you should ask your parents.|part||Jetzt geht es erst richtig los!|It’s just beginning!|||||680.260978134757 | 0.958832462337036
133|das Kind, -er|kɪnt|das|child|Das Kind geht gern zur Schule.|The child likes going to school.|||||||||679.472441175389 | 0.918722243597067
134|das Land, -̈er|lant|das|land, country, state|Welches Land würdest du gern besuchen?|Which country would you like to visit?|||||||||674.938353659023 | 0.909993598882259
135|stellen, stellt, stellte, hat gestellt|ˈʃtɛlən|verb|to place, set, put|Er stellt sein Fahrrad in den Garten.|He puts his bike in the garden.|||||||||652.169348957273 | 0.970816551499536
136|zeigen, zeigt, zeigte, hat gezeigt|ˈt͡saɪ̯ɡn̩|verb|to show|Können Sie mir den Weg zeigen?|Could you show me the way?|||||||||651.82436403755 | 0.959348978228786
137|natürlich|naˈtyːɐ̯lɪç|adj|natural|Ich beobachte wilde Tiere in ihrer natürlichen Umgebung.|I observe wild animals in their natural environment.|adv|naturally, of course|Natürlich vermisse ich dich.|Of course I miss you.|||||637.877116568729 | 0.92093127147716
138|alt|alt|adj|old|Wie alt bist du?|How old are you?|||||||||637.236430289242 | 0.94381443032636
139|dort|dɔʁt|adv|there|Die Bibliothek ist dort drüben.|The library is over there.|||||||||633.244461932442 | 0.942231270638408
140|Deutschland|ˈdɔɪ̯t͡ʃlant|das|Germany|Meine Familie wohnt in einer kleinen Stadt im Westen von Deutschland.|My family lives in a small town in the west of Germany.|||||||||632.948760572679 | 0.892527572945109
141|gleich|ɡlaɪ̯ç|adj|same, right away, just|Die zwei Schwestern tragen das gleiche Kleid.|The two sisters are wearing the same dress.|||||||||631.568820893785 | 0.957885300401898
142|nehmen, nimmt, nahm, hat genommen|ˈneːmən|verb|to take|Ich nehme ein Wasser.|I’ll take a water.|||||||||618.114409024569 | 0.961192359913483
143|dürfen, darf, durfte, hat gedurft|ˈdʏʁfn̩|verb|to be allowed to may|Darf ich heute Abend mit Lisa ins Kino?|May I go to the movies with Lisa tonight?|||||||||610.229039430889 | 0.95149018174076
144|wichtig|ˈvɪçtɪç|adj|important|Er hat eine wichtige Frage.|He has an important question.|||||||||601.801550677644 | 0.943375185074008
145|vielleicht|fiˈlaɪ̯çt|adv|perhaps, maybe|Vielleicht gibt es noch einen anderen Weg.|Maybe there’s another way.|part||Du kannst vielleicht laut sein!|You can be quite loud!|||||601.555132877842 | 0.913070531047788
146|hören, hört, hörte, hat gehört|ˈhøːʁən|verb|to hear|Kannst du mich hören?|Can you hear me?|||||||||599.189521999738 | 0.925358132567862
147|das Haus, -̈er|haʊ̯s|das|house|Meine Eltern wohnen in einem kleinen Haus.|My parents live in a small house.|||||||||594.45830024353 | 0.915298662456106
148|nein, nee, nö|naɪ̯n|part|no|Nein, ich habe das nicht verstanden.|No, I didn’t understand that.|||||||||586.030811490285 | 0.817853069801723
149|wer|veːɐ̯|pron|who, whoever|Wer ist da?|Who is there?|||||||||583.960901971944 | 0.930053888849918
150|dazu|daˈt͡suː|pron|in addition, furthermore, to that, for that|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.|||||||||578.835411736052 | 0.960939804501838
151|eigentlich|ˈaɪ̯ɡn̩tlɪç|adj|actual, real|Steffen ist der eigentliche Chef der Firma, aber er ist selten da.|Steffen is the real boss of the company, but he’s rarely there.|adv|actually|Eigentlich mag ich kein Eis, aber ich esse es trotzdem.|Actually, I don’t like ice cream, but I eat it anyway.|part||Was studiert deine Schwester eigentlich genau?|What exactly is your sister studying?|569.816520263281 | 0.876608401027724
152|letzte (r, s)|ˈlɛt͡stə|adj|last|Das ist das letzte Auto, das ich für meinen Sohn kaufe, das nächste bezahlt er selbst.|This is the last car I’m buying for my son; the next one he’ll be paying for himself.|||||||||564.247477987744 | 0.952034226826547
153|fragen, fragt, fragte, hat gefragt|ˈfʁaːɡn̩|verb|to ask|Die Touristen fragen nach dem Weg.|The tourists ask for directions.|||||||||559.811957591299 | 0.897087891553608
154|der Herr, -en|hɛʁ|der|Mr.|Unser neuer Lehrer heißt Herr Schmidt.|Our new teacher is called Mr. Schmidt.|||||||||558.678435712208 | 0.818165436143158
155|halten, hält, hielt, hat gehalten|ˈhaltn̩|verb|to stop, hold|Er hält ein Buch in seinen Händen.|He’s holding a book in his hands.|||||||||556.460675513986 | 0.945422002310531
156|glauben, glaubt, glaubte, hat geglaubt|ˈɡlaʊ̯bn̩|verb|to believe|Sie glaubt ihm nicht.|She doesn’t believe him.|||||||||555.91855635442 | 0.911856393860619
157|die Frage, -n|ˈfʁaːɡə|die|question|Die Studierenden stellen zu dem neu eingeführten Thema viele Fragen.|The students ask many questions about the newly introduced topic.|||||||||553.355811236474 | 0.94882917953506
