adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
bekitmoq[sound:bekitmoq_1.mp3]                         |закрывать, запирать, прятать, укрывать
bet[sound:bet_1.mp3]                                   |лицо
betob[sound:betob_1.mp3]                               |больной
bezatmoq[sound:bezatmoq_1.mp3]                         |украшать
besh[sound:besh_1.mp3]                                 |пять, пятёрка
beshik[sound:beshik_1.mp3]                             |колыбель
bechora[sound:bechora_1.mp3]                           |бедный, несчастный
bilak[sound:bilak_1.mp3]                               |кисть
bilan[sound:bilan_1.mp3]                               |с, со, вместе с
bildirmoq[sound:bildirmoq_1.mp3]                       |заявлять, выражать
bilim[sound:bilim_1.mp3]                               |знание, познание
bilmoq[sound:bilmoq_1.mp3]                             |знать, понимать
binafsha[sound:binafsha_1.mp3]                         |фиалка
bino[sound:bino_1.mp3]                                 |здание, помещение, стройка
binokor[sound:binokor_1.mp3]                           |строитель [см. quruvchi]
bir[sound:bir_1.mp3]                                   |один [одна, одно]
biram[sound:biram_1.mp3]                               |такой [преувеличение]
birdan[sound:birdan_1.mp3]                             |вдруг, неожиданно-нега­данно, сразу, разом
birga[sound:birga_1.mp3]                               |вместе, совместно
birinchi[sound:birinchi_1.mp3]                         |первый, впервые, первый раз; первоклассный
birinchilik[sound:birinchilik_1.mp3]                   |первенство
birlashmoq[sound:birlashmoq_1.mp3]                     |соединяться, объединяться
birlik[sound:birlik_1.mp3]                             |единство, единение, солидарность
biroq[sound:biroq_1.mp3]                               |но, однако
birov[sound:birov_1.mp3]                               |кто-то, некто, некий
birpas[sound:birpas_1.mp3]                             |один миг, одно мгновение, немного
bitta[sound:bitta_2.mp3]                               |один, одна, штука
biz[sound:biz_1.mp3]                                   |мы
bobo[sound:bobo_1.mp3]                                 |дед, дедушка
bodom[sound:bodom_1.mp3]                               |миндаль
bodring[sound:bodring_1.mp3]                           |огурец
bol[sound:bol_1.mp3]                                   |мёд
bola[sound:bola_1.mp3]                                 |младенец, ребенок, мальчик, детёныш
bolalik[sound:bolalik_1.mp3]                           |детство, ребячество, мальчишество
bolakay[sound:bolakay_1.mp3]                           |мальчуган
bolta[sound:bolta_1.mp3]                               |топор
bolgʻa[sound:bolg‘a_1.mp3]                             |молоток
bor[sound:bor_1.mp3]                                   |есть, существует
bormoq[sound:bormoq_1.mp3]                             |идти, пойти; ехать
bosmaxona[sound:bosmaxona_1.mp3]                       |типография
bosmoq[sound:bosmoq_1.mp3]                             |давить, нажать; наступать
boy[sound:boy_1.mp3]                                   |богатый
boya[sound:boya_1.mp3]                                 |немного раньше, недавно
boylik[sound:boylik_1.mp3]                             |богатство
boychechak[sound:boychechak_1.mp3]                     |подснежник
bozor[sound:bozor_1.mp3]                               |базар, рынок
bogʻ[sound:bog‘_1.mp3]                                 |сад
bogʻbon[sound:bog‘bon_1.mp3]                           |садовник
bogʻlamoq[sound:bog‘lamoq_1.mp3]                       |привязывать, связывать, завязывать
bogʻcha[sound:bog‘cha_1.mp3]                           |садик, детский сад
bosh[sound:bosh_1.mp3]                                 |1. голова, 2. вершина, верхушка, 3. начало
boshlamoq[sound:boshlamoq_1.mp3]                       |начинать [начать], приступать [приступить]
boshlangʻich[sound:boshlang‘ich_1.mp3]                 |начальный
boshliq[sound:boshliq_1.mp3]                           |руководитель, начальник
boshqa[sound:boshqa_1.mp3]                             |другой
boshqatdan[sound:boshqatdan_1.mp3]                     |снова, заново
boshqotirma[sound:boshqotirma_1.mp3]                   |головоломка
bu[sound:bu_1.mp3]                                     |этот, эта, это
bugun[sound:bugun_1.mp3]                               |сегодня
bugungi[sound:bugungi_1.mp3]                           |сегодняшний
bukmoq[sound:bukmoq_1.mp3]                             |сложить, гнуть, сгибать
bulbul[sound:bulbul_1.mp3]                             |соловей
buloq[sound:buloq_1.mp3]                               |родник, источник
bulut[sound:bulut_1.mp3]                               |облако, туча
bulutli[sound:bulutli_1.mp3]                           |облачный, пасмурный
buramoq[sound:buramoq_1.mp3]                           |вертеть, крутить, закручивать, ввинчивать, завинчивать
burgut[sound:burgut_1.mp3]                             |орёл
burun[sound:burun_1.mp3]                               |нос
burch[sound:burch_1.mp3]                               |долг, обязанность
burchak[sound:burchak_1.mp3]                           |угол
butun[sound:butun_1.mp3]                               |целый, весь
butunlay[sound:butunlay_1.mp3]                         |совсем, целиком, полностью
buva[sound:buva_1.mp3]                                 |дед, дедушка
buvi[sound:buvi_1.mp3]                                 |бабушка
buyuk[sound:buyuk_1.mp3]                               |1. великий, 2. грандиозный, громадный, огромный
buyrak[sound:buyrak_1.mp3]                             |почка
buyum[sound:buyum_1.mp3]                               |вещь, предмет [см. narsa]
buzmoq[sound:buzmoq_1.mp3]                             |ломать [сломать], нарушать
buzoq[sound:buzoq_1.mp3]                               |телёнок
bugʻdoy[sound:bug‘doy_1.mp3]                           |пшено, пшеница
bugʻ[sound:bug‘_1.mp3]                                 |пар
bugʻu[sound:bug‘u_1.mp3]                               |олень
boʻlak[sound:bo‘lak_1.mp3]                             |часть, кусок, пачка; початок
boʻlmoq[sound:bo‘lmoq_1.mp3]                           |делить, разделять, распределять
boʻpti[sound:bo‘pti_1.mp3]                             |ладно
boʻr[sound:bo‘r_1.mp3]                                 |мел
boʻri[sound:bo‘ri_1.mp3]                               |волк
boʻyamoq[sound:bo‘yamoq_1.mp3]                         |красить, окрашивать
boʻyin[sound:bo‘yin_1.mp3]                             |шея
boʻyoq[sound:bo‘yoq_1.mp3]                             |краска
boʻyoqchi[sound:bo‘yoqchi_1.mp3]                       |красильщик, маляр
boʻysunmoq[sound:bo‘ysunmoq_1.mp3]                     |подчиняться
boʻtaloq[sound:bo‘taloq_1.mp3]                         |верблюжонок
boʻgʻin[sound:bo‘g‘in_1.mp3]                           |сустав
boʻgʻiq[sound:bo‘g‘iq_1.mp3]                           |хриплый, сиплый
boʻgʻiz[sound:bo‘g‘iz_1.mp3]                           |горло, глоток, гортань
boʻgʻmoq[sound:bo‘g‘moq_1.mp3]                         |душить
boʻsh[sound:bo‘sh_1.mp3]                               |пустой, порожний; свободный
boʻshamoq[sound:bo‘shamoq_1.mp3]                       |освобождаться
dada[sound:dada_1.mp3]                                 |отец, папа
daftar[sound:daftar_1.mp3]                             |тетрадь
dahliz[sound:dahliz_1.mp3]                             |сени, прихожая
dahshat[sound:dahshat_1.mp3]                           |страх, ужас
dala[sound:dala_1.mp3]                                 |поле
dam[sound:dam_1.mp3]                                   |отдых
dam olmoq[sound:dam_olmoq_1.mp3]                       |отдыхать
dangasa[sound:dangasa_1.mp3]                           |лодырь, лентяй
daraxt[sound:daraxt_1.mp3]                             |дерево
dard[sound:dard_1.mp3]                                 |болезнь, недуг; горе
darrov[sound:darrov_1.mp3]                             |быстро, немедленно
dars[sound:dars_1.mp3]                                 |урок, учебное занятие
darslik[sound:darslik_1.mp3]                           |учебник
darsxona[sound:darsxona_1.mp3]                         |аудитория, помещение для учебных занятий
darvoza[sound:darvoza_1.mp3]                           |ворота
daryo[sound:daryo_1.mp3]                               |река
dasta[sound:dasta_1.mp3]                               |1. рукоятка, ручка; связка; 2. стопка, пачка, пучок
dastroʻmol[sound:dastro‘mol_1.mp3]                     |носовой платок
dasturxon[sound:dasturxon_1.mp3]                       |1. скатерть, 2. скатерть с угощением
dastyor[sound:dastyor_1.mp3]                           |подручный, помощник
davlat[sound:davlat_1.mp3]                             |государство; богатство; счастье
davolamoq[sound:davolamoq_1.mp3]                       |лечить
davom ettirmoq[sound:davom_ettirmoq_1.mp3]             |продолжать
davr[sound:davr_1.mp3]                                 |эпоха, век, время
davra[sound:davra_1.mp3]                               |круг
dazmollamoq[sound:dazmollamoq_1.mp3]                   |гладить
dehqon[sound:dehqon_1.mp3]                             |дехканин, земледелец, крестьянин
demoq[sound:demoq_1.mp3]                               |говорить, сказать
deraza[sound:deraza_1.mp3]                             |окно
devor[sound:devor_1.mp3]                               |стена, дувал, забор
doim[sound:doim_1.mp3]                                 |всегда, постоянно
don[sound:don_1.mp3]                                   |зерно, хлебное зерно
dona[sound:dona_1.mp3]                                 |штука
dori[sound:dori_1.mp3]                                 |лекарство
dovyurak[sound:dovyurak_1.mp3]                         |смелый, храбрый
duduq[sound:duduq_1.mp3]                               |заика
duduqlanmoq[sound:duduqlanmoq_1.mp3]                   |заикаться
dugona[sound:dugona_1.mp3]                             |подруга
dum[sound:dum_1.mp3]                                   |хвост
dumalamoq[sound:dumalamoq_1.mp3]                       |катиться, кувыркаться
umaloq[sound:dumaloq_1.mp3]                            |круглый, шарообразный
dunyo[sound:dunyo_1.mp3]                               |мир
duo[sound:duo_1.mp3]                                   |благословение
duradgor[sound:duradgor_1.mp3]                         |столяр
durbin[sound:durbin_1.mp3]                             |бинокль
dutor[sound:dutor_1.mp3]                               |дутар [двухструнный музыкальный инструмент]
duxoba[sound:duxoba_1.mp3]                             |бархат
dushanba[sound:dushanba_1.mp3]                         |понедельник
dushman[sound:dushman_1.mp3]                           |враг, противник
duch kelmoq[sound:duch_kelmoq_1.mp3]                   |повстречаться; очутиться
doʻkon[sound:do‘kon_1.mp3]                             |магазин, лавка
doʻl[sound:do‘l_1.mp3]                                 |град
doʻppi[sound:do‘ppi_1.mp3]                             |тюбетейка
doʻq[sound:do‘q_1.mp3]                                 |угроза, запугивание
doʻst[sound:do‘st_1.mp3]                               |друг
doʻstlik[sound:do‘stlik_1.mp3]                         |дружба
ega[sound:ega_1.mp3]                                   |хозяин, владелец, обладатель
egmoq[sound:egmoq_1.mp3]                               |нагибать, склонять
egov[sound:egov_1.mp3]                                 |напильник, подпилок
egovlamoq[sound:egovlamoq_1.mp3]                       |пилить, опиливать напильником
egri[sound:egri_1.mp3]                                 |кривой, искривлённый, изогнутый
ehtimol[sound:ehtimol_1.mp3]                           |вероятно, возможно
ehtiyot[sound:ehtiyot_1.mp3]                           |осторожность
ehtiyot qilmoq[sound:ehtiyot_qilmoq_1.mp3]             |оберегать
ekin[sound:ekin_1.mp3]                                 |посев, культура
ekmoq[sound:ekmoq_1.mp3]                               |сеять, сажать
elak[sound:elak_1.mp3]                                 |сито
elamoq[sound:elamoq_1.mp3]                             |сеять, просеивать
elektrchi[sound:elektrchi_1.mp3]                       |электрик
ellik[sound:ellik_1.mp3]                               |пятьдесят
emaklamoq[sound:emaklamoq_1.mp3]                       |ползать, ползти, на четвереньках
emlamoq[sound:emlamoq_1.mp3]                           |производить прививку
en[sound:en_1.mp3]                                     |ширина
eng[sound:eng_1.mp3]                                   |самый
engak[sound:engak_1.mp3]                               |подбородок
engashmoq[sound:engashmoq_1.mp3]                       |наклоняться
endi[sound:endi_1.mp3]                                 |теперь, сейчас, только
enli[sound:enli_1.mp3]                                 |широкий
ensiz[sound:ensiz_1.mp3]                               |узкий, неширокий
eplamoq[sound:eplamoq_1.mp3]                           |справляться
epchil[sound:epchil_1.mp3]                             |ловкий
ergashmoq[sound:ergashmoq_1.mp3]                       |1. идти, следовать [за кем-л.]; 2. увязаться
erimoq[sound:erimoq_1.mp3]                             |таять
erinmoq[sound:erinmoq_1.mp3]                           |лениться
erinchoq[sound:erinchoq_1.mp3]                         |ленивый
erka (toy)[sound:erka_(toy)_1.mp3]                     |любимец, неженка, избалованный
erkak[sound:erkak_1.mp3]                               |1. мужчина; 2. самец
erkalamoq[sound:erkalamoq_1.mp3]                       |баловать, ласкать
erkin[sound:erkin_1.mp3]                               |свободный, вольный
erta[sound:erta_1.mp3]                                 |1. рано; 2. утро
ertaga[sound:ertaga_1.mp3]                             |завтра
ertagi[sound:ertagi_1.mp3]                             |ранний
ertak[sound:ertak_1.mp3]                               |сказка
ertalab[sound:ertalab_1.mp3]                           |утром
ertalabki[sound:ertalabki_1.mp3]                       |утренний
es[sound:es_1.mp3]                                     |1. ум, разум, рассудок; 2. память
esankiramoq[sound:esankiramoq_1.mp3]                   |растеряться
esdalik[sound:esdalik_1.mp3]                           |воспоминание, память
eski[sound:eski_1.mp3]                                 |старый, изношенный
eskirmoq[sound:eskirmoq_1.mp3]                         |изнашиваться, стареть, устареть
eslamoq[sound:eslamoq_1.mp3]                           |помнить, вспоминать, припоминать
esli[sound:esli_1.mp3]                                 |умный, понятливый
esmoq[sound:esmoq_1.mp3]                               |веять, дуть
esnamoq[sound:esnamoq_1.mp3]                           |зевать, позёвывать
esnoq[sound:esnoq_1.mp3]                               |зеванье, зевота, зевок
etak[sound:etak_1.mp3]                                 |подол, фартук
etik[sound:etik_1.mp3]                                 |сапог, сапоги
ezma[sound:ezma_1.mp3]                                 |надоедливо болтливый, многословный
ezmalanmoq[sound:ezmalanmoq_1.mp3]                     |надоедливо болтать
eshak[sound:eshak_1.mp3]                               |осёл
eshik[sound:eshik_1.mp3]                               |дверь
eshitmoq[sound:eshitmoq_1.mp3]                         |слышать, слушать
eshittirish[sound:eshittirish_1.mp3]                   |передача
echkemar[sound:echkemar_1.mp3]                         |варан
echki[sound:echki_1.mp3]                               |коза
eʼlon[sound:e’lon_1.mp3]                               |объявление, извещение
eʼtiroz[sound:e’tiroz_1.mp3]                           |возражение, несогласие
fahm[sound:fahm_1.mp3]                                 |сообразительность, сметливость, разум, рассудок
fahmli[sound:fahmli_1.mp3]                             |понятливый, сообразительный, смышлёный
fahmsiz[sound:fahmsiz_1.mp3]                           |бестолковый, несообразительный, непонятливый
fan[sound:fan_1.mp3]                                   |дисциплина, предмет
faqat[sound:faqat_1.mp3]                               |только, лишь, лишь только
farosat[sound:farosat_1.mp3]                           |догадливость, сообразительность, находчивость
farosatli[sound:farosatli_1.mp3]                       |догадливый, сообразительный, находчивый
farosatsiz[sound:farosatsiz_1.mp3]                     |недогадливый, несообразительный
farq[sound:farq_1.mp3]                                 |разница, различие, отличие
farqlamoq[sound:farqlamoq_1.mp3]                       |различать, отличать
farrosh[sound:farrosh_1.mp3]                           |уборщица
farzand[sound:farzand_1.mp3]                           |дитя, ребёнок
fasl[sound:fasl_1.mp3]                                 |время года, сезон
favvora[sound:favvora_1.mp3]                           |фонтан
feʼl[sound:fe’l_2.mp3]                                 |нрав, характер, натура
fikr[sound:fikr_1.mp3]                                 |1. мысль, идея, дума; 2. мнение, точка зрения, взгляд
fikrlamoq[sound:fikrlamoq_1.mp3]                       |думать, раздумывать, размышлять
fil[sound:fil_1.mp3]                                   |слон
filcha[sound:filcha_1.mp3]                             |слонёнок
firibgar[sound:firibgar_1.mp3]                         |плут, мошенник, обманщик, воспользоваться, использовать
foyda[sound:foyda_1.mp3]                               |польза, выгода
foydalanmoq[sound:foydalanmoq_1.mp3]                   |пользоваться,
foydali[sound:foydali_1.mp3]                           |полезный
foydasiz[sound:foydasiz_1.mp3]                         |бесполезный
fursat[sound:fursat_1.mp3]                             |время, момент, удобный случай
futbolchi[sound:futbolchi_1.mp3]                       |футболист
gal[sound:gal_1.mp3]                                   |очередь, черёд, говорить, поговорить, беседовать, [побеседовать]
gap[sound:gap_1.mp3]                                   |разговор, речь, слово
gapirmoq[sound:gapirmoq_1.mp3]                         |говорить, сказать
gaplashmoq[sound:gaplashmoq_1.mp3]                     |разговаривать,
garang[sound:garang_1.mp3]                             |глухой
garmdori[sound:garmdori_1.mp3]                         |красный стручковый перец
gazli[sound:gazli_1.mp3]                               |содержащий газ, с газом
gazmol[sound:gazmol_1.mp3]                             |ткань
gilam[sound:gilam_1.mp3]                               |ковёр
gilos[sound:gilos_1.mp3]                               |черешня
goh[sound:goh_1.mp3]                                   |иногда, время от времени
gugurt[sound:gugurt_1.mp3]                             |спичка
gul[sound:gul_1.mp3]                                   |цветок
gulbogʻ[sound:gulbog‘_1.mp3]                           |сад-цветник, сад с цветами
guldasta[sound:guldasta_1.mp3]                         |букет цветов
guldon[sound:guldon_1.mp3]                             |ваза для цветов
gullamoq[sound:gullamoq_1.mp3]                         |цвести
gulxan[sound:gulxan_1.mp3]                             |костёр
gulzor[sound:gulzor_1.mp3]                             |цветник
gulchambar[sound:gulchambar_1.mp3]                     |венок
gumon[sound:gumon_1.mp3]                               |подозрение, сомнение, сомнительно
gunohkor[sound:gunohkor_1.mp3]                         |грешник, виновник
gunohsiz[sound:gunohsiz_1.mp3]                         |безгрешный, невиновный, безвинный
gung[sound:gung_1.mp3]                                 |немой, глухонемой
guruh[sound:guruh_1.mp3]                               |группа
guvoh[sound:guvoh_1.mp3]                               |свидетель, очевидец
guvohnoma[sound:guvohnoma_1.mp3]                       |удостоверение, свидетельство
goʻdak[sound:goʻdak_1.mp3]                             |младенец [маленький, ребёнок]
goʻzal[sound:go‘zal_1.mp3]                             |красивый, прекрасный
goʻzallik[sound:go‘zallik_1.mp3]                       |красота, прелесть
goʻsht[sound:go‘sht_1.mp3]                             |мясо
goʻshtli[sound:go‘shtli_1.mp3]                         |мясной, смясом
goʻshtsiz[sound:go‘shtsiz_1.mp3]                       |без мяса
ha[sound:ha_1.mp3]                                     |да, хорошо, ладно
hafta[sound:hafta_1.mp3]                               |неделя
hakka[sound:hakka_1.mp3]                               |сорока
hali[sound:hali_1.mp3]                                 |ещё, пока что
halloslamoq[sound:halloslamoq_1.mp3]                   |тяжело дышать, задыхаться, запыхаться
halok boʻlmoq[sound:halok_bo‘lmoq_1.mp3]               |гибнуть, погибать
halqa[sound:halqa_1.mp3]                               |кольцо, обруч
ham[sound:ham_1.mp3]                                   |и, также, даже, ещё
hamisha[sound:hamisha_1.mp3]                           |всё время, всегда, постоянно
hamma[sound:hamma_1.mp3]                               |все, весь
hammom[sound:hammom_1.mp3]                             |баня
hamroh[sound:hamroh_1.mp3]                             |спутник, попутчик
hamshira[sound:hamshira_1.mp3]                         |медсестра
hansiramoq[sound:hansiramoq_1.mp3]                     |тяжело дышать, задыхаться
haqida[sound:haqida_1.mp3]                             |о, об, обо
haqiqiy[sound:haqiqiy_1.mp3]                           |истинный, правдивый
haqorat[sound:haqorat_1.mp3]                           |оскорбление, ругань, брань
haqoratlamoq[sound:haqoratlamoq_1.mp3]                 |оскорблять
haqorat qilmoq[sound:haqorat_qilmoq_1.mp3]             |оскорблять
har[sound:har_1.mp3]                                   |каждый, всякий
har kuni[sound:har_kuni_1.mp3]                         |ежедневно, каждый день
harakat[sound:harakat_1.mp3]                           |движение, действие
harakatlanmoq[sound:harakatlanmoq_1.mp3]               |двигаться, приходить в движение [действие]
harakatchan[sound:harakatchan_1.mp3]                   |расторопный, подвижный, энергичный
harakat qilmoq[sound:harakat_qilmoq_1.mp3]             |стараться
harorat[sound:harorat_1.mp3]                           |жар, теплота, тепло; температура
harsillamoq[sound:harsillamoq_1.mp3]                   |тяжело дышать, задыхаться
harf[sound:harf_1.mp3]                                 |буква
hassa[sound:hassa_1.mp3]                               |палка, посох
hatto[sound:hatto_1.mp3]                               |даже
havas[sound:havas_1.mp3]                               |желание, охота, интерес, любовь
havaskor[sound:havaskor_1.mp3]                         |любитель, охотник
havas qilmoq[sound:havas_qilmoq_1.mp3]                 |желать, хотеть
havo[sound:havo_1.mp3]                                 |воздух; небо; погода
haydamoq[sound:haydamoq_1.mp3]                         |1. гнать, гонять, погонять, изгонять; 2. водить, управлять; 3. пахать
haydovchi[sound:haydovchi_1.mp3]                       |водитель
hayot[sound:hayot_1.mp3]                               |жизнь [см. turmush]
hayqirmoq[sound:hayqirmoq_1.mp3]                       |кричать, вопить
hayron[sound:hayron_1.mp3]                             |удивлённый, изумлённый, поражённый
hayron boʻlmoq[sound:hayron_bo‘lmoq_1.mp3]             |удивляться
