Ich fürchte, dass der letzte Bus schon weg ist.                        |Боюсь, что последний автобус уже ушёл.                                    
Ich fürchte, dass ich kein Geld bei mir habe.                          |Боюсь, что у меня нет с собой денег.                                      
Angst haben                                                            |Бояться                                                                   
Brasilien liegt in Südamerika.                                         |Бразилия находится в Южной Америке.                                       
Seien Sie vorsichtig!                                                  |Будьте осторожны!                                                         
Seien Sie pünktlich!                                                   |Будьте пунктуальны!                                                       
Brötchen mit Marmelade und Honig?                                      |Булочки с джемом и мёдом?                                                 
Es war so dunkel, dass sie kaum noch sehen konnten.                    |Было так темно, что они едва могли видеть.                                
Es war schon spät. Trotzdem ist er noch geblieben.                     |Было уже поздно. Несмотря на это, он ещё остался.                         
ein schneller Wagen                                                    |Быстрая машина                                                            
Hunger haben                                                           |Быть голодным(ой)                                                         
In Osaka hat es geschneit.                                             |В Осаке шел снег.                                                         
Ich weiß im Moment nicht, wie das heißt.                               |В данный момент я не знаю, как он называется.                             
In welchem Hotel wohnen Sie?                                           |В какой гостинице Вы проживаете?                                          
Um wie viel Uhr gibt es Frühstück?                                     |В каком часу подают завтрак?                                              
Um wie viel Uhr gibt es Mittagessen?                                   |В каком часу подают обед?                                                 
Um wie viel Uhr gibt es Abendessen?                                    |В каком часу подают ужин?                                                 
Im Café.                                                               |В кафе.                                                                   
Im Kino.                                                               |В кино.                                                                   
Er hatte doch Recht.                                                   |В конце концов, он был прав.                                              
Du lagst doch falsch.                                                  |В конце концов, ты ошибался.                                              
Die Arbeiten sind nun im Gange.                                        |В настоящее время эта работа продолжается.                                
In unserer Stadt gibt es ein Fußballstadion.                           |В нашем городе есть футбольный стадион.                                   
Das Zimmer hat keinen Balkon.                                          |В номере нет балкона.                                                     
Es gibt keinen Fernseher im Zimmer.                                    |В номере нет телевизора.                                                  
Es gibt kein Telefon im Zimmer.                                        |В номере нет телефона.                                                    
Das Zimmer ist zu laut.                                                |В номере очень шумно.                                                     
Mittags gehen wir immer in die Kantine.                                |В обед мы всегда ходим в столовую.                                        
Eine Minute hat sechzig Sekunden.                                      |В одной минуте шестьдесят секунд.                                         
Ein Tag hat vierundzwanzig Stunden.                                    |В одном дне двадцать четыре часа.                                         
Eine Stunde hat sechzig Minuten.                                       |В одном часе шестьдесят минут.                                            
Er trägt einen Stock in den Händen.                                    |В руках он несёт тросточку.                                               
Sei das nächste Mal pünktlich!                                         |В следующий раз будь пунктуальным/ой.                                     
Nimm das nächste Mal einen Regenschirm mit!                            |В следующий раз возьми с собой зонт!                                      
Nimm das nächste Mal ein Taxi!                                         |В следующий раз возьми такси!                                             
Es ist kein Fleisch mehr im Kühlschrank.                               |В холодильнике не осталось мяса.                                          
Nichts blieb im Kühlschrank zurück.                                    |В холодильнике ничего не осталось.                                        
Worin besteht der Unterschied zwischen A und B?                        |В чем разница между А и В?                                                
Was sind deine Stärken?                                                |В чем твоя сильная сторона?                                               
Dieser Raum hat nicht viel Sonne.                                      |В этой комнате не так много солнца.                                       
Diese Box ist voller Bücher.                                           |В этой коробке полно книг.                                                
In diesem Land gibt es zu viele Arbeitslose.                           |В этой стране слишком много безработных.                                  
Wir hatten in diesem Jahr viel Schnee.                                 |В этом году у нас было много снега.                                       
Dieses Haus hat zwei Badezimmer.                                       |В этом доме есть две ванные комнаты.                                      
Gibt es Schlafwagen im Zug?                                            |В этом поезде есть спальные вагоны?                                       
Gefällt es Ihnen hier?                                                 |Вам здесь нравится?                                                       
Sie müssen hier aussteigen.                                            |Вам нужно выходить здесь.                                                 
Musstet ihr Eintritt bezahlen?                                         |Вам пришлось заплатить за вход?                                           
Musstet ihr eine Strafe bezahlen?                                      |Вам пришлось заплатить штраф?                                             
Sie sollten den Rat Ihres Arztes befolgen.                             |Вам следует последовать совету врача.                                     
Ein gekochtes Ei?                                                      |Варёное яйцо?                                                             
Ihren Kfz-Schein, bitte.                                               |Ваш техпаспорт, пожалуйста.                                               
Dein Bad ist fertig.                                                   |Ваша ванна готова.                                                        
Dein Kleid ist sehr schön.                                             |Ваше платье очень красивое.                                               
Ihre Aussprache ist ganz gut.                                          |Ваше произношение достаточно хорошее.                                     
Sind Ihre Kinder brav?                                                 |Ваши дети послушные?                                                      
Ihre Papiere, bitte.                                                   |Ваши документы, пожалуйста.                                               
Ihren Führerschein, bitte.                                             |Ваши права, пожалуйста.                                                   
höfliche Leute                                                         |Вежливые люди                                                             
Ob er wohl zurückkommt?                                                |Вернётся ли он?                                                           
Es wird heute wahrscheinlich.                                          |Вероятно, сегодня пойдет дождь.                                           
Es ist windig.                                                         |Ветрено.                                                                  
Der Wein ist sicher alt.                                               |Вино точно старое.                                                        
Diese Trauben sind reif.                                               |Виноград созрел.                                                          
Die Kirsche ist rot.                                                   |Вишня - красная.                                                          
Es schmeckte süß.                                                      |Вкус был сладкий.                                                         
Es riecht köstlich.                                                    |Вкусно пахнет.                                                            
Unten ist der Keller.                                                  |Внизу подвал.                                                             
Wann wird das Abendessen serviert?                                     |Во сколько будет подан ужин?                                              
Um wie viel Uhr bist du dort angekommen?                               |Во сколько вы прибыли туда?                                               
Um wie viel Uhr fahren wir morgen?                                     |Во сколько мы уезжаем завтра?                                             
Um wie viel Uhr fährt der Zug nach Budapest?                           |Во сколько отправляется поезд до Будапешта?                               
Um wie viel Uhr fährt der Zug nach Warschau?                           |Во сколько отправляется поезд до Варшавы?                                 
Um wie viel Uhr fährt der Zug nach Stockholm?                          |Во сколько отправляется поезд до Стокгольма?                              
Das Wasser gefriert bei 0 Grad Celsius.                                |Вода замерзает при температуре О градусов Цельсия.                        
Das Wasser ist zu kalt.                                                |Вода слишком холодная.                                                    
Ist das Wasser warm?                                                   |Вода тёплая?                                                              
Ist das Wasser sauber?                                                 |Вода чистая?                                                              
Ein Fahrer schlief im Auto.                                            |Водитель спал в машине.                                                   
Nimm Sonnencreme mit.                                                  |Возьми с собой крем от солнца.                                            
Nimm die Sonnenbrille mit.                                             |Возьми с собой солнечные очки.                                            
Nimm den Sonnenhut mit.                                                |Возьми с собой шляпу от солнца.                                           
Er trägt auch einen Schal um den Hals.                                 |Вокруг шеи он носит ещё и шарф.                                           
Die Haare sieht man nicht.                                             |Волос не видно.                                                           
Acht. Der Achte.                                                       |Восемь. Восьмой.                                                          
Der achte Monat ist der August.                                        |Восьмой месяц - август.                                                   
Hier sind die Schlüssel.                                               |Вот ключи.                                                                
Hier ist mein Führerschein.                                            |Вот мои водительские права.                                               
Hier sind meine Bücher.                                                |Вот мои книги.                                                            
Hier ist meine Adresse.                                                |Вот мой адрес.                                                            
Hier ist mein Gepäck.                                                  |Вот мой багаж.                                                            
Hier ist mein Fahrrad.                                                 |Вот мой велосипед.                                                        
Hier ist mein Pass.                                                    |Вот мой паспорт.                                                          
Hier ist meine Gitarre.                                                |Вот моя гитара.                                                           
Hier ist meine Kreditkarte.                                            |Вот моя кредитная карточка.                                               
Bitte dort an der Ecke nach links.                                     |Вот на том углу, пожалуйста, налево.                                      
Hier ist etwas Wasser.                                                 |Вот немного воды.                                                         
Hier sind die Messer, Gabeln und Löffel.                               |Вот ножи, вилки и ложки.                                                  
Hier ist meine Kontonummer.                                            |Вот номер моего счета.                                                    
Hier sind die Gläser, die Teller und die Servietten.                   |Вот стаканы, тарелки и салфетки.                                          
Dort sind die Giraffen.                                                |Вот там жирафы.                                                           
Hier sind meine CDs.                                                   |Вот тут мои компакт диски.                                                
Es ist gut möglich, dass er eine Freundin hat.                         |Вполне возможно, что у него есть подруга.                                 
Der Arzt kommt gleich.                                                 |Врач сейчас придёт.                                                       
Jahreszeiten und Wetter                                                |Времена года и погода                                                     
Zeit ist das Wichtigste.                                               |Время - самое ценное.                                                     
Die Zeit fliegt wie ein Pfeil.                                         |Время летит как стрела.                                                   
Regnet es immer noch?                                                  |Все еще идет дождь?                                                       
Jeder liebt Musik.                                                     |Все любят музыку.                                                         
Alle meine Freunde mögen Fußball.                                      |Все мои друзья любят футбол.                                              
Wir alle schwiegen.                                                    |Все мы молчали.                                                           
Alle unsere Pläne sind schief gelaufen.                                |Все наши планы провалились.                                               
Jeder will glücklich sein.                                             |Все хотят быть счастливыми.                                               
Alle Blumen im Garten sind gelb.                                       |Все цветы в саду желтые.                                                  
Sei immer höflich!                                                     |Всегда будь вежливым!                                                     
Sei immer nett!                                                        |Всегда будь любезным!                                                     
Sei immer ehrlich!                                                     |Всегда будь честным!                                                      
Stehen Sie auf, Herr Müller!                                           |Встаньте, господин Мюллер!                                                
Der zweite Tag ist Dienstag.                                           |Второй день это вторник.                                                  
Der zweite Monat ist der Februar.                                      |Второй месяц - февраль.                                                   
Muss man Eintritt bezahlen?                                            |Вход платный?                                                             
Die Haustür ist geschlossen.                                           |Входная дверь заперта.                                                    
Gestern war Samstag.                                                   |Вчера была суббота.                                                       
Sie sind gestern mit dem Bus in den Zoo gefahren.                      |Вчера они ездили в зоопарк на автобусе.                                   
Gestern hat es geregnet.                                               |Вчера шел дождь.                                                          
Gestern war ich im Kino.                                               |Вчера я был / была в кино.                                                
Ich habe gestern drei Fische gefangen.                                 |Вчера я поймал трех рыб.                                                  
Gestern – heute – morgen                                               |Вчера – сегодня – завтра                                                  
Warst du gestern Abend zu Hause?                                       |Вы были дома прошлой ночью?                                               
Kannst du Französisch sprechen?                                        |Вы говорите по-французски?                                                
Habt ihr Hunger?                                                       |Вы голодные?                                                              
Glauben Sie wirklich?                                                  |Вы действительно так думаете?                                             
Musstet ihr die Rechnung bezahlen?                                     |Вы должны были оплатить счёт?                                             
Sie müssen hinten aussteigen.                                          |Вы должны выходить сзади.                                                 
Ihr müsst auf den Bus warten.                                          |Вы должны ждать автобус.                                                  
Ihr müsst auf den Zug warten.                                          |Вы должны ждать поезд.                                                    
Ihr müsst auf das Taxi warten.                                         |Вы должны ждать такси.                                                    
Bleiben Sie noch lange hier?                                           |Вы ещё долго здесь будете?                                                
Wohnen Sie in Berlin?                                                  |Вы живёте в Берлине?                                                      
Machen Sie hier Urlaub?                                                |Вы здесь в отпуске?                                                       
Sind Sie zum ersten Mal hier?                                          |Вы здесь впервые?                                                         
Kennen Sie hier jemand(en)?                                            |Вы здесь кого-нибудь знаете?                                              
Sind Sie allein hier?                                                  |Вы здесь один / одна?                                                     
Sind Sie öfter hier?                                                   |Вы здесь часто бываете?                                                   
Ihr seid hier.                                                         |Вы здесь.                                                                 
Kennen Sie die Vorwahl von Österreich?                                 |Вы знаете код Австрии?                                                    
Können Sie auch Portugiesisch?                                         |Вы знаете тоже португальский?                                             
Spielen Sie ein Instrument?                                            |Вы играете на каком-нибудь инструменте?                                   
Kommen Sie?                                                            |Вы идёте?                                                                 
Kommen Sie aus Asien?                                                  |Вы из Азии?                                                               
Kommen Sie aus Amerika?                                                |Вы из Америки?                                                            
Kommen Sie aus Europa?                                                 |Вы из Европы?                                                             
Fahren Sie Ski?                                                        |Вы катаетесь на лыжах?                                                    
Warst du schon mal in Afrika?                                          |Вы когда-нибудь были в Африке?                                            
Warst du schon mal in Kanada?                                          |Вы когда-нибудь были в Канаде?                                            
Warst du schon mal in Tokio?                                           |Вы когда-нибудь были в Токио?                                             
Hast du jemals den Tokyo Tower gesehen?                                |Вы когда-нибудь видели Токио Тауэр?                                       
Bist du schon mal nach sieben Jahren nach Hause gekommen?              |Вы когда-нибудь возвращались домой до семи?                               
Warten Sie auf jemand?                                                 |Вы кого-то ждёте?                                                         
Rauchen Sie Zigaretten?                                                |Вы курите сигареты?                                                       
Rauchen Sie Zigarren?                                                  |Вы курите сигары?                                                         
Rauchen Sie Pfeife?                                                    |Вы курите трубку?                                                         
Rauchen Sie?                                                           |Вы курите?                                                                
Lieben Sie Musik?                                                      |Вы любите музыку?                                                         
Singen Sie gern?                                                       |Вы любите петь?                                                           
Gehen Sie gern in die Oper?                                            |Вы любите ходить в оперу?                                                 
Gehen Sie gern ins Theater?                                            |Вы любите ходить в театр?                                                 
Gehen Sie gern ins Konzert?                                            |Вы любите ходить на концерт?                                              
Reisen Sie viel?                                                       |Вы много путешествуете?                                                   
Sie können mit dem Bus zum Bahnhof fahren.                             |Вы можете добраться до вокзала на автобусе.                               
Können Sie mir eine Karte besorgen?                                    |Вы можете достать мне билет?                                              
Können Sie mir die Haare schneiden?                                    |Вы можете мне подстричь волосы?                                           
Können Sie mir helfen?                                                 |Вы можете мне помочь?                                                     
Kannst du mir helfen?                                                  |Вы можете мне помочь?                                                     
Können Sie die Bilder entwickeln?                                      |Вы можете обработать фотографии?                                          
Können Sie das Hemd bügeln?                                            |Вы можете погладить рубашку?                                              
Können Sie das Rad wechseln?                                           |Вы можете поменять колесо?                                                
Können Sie die Schuhe reparieren?                                      |Вы можете починить ботинки?                                               
Können Sie die Uhr reparieren?                                         |Вы можете починить часы?                                                  
Können Sie die Hose reinigen?                                          |Вы можете почистить брюки?                                                
Du kannst hier studieren.                                              |Вы можете учиться здесь.                                                  
Finden Sie?                                                            |Вы находите?                                                              
Stört es Sie, wenn ich rauche?                                         |Вы не возражаете, если я закурю?                                          
Stört es dich, wenn ich das Fenster öffne?                             |Вы не возражаете, если я открою окно?                                     
Habt ihr keinen Hunger?                                                |Вы не голодные?                                                           
Würdest du bitte den Fernseher leiser stellen?                         |Вы не могли бы выключить телевизор?                                       
Sprecht ihr beide Deutsch?                                             |Вы оба говорите по-немецки?                                               
Woher kommen Sie?                                                      |Вы откуда?                                                                
Fahren Sie mit dem Skilift nach oben?                                  |Вы пользуетесь подъёмником, чтобы подняться наверх?                       
Verstehen Sie die Leute?                                               |Вы понимаете людей?                                                       
Verstehen Sie die Lehrerin?                                            |Вы понимаете учительницу?                                                 
Verstehen Sie den Lehrer?                                              |Вы понимаете учителя?                                                     
Sie können auch einfach hinter mir herfahren.                          |Вы также можете просто ехать за мной следом.                              
Sie können auch den Bus nehmen.                                        |Вы также можете сесть на автобус.                                         
Sie können auch die Straßenbahn nehmen.                                |Вы также можете сесть на трамвай.                                         
Tanzen Sie?                                                            |Вы танцуете?                                                              
Essen Sie auch gern Lauch?                                             |Вы тоже любите зелёный лук?                                               
Essen Sie auch gern Sauerkraut?                                        |Вы тоже любите квашеную капусту?                                          
Essen Sie auch gern Linsen?                                            |Вы тоже любите чечевицу?                                                  
Kommen Sie auch?                                                       |Вы тоже придёте?                                                          
Sind Sie schon einmal in Berlin gewesen?                               |Вы уже когда-нибудь бывали в Берлине?                                     
Haben Sie schon etwas gegessen?                                        |Вы уже что-нибудь ели?                                                    
Ihr lernt Italienisch.                                                 |Вы учите итальянский.                                                     
Machen Sie einen Sprachkurs?                                           |Вы ходите на языковые курсы?                                              
Möchten Sie noch etwas trinken?                                        |Вы хотели бы ещё что-нибудь попить?                                       
Möchten Sie einen Kaffee?                                              |Вы хотели бы кофе?                                                        
Möchten Sie das mit Nudeln?                                            |Вы хотели бы это с вермишелью?                                            
Möchten Sie das mit Kartoffeln?                                        |Вы хотели бы это с картофелем?                                            
Möchten Sie das mit Reis?                                              |Вы хотели бы это с рисом?                                                 
Wollt ihr ins Café?                                                    |Вы хотите в кафе?                                                         
Wollt ihr ins Kino?                                                    |Вы хотите в кино?                                                         
Wollt ihr Fußball spielen?                                             |Вы хотите играть в футбол?                                                
Wollt ihr in die Disko?                                                |Вы хотите на дискотеку?                                                   
Wollen Sie die Rechnung erst morgen bezahlen?                          |Вы хотите оплатить счёт только завтра?                                    
Wollen Sie bis morgen bleiben?                                         |Вы хотите остаться до завтра?                                             
Wollt ihr Freunde besuchen?                                            |Вы хотите пойти в гости к друзьям?                                        
Wollen Sie morgen abfahren?                                            |Вы хотите уехать завтра?                                                  
Fragen Sie oft den Lehrer?                                             |Вы часто спрашиваете учителя?                                             
Trinken Sie etwas?                                                     |Вы что-нибудь пьёте?                                                      
Wissen Sie das genau?                                                  |Вы это точно знаете?                                                      
Sie – Ihr                                                              |Вы – Ваш (Ваша, Ваши)                                                     
ihr – euer                                                             |Вы – ваши                                                                 
Wählen Sie zwischen diesen beiden.                                     |Выберите между этими двумя.                                               
Rufen Sie bitte ein Taxi.                                              |Вызовете, пожалуйста, такси.                                              
Rufen Sie einen Arzt!                                                  |Вызовите врача!                                                           
Rufen Sie die Polizei!                                                 |Вызовите полицию!                                                         
Bitte geben Sie mir eine Quittung.                                     |Выпишите мне, пожалуйста, счёт.                                           
Ist die Ausstellung dienstags geöffnet?                                |Выставка работает по вторникам?                                           
Die Zeitung ist billig.                                                |Газета дешёвая.                                                           
Hat die Galerie freitags geöffnet?                                     |Галерея открыта по пятницам?                                              
Wo ist Ihr Mann, Frau Schmidt?                                         |Где Ваш муж, госпожа Шмидт?                                               
