article|word_de
die|Pünktlichkeit
die|Qualität
die|Quelle
die|Reaktion
die|Realität
die|Rechnung
die|Rede
die|Reform
die|Regel
die|Regeln
die|Regelung
die|Regierung
die|Region
die|Regung
die|Reihe
die|Reihenfolge
die|Reinigung
die|Reise
die|Religionswissenschaftslehrerin
die|Ressource
die|Resultate
die|Rezension
die|Richtung
die|Rolle
die|Romane
die|Rückmeldung
die|Ruhe
die|Runde
die|Sache
die|Saison
die|Sammlung
die|Sängerin
die|Sauna
die|Scheibe
die|Scheiße
die|Schicht
die|Schildkröte
die|Schlacht
die|Schlange
die|Schokolade
die|Schraube
die|Schuhe
die|Schuld
die|Schule
die|Schulter
die|Schulung
die|Schweiz
die|Schwelle
die|Schwester
die|Schwierigkeit
die|Seite
die|Sekunde
die|Sicherheit
die|Sicht
die|Situation
die|Sitzung
die|Software
die|Sonne
die|Sorge
die|Sozialleistung
die|Spannung
die|SPD
die|Spiegelfläche
die|Spitze
die|Spitzenlast
die|Sprache
die|Spritze
die|Spur
die|Stadt
die|Statistik
die|Statue
die|Stelle
die|Steuer
die|Stille
die|Stimme
die|Straße
die|Strategie
die|Strecke
die|Struktur
die|Studie
die|Stunde
die|Substanz
die|Suche
die|Summe
die|Szene
die|Tabelle
die|Tante
die|Tasche
die|Tasse
die|Tat
die|Tätigkeit
die|Tatsache
die|Täuschung
die|Technik
die|Technologie
die|Telefonnummer
die|Temperatur
die|Theorie
die|Tochter
die|Todesursache
die|Tradition
die|Transparenz
die|Treppe
die|Trommel
die|Tür
die|Türkei
die|Türklinke
die|Uhr
die|Umfrage
die|Umgebung
die|Umsatzentwicklung
die|Umsetzung
die|Umwelt
die|Uni
die|Union
die|Universität
die|Unschuld
die|Unterlage
die|Unterstützung
die|Untersuchung
die|Ursache
die|USA
die|Vase
die|Veränderung
die|Veranstaltung
die|Verantwortung
die|Verbindung
die|Verfügung
die|Vergangenheit
die|Verhandlung
die|Version
die|Verteilung
die|Verwendung
die|Verzögerung
die|Vielfalt
die|Voraussetzung
die|Vorlesung
die|Vorschrift
die|Vorstellung
die|Vorwarnung
die|VWL
die|Waffe
die|Wahl
die|Wahrheit
die|Wahrscheinlichkeit
die|Währung
die|Wand
die|Ware
die|Wartung
die|Weile
die|Weise
die|Welle
die|Welt
die|Weltsprache
die|Wendung
die|Wiese
die|Windel
die|Wirklichkeit
die|Wirkung
die|Wirtschaft
die|Wissenschaft
die|Woche
die|Wohnung
die|Wolke
die|Wörter
die|Zahl
die|Zeit
die|Zeitung
die|Zelle
die|Zigarette
die|Zukunft
die|Zusammenarbeit
die|Zustimmung
