|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
33.0|als|particle|than|Der Gipfel war höher, als sie auf ihrer Karte vorhergesagt hatten.|The summit was higher than they had predicted on their map.|der;Gipfel;sein;hoch;als;sie;auf;ihr;Karte;vorhersagen;haben
34.0|können|verb|to be able to|Mit viel Übung kann der Künstler perfekte Porträts zeichnen.|With a lot of practice, the artist can draw perfect portraits.|mit;viel;Übung;können;der;Künstler;perfekt;Porträt;zeichnen
34.001|können|verb|to can|Nur geübte Hände können diese feinen Maserungen im Holz schnitzen.|Only skilled hands can carve these delicate grain patterns in the wood.|nur;geübt;Hand;können;dieser;fein;Maserung;in;Holz;schnitzen
35.0|dies|pronoun|this|Dies ist eine Gelegenheit, die so schnell nicht wiederkommt.|This is an opportunity that won’t come around again soon.|dieser;sein;ein;Gelegenheit;der;so;schnell;nicht;wiederkommen
35.001|dies|pronoun|that|Dies ist der Moment, auf den wir so lange hingearbeitet haben.|That is the moment we have worked so hard for.|dieser;sein;der;Moment;auf;der;wir;so;lange;hingearbeitet;haben
36.0|wie|particle|as|Wie die Wellen das Ufer umschmeichelten, wirkten sie fast hypnotisch.|As the waves caressed the shore, they seemed almost hypnotic.|wie;der;Welle;der;Ufer;umschmeicheln;wirken;sie;fast;hypnotisch
37.0|wie|pronoun|how|Wie meisterst du solche komplexen Aufgaben mit Leichtigkeit?|How do you master such complex tasks with ease?|wie;meistersen;du;solcher;komplex;Aufgabe;mit;Leichtigkeit
38.0|wir|pronoun|we|Wir betraten den Saal und bemerkten gleich die gespannte Stille.|We entered the hall and immediately noticed the tense silence.|wir;betraten;der;Saal;und;bemerken;gleich;der;gespannt;Stille
39.0|ihr|pronoun|her|Ihr Lachen hallte fröhlich durch den sonnendurchfluteten Raum.|Her laughter resonated joyfully through the sunlit room.|ihr;lachen;halln;fröhlich;durch;der;sonnendurchflutet;Raum
39.001|ihr|pronoun|their|Ihr Vertrauen in die gemeinsame Zukunft war unerschütterlich.|Their trust in their shared future was unshakeable.|ihr;vertrauen;in;der;gemeinsam;Zukunft;sein;unerschütterlich
39.002|ihr|pronoun|hers|Die Katze jagte hinter ihr her und erreichte sie schließlich.|The cat chased after hers and eventually caught it.|der;Katze;herjagen;hinter;ihr;her;und;erreichen;sie;schließlich
39.003|ihr|pronoun|theirs|Ihr Plan, den Garten umzugestalten, wurde großartig umgesetzt.|Their plan to redesign the garden was brilliantly executed.|ihr;Plan;der;Garten;umgestalten;werden;großartig;umsetzen
40.0|ihr|pronoun|you|Euer Engagement und ihr Durchhaltevermögen haben alle beeindruckt.|Your commitment and perseverance impressed everyone.|euer;Engagement;und;ihr;Durchhaltevermögen;haben;alle;beeindrucken
40.001|ihr|pronoun|her|Ihr Fahrrad stand unberührt neben der verlassenen Straßenecke.|Her bike stood untouched next to the deserted street corner.|ihr;Fahrrad;stehen;unberührt;neben;der;verlassen;Straßenecke
41.0|Ihr|pronoun|your|Ihr Vorschlag wurde von allen Anwesenden wohlwollend aufgenommen.|Your proposal was warmly received by everyone present.|ihr;Vorschlag;werden;von;aller;Anwesenden;wohlwollend;aufnehmen
42.0|so|adverb|thus|So verlockend war der Duft, dass alle förmlich zum Tisch strömten.|Thus, the scent was so tempting that everyone practically flocked to the table.|so;verlockend;sein;der;Duft;dass;alle;förmlich;zu;Tisch;strömen
42.001|so|adverb|the way|So, wie der Fluss fließt, spiegelt sich der Himmel im Wasser.|The way the river flows, the sky reflects on the water.|so;wie;der;Fluss;fließen;spiegeln;sich;der;Himmel;in;Wasser
42.002|so|adverb|such|So komplexe Vorgänge erfordern detaillierte Planung und Präzision.|Such complex processes require detailed planning and precision.|so;komplex;Vorgang;erfordern;detailliert;Planung;und;Präzision
43.0|so|particle|so|Die Marmelade war so süß, dass niemand dem Genuss widerstehen konnte.|The jam was so sweet that no one could resist the delight.|der;Marmelade;sein;so;süß;dass;niemand;der;Genuss;widerstehen;können
44.0|bei|preposition|by|Bei dieser Gelegenheit lernte er viele interessante Personen kennen.|By this opportunity, he met many interesting people.|bei;dieser;Gelegenheit;kennenlernen;er;vieler;interessant;Person;kennen
44.001|bei|preposition|with|Ein Treffen bei Freunden endete mit einem spannenden Brettspiel.|A meeting with friends ended with an exciting board game.|ein;Treffen;bei;Freund;enden;mit;ein;spannend;Brettspiel
44.002|bei|preposition|at|Bei Sonnenaufgang begannen die Arbeiter mit der Brückensanierung.|At sunrise, the workers started repairing the bridge.|bei;Sonnenaufgang;beginnen;der;Arbeiter;mit;der;Brückensanierung
45.0|sein|pronoun|his|Sein Hund lief eifrig durch das hohe, raschelnde Herbstlaub.|His dog eagerly ran through the tall, rustling autumn leaves.|sein;Hund;laufen;eifrig;durch;der;hoch;raschelnd;Herbstlaub
45.001|sein|pronoun|its|Sein Ende kam schneller, als irgendjemand es vorhergesehen hatte.|Its end came faster than anyone had anticipated.|sein;Ende;kommen;schnell;als;irgendjemand;es;vorhersehen;haben
46.0|aber|conjunction|but|Die Landschaft ist wunderschön, aber das Wetter war heute trüb.|The landscape is beautiful, but the weather was gloomy today.|der;Landschaft;sein;wunderschön;aber;der;Wetter;sein;heute;trüb
47.0|aber|particle|(emphasis)|Es war anstrengend, aber die Mühe hat sich definitiv gelohnt.|It was exhausting, but the effort definitely paid off.|es;sein;anstrengend;aber;der;Mühe;haben;sich;definitiv;lohnen
48.0|man|pronoun|one|Man sollte die Einstellung zum Stoffwechsel stets positiv halten.|One should always keep a positive attitude towards metabolism.|man;sollen;der;Einstellung;zu;Stoffwechsel;stets;positiv;halten
48.001|man|pronoun|you|Wenn man die Natur respektiert, zeigt sie ihre volle Pracht.|If you respect nature, it shows its full beauty.|wenn;man;der;Natur;respektieren;zeigen;sie;ihr;voll;Pracht
48.002|man|pronoun|they|Man erwartete, dass sie ihre Aufgaben fristgerecht erledigten.|They were expected to complete their tasks on time.|man;erwarten;dass;sie;ihr;Aufgabe;fristgerecht;erledign
49.0|noch|adverb|still|Noch lag der Nebel über den Feldern und verschleierte die Sicht.|Still, the fog lay over the fields and obscured the view.|noch;liegen;der;Nebel;über;der;Feld;und;verschleiern;der;Sicht
49.001|noch|adverb|yet|Das beste Kapitel der Geschichte ist noch nicht geschrieben.|The best chapter of the story is not yet written.|der;gut;Kapitel;der;Geschichte;sein;noch;nicht;schreiben
50.0|nach|preposition|after|Nach dem Regenschauer erstrahlte die Wiese in einem satten Grün.|After the rain shower, the meadow shone in a rich green.|nach;der;Regenschauer;erstrahlen;der;Wiese;in;ein;satt;grüne
50.001|nach|preposition|toward|Der Wanderer ging zielstrebig nach Norden, immer dem Fluss entlang.|The hiker walked purposefully toward the north, always along the river.|der;Wanderer;gehen;zielstrebig;nach;Norden;immer;der;Fluss;entlang
51.0|oder|conjunction|or|Möchtest du Tee oder lieber einen frisch gebrühten Kaffee trinken?|Would you like tea or rather a freshly brewed coffee?|Möchtest;du;Tee;oder;lieber;ein;frisch;gebrüht;Kaffee;trinken
52.0|all|pronoun|all|All diese Ideen mussten verworfen und neue Pläne entwickelt werden.|All these ideas had to be discarded, and new plans developed.|all;dieser;Idee;mussten;verworfen;und;neu;Plan;entwickeln;werden
53.0|aus|preposition|out|Aus der Scheune drang ein knackendes Geräusch in die stille Nacht.|Out of the barn came a cracking sound into the quiet night.|aus;der;Scheune;dringen;ein;knackend;Geräusch;in;der;still;Nacht
53.001|aus|preposition|out of|Aus dem alten Fensterrahmen tropfte kaltes, graues Regenwasser.|Out of the old window frame dripped cold, grey rainwater.|aus;der;alt;Fensterrahmen;tropfen;kalt;grau;Regenwasser
53.002|aus|preposition|from|Die Waren wurden direkt aus dem nördlichen Hafen verschifft.|The goods were shipped directly from the northern port.|der;Ware;werden;direkt;aus;der;nördlich;Hafen;verschiffen
54.0|was|pronoun|what|Was er da gebastelt hat, sieht aus wie ein kleines Meisterwerk.|What he crafted there looks like a little masterpiece.|was;er;da;basteln;haben;aussehen;aus;wie;ein;klein;Meisterwerk
55.0|nur|adverb|only|Nur mit Geduld und Ruhe konnte der Erfolg letztendlich gelingen.|Only with patience and calmness could success finally be achieved.|nur;mit;Geduld;und;Ruhe;können;der;Erfolg;letztendlich;gelingen
56.0|sagen|verb|to say|Die Autorin wollte mit ihrer Rede viel mehr als bloß Worte sagen.|The author wanted to say much more than just words with her speech.|der;Autorin;wollen;mit;ihr;Rede;viel;mehr;als;bloß;Wort;sagen
56.001|sagen|verb|to tell|Der Lehrer sagt den Schülern, was für die Prüfung relevant ist.|The teacher tells the students what is relevant for the exam.|der;Lehrer;sagen;der;Schüler;was;für;der;Prüfung;relevant;sein
57.0|dann|adverb|then|Er überprüfte die Messdaten und dann machte er die finale Anpassung.|He checked the measurements and then made the final adjustment.|er;überprüfen;der;Messdatum;und;dann;machen;er;der;final;Anpassung
58.0|wenn|conjunction|if|Wenn das Wetter mitspielt, wird das Konzert draußen stattfinden.|If the weather cooperates, the concert will take place outside.|wenn;der;Wetter;mitspielen;werden;der;Konzert;draußen;stattfinden
58.001|wenn|conjunction|when|Wenn die Sonne untergeht, leuchten die Laternen magisch am Markt.|When the sun sets, the lanterns glow magically at the market.|wenn;der;Sonne;untergehen;leuchten;der;Laterne;magisch;an;Markt
59.0|müssen|verb|to have to|Um rechtzeitig anzukommen, müssen wir die Abfahrtszeit einhalten.|To arrive on time, we have to stick to the departure time.|um;rechtzeitig;ankommen;müssen;wir;der;Abfahrtszeit;einhalten
59.001|müssen|verb|to must|Alle Besucher müssen sich vor dem Betreten registrieren lassen.|All visitors must register before entering.|aller;Besucher;müssen;sich;vor;der;betreten;registrieren;lassen
60.0|um|conjunction|in order to|Der Ingenieur arbeitet hart, um die neue Maschine zu perfektionieren.|The engineer works hard in order to perfect the new machine.|der;Ingenieur;arbeiten;hart;um;der;neu;Maschine;zu;perfektionieren
61.0|um|preposition|around|Die Blumendekoration schlang sich kunstvoll um den großen Saal.|The floral decoration wound artfully around the large hall.|der;Blumendekoration;schlingen;sich;kunstvoll;um;der;groß;Saal
61.001|um|preposition|at|Um die Mittagszeit füllte sich der Platz mit hungrigen Besuchern.|At midday, the square filled with hungry visitors.|um;der;Mittagszeit;füllen;sich;der;Platz;mit;hungrig;Besucher
61.002|um|preposition|about|Um das alte Rathaus ranken sich spannende Legenden und Mythen.|There are fascinating legends and myths about the old town hall.|um;der;alt;Rathaus;ranken;sich;spannend;Legende;und;Mythen
62.0|ja|particle|yes|Ja, die alte Holzbrücke knarrte gefährlich unter der schweren Last.|Yes, the old wooden bridge creaked dangerously under the heavy load.|ja;der;alt;Holzbrücke;knarren;gefährlich;unter;der;schwer;Last
62.001|ja|particle|of course|Ja, das Wetter wird zu einem wunderschönen Herbsttag beitragen.|Of course, the weather will contribute to a beautiful autumn day.|ja;der;Wetter;werden;zu;ein;wunderschön;Herbsttag;beitragen
63.0|keine|pronoun|no (one)|Es gab keine Hinweise, die auf einen möglichen Fehler hindeuteten.|There were no hints that indicated a possible error.|es;geben;kein;Hinweis;der;auf;ein;möglich;Fehler;hindeuteen
64.0|über|preposition|above|Der Adler kreiste majestätisch über den schneebedeckten Bergen.|The eagle circled majestically above the snow-covered mountains.|der;Adler;kreisen;majestätisch;über;der;schneebedeckt;Berg
64.001|über|preposition|over|Der Vogel flog direkt über den stillen, klaren Bergsee hinweg.|The bird flew directly over the still, clear mountain lake.|der;Vogel;hinwegfliegen;direkt;über;der;still;klar;Bergsee;hinweg
64.002|über|preposition|about|Das Team diskutierte intensiv über die neuen Marktstrategien.|The team discussed the new market strategies intensively.|der;Team;diskutieren;intensiv;über;der;neu;Marktstrategie
65.0|da|adverb|there|Da am Horizont lag ein Schlossturm, der geheimnisvoll leuchtete.|There on the horizon lay a castle tower glowing mysteriously.|da;an;Horizont;liegen;ein;Schlossturm;der;geheimnisvoll;leuchten
66.0|da|conjunction|because|Da der Regen aufhörte, entschieden sie sich weiterzuwandern.|Because the rain stopped, they decided to keep hiking.|da;der;Regen;aufhören;entscheiden;sie;sich;weiterzuwandern
67.0|geben|verb|to give|Bitte geben Sie dem Fahrer klare Anweisungen für die Lieferadresse.|Please give the driver clear instructions for the delivery address.|Bitte;geben;sie;der;Fahrer;klar;Anweisung;für;der;Lieferadresse
68.0|vor|preposition|in front of|Vor der alten Kirche standen Dutzende neugieriger Touristen.|In front of the old church stood dozens of curious tourists.|vor;der;alt;Kirche;stehen;Dutzend;neugierig;Tourist
68.001|vor|preposition|before|Kurz vor Sonnenaufgang zog der Nebel über die Felder hinweg.|Just before sunrise, the mist drifted across the fields.|kurz;vor;Sonnenaufgang;hinwegziehen;der;Nebel;über;der;Feld;hinweg
68.002|vor|preposition|ago|Vor zehn Jahren wagte er den Schritt in die unbekannten Weiten.|Ten years ago, he ventured into the unknown expanses.|vor;zehn;Jahr;wagen;er;der;Schritt;in;der;unbekannt;Weite
69.0|mein|pronoun|my|Mein alter Koffer hielt dem strapaziösen Flug erstaunlich gut stand.|My old suitcase endured the strenuous flight surprisingly well.|mein;alt;Koffer;standhalten;der;strapaziös;Flug;erstaunlich;gut;stand
69.001|mein|pronoun|mine|Das alte Fotoalbum ist mein einziger Schatz aus der Kindheit.|The old photo album is my only treasure from childhood.|der;alt;Fotoalbum;sein;mein;einzig;Schatz;aus;der;Kindheit
70.0|mehr|adverb|more|Mehr Menschen besuchen die Bibliothek während der Prüfungszeit.|More people visit the library during exam periods.|mehr;Mensch;besuchen;der;Bibliothek;während;der;Prüfungszeit
71.0|das Jahr|noun|year|Jedes Jahr begeistert die blühende Kirschallee unzählige Besucher.|Every year, the blooming cherry avenue delights countless visitors.|jeder;Jahr;begeisteren;der;blühend;Kirschallee;unzählig;Besucher
72.0|du|pronoun|you|"In diesem Satz steht kein Pronomen, weil ""du"" zu vermeiden war."|"In this sentence there is no pronoun, as ""you"" was to be avoided."|in;dieser;Satz;stehen;kein;Pronomen;weil;du;zu;vermeiden;sein
73.0|durch|preposition|through|Die Wanderer gingen durch die dichten Wälder des Naturschutzgebiets.|The hikers walked through the dense forests of the nature reserve.|der;Wanderer;gehen;durch;der;dicht;Wald;der;Naturschutzgebiet
74.0|viel|pronoun|much|In dem kleinen Café gibt es viel zu entdecken und probieren.|In the little café, there is much to discover and try.|in;der;klein;Café;geben;es;viel;zu;entdecken;und;probieren
74.001|viel|pronoun|a lot|Viel von dem Erfolg hing von der sorgfältigen Planung des Teams ab.|A lot of the success depended on the team's careful planning.|viel;von;der;Erfolg;abhing;von;der;sorgfältig;Planung;der;Team;ab
74.002|viel|pronoun|many|Viel Geschrei erfüllte den belebten Marktplatz am Vormittag.|Many shouts filled the busy marketplace in the morning.|viel;Geschrei;erfüllen;der;belebt;Marktplatz;an;Vormittag
75.0|wollen|verb|to want to|Die Schüler wollen die Abschlussfahrt nach Berlin unbedingt erleben.|The students want to experience the graduation trip to Berlin at all costs.|der;Schüler;wollen;der;Abschlussfahrt;nach;Berlin;unbedingt;erleben
76.0|machen|verb|to do|Die Bäckerin wollte aus frischen Zutaten das perfekte Brot machen.|The baker wanted to make the perfect bread from fresh ingredients.|der;Bäckerin;wollen;aus;frisch;Zutat;der;perfekt;Brot;machen
76.001|machen|verb|to make|Er machte ein riesiges Chaos aus der organisierten Werkstatt.|He made a huge mess of the organized workshop.|er;machen;ein;riesig;Chaos;aus;der;organisiert;Werkstatt
77.0|andere|pronoun|other|Die anderen Gäste wählten Fisch statt Fleisch beim Abendessen.|The other guests chose fish instead of meat for dinner.|der;anderer;Gast;wählen;Fisch;statt;Fleisch;bei;Abendessen
78.0|sollen|verb|to should|Alle Teilnehmer sollen die Sicherheitsregeln vorab durchlesen.|All participants should read the safety rules in advance.|aller;Teilnehmer;sollen;der;Sicherheitsregel;vorab;durchlesen
78.001|sollen|verb|to ought to|Die Lehrerin sagte, wir sollen die Lektüre bis nächste Woche beenden.|The teacher said we ought to finish the reading by next week.|der;Lehrerin;sagen;wir;sollen;der;Lektüre;bis;nächster;Woche;beenden
79.0|schon|adverb|already|Die Tickets waren schon ausverkauft, bevor wir überhaupt ankamen.|The tickets were already sold out before we even arrived.|der;Ticket;sein;schon;ausverkaufen;bevor;wir;überhaupt;ankommen
80.0|schon|particle||Der Kuchen ist schon fertig und duftet herrlich nach Vanille.|The cake is already ready and smells wonderfully of vanilla.|der;Kuchen;sein;schon;fertig;und;duften;herrlich;nach;Vanille
81.0|kommen|verb|to come|Wochenlang warten wir schon darauf, dass die Lieferung endlich kommen.|We’ve been waiting for weeks for the delivery to finally come.|Wochenlang;warten;wir;schon;darauf;dass;der;Lieferung;endlich;kommen
82.0|mir|pronoun|me|Die Verkäuferin zeigte mir den besten Wein der ganzen Region.|The salesperson showed me the best wine of the entire region.|der;Verkäuferin;zeigen;mir;der;gut;Wein;der;ganz;Region
83.0|immer|adverb|always|Er hat immer eine Thermoskanne Tee in seinem Rucksack dabei.|He always carries a thermos of tea in his backpack.|er;dabeihaben;immer;ein;Thermoskanne;Tee;in;sein;Rucksack;dabei
84.0|mich|pronoun||Mich störte der Lärm der Baustelle vor dem zerfallenen Stadthaus.|The noise from the construction site in front of the crumbling city house disturbed me.|mich;stören;der;Lärm;der;Baustelle;vor;der;zerfallen;Stadthaus
85.0|mich|pronoun|me|Ein leises Geräusch hinter mir ließ mich alarmiert umdrehen.|A faint noise behind me made me turn around in alarm.|ein;leis;Geräusch;hinter;mir;lassen;mich;alarmiert;umdrehen
86.0|gehen|verb|to go|Sie gehen früh morgens zur alten Kapelle bei den hohen Tannen.|They go early in the morning to the old chapel by the tall firs.|sie;gehen;früh;morgens;zu;alt;Kapelle;bei;der;hoch;Tanne
87.0|groß|adjective|big|In dem großen Saal hallten die Klavierklänge eindrucksvoll wider.|In the big hall, the piano sounds echoed impressively.|in;der;groß;Saal;widerhalln;der;Klavierklang;eindrucksvoll;wider
87.001|groß|adjective|large|Ein großes Schiff durchquerte in aller Ruhe den weiten, blauen Ozean.|A large ship calmly crossed the wide, blue ocean.|ein;groß;Schiff;durchqueren;in;aller;Ruhe;der;weit;blau;Ozean
