|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
274.0|setzen|verb|to sit down|Er setzte sich auf die Bank unter der alten Linde.|He sat down on the bench under the old linden tree.|er;setzen;sich;auf;der;Bank;unter;der;alt;Linde
286.0|der Doktor|noun|doctor|Der erfahrene Doktor bereitete die komplizierte Operation ruhig vor.|The experienced doctor calmly prepared the complicated surgery.|der;erfahren;Doktor;vorbereiten;der;kompliziert;Operation;ruhig;vor
289.0|recht|adjective|(all) right|Alles ist recht in diesem Moment, solange die Stimmung positiv bleibt.|Everything is all right at this moment, as long as the mood remains positive.|alle;sein;recht;in;dieser;Moment;solange;der;Stimmung;positiv;bleiben
290.0|das Recht|noun|right|Das Recht auf freie Rede wurde hier stets verteidigt.|The right to free speech was always defended here.|der;Recht;auf;frei;Rede;werden;hier;stets;verteidigen
328.0|gern|adverb|(with a verb) love to|Die Kinder spielen gern draußen bei sonnigem Wetter Ball.|The children love to play ball outside in sunny weather.|der;Kind;spielen;gern;draußen;bei;sonnig;Wetter;Ball
338.0|lernen|verb|to learn|Er lernte die komplexen Schritte mühsam auswendig.|He learned the complex steps by heart with difficulty.|er;lernen;der;komplex;Schritt;mühsam;auswendig
339.001|frei|adjective|free|Die Plätze an der Universität für die neuen Kurse sind endlich frei.|The spots at the university for the new courses are finally free.|der;Platz;an;der;Universität;für;der;neu;Kurs;sein;endlich;frei
352.0|das Buch|noun|book|Das Buch enthält seltene Illustrationen historischer Ereignisse.|The book contains rare illustrations of historical events.|der;Buch;enthalten;selten;Illustration;historisch;Ereignis
365.001|je ..., desto|conjunction|the|Je länger der Sommer dauert, desto heißer wird es.|The longer the summer lasts, the hotter it gets.|je;lang;der;Sommer;dauern;desto;heiß;werden;es
375.003|eher|adverb|rather|Eher versuchte sie, das Problem durch ein Gespräch zu klären.|Rather, she tried to resolve the issue through a conversation.|eher;versuchen;sie;der;Problem;durch;ein;Gespräch;zu;klären
395.001|der Ort|noun|location|Der Ort am See bietet eine ruhige Kulisse für das Picknick.|The location by the lake provides a serene backdrop for the picnic.|der;Ort;an;See;bieten;ein;ruhig;Kulisse;für;der;Picknick
399.0|die Stelle|noun|place|An der Stelle des alten Baumes wurde eine Bank gebaut.|At the place of the old tree, a bench was built.|an;der;Stelle;der;alt;Baum;werden;ein;Bank;bauen
409.001|daher|pronoun|therefore|Das Wetter war kalt, daher blieb die Gruppe im Haus.|The weather was cold; therefore, the group stayed indoors.|der;Wetter;sein;kalt;daher;bleiben;der;Gruppe;in;Haus
444.0|erwarten|verb|to expect|Wir erwarten sehnsüchtig die Ankunft des neuen Zugmodells.|We eagerly expect the arrival of the new train model.|wir;erwarten;sehnsüchtig;der;Ankunft;der;neu;Zugmodell
455.0|die Reaktion|noun|reaction|Die Reaktion des Publikums war überwältigend positiv.|The reaction of the audience was overwhelmingly positive.|der;Reaktion;der;Publikum;sein;überwältigend;positiv
456.001|wirken|verb|to take effect|Die Kräuter aus dem Garten wirken bei Husten sofort lindernd.|The herbs from the garden take effect immediately for coughs.|der;Kräuter;aus;der;Garten;wirken;bei;Husten;sofort;lindernd
459.0|die Eltern (pl)|noun|parents|Die Eltern warteten geduldig vor der Schule auf ihre Kinder.|The parents waited patiently outside the school for their children.|der;Eltern;warten;geduldig;vor;der;Schule;auf;ihr;Kind
460.0|bezeichnen|verb|to call|Die Experten bezeichnen dieses Phänomen als außergewöhnlich wichtig.|The experts call this phenomenon extraordinarily important.|der;Experte;bezeichnen;dieser;Phänomen;als;außergewöhnlich;wichtig
470.0|entscheiden|verb|to decide|Sie mussten schnell über den Kauf des Hauses entscheiden.|They had to decide quickly about buying the house.|sie;mussten;schnell;über;der;Kauf;der;Haus;entscheiden
478.0|das Produkt|noun|product|Das innovative Produkt gewann sofort die Aufmerksamkeit der Kunden.|The innovative product immediately captured the customers' attention.|der;innovativ;Produkt;gewinnen;sofort;der;Aufmerksamkeit;der;Kunde
500.0|lachen|verb|to laugh|Die Kinder lachen laut über die lustigen Clownstreiche.|The children laugh loudly at the funny clown tricks.|der;Kind;lachen;laut;über;der;lustig;Clownstreich
516.0|gehören|verb|to belong|Diese wertvollen Bücher gehören zur historischen Sammlung.|These valuable books belong to the historical collection.|dieser;wertvoll;Buch;gehören;zu;historisch;Sammlung
588.0|rufen|verb|to call|Die Kinder riefen laut nach ihrer Katze im dichten Wald.|The children called loudly for their cat in the dense forest.|der;Kind;rufen;laut;nach;ihr;Katze;in;dicht;Wald
609.0|die Chance|noun|chance|Die unerwartete Einladung war eine einmalige Chance für ihn.|The unexpected invitation was a unique chance for him.|der;unerwartet;Einladung;sein;ein;einmalig;Chance;für;ihn
619.0|bewegen|verb|to move|Die Maschine bewegte die Kisten kraftvoll nach vorn.|The machine moved the boxes powerfully forward.|der;Maschine;bewegen;der;Kiste;kraftvoll;nach;vorn
620.0|enthalten|verb|to contain|Das Paket sollte alle Teile zur Montage enthalten, doch etwas fehlte.|The package was supposed to contain all parts for assembly, but something was missing.|der;Paket;sollen;aller;Teil;zu;Montage;enthalten;doch;etwas;fehlen
636.0|das Gesetz|noun|law|Ein neues Gesetz wurde zum Schutz von Wanderwegen erlassen.|A new law was passed to protect hiking trails.|ein;neu;Gesetz;werden;zu;Schutz;von;Wanderweg;erlassen
637.0|planen|verb|to plan|Die Ingenieure planen aufwändig eine neue Zugstrecke.|The engineers are meticulously planning a new train route.|der;Ingenieur;planen;aufwändig;ein;neu;Zugstrecke
710.001|die Beziehung|noun|relationship|Die Beziehung zwischen den Geschwistern war herzlich und tief.|The relationship between the siblings was warm and deep.|der;Beziehung;zwischen;der;Geschwister;sein;herzlich;und;tief
715.0|das Auftreten|noun|behavior|Sein Auftreten beeindruckte die gesamte Belegschaft.|His behavior impressed the entire staff.|sein;auftreten;beeindrucken;der;gesamt;Belegschaft
715.002|das Auftreten|noun|occurrence|Das Auftreten des seltenen Vogels begeistert alle Ornithologen.|The occurrence of the rare bird excites all ornithologists.|der;auftreten;der;selten;Vogel;begeistern;aller;Ornithologe
748.0|echt|adjective|genuine|Sein echtes Interesse an der Kunst begeistert alle Teilnehmer.|His genuine interest in art excites all participants.|sein;echt;Interesse;an;der;Kunst;begeistern;aller;Teilnehmer
752.0|hoffen|verb|to hope (for)|Wir hoffen auf ein baldiges Ende der schwierigen Zeiten.|We hope for a swift end to the difficult times.|wir;hoffen;auf;ein;baldig;Ende;der;schwierig;Zeit
753.001|erfahren|verb|to find out|In den Bergen erfährt man oft die wahre Stille der Natur.|In the mountains, one often finds out the true silence of nature.|in;der;Berg;erfahren;man;oft;der;wahr;Stille;der;Natur
763.001|klingen|verb|to sound|Die Glocken der alten Kirche klingen tief und harmonisch.|The bells of the old church sound deep and harmonious.|der;Glocke;der;alt;Kirche;klingen;tief;und;harmonisch
764.0|lieben|verb|to love|Er liebte den Duft von frischem Brot in der kleinen Bäckerei.|He loved the smell of fresh bread in the small bakery.|er;lieben;der;Duft;von;frisch;Brot;in;der;klein;Bäckerei
768.001|meist|adverb|usually|Meist dauert der Morgenverkehr quälend lange in der Großstadt.|Usually, the morning traffic drags on painfully long in the city.|meist;dauern;der;Morgenverkehr;quälend;lange;in;der;Großstadt
775.001|hin|adverb|there|Die dampfende Suppe schob er vorsichtig hin zur hungrigen Frau.|He carefully pushed the steaming soup there to the hungry woman.|der;dampfend;Suppe;schieben;er;vorsichtig;hin;zu;hungrig;Frau
776.0|aufgrund|preposition|on the basis of|Aufgrund neuer Erkenntnisse änderten sie die Strategie.|On the basis of new insights, they changed the strategy.|aufgrund;neu;Erkenntnis;ändern;sie;der;Strategie
798.0|erfolgreich|adjective|successful|Die Kampagne war durch die kluge Strategie erfolgreich.|The campaign was successful due to the clever strategy.|der;Kampagne;sein;durch;der;klug;Strategie;erfolgreich
808.001|dauern|verb|to take (time)|Das Meeting sollte nicht länger als eine Stunde dauern.|The meeting should not take more than an hour.|der;Meeting;sollen;nicht;lang;als;ein;Stunde;dauern
815.0|unabhängig|adjective|independent|Das unabhängige Team löste das Problem eigenhändig.|The independent team solved the problem on their own.|der;unabhängig;Team;lösen;der;Problem;eigenhändig
829.001|irgendwann|adverb|some day|Irgendwann wird der verrostete Zug wieder fahren können.|Some day, the rusty train will be able to run again.|irgendwann;werden;der;verrostet;Zug;wieder;fahren;können
851.0|rechte|adjective|right|Die rechte Seite des Raumes war prunkvoll dekoriert.|The right side of the room was lavishly decorated.|der;rechter;Seite;der;Raum;sein;prunkvoll;dekorieren
860.0|längst|adverb|long since|Die verlassene Mühle war längst von der Natur zurückgeholt.|The abandoned mill had long since been reclaimed by nature.|der;verlassen;Mühle;sein;längst;von;der;Natur;zurückholen
888.0|gestern|adverb|yesterday|Gestern betrachteten wir die beeindruckende Ausstellung.|Yesterday we viewed the impressive exhibition.|gestern;betrachten;wir;der;beeindruckend;Ausstellung
889.0|der Spieler|noun|player|Der Spieler trainiert täglich, um besser zu werden.|The player trains daily to become better.|der;Spieler;trainieren;täglich;um;gut;zu;werden
896.0|rechts|adverb|on/to the right|Der Weg gabelt sich rechts neben dem alten, moosbedeckten Baum.|The path forks to the right next to the old moss-covered tree.|der;Weg;gabeln;sich;rechts;neben;der;alt;moosbedeckt;Baum
915.0|breit|adjective|wide|Die breite Straße führte durch das Zentrum der Altstadt.|The wide street led through the center of the old town.|der;breit;Straße;führen;durch;der;Zentrum;der;Altstadt
921.0|die Anzahl|noun|number|Die Anzahl der Steine auf dem Weg macht das Wandern beschwerlich.|The number of stones on the path makes hiking difficult.|der;Anzahl;der;Stein;auf;der;Weg;machen;der;wandern;beschwerlich
925.0|berechnen|verb|to calculate|Der Ingenieur musste präzise Werte für die Brücke berechnen.|The engineer had to calculate precise values for the bridge.|der;Ingenieur;musste;präzise;Wert;für;der;Brücke;berechnen
944.0|das Verfahren|noun|method|Das Verfahren zur Datenanalyse ist äußerst effektiv.|The method for data analysis is extremely effective.|der;Verfahren;zu;Datenanalyse;sein;äußerst;effektiv
982.0|überraschen|verb|to surprise|Das Geschenk sollte den Jubilar völlig überraschen.|The gift was meant to completely surprise the celebrant.|der;Geschenk;sollen;der;Jubilar;völlig;überraschen
984.001|bewusst|adjective|deliberate|Sein bewusster Entschluss stärkte sein Selbstvertrauen.|His deliberate decision strengthened his self-confidence.|sein;bewusst;Entschluss;stärken;sein;Selbstvertrauen
996.0|schicken|verb|to send|Man musste den Brief per Kutsche schicken, da keine Bahn fuhr.|One had to send the letter by carriage since no train was running.|man;musste;der;Brief;per;Kutsche;schicken;da;kein;Bahn;fahren
1012.0|die Position|noun|position|Die Position des Baumes war perfekt für den Schatten.|The position of the tree was perfect for the shade.|der;Position;der;Baum;sein;perfekt;für;der;Schatten
1028.0|eignen (sich)|verb|to be suitable|Die neuen Möbel eignen sich hervorragend für das kleine Zimmer.|The new furniture is suitable for the small room.|der;neu;Möbel;eignen;sich;hervorragend;für;der;klein;Zimmer
1050.0|der Freitag|noun|Friday|Am Freitag schlenderte sie durch den lebhaften Markt.|On Friday, she strolled through the lively market.|an;Freitag;schlendern;sie;durch;der;lebhaft;Markt
1063.001|behandeln|verb|to address|Der Arzt wird die gesundheitlichen Probleme umfassend behandeln.|The doctor will comprehensively address the health issues.|der;Arzt;werden;der;gesundheitlich;Problem;umfassend;behandeln
1079.0|vorhanden|adjective|available|Die vorhandenen Ressourcen reichten für den gesamten Bau.|The available resources were sufficient for the entire construction.|der;vorhanden;Ressource;reichen;für;der;gesamt;Bau
1119.002|überlegen|verb|to think of|Ich musste lange überlegen, ob ich das Angebot annehme.|I had to think of it for a long time whether to accept the offer.|ich;musste;lange;überlegen;ob;ich;der;Angebot;annehmen
1142.001|glücklich|adjective|fortunate|Er war glücklich, den letzten Zug noch erreicht zu haben.|He was fortunate to have caught the last train.|er;sein;glücklich;der;letzter;Zug;noch;erreichen;zu;haben
1167.002|einfallen|verb|to come to mind|Diese Idee fiel ihm beim Lesen eines Gedichts ein.|This idea came to his mind while reading a poem.|dieser;Idee;einfallen;ihm;bei;Lesen;ein;Gedicht;ein
1183.001|die Behörde|noun|authorities|Die Behörde genehmigte endlich den lang erwarteten Antrag.|The authorities finally approved the long-awaited request.|der;Behörde;genehmigen;endlich;der;lang;erwartet;Antrag
1194.0|das Vertrauen|noun|trust|Ehrliche Worte bauten zögerlich das verlorene Vertrauen auf.|Honest words slowly rebuilt the lost trust.|Ehrliche;Wort;aufbauen;zögerlich;der;verloren;vertrauen;auf
1199.002|der Bund|noun|bunch|Ein Bund frischer Kräuter hängt an der Holzwand der Hütte.|A bunch of fresh herbs hangs on the wooden wall of the hut.|ein;Bund;frisch;Kraut;hängen;an;der;Holzwand;der;Hütte
1206.0|die Voraussetzung|noun|condition|Die Voraussetzung für die Teilnahme ist ein abgeschlossenes Studium.|The condition for participation is a completed degree.|der;Voraussetzung;für;der;Teilnahme;sein;ein;abgeschlossen;Studium
1239.0|angesichts|preposition|in view of|Angesichts der Lage wurde das Konzert sicherheitshalber abgesagt.|In view of the situation, the concert was canceled as a precaution.|angesichts;der;Lage;werden;der;Konzert;sicherheitshalber;absagen
1243.0|heraus|adverb|out|Das Kind zog vorsichtig den Zettel aus der Schublade heraus.|The child carefully pulled the note out of the drawer.|der;Kind;herausziehen;vorsichtig;der;Zettel;aus;der;Schublade;heraus
1246.0|der Partner|noun|partner|Ihr Partner unterstützte sie während des schwierigen Projekts.|Her partner supported her during the difficult project.|ihr;Partner;unterstützen;sie;während;der;schwierig;Projekt
1255.0|der Stein|noun|rock|Ein ungewöhnlich geformter Stein lag am Ufer des stillen Flusses.|An unusually shaped rock lay on the bank of the quiet river.|ein;ungewöhnlich;geformt;Stein;liegen;an;Ufer;der;still;Fluss
1260.002|das Konzept|noun|plan|Das Konzept der Ausstellung überraschte mit futuristischen Skulpturen.|The plan of the exhibition surprised with futuristic sculptures.|der;Konzept;der;Ausstellung;überraschen;mit;futuristisch;Skulptur
1282.0|der Osten, Ost-|noun|east|Der Osten des Landes ist für seine Naturwunder bekannt.|The east of the country is famous for its natural wonders.|der;Osten;der;Land;sein;für;sein;Naturwunder;bekannt
1293.001|sammeln|verb|to gather|Die Forscher sammeln Daten für ihre neueste Studie.|The researchers gather data for their latest study.|der;Forscher;sammeln;Datum;für;ihr;neue;Studie
1294.0|ablehnen|verb|to refuse|Die Bürger lehnten den neuen Vorschlag des Rates deutlich ab.|The citizens clearly refused the council's new proposal.|der;Bürger;ablehnen;der;neu;Vorschlag;der;Rat;deutlich;ab
1295.0|stoßen|verb|to bump|Beim Eilen stieß er hart gegen die schwere Eichentür.|While hurrying, he bumped hard against the heavy oak door.|bei;Eilen;stoßen;er;hart;gegen;der;schwer;Eichentür
1300.0|verlaufen|verb|to proceed|Die Diskussion sollte ruhig und strukturiert verlaufen.|The discussion should proceed calmly and structured.|der;Diskussion;sollen;ruhig;und;strukturiert;verlaufen
1304.0|auslösen|verb|to set off|Der Fehlalarm löste Panik in der überfüllten Bahnstation aus.|The false alarm set off panic in the crowded train station.|der;Fehlalarm;auslösen;Panik;in;der;überfüllt;Bahnstation;aus
1313.0|ausmachen|verb|to put out|Er musste die Kerze leise ausmachen, um niemanden zu wecken.|He had to quietly put out the candle to avoid waking anyone.|er;musste;der;Kerze;leise;ausmachen;um;niemand;zu;wecken
1315.0|kritisch|adjective|critical|Die kritische Analyse entblößt die Schwächen des Plans.|The critical analysis exposes the weaknesses of the plan.|der;kritisch;Analyse;entblößen;der;Schwäche;der;Plan
1358.0|maximal|adjective|maximum|Die Maschine läuft auf maximaler Leistung für die Produktion.|The machine operates at maximum capacity for production.|der;Maschine;laufen;auf;maximal;Leistung;für;der;Produktion
1391.0|landen|verb|to land|Das Flugzeug landete sicher auf der frostigen Landebahn.|The plane landed safely on the frosty runway.|der;Flugzeug;landen;sicher;auf;der;frostig;Landebahn
1404.001|die Erkenntnis|noun|discovery|Die Erkenntnis brachte eine Lösung für das komplexe Problem.|The discovery brought a solution to the complex problem.|der;Erkenntnis;bringen;ein;Lösung;für;der;komplex;Problem
1405.001|selbstverständlich|adjective|self-evident|Es ist selbstverständlich, Müll ordentlich zu entsorgen.|It is self-evident to dispose of waste properly.|es;sein;selbstverständlich;Müll;ordentlich;zu;entsorgen
1409.0|die Basis|noun|basis|Die Basis unseres Projekts ist ein klarer Handlungsplan.|The basis of our project is a clear action plan.|der;Basis;unser;Projekt;sein;ein;klar;Handlungsplan
1418.0|das Enzym|noun|enzyme|Dieses neue Enzym beschleunigt die Reaktion im Labor immens.|This new enzyme accelerates the reaction in the lab immensely.|dieser;neu;Enzym;beschleunigen;der;Reaktion;in;Labor;immens
1429.0|ausschließen|verb|to exclude|Man sollte niemanden aus wichtigen Gesprächen ausschließen.|One should not exclude anyone from important conversations.|man;sollen;niemand;aus;wichtig;Gespräch;ausschließen
1439.0|der Anschlag|noun|attack|Der Anschlag setzte die ganze Stadt in Alarmbereitschaft.|The attack put the entire city on high alert.|der;Anschlag;setzen;der;ganz;Stadt;in;Alarmbereitschaft
1455.0|berühmt|adjective|famous|Der berühmte Maler stellte sein Werk in Paris aus.|The famous painter exhibited his work in Paris.|der;berühmt;Maler;ausstellen;sein;Werk;in;Paris;aus
1464.0|herzlich|adjective|cordial|Die Gastgeber boten uns einen herzlich warmen Empfang.|The hosts gave us a cordial warm welcome.|der;Gastgeber;boten;uns;ein;herzlich;warm;Empfang
1464.001|herzlich|adjective|warm|Ein herzliches Lächeln begrüßte die Gäste im Saal.|A warm smile welcomed the guests in the hall.|ein;herzlich;lächeln;begrüßen;der;Gast;in;Saal
1478.0|niemals|adverb|never|Er hätte niemals geglaubt, dass so etwas passieren könnte.|He would never have believed that something like this could happen.|er;haben;niemals;glauben;dass;so;etwas;passieren;können
1506.001|aufweisen|verb|to exhibit|Das Kunstwerk weist eine faszinierende Farbauswahl auf.|The artwork exhibits a fascinating color selection.|der;Kunstwerk;aufweisen;ein;faszinierend;Farbauswahl;auf
1533.001|die Praxis|noun|doctor’s office|In der Praxis hat der Arzt viele Patienten pro Tag.|In the doctor's office, the doctor sees many patients daily.|in;der;Praxis;haben;der;Arzt;vieler;Patient;pro;Tag
1537.0|übertragen|verb|to transfer|Die Daten wurden auf das tragbare Gerät direkt übertragen.|The data was transferred directly to the portable device.|der;Datum;werden;auf;der;tragbar;Gerät;direkt;übertragen
1551.0|arm|adjective|poor|Der arme Mann fand Schutz in einer alten Hütte im Wald.|The poor man found shelter in an old hut in the forest.|der;arm;Mann;finden;Schutz;in;ein;alt;Hütte;in;Wald
1574.0|tanzen|verb|to dance|In der Halle tanzen hunderte Gäste ausgelassen bis spät.|In the hall, hundreds of guests dance exuberantly until late.|in;der;Halle;tanzen;hundert;Gast;ausgelassen;bis;spät
1598.0|solange|conjunction|as long as|Solange es sicher ist, können wir weiter am Projekt arbeiten.|As long as it is safe, we can continue working on the project.|solange;es;sicher;sein;können;wir;weiter;an;Projekt;arbeiten
1604.002|günstig|adjective|good|Der günstige Preis für das neue Smartphone zieht Käufer an.|The good price for the new smartphone attracts buyers.|der;günstig;Preis;für;der;neu;Smartphone;anziehen;Käufer;an
1605.0|der Dezember|noun|December|Im Dezember erstrahlt die Stadt in festlichem Licht.|In December, the city shines in festive light.|in;Dezember;erstrahlen;der;Stadt;in;festlich;Licht
1607.0|das Krankenhaus|noun|hospital|Das moderne Krankenhaus wurde in wenigen Monaten gebaut.|The modern hospital was built in a few months.|der;modern;Krankenhaus;werden;in;weniger;Monat;bauen
1630.0|der Service|noun|service|Der Service in dem kleinen Gasthof war herzlich und unschlagbar.|The service in the small guesthouse was warm and unbeatable.|der;Service;in;der;klein;Gasthof;sein;herzlich;und;unschlagbar
1632.0|bisherig|adjective|so far|Die bisherige Strategie brachte kaum Fortschritte im Projekt.|The strategy so far brought little progress to the project.|der;bisherig;Strategie;bringen;kaum;Fortschritt;in;Projekt
1640.0|anhand|preposition|on the basis of|Anhand der Umfrageergebnisse werden Entscheidungen getroffen.|Decisions are made on the basis of the survey results.|anhand;der;Umfrageergebnis;werden;Entscheidung;treffen
1653.001|die Gegend|noun|region|In der friedlichen Gegend wachsen die besten Weintrauben.|In the peaceful region, the best grapes grow.|in;der;friedlich;Gegend;wachsen;der;gut;Weintraube
1660.0|tauchen|verb|to dive|Die Taucher möchten tief in das klare Wasser tauchen.|The divers want to dive deep into the clear water.|der;Taucher;möchten;tief;in;der;klar;Wasser;tauchen
1666.001|die Bestimmung|noun|purpose|Die Bestimmung des Plans war von Anfang an klar definiert.|The purpose of the plan was clearly defined from the beginning.|der;Bestimmung;der;Plan;sein;von;Anfang;an;klar;definieren
1684.0|wunderbar|adjective|wonderful|Der Sonnenuntergang am Strand war einfach wunderbar.|The sunset at the beach was simply wonderful.|der;Sonnenuntergang;an;Strand;sein;einfach;wunderbar
1698.0|der Lehrstuhl|noun|professorship|Der Lehrstuhl für alte Geschichte wird neu besetzt.|The professorship for ancient history is being refilled.|der;Lehrstuhl;für;alt;Geschichte;werden;neu;besetzen
1733.0|brennen|verb|to burn|Die Kerzen brennen leise im dunklen Raum vor sich hin.|The candles burn quietly in the dark room.|der;Kerze;brennen;leise;in;dunkel;Raum;vor;sich;hin
1763.001|die Schicht|noun|shift|Die Schicht am Fließband war heute besonders anstrengend.|The shift at the assembly line was particularly exhausting today.|der;Schicht;an;Fließband;sein;heute;besonders;anstrengend
1795.0|die Regelung|noun|regulation|Die neue Regelung der Stadtwerke betrifft Müllabholung bei Nacht.|The new regulation by the city services concerns nighttime garbage collection.|der;neu;Regelung;der;Stadtwerk;betreffen;Müllabholung;bei;Nacht
1795.001|die Regelung|noun|settlement|Die Regelung des Streits erfolgte durch einen neutralen Schlichter.|The settlement of the dispute was handled by a neutral mediator.|der;Regelung;der;Streit;erfolgen;durch;ein;neutral;Schlichter
1797.0|überwiegen|verb|to outweigh|Die Vorteile dieses Plans überwiegen die möglichen Risiken.|The advantages of this plan outweigh the possible risks.|der;Vorteil;dieser;Plan;überwiegen;der;möglich;Risiko
1798.0|bedingen|verb|to cause|Die hohen Kosten bedingen eine genaue Planung des Projekts.|The high costs cause a need for precise project planning.|der;hoch;Kosten;bedingen;ein;genau;Planung;der;Projekt
1799.001|die Gestalt|noun|form|Die Gestalt des Gebäudes beeindruckt alle Besucher.|The form of the building impresses all visitors.|der;Gestalt;der;Gebäude;beeindrucken;aller;Besucher
1804.0|fließen|verb|to flow|Der Fluss fließen ruhig durch das Tal und die Felder.|The river flows calmly through the valley and fields.|der;Fluss;fließen;ruhig;durch;der;Tal;und;der;Feld
1805.0|gemäß|preposition|according to|Gemäß der Studie steigen die Zahlen jährlich um fünf Prozent.|According to the study, the numbers increase by five percent annually.|Gemäß;der;Studie;steigen;der;Zahl;jährlich;um;fünf;Prozent
1811.0|zufällig|adjective|accidental|Zufällig entdeckte er die alte Landkarte auf dem Dachboden.|He accidentally discovered the old map in the attic.|zufällig;entdecken;er;der;alt;Landkarte;auf;der;Dachboden
1827.0|ab|adverb|off|Der Wanderer bog ab und nahm den schattigen Waldrandweg.|The hiker turned off and took the shady forest trail.|der;Wanderer;abbiegen;ab;und;nehmen;der;schattig;Waldrandweg
1856.0|die Erzählung|noun|narration|Seine Erzählung über die Reise war fesselnd und detailreich.|His narration of the journey was captivating and detailed.|sein;Erzählung;über;der;Reise;sein;fesselnd;und;detailreich
1863.0|zeitlich|adjective|in time|Die zeitlich begrenzte Ausstellung füllte schnell die Galerieräume.|The limited-time exhibition quickly filled the gallery rooms.|der;zeitlich;begrenzt;Ausstellung;füllen;schnell;der;Galerieraum
1885.0|wandern|verb|to (go on a) walk or hike|Am Wochenende wollen wir durch die Wälder wandern.|On the weekend, we want to hike through the woods.|an;Wochenende;wollen;wir;durch;der;Wald;wandern
1897.001|insofern|adverb|insofar|Insofern der Raum leer ist, nutzen sie ihn für die Ausstellung.|Insofar as the room is empty, they use it for the exhibition.|insofern;der;Raum;leer;sein;nutzen;sie;ihn;für;der;Ausstellung
1925.001|die Ausgabe|noun|edition|Die neue Ausgabe des Buchs enthält exklusive Kapitel.|The new edition of the book contains exclusive chapters.|der;neu;Ausgabe;der;Buch;enthalten;exklusiv;Kapitel
