|sentence_de
pronoun|mir
pronoun|nichts
pronoun|niemanden
pronoun|sich
pronoun|sie
pronoun|uns
pronoun|unser
pronoun|wir
verb|abhängen
verb|ablehnen
verb|abnehmen
verb|abschließen
verb|absehen
verb|ändern
verb|anfangen
verb|ankommen
verb|annehmen
verb|anrufen
verb|ansehen
verb|anzusehen
verb|arbeiten
verb|aufbewahren
verb|aufgeben
verb|aufhören
verb|aufräumen
verb|aufstellen
verb|auftreten
verb|ausarbeiten
verb|ausgeben
verb|ausmachen
verb|ausprobieren
verb|ausschließen
verb|ausstatten
verb|backen
verb|bauen
verb|beachten
verb|bedecken
verb|bedeuten
verb|bedienen
verb|beeindrucken
verb|beginnen
verb|begreifen
verb|begrenzen
verb|begründen
verb|begrüßen
verb|beheben
verb|beheben
verb|bekommen
verb|belasten
verb|bellen
verb|bemerken
verb|bepflanzen
verb|beschäftigen
verb|besetzen
verb|besichtigen
verb|besiedeln
verb|besprechen
verb|bestätigen
verb|bestehen
verb|besuchen
verb|betreten
verb|bevorzugen
verb|bewachen
verb|beweisen
verb|bewerben
verb|bewerten
verb|bewilligen
verb|bewohnen
verb|bewundern
verb|bezahlen
verb|binden
verb|bitten
verb|bleiben
verb|brauchen
verb|brauen
verb|brechen
verb|bringen
verb|buchen
verb|darstellen
verb|definieren
verb|denken
verb|diskutieren
verb|durchführen
verb|einrichten
verb|einsetzen
verb|einstellen
verb|einstufen
verb|enthalten
verb|entscheiden
verb|erarbeiten
verb|erfahren
verb|erfassen
verb|erfüllen
verb|erhalten
verb|erhöhen
verb|erinnern
verb|erkennen
verb|erklären
verb|erlassen
verb|erläutern
verb|erledigen
verb|erleuchten
verb|eröffnen
verb|erreichen
verb|erscheinen
verb|erschließen
verb|ersetzen
verb|erteilen
verb|ertragen
verb|erwähnen
verb|erwarten
verb|erzählen
verb|essen
verb|fallen
verb|fehlen
verb|fertigen
verb|festlegen
verb|feststellen
verb|finden
verb|fliegen
verb|fortführen
verb|freisprechen
verb|funktionieren
verb|geben
verb|gefallen
verb|gehen
verb|gelingen
verb|genehmigen
verb|geschehen
verb|gestalten
verb|gewährleisten
verb|gewinnen
verb|gründen
verb|haben
verb|halten
verb|heben
verb|helfen
verb|herstellen
verb|hinausgehen
verb|hören
verb|ignorieren
verb|investieren
verb|joggen
verb|kaufen
verb|kennen
verb|klappen
verb|klopfen
verb|kommen
verb|können
verb|konzentrieren
verb|lächeln
verb|lachen
verb|laden
verb|lassen
verb|laufen
verb|leiden
verb|leisten
verb|lernen
verb|lesen
verb|löschen
verb|lösen
verb|losgehen
verb|loslegen
verb|loswerden
verb|lügen
verb|machen
verb|meinen
verb|melden
verb|modernisieren
verb|müssen
verb|nachgeben
verb|nehmen
verb|nutzen
verb|nützen
verb|offenlassen
verb|optimieren
verb|passieren
verb|planen
verb|präsentieren
verb|rauchen
verb|recherchieren
verb|rechnen
verb|reduzieren
verb|regnen
verb|reisen
verb|renovieren
verb|reparieren
verb|restaurieren
verb|riechen
verb|sagen
verb|schaffen
verb|schauen
verb|scheinen
verb|scheitern
verb|schicken
verb|schiefgehen
verb|schlafen
verb|schließen
verb|schmücken
verb|schnappen
verb|schneiden
verb|schockieren
verb|schreiben
verb|schützen
verb|schweigen
verb|sehen
verb|sein
verb|senken
verb|servieren
verb|sichten
verb|singen
verb|sinken
verb|sitzen
verb|sollen
verb|sorgen
verb|spazieren
verb|sperren
verb|spielen
verb|sprechen
verb|stärken
verb|starten
verb|steigen
verb|stellen
verb|stimmen
verb|stoppen
verb|stören
verb|stoßen
verb|streichen
verb|studieren
verb|suchen
verb|tanzen
verb|teilen
verb|teilnehmen
verb|testen
verb|tragen
verb|transportieren
verb|treffen
verb|trinken
verb|tun
verb|überraschen
verb|übertragen
verb|umgeben
verb|umgehen
verb|umkehren
verb|umsetzen
verb|unterschätzen
verb|unterscheiden
verb|unterzeichnen
verb|verabschieden
verb|verändern
verb|verbessern
verb|verbinden
verb|verblassen
verb|verbreiten
verb|verdienen
verb|vereinbaren
verb|vergehen
verb|vergessen
verb|verhandeln
verb|verkaufen
verb|verlangen
verb|verlaufen
verb|verlieren
verb|veröffentlichen
verb|verraten
verb|verschwinden
verb|versorgen
verb|versprechen
verb|verstärken
verb|verstecken
verb|verstehen
verb|versuchen
verb|verwirklichen
verb|verzichten
verb|vorbereiten
verb|vorkommen
verb|wachsen
verb|wählen
verb|wahrnehmen
verb|wandern
verb|warten
verb|weiterzugehen
verb|werden
verb|wiedersehen
verb|wissen
verb|zahlen
verb|zählen
verb|zeigen
verb|zerstören
verb|ziehen
verb|zitieren
verb|zusammenpassen
verb|zustimmen
verb|zuzuordnen
