|word_deu|part_of_speech_deu|word_eng|sentence_deu|sentence_eng|sentence_lemmatized_deu
937.0|Balancier|noun|balancer|Der Balancier vermittelt den Kindern Gleichgewicht und Koordination.|The balancer teaches children balance and coordination.|der;Balancier;vermitteln;der;Kind;Gleichgewicht;und;Koordination
957.0|passen|verb|to fit|Der neue Anzug sollte perfekt passen, wenn er zugeschnitten ist.|The new suit should fit perfectly when it is tailored.|der;neu;Anzug;sollen;perfekt;passen;wenn;er;zuschneiden;sein
992.0|die Spießigkeit|noun|bourgeoisness|Seine Vorlieben spiegelten die Spießigkeit seiner Familie wider.|His preferences reflected the bourgeoisness of his family.|sein;Vorliebe;widerspiegeln;der;Spießigkeit;sein;Familie;wider
1017.0|draufgehen|verb|to die|Er ist bei dem Unfall draufgegangen, als er das Auto falsch lenkte.|He died in the accident when he steered the car wrong.|er;sein;bei;der;Unfall;draufgehen;als;er;der;Auto;falsch;lenken
1053.0|außerhalb|adjective|outside|Er parkte außerhalb des Parks, um sich das Eintrittsgeld zu sparen.|He parked outside the park to save on the entrance fee.|er;parken;außerhalb;der;Park;um;sich;der;Eintrittsgeld;zu;sparen
1081.0|gießen|verb|to pour|Ich werde die frische Milch in die Schüssel gießen für das Müsli.|I will pour the fresh milk into the bowl for the muesli.|ich;werden;der;frisch;Milch;in;der;Schüssel;gießen;für;der;Müsli
1083.001|das Silvester|noun|the New Year's Eve|Das Silvester wird oft mit Feuerwerk und Feiern in der Stadt welcomed.|New Year's Eve is often celebrated with fireworks and festivities in the city.|der;Silvester;werden;oft;mit;Feuerwerk;und;Feiern;in;der;Stadt;welcomed
1084.0|der Kassenbon|noun|receipt|Ich musste den Kassenbon aufbewahren, um das Produkt zurückzugeben.|I had to keep the receipt to return the product.|ich;musste;der;Kassenbon;aufbewahren;um;der;Produkt;zurückzugeben
1100.0|die Fanmeile|noun|the fan mile|Die Fanmeile war voller jubelnder Menschen während des Finalspiels.|The fan mile was packed with cheering people during the final match.|der;Fanmeile;sein;voll;jubelnd;Mensch;während;der;Finalspiel
1169.0|beinahe|adverb|almost|Ich habe mich beinahe beim Kochen verbrannt, als ich abgelenkt war.|I almost burned myself while cooking when I was distracted.|ich;haben;sich;beinahe;bei;kochen;verbrennen;als;ich;ablenken;sein
1226.0|der Bock|noun|the goat|Der Bock auf der Weide sieht gesund aus und frisst frisches Gras.|The goat in the pasture looks healthy and eats fresh grass.|der;Bock;auf;der;Weide;aussehen;gesund;aus;und;frissen;frisch;Gras
1226.001|das Bock|noun|goat|Die Ziege sprang über das Tor und rannte mit dem Bock auf die Weide.|The goat jumped over the gate and ran with the buck into the meadow.|der;Ziege;springen;über;der;Tor;und;rannen;mit;der;Bock;auf;der;Weide
1263.0|der Lauf|noun|course|Der Lauf des Flusses schlängelt sich durch die grünen Täler.|The course of the river winds through the green valleys.|der;Lauf;der;Fluß;schlängeln;sich;durch;der;grün;Täler
1293.0|platt|adjective|flat|Das Fahrrad war platt, weil der Reifen einen Nagel erwischt hatte.|The bicycle was flat because the tire had hit a nail.|der;Fahrrad;sein;platt;weil;der;Reifen;ein;Nagel;erwischen;haben
1322.0|die Sintflut|noun|the flood|Die Sintflut hinterließ zerstörte Landschaften und verlorene Heimat.|The flood left behind devastated landscapes and lost homes.|der;Sintflut;hinterlassen;zerstört;Landschaft;und;verloren;Heimat
1330.0|der Hut|noun|the hat|Der Hut, den er trug, war nicht nur stylish, sondern auch praktisch.|The hat he wore was not only stylish but also practical.|der;Hut;der;er;tragen;sein;nicht;nur;stylish;sondern;auch;praktisch
1340.0|das Pech|noun|the misfortune|Das Pech hatte ihn bereits mehrmals heimgesucht, und er hatte genug.|The misfortune had already visited him several times, and he had enough.|der;Pech;haben;ihn;bereits;mehrmals;heimsuchen;und;er;haben;genug
1360.0|Kaffeevollautomat|noun|coffee machine|Der Kaffeevollautomat brühte in wenigen Minuten einen heißen Espresso.|The coffee machine brewed a hot espresso in just a few minutes.|der;Kaffeevollautomat;brühen;in;weniger;Minute;ein;heiß;Espresso
1379.0|der Berufsverkehr|noun|rush hour|Der Berufsverkehr in der Stadt ist am Montagmorgen besonders schlimm.|Rush hour in the city is especially bad on Monday mornings.|der;Berufsverkehr;in;der;Stadt;sein;an;Montagmorgen;besonders;schlimm
1388.0|verstehen|verb|to understand|Es ist wichtig, einander wirklich zu verstehen, um zu kommunizieren.|It is important to truly understand each other to communicate.|es;sein;wichtig;einander;wirklich;zu;verstehen;um;zu;kommunizieren
1392.0|das Gebiet|noun|area|Das neue Einkaufszentrum wurde im westlichen Gebiet der Stadt gebaut.|The new shopping center was built in the western area of the city.|der;neu;Einkaufszentrum;werden;in;westlich;Gebiet;der;Stadt;bauen
1394.0|die Crème|noun|the cream|Die Crème verleiht der Haut einen schönen Glanz und pflegt sie.|The cream gives the skin a nice glow and nourishes it.|der;Crème;verleihen;der;Haut;ein;schön;Glanz;und;pflegen;sie
1618.0|gleich|adverb|same|Diese zwei Straßen haben den gleich Verlauf und führen zur Stadtmitte.|These two roads have the same trajectory and lead to the city center.|dieser;zwei;Straße;haben;der;gleich;Verlauf;und;führen;zu;Stadtmitte
1635.0|die Sprechstundenhilfe|noun|receptionist|Die Sprechstundenhilfe begrüßte die Patienten freundlich am Empfang.|The receptionist greeted the patients warmly at the reception.|der;Sprechstundenhilfe;begrüßen;der;Patient;freundlich;an;Empfang
1654.0|die Erzieherin|noun|educator|Die Erzieherin kümmerte sich liebevoll um die Kinder im Kindergarten.|The educator lovingly cared for the children in the kindergarten.|der;Erzieherin;kümmern;sich;liebevoll;um;der;Kind;in;Kindergarten
1655.0|erziehen|verb|to raise|Die Eltern erziehen ihre Kinder mit Liebe und Fürsorge und Respekt.|The parents raise their children with love, care, and respect.|der;Eltern;erziehen;ihr;Kind;mit;Liebe;und;Fürsorge;und;Respekt
1690.0|unterliegen|verb|to be defeated|Das Team unterliegt schmerzhaft im Finale gegen den Rivalen.|The team was painfully defeated in the finals against the rival.|der;Team;unterliegen;schmerzhaft;in;Finale;gegen;der;Rivale
1695.0|ackern|verb|to toil|Die Landwirte ackern den Boden, um eine gute Ernte zu erzielen.|The farmers toil the soil to achieve a good harvest.|der;Landwirt;ackern;der;Boden;um;ein;gut;Ernte;zu;erzielen
1725.0|runterziehen|verb|to pull down|Wir müssen das Schild runterziehen, um den Blick freizugeben.|We need to pull down the sign to clear the view.|wir;müssen;der;Schild;runterziehen;um;der;Blick;freizugeben
1837.0|begutachten|verb|to assess|Sie begutachtete die alten Möbel und stellte viele Mängel fest.|She assessed the old furniture and noted many defects.|sie;begutachten;der;alt;Möbel;und;feststellen;vieler;Mangel;fest
1841.0|vorbeigehen|verb|to pass by|Wenn ich vorbeigehe, winke ich immer der Nachbarin freundlich zu.|Whenever I pass by, I always wave cheerfully to the neighbor.|wenn;ich;vorbeigehen;zuwinken;ich;immer;der;Nachbarin;freundlich;zu
1844.0|einteilen|verb|to divide|Wir müssen die Aufgaben sinnvoll einteilen, um effizient zu arbeiten.|We need to divide the tasks sensibly to work efficiently.|wir;müssen;der;Aufgabe;sinnvoll;einteilen;um;effizient;zu;arbeiten
1853.0|der Verlauf|noun|the course|Der Verlauf des Projekts verlief gemäß den festgelegten Zielen.|The course of the project proceeded according to the established goals.|der;Verlauf;der;Projekt;verlaufen;gemäß;der;festgelegt;Ziel
1857.0|belästigen|verb|to harass|Es ist nicht in Ordnung, andere dauernd zu belästigen und zu stören.|It is not right to constantly harass and disturb others.|es;sein;nicht;in;Ordnung;anderer;dauernd;zu;belästigen;und;zu;stören
1864.0|der Abstand|noun|distance|Der Abstand zwischen den Stühlen sollte mindestens einen Meter sein.|The distance between the chairs should be at least one meter.|der;Abstand;zwischen;der;Stuhl;sollen;mindestens;einen;Meter;sein
1880.0|erstmal|adverb|for now|Erstmal setze ich auf bewährte Methoden, bevor ich experimentiere.|For now, I stick to proven methods before I experiment.|erstmal;setzen;ich;auf;bewährt;Methode;bevor;ich;experimentieren
1920.0|die Windel|noun|the diaper|Die Mutter wechselte die Windel des schlafenden Babys vorsichtig.|The mother carefully changed the diaper of the sleeping baby.|der;Mutter;wechseln;der;Windel;der;schlafend;Baby;vorsichtig
2062.0|das Häppchen|noun|the snack|Als Häppchen gab es Fingerfood auf dem Empfang, um uns zu stärken.|As a snack, there was finger food at the reception to strengthen us.|als;Häppchen;geben;es;Fingerfood;auf;der;Empfang;um;uns;zu;stärken
2086.0|je|adverb|each|Die Freunde treffen sich je einmal im Monat zum gemeinsamen Dinner.|The friends meet each month for a joint dinner.|der;Freund;treffen;sich;je;einmal;in;Monat;zu;gemeinsam;Dinner
2295.0|übertönen|verb|to overshadow|Die neue Sängerin wird den alten Star mit ihrer Stimme übertönen.|The new singer will overshadow the old star with her voice.|der;neu;Sängerin;werden;der;alt;Star;mit;ihr;Stimme;übertönen
2338.0|zuallererst|adverb|first of all|Zuallererst musst du deine Tasche packen, bevor wir losfahren.|First of all, you need to pack your bag before we leave.|zuallererst;mussen;du;dein;Tasche;packen;bevor;wir;losfahren
2454.0|der Fußtritt|noun|kick|Er bekam einen heftigen Fußtritt, als er versuchte, sich einzumischen.|He got a heavy kick when he tried to intervene.|er;bekommen;ein;heftig;Fußtritt;als;er;versuchen;sich;einmischen
2457.0|lieb|adjective|dear|Sie gab mir ein lieb gemeintes Kompliment, das mich sehr freute.|She gave me a dear compliment that made me very happy.|sie;geben;mir;ein;lieb;gemeint;Kompliment;der;mich;sehr;freuen
2459.0|der Klaps|noun|slap|Ein unerwarteter Klaps auf den Rücken ließ ihn kurz zusammenzucken.|An unexpected slap on the back made him flinch for a moment.|ein;unerwartet;Klaps;auf;der;Rücken;lassen;ihn;kurz;zusammenzucken
2466.0|der Rausschmiss|noun|the expulsion|Nach dem Rausschmiss war der Spieler enttäuscht und frustriert.|After the expulsion, the player was disappointed and frustrated.|nach;der;Rausschmiss;sein;der;Spieler;enttäuschen;und;frustrieren
2469.0|leid|adjective|sorry|Es tut mir leid, dass ich deine Erwartungen nicht erfüllen konnte.|I'm sorry that I couldn't meet your expectations.|es;leidtun;mir;leid;dass;ich;dein;Erwartung;nicht;erfüllen;können
2475.0|wohltemperiert|adjective|well-tempered|Der wohltuend wohltemperierte Raum half allen Erholung zu finden.|The pleasantly well-tempered room helped everyone find relaxation.|der;wohltuend;wohltemperiert;Raum;helfen;alle;Erholung;zu;finden
2476.0|die Grausamkeit|noun|cruelty|Die Grausamkeit der Vergangenheit sollte niemals vergessen werden.|The cruelty of the past should never be forgotten.|der;Grausamkeit;der;Vergangenheit;sollen;niemals;vergessen;werden
2483.0|grölen|verb|to yell|Die Fans begannen im Stadion laut zu grölen und feuerten an.|The fans started to yell loudly in the stadium and cheered on.|der;Fan;beginnen;in;Stadion;laut;zu;grölen;und;anfeuern;an
2495.0|der Stehtisch|noun|the standing table|Der Stehtisch war der zentrale Punkt der Networking-Veranstaltung.|The standing table was the central point of the networking event.|der;Stehtisch;sein;der;zentral;Punkt;der;Networking-Veranstaltung
2498.0|durchschallen|verb|to resonate|Der Gesang durchschallte die Halle und berührte die Zuhörer tief.|The singing resonated through the hall and touched the listeners deeply.|der;Gesang;durchschallen;der;Halle;und;berühren;der;Zuhörer;tief
2500.0|treudeutsch|adjective|loyal German|Der treudeutsche Schäferhund bewacht sein Herrchen stets weise.|The loyal German shepherd always guards its owner wisely.|der;treudeutsch;Schäferhund;bewachen;sein;Herrchen;stets;weise
2501.0|trist|adjective|dreary|Das trübe, triste Wetter machte den ganzen Tag grau und langweilig.|The dull, dreary weather made the whole day gray and boring.|der;trüb;trist;Wetter;machen;der;ganz;Tag;grau;und;langweilig
2512.0|bitterkalt|adjective|bitterly cold|Der bitterkalte Wind ließ uns alle frösteln und nach Hause eilen.|The bitterly cold wind made us all shiver and hurry home.|der;bitterkalt;Wind;lassen;uns;alle;frösteln;und;nach;Haus;eilen
2514.0|Zwetschgenschnaps|noun|plum brandy|Der Zwetschgenschnaps wird nach dem traditionellen Rezept hergestellt.|The plum brandy is produced according to the traditional recipe.|der;Zwetschgenschnaps;werden;nach;der;traditionell;Rezept;herstellen
2522.0|die Stampe|noun|stamping machine|Die Stampe in der Fabrik erzeugte einen ohrenbetäubenden Lärm.|The stamping machine in the factory made an ear-splitting noise.|der;Stampe;in;der;Fabrik;erzeugen;ein;ohrenbetäubend;Lärm
2525.0|der Gehweg|noun|the sidewalk|Auf dem Gehweg spazieren immer viele Menschen morgens schnell vorbei.|Many people quickly walk by on the sidewalk in the mornings.|auf;der;Gehweg;vorbeispazieren;immer;vieler;Mensch;morgens;schnell;vorbei
2535.0|das Märchenbuch|noun|the fairy tale book|Das Märchenbuch erzählt Geschichten, die die Fantasie anregen.|The fairy tale book tells stories that stimulate the imagination.|der;Märchenbuch;erzählen;Geschichte;der;der;Fantasie;anregen
2543.0|Gesinnungslump|noun|the scoundrel|Der Gesinnungslump hatte keine Skrupel, die anderen zu betrügen.|The scoundrel had no qualms about cheating others.|der;Gesinnungslump;haben;kein;Skrupel;der;anderer;zu;betrügen
2552.0|das Deutschtum|noun|Germanness|Das Buch behandelte das Thema des Deutschtums im 19. Jahrhundert.|The book dealt with the theme of Germanness in the 19th century.|der;Buch;behandeln;der;Thema;der;Deutschtum;in;19.;Jahrhundert
2561.0|der Schlachtenbummler|noun|the fan|Der Schlachtenbummler feuerte seine Mannschaft lautstark vom Rand an.|The fan cheered his team loudly from the sidelines.|der;Schlachtenbummler;anfeuern;sein;Mannschaft;lautstark;von;Rand;an
2568.0|großmäulig|adjective|big-mouthed|Der großmäulige Politiker provozierte die Presse mit seinen Aussagen.|The big-mouthed politician provoked the press with his statements.|der;großmäulig;Politiker;provozieren;der;Presse;mit;sein;Aussage
2584.0|der Stammtisch|noun|the regulars' table|Der Stammtisch im Café diskutiert leidenschaftlich über Politik.|The regulars' table in the café passionately discusses politics.|der;Stammtisch;in;Café;diskutieren;leidenschaftlich;über;Politik
2591.0|selig|adjective|blissful|Im seligen Frieden ruhen wir in der Natur und atmen tief ein.|In blissful peace, we rest in nature and breathe deeply.|in;selig;Frieden;ruhen;wir;in;der;Natur;und;einatmen;tief;ein
2593.0|schwören|verb|to swear|Ich werde schwören, dass ich die Wahrheit sage, wenn es nötig ist.|I will swear that I am telling the truth when it is necessary.|ich;werden;schwören;dass;ich;der;Wahrheit;sagen;wenn;es;nötig;sein
2596.0|kreuzbrav|adjective|crossly good|Er benahm sich kreuzbrav, obwohl er innerlich sehr aufgebracht war.|He behaved crossly good, even though he was very upset inside.|er;benehmen;sich;kreuzbrav;obwohl;er;innerlich;sehr;aufbringen;sein
2599.0|das Reinheitsgebot|noun|the purity law|Das Reinheitsgebot garantiert die Qualität des deutschen Bieres.|The purity law guarantees the quality of German beer.|der;Reinheitsgebot;garantieren;der;Qualität;der;deutsch;Bier
2658.0|drucken|verb|to print|Ich werde die Einladung am Nachmittag mit einem neuen Drucker drucken.|I will print the invitation in the afternoon with a new printer.|ich;werden;der;Einladung;an;Nachmittag;mit;ein;neu;Drucker;drucken
2674.0|das Preisschild|noun|the price tag|Das Preisschild hing schief an dem neuen Kleid in der Boutique.|The price tag was hanging crookedly on the new dress in the boutique.|der;Preisschild;hing;schief;an;der;neu;Kleid;in;der;Boutique
2676.0|dulden|verb|to tolerate|Es ist wichtig, die Unterschiede zu dulden und Respekt zu zeigen.|It is important to tolerate differences and show respect.|es;sein;wichtig;der;Unterschied;zu;dulden;und;Respekt;zu;zeigen
