|word|part_of_speech|lemma|lemma_correct|is_lemma
2838|Frag|Verb|fragen|fragen|True
2847|nähn|Verb|nähen|nähen|True
2998|mach|Verb|machen|machen|True
3094|Schalt|Verb|schalten|schalten|True
3098|zieh|Verb|ziehen|ziehen|True
3111|gibts|Verb|geben|geben|True
3128|Irgendwas|Pronoun|irgendwas|irgendwas|True
3157|Hör|Verb|hören|hören|True
3169|Plötzlich|Adjective|plötzlich|plötzlich|True
3178|hats|Verb|haben|haben|True
3203|Absolute|Adjective|absolut|absolut|True
3248|grad|Adverb|gerade|gerade|True
3251|zerhäcksel|Verb|zerhäckseln|zerhäckseln|True
3255|Seh|Verb|sehen|sehen|True
3291|ichs|Pronoun|ich|ich|True
3297|siehts|Verb|sehen|sehen|True
3325|Sowas|Pronoun|sowas|sowas|True
3403|Passiert|Verb|passieren|passieren|True
3417|verletzter|Adjective|verletzt|verletzt|True
3431|sehs|Verb|sehen|sehen|True
3445|Flehen|Verb|flehen|flehen|True
3451|fragn|Verb|fragen|fragen|True
3500|seh|Verb|sehen|sehen|True
3505|Seltsame|Adjective|seltsam|seltsam|True
3527|krieg|Verb|kriegen|kriegen|True
3544|Mitten|Adverb|mitten|mitten|True
3548|werdn|Verb|werden|werden|True
3554|Schleich|Verb|schleichen|schleichen|True
3560|hörn|Verb|hören|hören|True
3616|loswerdn|Verb|loswerden|loswerden|True
3633|Kapitalistische|Adjective|kapitalistisch|kapitalistisch|True
3634|Liebeslieder|Noun|das Liebeslied|das Liebeslied|True
3637|name|Noun|der Name|der Name|True
3701|riechn|Verb|riechen|riechen|True
3706|kenn|Verb|kennen|kennen|True
3749|Doppelte|Adjective|doppelt|doppelt|True
3802|Tätowier|Verb|tätowieren|tätowieren|True
3805|deinn|Pronoun|dein|dein|True
3806|Namn|Noun|der Name|der Name|True
3819|Klingt|Verb|klingen|klingen|True
3827|dendie|Article|die|die|True
3830|angetrautenangetraute|Noun|der Angetraute|der Angetraute|True
3839|nehmn|Verb|nehmen|nehmen|True
3913|hochgeladen|Verb|hochladen|hochladen|True
3918|Natürlich|Adverb|natürlich|natürlich|True
3932|sitzn|Verb|sitzen|sitzen|True
3963|Bedient|Verb|bedienen|bedienen|True
4015|Meinen|Verb|meinen|meinen|True
4031|abgelichtet|Verb|ablichten|ablichten|True
4039|denselber|Pronoun|derselbe|derselbe|True
4117|Runterkommen|Verb|runterkommen|runterkommen|True
4122|bestell|Verb|bestellen|bestellen|True
4126|Such|Verb|suchen|suchen|True
4127|einn|Article|ein|ein|True
4138|gefällen|Verb|gefallen|gefallen|True
4142|fühl|Verb|fühlen|fühlen|True
4153|buch|Verb|buchen|buchen|True
4172|Betrachten|Verb|betrachten|betrachten|True
4176|Déjà-vu-überall|Noun|das Déjà-vu|das Déjà-vu|True
4218|Brüste|Noun|die Brust|die Brust|True
4240|Fotografier|Verb|fotografieren|fotografieren|True
4258|finstre|Adjective|finster|finster|True
4270|Hin|Adverb|hin|hin|True
4290|wärn|Verb|sein|sein|True
4291|Tro-|Noun|Trotz|Trotz|True
4293|-phäen|Noun|das Phän|das Phän|True
4294|Fliegende|Adjective|fliegend|fliegend|True
4299|Hätt|Verb|haben|haben|True
4305|gäb|Verb|geben|geben|True
4313|neugeborn|Adjective|neugeboren|neugeboren|True
4335|sprech|Verb|sprechen|sprechen|True
4347|gefühlt|Verb|fühlen|fühlen|True
4350|ess|Verb|essen|essen|True
4357|fahrn|Verb|fahren|fahren|True
4364|nächster|Adjective|nächste|nächste|True
4385|durchlöcher|Verb|durchlöchern|durchlöchern|True
4442|Erfinden|Verb|erfinden|erfinden|True
4473|Wechselbar|Adjective|wechselbar|wechselbar|True
4506|bleib|Verb|bleiben|bleiben|True
4516|Begebe|Verb|begeben|begeben|True
4536|hockn|Verb|hocken|hocken|True
4638|ohh|Interjection|oh|oh|True
4653|Zeigen|Verb|zeigen|zeigen|True
4657|umarmn|Verb|umarmen|umarmen|True
4669|deine|Pronoun|dein|dein|True
4672|gehn|Verb|gehen|gehen|True
4692|ausSieht|Verb|aussehen|aussehen|True
4748|verlorn|Verb|verlieren|verlieren|True
4755|ausSiehen|Verb|aussehen|aussehen|True
4808|Früchte|Noun|die Frucht|die Frucht|True
4821|Nehm|Verb|nehmen|nehmen|True
4829|Ess|Noun|das Essen|das Essen|True
4840|lösch|Verb|löschen|löschen|True
4844|Welches|Pronoun|welches|welches|True
4851|mitkomm|Verb|mitkommen|mitkommen|True
4885|Her|Noun|das Herz|das Herz|True
4902|Flieg|Verb|fliegen|fliegen|True
4913|mitnehmn|Verb|mitnehmen|mitnehmen|True
4921|Spazieren|Verb|spazieren|spazieren|True
4925|Küss|Verb|küssen|küssen|True
4945|reinzieh|Verb|reinziehen|reinziehen|True
5001|Könnt|Verb|können|können|True
5033|verlier|Verb|verlieren|verlieren|True
5110|Einfach|Adverb|einfach|einfach|True
5147|seim|Pronoun|sein|sein|True
5166|fehln|Verb|fehlen|fehlen|True
5193|Easy|Adjective|easy|easy|True
5194|Gewinnen|Verb|gewinnen|gewinnen|True
5198|verliern|Verb|verlieren|verlieren|True
5259|Kapitalistisch|Adjective|kapitalistisch|kapitalistisch|True
5300|Gewinnt|Verb|gewinnen|gewinnen|True
5324|Triffst|Verb|treffen|treffen|True
5330|Sagt|Verb|sagen|sagen|True
5356|seIn|Verb|sein|sein|True
5359|weils|Conjunction|weil|weil|True
5428|Sodass|Conjunction|so dass|so dass|True
5438|Gleichgesinnten|Noun|der Gleichgesinnte|der Gleichgesinnte|True
5458|Gibts|Verb|geben|geben|True
5489|Wär|Verb|sein|sein|True
5493|hätt|Verb|haben|haben|True
5495|nen|Article|einen|einen|True
5503|Makelloser|Adjective|makellos|makellos|True
5518|ers|Pronoun|er|er|True
5552|spieln|Verb|spielen|spielen|True
5586|Kritzelt|Verb|kritzeln|kritzeln|True
5594|Irgendwer|Pronoun|irgendwer|irgendwer|True
5608|Kriegt|Verb|kriegen|kriegen|True
5661|Geb|Verb|geben|geben|True
5671|Ahh|Interjection|Ah|Ah|True
5674|Ladies|Noun|die Lady|die Lady|True
5677|Wittert|Verb|wittern|wittern|True
5735|gefangener|Adjective|gefangen|gefangen|True
5739|verwandte|Adjective|verwandt|verwandt|True
5753|entdeckend|Verb|entdecken|entdecken|True
5755|Versteckt|Adjective|versteckt|versteckt|True
5763|weckend|Verb|wecken|wecken|True
5856|ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZ|Noun (Proper)|Alphabet|Alphabet|True
5915|rückwarts|Adverb|rückwärts|rückwärts|True
5920|mitSpielst|Verb|mitspielen|mitspielen|True
5939|wirst|Verb|werden|werden|True
5975|Kommt|Verb|kommen|kommen|True
5977|beschreib|Verb|beschreiben|beschreiben|True
5996|ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZZZZZZZ|Noun (Proper)|Alphabet|Alphabet|True
6029|Geben|Verb|geben|geben|True
6031|Nehmen|Verb|nehmen|nehmen|True
6056|Grüße|Das Substantiv|der Gruß|der Gruß|True
6059|beigefügt|Verb|beifügen|beifügen|True
6086|meinn|Adjektiv|mein|mein|True
6110|guck|Verb|gucken|gucken|True
6120|Mic|Das Substantiv|der Mikrofon|der Mikrofon|True
6124|Dat|Das Substantiv|das Datum|das Datum|True
6128|Fisten|Verb|fisten|fisten|True
6135|schüttlen|Verb|schütteln|schütteln|True
6139|abkrieg|Verb|abkriegen|abkriegen|True
6156|losBind|Verb|losbinden|losbinden|True
6174|War|Verb|sein|sein|True
6227|Glaub|Verb|glauben|glauben|True
6248|Verlieb|Verb|verlieben|verlieben|True
6259|such|Verb|suchen|suchen|True
6264|verzieh|Verb|verziehen|verziehen|True
6268|Sofort|Adverb|sofort|sofort|True
6269|pack|Verb|packen|packen|True
6276|mussn|Verb|müssen|müssen|True
6291|umdrehn|Verb|umdrehen|umdrehen|True
6308|hau|Verb|hauen|hauen|True
6311|weck|Verb|wecken|wecken|True
6353|nich|Adverb|nicht|nicht|True
6359|zeig|Verb|zeigen|zeigen|True
6374|schwör|Verb|schwören|schwören|True
6442|Nimmt|Verb|nehmen|nehmen|True
6449|rissen|Verb|reißen|reißen|True
6452|mussen|Verb|müssen|müssen|True
6460|Kriegn|Verb|kriegen|kriegen|True
6512|Nimm|Verb|nehmen|nehmen|True
6626|Glaubst|Verb|glauben|glauben|True
6642|mеhr|Adverb|mehr|mehr|True
6645|leg|Verb|legen|legen|True
6648|niеder|Adverb|nieder|nieder|True
6656|kehr|Verb|kehren|kehren|True
6659|komm|Verb|kommen|kommen|True
6670|schuldest|Verb|schulden|schulden|True
6723|solltest|Verb|sollen|sollen|True
6728|Schwörn|Verb|schwören|schwören|True
6738|niederlegn|Verb|niederlegen|niederlegen|True
6752|wiederkomm|Verb|wiederkommen|wiederkommen|True
6824|schuldeen|Verb|schulden|schulden|True
6898|verbring|Verb|verbringen|verbringen|True
6973|allеin|Adjektiv|allein|allein|True
6980|Immеr|Adverb|immer|immer|True
7007|Mich|Pronomen|mich|mich|True
7011|Wanken|Verb|wanken|wanken|True
7014|aufgeh|Verb|aufheben|aufheben|True
7076|wirds|Verb|werden|werden|True
7158|Allein|Adverb|allein|allein|True
7166|vorübergehn|Verb|vorübergehen|vorübergehen|True
7212|Siehst|Verb|sehen|sehen|True
7235|Lass|Verb|lassen|lassen|True
7241|nachDenk|Verb|nachdenken|nachdenken|True
7283|Fällt|Verb|fallen|fallen|True
7298|Welln|Verb|wellen|wellen|True
7388|schreisen|Verb|schreien|schreien|True
7532|Huch|Interjektion|huch|huch|True
7534|teur|Adjektiv|teuer|teuer|True
7568|Lieber|Adjektiv|lieb|lieb|True
7587|Hörst|Verb|hören|hören|True
7622|Töte|Verb|töten|töten|True
7664|Drunter|Adverb|darunter|darunter|True
7732|geh|Verb|gehen|gehen|True
7738|unsrer|Pronomen|unser|unser|True
7757|Einheimischen|Das Substantiv|der Einheimische|der Einheimische|True
7777|Langsam|Adjektiv|langsam|langsam|True
7778|brauch|Verb|brauchen|brauchen|True
7789|Dringend|Adjektiv|dringend|dringend|True
7857|La-lass|Verb|lassen|lassen|True
7862|lie-lie-lie-liegen|Verb|liegen|liegen|True
7875|vergess|Verb|vergessen|vergessen|True
7895|gefang|Verb|fangen|fangen|True
7940|Wouh|Interjektion|wau|wau|True
7997|Blaues|Adjektiv|blau|blau|True
8008|Uns|Pronomen|wir|wir|True
8038|wussen|Verb|wissen|wissen|True
8047|Nah|Interjektion|nah|nah|True
8060|unsr|Pronomen|unser|unser|True
8073|Sei|Verb|sein|sein|True
8102|Aha|Interjektion|aha|aha|True
8124|probiern|Verb|probieren|probieren|True
8125|Fasch-is-mus|Der Substantiv|der Faschismus|der Faschismus|True
8138|passiern|Verb|passieren|passieren|True
8149|Jedem|Pronomen|jeder|jeder|True
8192|zerbrichn|Verb|zerbrechen|zerbrechen|True
8206|aufHör|Verb|aufhören|aufhören|True
8229|bestimm|Verb|bestimmen|bestimmen|True
8263|warn|Verb|warnen|warnen|True
8268|demonstriern|Verb|demonstrieren|demonstrieren|True
8279|Versehn|Verb|versehen|versehen|True
8295|verdrehn|Verb|verdrehen|verdrehen|True
8310|Sing|Verb|singen|singen|True
8320|sollnen|Verb|sollen|sollen|True
8337|Ja-ja|Interjektion|jaja|jaja|True
8342|Sehn|Verb|sehen|sehen|True
8387|dance|Verb|tanzen|tanzen|True
8396|Give|Verb|geben|geben|True
8399|hand|Das Substantiv|die Hand|die Hand|True
8406|Debattiern|Verb|debattieren|debattieren|True
8420|arrangiern|Verb|arrangieren|arrangieren|True
8433|klingelst|Verb|klingeln|klingeln|True
8487|werd|Verb|werden|werden|True
8499|einwerf|Verb|einwerfen|einwerfen|True
8505|glеich|Adjektiv|gleich|gleich|True
8512|scheissе|Verb|scheißen|scheißen|True
8517|Scheisse|Das Substantiv|die Scheiße|die Scheiße|True
8527|würd|Verb|werden|werden|True
8589|Erhythrozyt|Der Substantiv|der Erythrozyt|der Erythrozyt|True
8592|Kotze-Tüte|Die Substantiv|die Kotztüte|die Kotztüte|True
8730|verborgnen|Adjektiv|verborgen|verborgen|True
8733|lässt|Verb|lassen|lassen|True
8772|anziehn|Verb|anziehen|anziehen|True
8815|Hättest|Verb|haben|haben|True
8822|riech|Verb|riechen|riechen|True
8950|zetersn|Verb|zetern|zetern|True
8951|Merkt|Verb|merken|merken|True
8992|wunderen|Verb|wundern|wundern|True
9013|Nachts|Adverb|nachts|nachts|True
9061|andr|Adjektiv|andr-|andr-|True
9172|gehaun|Verb|hauen|hauen|True
9182|Blum|Die Substantiv|die Blume|die Blume|True
9222|schlechte|Adjektiv|schlecht|schlecht|True
9226|engagiern|Verb|engagieren|engagieren|True
9228|solln|Verb|sollen|sollen|True
9234|Parol|Die Substantiv|die Parole|die Parole|True
9235|beschmiern|Verb|beschmieren|beschmieren|True
9304|Siehen|Verb|sehen|sehen|True
9322|ruhn|Verb|ruhen|ruhen|True
9393|störn|Verb|stören|stören|True
9406|when|Adverb|wann (when)|wann|True
9407|september|Der Substantiv|der September|der September|True
9418|Müde|Adjektiv|müde|müde|True
9427|Setz|Verb|setzen|setzen|True
9464|dеr|Artikel|der|der|True
9483|Silvеster|Eigenname|Silvester|Silvester|True
9487|brennten|Verb|brennen|brennen|True
9495|anfing|Verb|anfangen|anfangen|True
9504|Flammn|Substantiv|die Flamme|die Flamme|True
9530|Achso|Interjektion|achso|achso|True
9587|deutsche|Adjektiv|deutsch|deutsch|True
9612|hol|Verb|holen|holen|True
9620|wars|Verb|sein|sein|True
9626|magen|Substantiv|der Magen|der Magen|True
9639|dachten|Verb|denken|denken|True
9684|hättet|Verb|haben|haben|True
9698|pennst|Verb|pennen|pennen|True
9794|angeguckt|Verb|angucken|angucken|True
9810|fleuchts|Verb|flüchten|flüchten|True
9821|wärest|Verb|sein|sein|True
9825|Wollte|Verb|wollen|wollen|True
9840|Machs|Verb|machen|machen|True
9843|Denk|Verb|denken|denken|True
9857|falln|Verb|fallen|fallen|True
9866|balleren|Verb|ballern|ballern|True
9874|musen|Verb|müssen|müssen|True
9907|akzeptiern|Verb|akzeptieren|akzeptieren|True
9929|dressiern|Verb|dressieren|dressieren|True
9946|sagn|Verb|sagen|sagen|True
9979|zurückschau|Verb|zurückschauen|zurückschauen|True
9987|Wünschen|Verb|wünschen|wünschen|True
10383|verführn|Verb|verführen|verführen|True
10399|spaziern|Verb|spazieren|spazieren|True
10418|küsen|Verb|küssen|küssen|True
10426|weißt|Verb|wissen|wissen|True
10501|hasben|Verb|haben|haben|True
10505|Garantiert|Adjektiv|garantiert|garantiert|True
10561|Cooles|Adjektiv|cool|cool|True
10562|Outift|Substantiv|das Outfit|das Outfit|True
10594|hättest|Verb|haben|haben|True
10603|verkackt|Verb|verkacken|verkacken|True
10639|würdest|Verb|werden|werden|True
10654|aussehn|Verb|aussehen|aussehen|True
10709|Ähm|Interjektion|ähm|ähm|True
10798|kommn|Verb|kommen|kommen|True
10807|Falscher|Adjektiv|falsch|falsch|True
10819|angesehn|Verb|ansehen|ansehen|True
10928|findn|Verb|finden|finden|True
10937|feier|Verb|feiern|feiern|True
10939|tode|Substantiv|der Tod|der Tod|True
10957|Tiefbraune|Adjektiv|tiefbraun|tiefbraun|True
10996|gesehn|Verb|sehen|sehen|True
10998|frissen|Verb|fressen|fressen|True
11012|laute|Adjektiv|laut|laut|True
11081|euern|Pronomen|euer|euer|True
11172|High|Adjektiv|high|high|True
11179|Überschlagene|Adjektiv|überschlagen|überschlagen|True
11197|ma|Pronomen|mein|mein|True
11210|fahr|Verb|fahren|fahren|True
11223|runterkomm|Verb|runterkommen|runterkommen|True
11263|hör|Verb|hören|hören|True
11277|mitKomm|Verb|mitkommen|mitkommen|True
11330|interpretier|Verb|interpretieren|interpretieren|True
11414|entfähren|Verb|entführen|entführen|True
11430|Da|Partikel|da|da|True
11439|haste|Verb|haben|haben|True
11545|Cool|Adjektiv|cool|cool|True
11577|aufstehn|Verb|aufstehen|aufstehen|True
11578|schaun|Verb|schauen|schauen|True
11586|nachschau|Verb|nachschauen|nachschauen|True
11598|freun|Verb|freuen|freuen|True
11606|lächlen|Verb|lächeln|lächeln|True
11646|enfalten|Verb|entfalten|entfalten|True
11680|singn|Verb|singen|singen|True
11701|zweifel|Substantiv|der Zweifel|der Zweifel|True
11734|Bist|Verb|sein|sein|True
11781|Scheinbar|Adjektiv|scheinbar|scheinbar|True
11827|bittren|Verb|bitten|bitten|True
11951|Gezackter|Adjektiv|gezackt|gezackt|True
11974|Geht|Verb|gehen|gehen|True
12072|Besseres|Adjektiv|besser|besser|True
12115|Liegt|Verb|liegen|liegen|True
12121|Nackte|Adjektiv|nackt|nackt|True
12288|wies|Verb|weisen|weisen|True
12351|schwarze|Adjektiv|schwarz|schwarz|True
12374|Böhse|Adjektiv|böse|böse|True
12437|reinwäschen|Verb|reinwaschen|reinwaschen|True
12594|reingehn|Verb|reingehen|reingehen|True
12603|einsehn|Verb|einsehen|einsehen|True
12695|hinmusen|Verb|hinmüssen|hinmüssen|True
12850|mu-|Verb|müssen|müssen|True
13044|Martialisches|Adjektiv|martialisch|martialisch|True
13085|edl|Adjektiv|edel|edel|True
13094|ward|Verb|werden|werden|True
13098|wurd|Verb|werden|werden|True
13320|wirfst|Verb|werfen|werfen|True
13334|intressieren|Verb|interessieren|interessieren|True
13421|siehst|Verb|sehen|sehen|True
13435|Sag|Verb|sagen|sagen|True
13445|mitkommst|Verb|mitkommen|mitkommen|True
13451|ausbrannen|Verb|ausbrennen|ausbrennen|True
13470|Fähnche|Substantiv|das Fähnchen|das Fähnchen|True
13611|ihnn|Pronomen|ihn|ihn|True
13612|mitzuteiln|Verb|mitteilen|mitteilen|True
13650|schwarze-weiß-rot|Adjektiv|schwarz-weiß-rot|schwarz-weiß-rot|True
13665|dеnn|Konjunktion|denn|denn|True
13667|vorStelln|Verb|vorstellen|vorstellen|True
13674|einе|Artikel|eine|eine|True
13690|Zwinkert|Verb|zwinkern|zwinkern|True
13750|gesoffen|Verb|saufen|saufen|True
13751|Zweites|Adjektiv|zweite|zweite|True
13772|Schreit|Verb|schreien|schreien|True
13791|randaliern|Verb|randalieren|randalieren|True
13844|versperrn|Verb|versperren|versperren|True
13952|ausZieh|Verb|ausziehen|ausziehen|True
13982|Rumstehn|Verb|rumstehen|rumstehen|True
14018|alter|Adjektiv|alt|alt|True
14099|bestrichen|Verb|bestreichen|bestreichen|True
14199|Puh|Interjektion|puh|puh|True
14240|Mitnehmen|Verb|mitnehmen|mitnehmen|True
14300|Findet|Verb|finden|finden|True
14309|Buffet-eh-eh-eh-eh-eh|Substantiv|das Buffet|das Buffet|True
14318|sprechn|Verb|sprechen|sprechen|True
14358|hinkommn|Verb|hinkommen|hinkommen|True
14373|Probieren|Verb|probieren|probieren|True
14394|les|Verb|lesen|lesen|True
14403|Sach|Substantiv|die Sache|die Sache|True
14407|hastn|Verb|haben|haben|True
14416|isn|Verb|sein|sein|True
14420|Verdammn|Verb|verdammen|verdammen|True
14487|schlägen|Verb|schlagen|schlagen|True
14593|de|Artikel|die|die|True
14671|Ein|Artikel|ein|ein|True
14723|Trepp|Substantiv|die Treppe|die Treppe|True
14744|Bring|Verb|bringen|bringen|True
14755|mirs|Pronomen|mir|mir|True
14774|Gefangen|Adjektiv|gefangen|gefangen|True
14941|zurückzuweisen|Verb|zurückweisen|zurückweisen|True
14961|schweinehachse|Substantiv|die Schweinehachse|die Schweinehachse|True
14998|leberwurst|Substantiv|die Leberwurst|die Leberwurst|True
15027|willsen|Verb|wollen|wollen|True
15029|voellig|Adjektiv|völlig|völlig|True
15031|Toertchen|Substantiv|das Törtchen|das Törtchen|True
15039|sandwich|Substantiv|das Sandwich|das Sandwich|True
15047|plaetzchen|Substantiv|das Plätzchen|das Plätzchen|True
15080|anZieh|Verb|anziehen|anziehen|True
15084|aufsetz|Verb|aufsetzen|aufsetzen|True
15092|ausseh|Verb|aussehen|aussehen|True
15132|genieß|Verb|genießen|genießen|True
15159|Hm|Interjektion|hm|hm|True
15183|anlaber|Verb|anlabern|anlabern|True
15220|versteckn|Verb|verstecken|verstecken|True
15226|bringn|Verb|bringen|bringen|True
15288|rausLass|Verb|rauslassen|rauslassen|True
15299|gewinnn|Verb|gewinnen|gewinnen|True
15308|versuch|Verb|versuchen|versuchen|True
15312|Lächerlich|Adjektiv|lächerlich|lächerlich|True
15318|raushau|Verb|raushauen|raushauen|True
15348|anschiele|Verb|anschielen|anschielen|True
15412|body|Substantiv|das Body|das Body|True
15429|web|Substantiv|das Web|das Web|True
15449|game|Substantiv|das Game|das Game|True
15468|Stop|Verb|stop|stop|True
15499|day|Substantiv|der Tag|der Tag|True
15501|night|Substantiv|die Nacht|die Nacht|True
15555|versteck|Substantiv|das Versteck|das Versteck|True
15628|reinzukommn|Verb|reinkommen|reinkommen|True
15632|rauszukommn|Verb|rauskommen|rauskommen|True
15635|lauf|Verb|laufen|laufen|True
15648|bekommn|Verb|bekommen|bekommen|True
15659|fang|Verb|fangen|fangen|True
15724|wusste|Verb|wissen|wissen|True
15738|beigebracht|Verb|beibringen|beibringen|True
15768|Kann|Verb|können|können|True
15805|verhaun|Verb|verhauen|verhauen|True
15811|brannen|Verb|brennen|brennen|True
15818|einziger|Adjektiv|einzig|einzig|True
15854|davonlaufn|Verb|davonlaufen|davonlaufen|True
15868|laufn|Verb|laufen|laufen|True
15876|anfang|Substantiv|der Anfang|der Anfang|True
15912|keinn|Adjektiv|kein|kein|True
15924|Handelen|Verb|handeln|handeln|True
15938|schreib|Verb|schreiben|schreiben|True
15943|gib|Verb|geben|geben|True
16017|Flamm|Substantiv|die Flamme|die Flamme|True
16022|anFühlt|Verb|anfühlen|anfühlen|True
16060|Holt|Verb|holen|holen|True
16082|schaff|Verb|schaffen|schaffen|True
16088|Tut|Verb|tun|tun|True
16251|Noch|Adverb|noch|noch|True
16254|Steh|Verb|stehen|stehen|True
16262|Lohnt|Verb|lohnen|lohnen|True
16282|push|Verb|pushen|pushen|True
16284|reinHört|Verb|reinhören|reinhören|True
16319|Huh|Interjektion|huh|huh|True
16415|Wünsch|Verb|wünschen|wünschen|True
16469|ziehе|Verb|ziehen|ziehen|True
16476|wеit|Adjektiv|weit|weit|True
16499|akku|Substantiv|der Akku|der Akku|True
16580|brauchn|Verb|brauchen|brauchen|True
16723|lieg|Verb|liegen|liegen|True
16731|Pickt|Verb|picken|picken|True
16746|entfernn|Verb|entfernen|entfernen|True
16825|Schön|Adjektiv|schön|schön|True
16860|Zauberhafter|Adjektiv|zauberhaft|zauberhaft|True
16865|vergessn|Verb|vergessen|vergessen|True
16876|ausdacht|Verb|ausdenken|ausdenken|True
16881|terroretisch|Adjektiv|terroristisch|terroristisch|True
17006|Freust|Verb|freuen|freuen|True
17034|Lasse|Verb|lassen|lassen|True
17153|Neulich|Adverb|neulich|neulich|True
17165|konnen|Verb|können|können|True
17177|müsen|Verb|müssen|müssen|True
17192|ständ|Adjektiv|ständig|ständig|True
17209|Meinem|Pronomen|mein|mein|True
17263|Jeder|Pronomen|jeder|jeder|True
17307|anstrichen|Verb|anstreichen|anstreichen|True
17408|Moralisch|Adjektiv|moralisch|moralisch|True
17413|argumentiern|Verb|argumentieren|argumentieren|True
17468|Handtüchеr|Substantiv|das Handtuch|das Handtuch|True
17475|rеdeten|Verb|reden|reden|True
17604|könnn|Verb|können|können|True
17629|einführn|Verb|einführen|einführen|True
17696|zerfalln|Verb|zerfallen|zerfallen|True
17734|schlaf|Verb|schlafen|schlafen|True
