|word_deu|part_of_speech|word_eng
1230.0|der Quatsch|noun|nonsense
1237.0|gar|Adverb|at all
1240.0|scheiße|noun|shit
1242.0|der Rest|Noun|rest
1247.0|der Baum|noun|the tree
1248.0|hinunter|adverb|down
1252.0|hinauf|adverb|up
1257.0|Energiesparhaus|noun|energy-saving house
1260.0|die Evolution|noun|evolution
1264.0|heute|adverb|today
1268.0|der König|noun|king
1271.0|lange|adverb|long
1273.0|satt|adjective|full
1281.0|breit|adjective|wide
1296.0|der Wald|noun|forest
1298.0|singen|verb|to sing
1300.0|der Chor|Noun|the choir
1300.001|das Chor|noun|choir
1306.0|bitte|adverb|please
1313.0|die Schöpfung|noun|creation
1314.0|na|interjection|well
1319.0|nach|preposition|after
1343.0|das Tier|Noun|animal
1346.0|arm|adjective|poor
1347.0|das Schwein|noun|pig
1349.0|echt|Adjektiv|real
1355.0|die Kernkraft|noun|nuclear energy
1356.0|erfinden|Verb|to invent
1359.0|das Fernsehprogramm|noun|TV program
1365.0|geil|adjective|cool
1367.0|als|conjunction|than
1376.0|der Überschall|noun|the supersonic
1377.0|reisen|verb|to travel
1381.0|schwarz|adjective|black
1383.0|beweisen|verb|prove
1391.0|aller|pronoun|all
1395.0|la|Interjection|la
1399.0|der Ozean|noun|ocean
1402.0|schreien|Verb|to scream
1462.0|das Problem|noun|the problem
1465.0|der Fehler|noun|mistake
1468.0|die Matrix|Noun|matrix
1471.0|das System|noun|system
1473.0|herrschen|verb|to prevail
1474.0|während|conjunction|while
1476.0|der Planet|noun|planet
1478.0|die Flamme|noun|flame
1479.0|stehen|verb|stand
1577.0|üben|verb|to practice
1579.0|der Sand|noun|sand
1583.0|schmeißen|verb|throw
1586.0|egal|adjective|indifferent
1591.0|drauf|adverb|on it
1593.0|scheißen|verb|shit
1594.0|das Abrakadabra|noun|abracadabra
1595.0|dreimal|Adverb|three times
1597.0|der Kater|noun|hangover
1598.0|das Spielen|noun|the playing
1606.0|aufwachsen|verb|to grow up
1608.0|eine|article|a (feminine)
1609.0|die Lebenswelt|noun|lifeworld
1613.0|Jung|adjective|young
1615.0|rosa|adjective|pink
1616.0|die Kleidung|noun|clothing
1617.0|tragen|verb|to carry
1620.0|das Mädchen|noun|girl
1621.0|halten|verb|to hold
1626.0|dagegen|adverb|against it
1632.0|der Geburtstag|noun|birthday
1644.0|weiter|adverb|further
1647.0|wohin|adverb|where to
1652.0|leiten|Verb|to lead
1657.0|spielen|verb|play
1662.0|eigentlich|adverb|actually
1672.0|sollen|verb|should
1675.0|erklären|Verb|to explain
1680.0|paar|noun|a few
1681.0|der Unterschied|noun|difference
1686.0|lassen|verb|let
1691.0|ob|conjunction|whether
1693.0|studieren|verb|to study
1697.0|der Bau|noun|construction
1700.0|weniger|adjective|less
1701.0|verdienen|verb|to earn
1712.0|wo|adverb|where
1713.0|liegen|verb|to lie
1720.0|oben|adverb|above
1739.0|darüber|adverb|about it
1744.0|unbeliebt|adjective|unpopular
1759.0|das Wunder|Noun|miracle
1760.0|warten|verb|to wait
1786.0|brauchen|Verb|to need
1788.0|die Blume|noun|the flower
1797.0|normal|adjective|normal
1799.0|die Liebe|noun|love
1809.0|die Röte|noun|the redness
1816.0|der Tag|noun|day
1816.001|das Tag|noun|the tag
1820.0|der Körper|noun|the body
1821.0|reduzieren|verb|reduce
1824.0|die Schule|noun|the school
1827.0|die Straße|noun|the street
1836.0|irgendwer|pronoun|somebody
1839.0|die Ware|noun|goods
1848.0|hässlich|adjective|ugly
1856.0|sexuell|adjective|sexual
1863.0|Armlänge|noun|arm's length
1867.0|empfehlen|verb|to recommend
1876.0|bevor|conjunction|before
1879.0|berühren|verb|to touch
1881.0|höflich|adjective|polite
1883.0|fragen|verb|ask
1887.0|die Erfahrung|noun|experience
1889.0|der Vater|noun|father
1891.0|die Tochter|noun|daughter
1897.0|der Rapper|Noun|Rapper
1906.0|das Liebeslied|noun|the love song
1917.0|die Scheiße|noun|the crap
1921.0|wechseln|verb|to change
2042.0|das Fest|noun|celebration
2046.0|kennen|Verb|know
2050.0|der Gast|noun|the guest
2052.0|prominent|adjective|prominent
2059.0|rein|adverb|in
2064.0|der Champagner|noun|champagne
2066.0|eiskalt|adjective|ice-cold
2067.0|der Wein|noun|wine
2069.0|mitfeiern|verb|to celebrate together
2070.0|dürfen|verb|to be allowed
2076.0|kritisch|adjective|critical
2078.0|Türpolitik|noun|door policy
2080.0|unpolitisch|adjective|apolitical
2095.0|marschieren|verb|to march
2112.0|der Herr|noun|the gentleman
2114.0|eintreten|verb|to enter
2117.0|zuerst|adverb|first
2120.0|der Saal|noun|hall
2125.0|lachen|verb|laugh
2146.0|ok|adjective|ok
2151.0|schade|adjective|pity
2154.0|das Buffet|noun|buffet
2157.0|fünf|number|five
2159.0|zwölf|noun|twelve
2163.0|der Spaß|noun|fun
2165.0|senken|verb|lower
2167.0|der Blick|noun|the glance
2169.0|erheben|verb|to raise
2171.0|das Glas|noun|glass
2172.0|das Licht|noun|the light
2181.0|wegschauen|verb|to look away
2228.0|heut|adverb|today
2239.0|der Demokrat|noun|democrat
2243.0|der Rassist|noun|the racist
2253.0|krank|adjective|sick
2256.0|der Täter|noun|perpetrator
2258.0|das Opfer|noun|victim
2260.0|Anne|noun|Anne
2262.0|der Hans|noun|Hans
2263.0|Frank|noun|Frank
2266.0|der Bürger|noun|citizen
2268.0|trinken|verb|to drink
2271.0|einschenken|verb|to pour
2277.0|hereinkommen|Verb|to come in
2278.0|herein|adverb|in
2289.0|unten|adverb|below
2293.0|schließen|verb|to close
2301.0|der Finger|noun|the finger
2310.0|herrlich|adjective|wonderful
2313.0|Lieben|verb|to love
2325.0|die Moral|noun|morale
2330.0|genau|Adverb|exactly
2333.0|der Wahnsinn|noun|madness
2343.0|festlich|adjective|festive
2346.0|nie|adverb|never
2359.0|Drum|adverb|therefore
2382.0|die Musik|noun|the music
2398.0|wegsehen|Verb|to look away
2402.0|das Bier|noun|beer
2403.0|weg|adverb|away
2421.0|raus|adverb|out
2446.0|dich|Pronoun|you
2453.0|freundschaftlich|adjective|friendly
2463.0|dein|possessive pronoun|your
2464.0|das Wort|noun|word
2473.0|unvermeidlich|adjective|inevitable
2480.0|die Tür|noun|door
2485.0|der Herbst|noun|autumn
2488.0|das Deutschlandlied|noun|the Deutschlandlied
2493.0|dabei|adverb|there
2497.0|die Nacht|noun|the night
2503.0|das Deutschland|noun|Germany
2504.0|schlafen|verb|to sleep
2505.0|süß|adjective|sweet
2515.0|wärmen|verb|to warm
2518.0|der Durst|noun|the thirst
2531.0|damals|adverb|back then
2546.0|gern|adverb|gladly
2548.0|warmhalten|verb|keep warm
2549.0|einander|Pronomen|each other
2550.0|warm|adjective|warm
2554.0|betrunken|adjective|drunk
2555.0|schwer|adjective|heavy
2557.0|der Herbstwind|noun|autumn wind
2566.0|der Kamerad|Noun|comrade
2567.0|gähnen|verb|yawn
2570.0|morgen|adverb|tomorrow
2576.0|der Schlaf|Noun|sleep
2579.0|schrecken|Verb|to frighten
2580.0|plötzlich|adverb|suddenly
2585.0|hoch|adjective|high
2588.0|die Hose|noun|pants
2589.0|nass|adjective|wet
2595.0|schnell|adjective|quick
2598.0|deutsch|adjective|German
2609.0|schlau|adjective|clever
2610.0|das Buch|noun|book
2616.0|Schönheitsschlaf|noun|beauty sleep
2620.0|der Staub|noun|dust
2629.0|der DJ|noun|the DJ
2632.0|der Morgen|noun|morning
2632.001|das Morgen|noun|the tomorrow
2634.0|fein|adjective|fine
2640.0|das Phänomen|noun|phenomenon
2646.0|geometrisch|adjective|geometrical
2647.0|perfekt|adjective|perfect
2664.0|neu|adjective|new
2667.0|schützen|verb|protect
2671.0|lesen|verb|to read
2678.0|negativ|adjective|negative
2685.0|Michael|Proper noun|Michael
2687.0|Style|noun|style
2690.0|der Schritt|noun|the step
2703.0|ehrlich|adjective|honest
2704.0|die Haut|noun|skin
2708.0|das Botox|noun|Botox
2710.0|holen|verb|get
2712.0|der Preis|noun|the price
2714.0|nennen|verb|call
2722.0|das Handy|noun|the phone
2728.0|der King|noun|the king
2730.0|der Spiegel|Noun|mirror
2731.0|zögern|verb|hesitate
2732.0|verlegen|verb|to relocate
2742.0|dafür|adverb|for that
2746.0|weder|conjunction|neither
2747.0|das Lesen|Noun|reading
2749.0|schreiben|verb|to write
2772.0|der Frühling|noun|spring
2775.0|Röslein|noun|little rose
2778.0|leiden|verb|to suffer
2792.0|die Mühe|noun|effort
2797.0|das Kompliment|noun|compliment
2798.0|Schöne|adjective|beautiful
2805.0|das Angebot|noun|the offer
2807.0|die Freude|noun|joy
2813.0|das Äußeres|noun|appearance
2818.0|die Sache|noun|thing
2822.0|der Hunger|Noun|hunger
2829.0|derselbe|pronoun|the same
2846.0|das Kleid|noun|dress
2859.0|Leute|noun|people
2871.0|leider|adverb|unfortunately
2876.0|ab|preposition|off
2885.0|on|adjective|on
3079.0|dir|pronoun|you
3085.0|neun|number|nine
3086.0|okay|adjective|okay
3090.0|los|adverb|off
3091.0|das Frühstück|noun|breakfast
3096.0|der Walkman|noun|Walkman
3100.0|die Haustür|noun|the front door
3101.0|ran|Adverb|close
3105.0|entlang|preposition|along
3121.0|kurz|adjective|short
3126.0|die Zeitung|Noun|newspaper
3132.0|unzählig|Adjective|countless
3133.0|die Bombe|noun|bomb
3138.0|der Mensch|noun|the human
3138.001|das Mensch|noun|the human (colloquial)
3154.0|verlassen|verb|leave
3156.0|der Bäcker|noun|the baker
3161.0|die Lage|noun|situation
3164.0|dramatisch|adjective|dramatic
3165.0|verschlechtern|verb|to worsen
3167.0|fantastisch|adjective|fantastic
3168.0|das Wetter|noun|the weather
3168.001|der Wetter|noun|the forecaster
3175.0|überall|adverb|everywhere
3179.0|erwischen|verb|catch
3189.0|die Laune|noun|mood
3192.0|einfallen|verb|to occur
3206.0|das Fernsehen|noun|television
3209.0|das Radio|noun|radio
3209.001|der Radio|noun|radio
3211.0|die Sonne|noun|sun
3219.0|der Niemand|noun|the nobody
3229.0|die Frage|noun|the question
3232.0|gnadenlos|adjective|merciless
3238.0|die Million|noun|the million
3239.0|bedrohen|Verb|threaten
3241.0|der Hungertod|noun|starvation
3243.0|die Schätzung|noun|estimate
3260.0|traurig|adjective|sad
3263.0|die Fliege|Noun|fly
3264.0|sitzen|verb|sit
3265.0|das Weiß|noun|white
3272.0|scheiß|Adjektiv|crappy
3275.0|fühlen|verb|to feel
3280.0|bloß|adverb|merely
3288.0|möglich|adjective|possible
3294.0|oft|adverb|often
3299.0|beinah|adverb|almost
3300.0|täglich|adjective|daily
3302.0|warum|adverb|why
3305.0|mittlerweile|adverb|meanwhile
3310.0|erschrecken|verb|to frighten
3312.0|irgendwo|adverb|somewhere
3315.0|dreckig|adjective|dirty
3322.0|die Leere|noun|the emptiness
3337.0|zerreißen|verb|to tear
3343.0|der Scheiß|noun|crap
3345.0|ertragen|verb|endure
3352.0|das Fressen|noun|food
3356.0|der Stein|noun|stone
3406.0|die Art|noun|type
3409.0|brutal|adjective|brutal
3413.0|sechs|number|six
3419.0|der Name|noun|the name
3422.0|die Tat|noun|deed
3435.0|das Bild|noun|picture
3437.0|das TV|noun|TV
3437.001|der TV|noun|television
3442.0|dort|Adverb|there
3462.0|verlieren|verb|lose
3479.0|voll|adjective|full
3480.0|der Hass|noun|hatred
3483.0|der Gegner|noun|opponent
3489.0|die Familie|noun|family
3493.0|sogar|adverb|even
3494.0|selber|pronoun|self
3504.0|etwas|pronoun|something
3510.0|Eltern|noun|parents
3512.0|das Haben|noun|possession
3518.0|setzen|verb|to set
3525.0|die Angst|noun|fear
3526.0|davor|adverb|before that
3531.0|geschehen|verb|happen
3553.0|schweißgebadet|adjective|sweaty
3564.0|leise|adjective|quiet
3565.0|atmen|verb|breathe
3582.0|niemand|pronoun|nobody
3633.0|kapitalistisch|adjective|capitalist
3643.0|aktuell|Adjective|current
3668.0|der Euro|noun|euro
3669.0|viel|adjective|much
3683.0|mögen|verb|like
3689.0|die Haarfarbe|noun|the hair color
3711.0|recht|adjective|right
3714.0|zuhören|verb|to listen
3719.0|besonders|adverb|especially
3736.0|daran|adverb|on it
3741.0|ändern|verb|change
3742.0|außer|Preposition|Except
3743.0|jemand|pronoun|someone
3744.0|anders|adjective|different
3779.0|doppelt|adjective|double
3780.0|das Geld|noun|money
3786.0|am|Preposition|at the
3811.0|einmal|adverb|once
3812.0|der Platz|noun|place
3823.0|zuhause|adverb|at home
3827.0|die|article|the (feminine/plural)
3913.0|hochladen|verb|to upload
3939.0|das Netz|noun|the net
3943.0|daheim|adverb|at home
3945.0|bringen|verb|to bring
3948.0|der Urlaub|noun|the vacation
3951.0|die Kultur|noun|culture
3952.0|nah|adjective|near
3966.0|die Kellnerin|noun|waitress
3968.0|Mainz|noun|Mainz
3976.0|modern|Adjective|modern
3983.0|greifen|verb|to grab
3993.0|suchen|verb|to search
3996.0|googeln|Verb|to google
3998.0|der Ort|noun|place
3998.001|das Ort|noun|place
4002.0|Google|noun|Google
4012.0|der Fuß|noun|the foot
4025.0|das Jahrtausend|noun|millennium
4028.0|das Ende|noun|the end
4032.0|das Monument|noun|monument
4041.0|bestellen|verb|to order
4053.0|überteuert|adjective|overpriced
4055.0|kaufen|verb|buy
4068.0|fallen|Verb|to fall
4076.0|stellen|verb|to place
4085.0|die Luft|Nomen|the air
4085.001|der Luft|noun|the air
4099.0|der Check-in|noun|the check-in
4099.001|das Check-in|noun|check-in
4106.0|die Infektion|noun|infection
4110.0|das Stresshormon|noun|stress hormone
4112.0|der Jetpilot|noun|jet pilot
4120.0|die Reise|noun|journey
4125.0|die Dose|noun|the can
4131.0|die Television|noun|the television
4132.0|die Selbstreflexion|noun|self-reflection
4140.0|Señor|noun|Señor
4148.0|wegwollen|Verb|to want to leave
4155.0|der Flug|noun|the flight
4165.0|woanders|adverb|elsewhere
4176.0|das Déjà-vu|noun|déjà vu
4179.0|der Boden|Noun|floor
4180.0|wachsen|verb|to grow
4190.0|der Mond|noun|moon
4193.0|hinten|adverb|behind
4198.0|rauchen|verb|to smoke
4211.0|rennen|verb|to run
4214.0|müssen|verb|must
4220.0|kämpfen|verb|to fight
4254.0|produzieren|verb|to produce
4255.0|die Erinnerung|noun|memory
4259.0|die Stunde|noun|the hour
4263.0|der Kinderwunsch|noun|child's wish
4272.0|die Heimat|noun|the homeland
4287.0|der Eindruck|noun|impression
4288.0|sammeln|verb|to collect
4292.0|äh|Interjection|uh
4295.0|der Fisch|noun|the fish
4296.0|karibisch|adjective|Caribbean
4297.0|der Rhythmus|noun|the rhythm
4298.0|die Liebesgeschichte|noun|the love story
4304.0|posten|verb|to post
4309.0|berichten|verb|report
4317.0|die Geburt|noun|the birth
4322.0|der Tattoo|noun|the tattoo
4322.001|das Tattoo|noun|tattoo
4336.0|ey|Interjection|hey
4348.0|der Vegetarier|noun|the vegetarian
4354.0|die Kuh|noun|cow
4356.0|der Ferrari|noun|the Ferrari
4361.0|der Sport|noun|sport
4364.0|nächste|adjective|next
4365.0|der Sommer|Nomen|summer
4366.0|das Probetraining|noun|the trial training
4371.0|der Schluss|noun|end
4376.0|das Hobby|noun|the hobby
4377.0|die Skulptur|noun|the sculpture
4381.0|die Religion|Noun|religion
4383.0|radikal|adjective|radical
4390.0|seitdem|conjunction|since
4416.0|erkennen|verb|recognize
4428.0|die Ausreise|noun|the departure
4450.0|Replikat|noun|replica
4452.0|Drehen|verb|turn
4459.001|das Grad|noun|the degree
4469.0|die Weste|noun|vest
4473.0|wechselbar|adjective|replaceable
4474.0|schlecht|adjective|bad
4476.0|die Hexenjagd|noun|witch hunt
4479.0|wegrennen|verb|to run away
4493.0|lass|Verb|let
4497.0|hinter|preposition|behind
4503.0|die Fähigkeit|noun|ability
4505.0|fliegen|verb|fly
4520.0|die Verlegenheit|noun|the embarrassment
4538.0|Ferienparadies|noun|vacation paradise
4541.0|mittelschwer|adjective|moderately difficult
4546.0|die Erde|noun|earth
4569.0|via|Preposition|via
4570.0|die Airline|noun|airline
4595.0|groß|adjective|big
4620.0|das Klo|noun|toilet
4650.0|leuchten|verb|shine
4668.0|die Geduld|noun|patience
4670.0|der Schmerz|noun|pain
4677.0|blicken|verb|glance
4681.0|der Trost|noun|comfort
4691.0|das Herz|noun|heart
4693.0|genauso|adverb|just as
4701.0|der Deckel|noun|lid
4714.0|formlos|adjective|formless
4716.0|dahin|adverb|there
4721.0|farblos|adjective|colorless
4724.0|leer|Adjektiv|empty
4728.0|treffen|verb|meet
4729.0|erst|Adverb|only
4732.0|bekommen|verb|to receive
4736.0|endgültig|adjective|final
4737.0|die Form|noun|shape
4747.0|das Blut|noun|blood
4801.0|die Dreißig|noun|thirty
4802.0|die Sorte|noun|the kind
4803.0|der Joghurt|noun|the yogurt
4803.001|die Joghurt|noun|yogurt
4803.002|das Joghurt|noun|the yogurt
4806.0|das Regal|noun|the shelf
4809.001|das Zimt|noun|cinnamon
4813.0|die Qual|noun|the torment
