catch;ловить
go sightseeing;смотреть достопримечательности
have a picnic;устроить пикник
make a sandcastle;лепить замок из песка
pack a bag;собрать сумку
play beach volleyball;играть в пляжный волейбол
ride on a rollercoaster;кататься на американских горках
row a boat;грести на лодке
snorkel;нырять с маской и трубкой
stay in a hotel;остановиться в отеле
take photos;фотографировать
write a postcard;написать открытку
TV;ТЕЛЕВИЗОР
bin;мусорное ведро
clock;часы
cushion;подушка
lamp;лампа
mirror;зеркало
picture;картина
rug;коврик
shelf;полка
sink;раковина
tap;кран
dancer;танцовщица
dentist;стоматолог
doctor;врач
farmer;фермер
firefighter;пожарный
nurse;медсестра
pilot;пилот
police officer;полицейский
singer;певец
taxi driver;водитель такси
teacher;учитель
vet;ветеринар
actor;актёр
artist;художник
astronaut;космонавт
butcher;мясник
chef;шеф-повар
engineer;инженер
mechanic;механик
photographer;фотограф
plumber;водопроводчик
postal worker;почтовый работник
sailor;моряк
zoo-keeper;смотритель зоопарка
bottle;бутылка
bowl;миска
chopsticks;палочки для еды
cup;чашка
fork;вилка
glass;стакан
knife;нож
plate;тарелка
saucepan;кастрюля
spoon;ложка
straw;соломинка
tray;поднос
Big Ben;Биг Бен
Eiffel Tower;Эйфелева башня
Leaning Tower of Pisa;Пизанская башня
Pyramids;Пирамиды
Stonehenge;Стоунхендж
Sydney Opera House;Сиднейский оперный театр
Angkor Wat;Ангкор-Ват
Ayers Rock;Айерс-Рок
Colosseum;Колизей
Great Wall of China;Великая Китайская стена
London Eye;Лондонский глаз
Statue of Liberty;Статуя Свободы
Tower Bridge;Тауэрский мост
centaur;кентавр
dragon;дракон
fairy;фея
genie;джинн
giant;гигант
griffin;грифон
mermaid;русалка
minotaur;минотавр
ogre;людоед
unicorn;единорог
eight;восемь
five;пять
four;четыре
nine;девять
one;один
seven;семь
six;шесть
ten;десять
three;три
two;два
eighty;восемьдесят
fifty;пятьдесят
forty;сорок
ninety;девяносто
one hundred;сто
seventy;семьдесят
sixty;шестьдесят
thirty;тридцать
twenty;двадцать
eighteen;восемнадцать
eleven;одиннадцать
fifteen;пятнадцать
fourteen;четырнадцать
nineteen;девятнадцать
seventeen;семнадцать
sixteen;шестнадцать
thirteen;тринадцать
twelve;двенадцать
archery;стрельба из лука
athletics;легкая атлетика
diving;прыжки в воду
gymnastics;гимнастика
handball;гандбол
judo;дзюдо
rugby;регби
sailing;парусный спорт
table tennis;настольный теннис
weightlifting;тяжелая атлетика
fencing;фехтование
high jump;прыжок в высоту
hurdles;барьерный спорт
javelin;копье
long jump;прыжок в длину
marathon;марафон
rowing;гребля
trampolining;прыжки на батуте
waterpolo;водное поло
wrestling;борьба
balcony;балкон
ceiling;потолок
door;дверь
floor;пол
roof;крыша
stairs;лестница
wall;стена
window;окно
cheek;щека
chin;подбородок
ear;ухо
eye;глаз
face;лицо
hair;волосы
head;голова
mouth;рот
neck;шея
nose;нос
teeth;зубы
tongue;язык
arm;рука
foot;нога
hand;рука
knee;колено
leg;нога
shoulders;плечи
ankle;лодыжка
back;спина
body;тело
feet;ноги
finger;палец
heel;пятка
thumb;большой палец
toes;пальцы ног
budgie;волнистый попугай
cat;кошка
dog;собака
goldfish;золотая рыбка
guinea pig;морская свинка
hamster;хомяк
mouse;мышь
rabbit;кролик
Jolly Roger;Веселый Роджер
island;остров
message in a bottle;послание в бутылке
pirate;пират
pirate ship;пиратский корабль
shipwreck;кораблекрушение
treasure chest;сундук с сокровищами
treasure map;карта сокровищ
beach;пляж
desert;пустыня
field;поле
forest;лес
lake;озеро
mountain;гора
river;река
sea;море
cave;пещера
hill;холм
pond;пруд
rainforest;тропический лес
the Arctic;Арктика
volcano;вулкан
wetlands;заболоченная территория
bookshop;книжный магазин
cinema;кинотеатр
factory;завод
park;парк
playground;детская площадка
school;школа
shop;магазин
stadium;стадион
supermarket;супермаркет
train station;железнодорожный вокзал
zoo;зоопарк
airport;аэропорт
apartments;квартиры
"baker's";пекарня
bank;банк
"butcher's";мясная лавка
fairground;ярмарка
farm;ферма
florist;цветочный магазин
"hairdresser's";парикмахерская
library;библиотека
sports centre;спортивный центр
theatre;театр
bridge;мост
gate;ворота
path;тропинка
signpost;указатель
statue;статуя
street;улица
tunnel;туннель
apartment;квартира
camper van;фургон
caravan;автофургон
hotel;отель
house;дом
igloo;иглу
behind;за
between;между
in;в
in front of;перед
next to;рядом с
on;на
opposite;напротив
under;под
crocodile;крокодил
frog;лягушка
lizard;ящерица
scorpion;скорпион
snail;улитка
snake;змея
tortoise;черепаха
turtle;черепаха
bathroom;ванная комната
bedroom;спальня
dining room;столовая
garage;гараж
garden;сад
hall;холл
kitchen;кухня
living room;гостиная
English;Английский
IT;IT
PE;Физкультура
art;искусство
drama;пьеса
geography;география
history;история
maths;математика
music;музыка
science;наука
board;доска
crayons;мелки
desk;стол
eraser;ластик
pen;ручка
pencil;карандаш
ruler;линейка
calculator;калькулятор
markers;фломастеры
folder;папка
glue;клей
notebook;блокнот
paper;бумага
pencil case;пенал
scissors;ножницы
sharpener;точилка
stickers;наклейки
diamond;ромб
heart;сердце
hexagon;шестиугольник
oval;овал
pentagon;пятиугольник
rectangle;прямоугольник
square;квадрат
star;звезда
triangle;треугольник
Earth;Земля
alien;инопланетянин
asteroid;астероид
comet;комета
flying saucer;летающая тарелка
galaxy;галактика
moon;луна
planet;планета
rocket;ракета
solar system;солнечная система
stars;звезды
sun;солнце
BMX biking;велосипед BMX
bungee jumping;прыжки на тарзанке
canoeing;гребля на каноэ
caving;спелеология
parachuting;парашютный спорт
rock climbing;скалолазание
ski jumping;прыжки с трамплина
skiing;катание на лыжах
snowboarding;сноубординг
surfing;серфинг
badminton;бадминтон
basketball;баскетбол
football;футбол
hockey;хоккей
swimming;плавание
tennis;теннис
bowling;боулинг
cycling;катание на велосипеде
golf;гольф
horse riding;верховая езда
volleyball;волейбол
football kit;футбольный комплект
goggles;очки
golf club;клюшка для гольфа
helmet;шлем
hockey stick;хоккейная клюшка
net;сетка
oars;весла
pads;защитки
racquet;ракетка
skis and poles;лыжи и палки
computer;компьютер
computer game;компьютерная игра
internet;интернет
keyboard;клавиатура
mobile phone;мобильный телефон
plug;штекер
tablet;планшет
"eleven o'clock";одиннадцать часов
five past ten;пять минут одиннадцатого. или десять часов, пять минут
five to twelve;без пяти двенадцать. или одиннадцать часов, пятьдесят пять минут
half past five;половина шестого. или пять часов, тридцать минут
quarter past eight;четверть девятого. или восемь часов, пятнадцать минут
quarter to two;без четверти два. или один час, сорок пять минут.
ten past nine;десять минут десятого. или девять часов, десять минут.
ten to one;без десяти час. или двенадцать часов, пятьдесят минут.
twenty past seven;двадцать минут восьмого. или семь часов, двадцать минут
twenty to three;без двадцати три. или два часа, сорок минут.
twenty-five past six;двадцать пять минут седьмого. или шесть часов, двадцать пять минут
twenty-five to four;без двадцати пяти четыре. или три часа, сорок минут
ball;мяч
doll;кукла
kite;воздушный змей
robot;робот
scooter;скутер
teddy;плюшевый
board game;настольная игра
bricks;кирпичики
drum;барабан
frisbee;фрисби
marbles;стеклянные шарики
paintbox;коробка для красок
puppet;кукла
puzzle;пазл
bike;велосипед
boat;лодка
bus;автобус
car;автомобиль
helicopter;вертолёт
lorry;грузовик
plane;самолёт
train;поезд
hot air balloon;воздушный шар
jeep;джип
jet;реактивный самолёт
motorbike;мотоцикл
ship;корабль
submarine;подводная лодка
underground;метро
van;фургон
crab;краб
jellyfish;медуза
octopus;осьминог
seahorse;морской конек
shark;акула
starfish;морская звезда
whale;кит
dolphin;дельфин
lobster;омар
oyster;устрица
penguin;пингвин
piranha;пиранья
seal;тюлень
squid;кальмар
walrus;морж
carrot;морковь
corn;кукуруза
green beans;зелёная фасоль
mushrooms;грибы
onion;лук
peas;горох
potato;картофель
tomato;помидор
aubergine;баклажан
broccoli;брокколи
cabbage;капуста
courgettes;кабачки
cucumber;огурец
leeks;лук-порей
lettuce;салат-латук
pepper;перец
cloudy;облачный
hot;жарко
raining;дождь
snowing;снег
stormy;грозовой
sunny;солнечный
windy;ветреный
boiling;очень жарко
flood;наводнение
foggy;туманный
freezing;мороз
hailing;град
hurricane;ураган
icy;ледяной
tornado;торнадо
warm;тёплый
camel;верблюд
elephant;слон
giraffe;жираф
hippo;бегемот
kangaroo;кенгуру
lion;лев
monkey;обезьяна
panda;панда
tiger;тигр
zebra;зебра
antelope;антилопа
cheetah;гепард
chimpanzee;шимпанзе
fox;лиса
koala;коала
leopard;леопард
polar bear;белый медведь
rhino;носорог
squirrel;белка
wolf;волк
aardvark;трубкозуб
coyote;койот
deer;олень
hare;заяц
hyena;гиена
lemur;лемур
meerkat;сурикат
orangutan;орангутанг
sloth;ленивец
yak;як
