|title|author|text
200|Es gibt keine Nazis in Sachsen|Jan Böhmermann, Maik vom LKA|Ein Lied gegen Sachsen-Bashing\nEin Lied, das allen Kritikern ein für alle Mal erklärt, wie toll es in Sachsen wirklich ist\nDer Song heißt „Es gibt keine Nazis in Sachsen“\n\nOft wurde gelästert, oft wurde gehetzt\nOft schon wurde Sachsen gekränkt oder verletzt\nOh, wie oft schon wurde Sachsen mit Häme übersät\nWie oft hab'n Hyper-Moralisten Sachsen schon geschmäht\n„Rechtsradikal-versifft“ wurde Sachsen oft genannt\n„Staat-gewordener Nazi-Sumpf“ und „Entwicklungsbundesland“\nDoch damit ist jetzt Schluss, Sachsen-Bashing ist voreilig\nIn Sachsen gibt's nämlich keine Nazis, \nwir klär'n das jetzt polizeilich\nEins, zwei, eins, zwei, drei, vier\n\nKommen Sie nach Sachsen zur Erholung und zum Chillen\nDie Menschen sind entspannt hier, \nhören Sie auf, mich zu filmen\nOh Saxe je t'aime, Saxony, I love you\nKeine Nazis in Sicht hier, \nSie halten die Kamera direkt auf mich zu\nSchwarz-gelbe Streifen auf weiß-grüner Fahne\nSo herrlich bunt sieht Sachsen aus in der \nFrontalaufnahme\nOh und Sachsens Polizei zeigt ihr freundlichstes Gesicht\nSachsen Nazis nennen, nein, \ndas dürfen Sie nicht\n\n\nKeine Nazis in Sachsen, nirgendwo im ganzen Land \n(Im ganzen Land)\nDie sind alle in Dresden mit der Frauenkirche verbrannt\nKeine Nazis in Sachsen, dem Nazi-frei-Staat \n(Ah)\nWer ist hier anderer Meinung? \nSie begehen eine Straftat\nKeine Nazis in Sachsen, nirgendwo im ganzen Land \n(Im ganzen Land)\nDie sind alle im Wohnmobil mit Uwe Mundlos verbrannt\nKeine Nazis in Sachsen, der Nazi-frei-Staat \n(Ah)\nSind Sie anderer Meinung? \nSie begehen eine Straftat\n\nRassistische Gefährder haben in Sachsen nix zu lachen\nAb zur Strafe in den Urlaub! \nIch hoffe es ist Ihnen klar, was Sie machen\nNa klar, denn Recht spricht in Sachsen ein ordentliches Gericht\nIm Namen des Volkes, \nSie haben mich ins Gesicht gefilmt, das dürfen Sie nicht\n\nKeine Nazis in Sachsen, nirgendwo im ganzen Land \n(Im ganzen Land)\nDie sind alle in Dresden mit der Frauenkirche verbrannt\nKeine Nazis in Sachsen, dem Nazi-frei-Staat \n(Ah)\nWer ist hier anderer Meinung? \nSie begehen eine Straftat\nKeine Nazis in Sachsen, nirgendwo im ganzen Land \n(Im ganzen Land)\nDie hat der Verfassungsschutz aus Sachsen verbannt\nKeine Nazis in Sachsen, der Nazi-frei-Staat \n(Ah)\nSind Sie anderer Meinung? \nSie begehen eine Straftat\n\n\nSaxophon-Solo\nDie Menschen sind friedlich, \ndie Gedanken sind frei\n \n(Die Gedanken sind frei)\nWillkommen in Sachsen, \nbitte gehen Sie mit zur Polizei\nSachsen sind nicht rechts, sie stehen bloß stumm dabei \n(Stumm dabei)\nGrüße in die Staatskanzlei, \ngehen Sie mit zur Polizei\nWir sind das Volk und die Presse ist frei \n(Die Presse ist frei)\nKeine Probleme in Sachsen, \nSie gehen jetzt mit zur Polizei\nNoch sorgloser relaxen als in Erdogans Türkei \n(In der Türkei)\nKann man im Nazi-freien Sachsen, \nSie kommen jetzt mit zur Polizei\nUnd jetzt alle\n\nKeine Nazis in Sachsen, nirgendwo im ganzen Land \n(Im ganzen Land)\nDie sind alle in Dresden mit der Frauenkirche verbrannt\nKeine Nazis in Sachsen, der Nazi-frei-Staat \n(Ah)\nSie behaupten etwas anderes? \nSie begehen eine Straftat\nKeine Nazis in Sachsen, nirgendwo im ganzen Land \n(Im ganzen Land)\nEs ist noch nie ein Lynchmob durch Chemnitz gerannt\nKeine Nazis in Sachsen, im Nazi-frei-Staat \n(Ah)\nWer ist hier anderer Meinung? \nSie begehen eine Straftat\n\nFaschisten gibt's in Sachsen höchstens ein oder zwei\nSie haben andere Zahlen? \nSie kommen jetzt mit zur Polizei\nHaben Sie was gegen Sachsen? \nSie gehen jetzt mit zur Polizei\nDas rechts-braun versiffte Sachsen, \nSie kommen jetzt mit zur Polizei\nWohw, toller Text, toller Gesang\nUnd was meinst du Sachsen? \nSie haben eine Straftat begangen
201|Raucher|Rainald Grebe, Die Kapelle der Versöhnung|Seit ich nicht mehr rauche\nDuften meine Kleider\nSeit ich nicht mehr rauche\nDuftet mein VW\nSeit ich nicht mehr rauche\nDuften die Gardinen, es duften die Möhrchen, es duftet das Filet\nSeit ich nicht mehr rauche\nKann ich wieder atmen\nIch erwache jeden Morgen und mach den Sonnengruß\nIch war auch schon im Schwimmbad\nIch kann viel länger tauchen\nIch entdecke mich gerade neu\nIch hab irsinnig viel lust\nSeit ich nicht mehr rauche\nHab ich viel mehr power\nIch stehe früher auf\nMein Kopf is nicht mehr schwer\nArbeit ohne Pause dann gehe ich nachhause\nUnd bleib auch da, denn ich trinke auch nicht mehr\nSeit ich nicht mehr rauche\nKlappts wieder im Bett\nIch kann acht mal hinter'nander\nWie ein junger Storch\nUnd bei Liebeskummer gehe ich in die Kneipe\nIch trinke eine Cola\nUnd atme ganz tief durch\n\nJuhu, juhu, juppiedu\nJuhu juhu, juppiedu\nAlle Menschen werden Hundert\nUnd auch die Tiere leben gern\nIn der Gesundheitsdiktatur\nIn der Prärie steht ein einsames Pferd\nDa steht ein einsames Pferd\nDer Marlboro-Mann hat aufgehört\nDer Marlboro-Mann hat aufgehört\nHonky-Tonk\nSeit ich nicht mehr rauche\nBin ich nicht mehr süchtig\nUnd ich war so süchtig nach so vielem und so sehr\nIch mache Stabhochsprung\nUnd laufe Maha-rathon\nIch weiß jetzt was ich jetzt will\nViel Chlorophyll\nIch höre nur Musik von Menschen die nicht rauchen\nUnd sehe da mein Plattenschrank ist leer\nIch lese nur noch Bücher von Menschen die nicht rauchen\nEigentlich nur Kafka\nDenn der hatte TBC\n\nJuhu, juhu, juppiedu\nJuhu juhu, juppiedu\nAlle Menschen werden Hundert\nUnd auch die Tiere leben gern\nIn der Gesundheitsdiktatur\nIn der Prärie steht ein einsames Pferd\nDa steht ein einsames Pferd\nDer Marlboro-Mann hat aufgehört\nDer Marlboro-Mann hat aufgehört\nDer Marlboro-Mann
202|Kinder|Wise Guys|Kinder find' ich nicht so toll, tut mir wirklich Leid\nKinder find' ich nicht so toll, tut mir wirklich Leid\nEins schmiert dir die Wände voll und ein Andres schreit\nEins schmeißt wild mit Lego rum aus Hartplastikbehältern\nDoch was ich am Schlimmsten find', sind die stolzen Eltern\nWas mir auf die Nerven geht, sind die stolzen Eltern\n\nStolze Eltern können nicht normal kommunizier'n\nMitten im Gespräch krabbeln sie auf allen Vier'n\nUnd sie reden so lang über Farbe und Gewicht\nDes Inhalts in der Windel ihres Babys, bis man bricht\n„Letzten Sonntag schlief die Anna durch bis kurz vor acht“\n„Ist ja kaum zu glauben und was habt ihr sonst gemacht?“\n„Unser Flori isst nicht viel, das ist nicht gesund“\n„Willst du jemand fressen sehn, dann kauf dir doch 'nen Hund“\n\nKinder find' ich nicht so toll, nimm mir das nicht krumm\nWenn ich mal eins halten soll, bringt mich das fast um\nBabywindeln stinken auch aus guten Müllbehältern\nDoch was ich am schlimmsten find', sind die stolzen Eltern\nWas mir auf die Nerven geht, sind die stolzen Eltern\n\n\nStolze Eltern finde ich noch schlimmer als die vielen\nPitbull-Halter, die mir sagen: „Och, der will nur spielen“\nStolze Eltern kann man ja im Grunde nicht besuchen\nAußer man hat Bock auf zwei Stunden „Backe Kuchen“\n„Laura hat so einen süßen kugelrunden Bauch“\n„Na, da gratulier' ich, aber so was hab' ich auch“\n„Laura kann schon „Papa“ sagen, das ist voll extrem“\nIch schau Lauras Mama an und frage sie: „Zu wem?“\n\nKinder find' ich nicht so toll, tut mir wirklich Leid\nEins schmiert dir die Wände voll und ein Andres schreit\nEins schmeißt wild mit Lego rum aus Hartplastikbehältern\nDoch was ich am Schlimmsten find', sind die stolzen Eltern\nWas mir auf die Nerven geht, sind die stolzen Eltern\n\nStolze Eltern werden in der Gruppe noch viel schlimmer\nDas bedeutet Krieg im Kinderärztewartezimmer\nDort machen sie sich dann eiskalt gegenseitig platt\nUnd prahlen, welches Baby schon die meisten Zähne hat\nStolze Eltern gehen abends leider nicht mehr raus\nDoch sie sagen allen: „Wir sind eh lieber zu Haus“\nWenn man Glück hat, schauen sie noch die Sendung mit der Maus\nUnd sie sprechen alles wie die Teletubbies aus\n\n\nKinder find' ich nicht so toll, tut mir wirklich Leid\nEins kackt sich die Windeln voll und ein Andres schreit\nIch soll toleranter sein? Keine Angst, ich kann es\nWenn es meine eignen wär'n, wär das ganz was Andres\nWenn es meine eignen wär'n, wär das ganz was Andres
203|Nichts funktioniert|Marc-Uwe Kling & Die Gesellschaft|Mein Toaster hat jetzt Internet\nIch zahle für ihn GEZ\nIch musste ihn erst registrieren\nJetzt kann er bügeln und massieren\nMein Hi-fi scheiß kennt alle Formate\nHat tausend Watt und kann Karate\nDas Leben ist so angenehm\nTausend Apps für kein Problem\n\n\nUnd nichts funktioniert\nAlles ist kaputt, kaputt, ka-kaputt\nAlles ist völlig ...\nUnd nichts funktioniert\nAlles ist kaputt, kaputt, ka-kaputt\nAlles ist völlig kaputt\n\n\nMein smartes Smartphone denkt für mich\nDie Einparkhilfe lenkt für mich\nMein Volksvertreter wählt für mich\nMein Bankberater zählt für mich\nWohlfühl, Wohlfühl, Wohlfühl, Wohlstand\nWohlfühltee, Wohlfühlgras und Wohlfühlschnee\nDuschgel gegen Depression\nFrauen haben viele erogene Zonen\n\n\nUnd nichts funktioniert\nAlles ist kaputt, kaputt, ka-kaputt\nAlles ist völlig ...\nUnd nichts funktioniert\nAlles ist kaputt, kaputt, ka-kaputt\nAlles ist völlig kaputt\n\n\nTerror, Terror, Einzelhaft\nPlan-, Finanz- und Marktwirtschaft\nIch kann die Märkte wachsen sehen\nZehn hoch zehn hoch zehn hoch zehn\nSchuften, schlafen, fressen, beten\nZielgenaue Lenkraketen\nDemonstrieren, Lichterketten\nSaufen, Drogen, Schmerztabletten\n\n\nUnd nichts funktioniert\nAlles ist kaputt, kaputt, ka-kaputt\nAlles ist völlig ...\nUnd nichts funktioniert\nAlles ist kaputt, defekt, ramponiert\nAlles ist völlig kaputt\n(Geschrei)\nUnd nichts funktioniert\nAlles ist kaputt, kaputt, ka-kaputt\nAlles ist völlig ...\nMimimimimimimimimimi ...
204|Denglisch|Wise Guys|"\nOh, Herr bitte gib mir meine Sprache zurück\nIch sehne mich nach Frieden und 'nem kleinen Stückchen Glück\nLass uns noch ein Wort verstehen in dieser schweren Zeit\nÖffne unsre Herzen, mach' die Hirne weit\n\nIch bin zum Bahnhof gerannt und war a little bit too late\nAuf meiner neuen Swatch war's schon kurz vor after eight\nIch suchte die Toilette, doch ich fand nur ein ""McClean""\nIch brauchte noch Connection und ein Ticket nach Berlin\nDraußen saßen Kids und hatten Fun mit einem Joint\nIch suchte eine Auskunft, doch es gab nur 'n Service Point\nMein Zug war leider abgefahr'n - das Traveln konnt' ich knicken\nDa wollte ich Hähnchen essen, doch man gab mir nur McChicken\n\nOh, Herr bitte gib mir meine Sprache zurück\nIch sehne mich nach Frieden und 'nem kleinen Stückchen Glück\nLass uns noch ein Wort verstehen in dieser schweren Zeit\nÖffne unsre Herzen, mach' die Hirne weit\n\nDu versuchst mich upzudaten, doch mein Feedback turned dich ab\nDu sagst, dass ich ein Wellness-Weekend dringend nötig hab\nDu sagst, ich käm' mit good Vibrations wieder in den Flow\nDu sagst, ich brauche Energy. Und ich denk: ""Das sagst du so...""\nStatt Nachrichten bekomme ich den Infotainment-Flash\nIch sehne mich nach Bargeld, doch man gibt mir nicht mal Cash\nIch fühl' mich beim Communicating unsicher wie nie –\nDa nützt mir auch kein Bodyguard. Ich brauch Security!\n\n\nOh, Lord, bitte gib mir meine Language zurück\nIch sehne mich nach Peace und 'nem kleinen Stückchen Glück\nLass uns noch ein Wort verstehn in dieser schweren Zeit\nÖffne unsre Herzen, mach' die Hirne weit\n\nIch will, dass beim Coffee-Shop ""Kaffeehaus"" oben draufsteht\nOder das beim Auto-Crash die ""Lufttasche"" aufgeht\nUnd schön wär's, wenn wir Bodybuilder ""Muskel-Mäster"" nennen\nUnd wenn nur noch ""Nordisch Geher"" durch die Landschaft rennen\n\nOh, Lord, please help, denn meine Language macht mir Stress\nIch sehne mich nach Peace und a bit of Happiness\nHilf uns, dass wir understand in dieser schweren Zeit\nOpen unsre hearts und make die Hirne weit\nOh, Lord, please gib mir meine Language back\nIch krieg hier bald die crisis, man, it has doch keinen Zweck\nLet us noch a word verstehen, it goes me on the Geist\nUnd gib, dass ""Microsoft"" bald wieder ""Kleinweich"" heißt"
205|Ambivalent|Olli Schulz|Gestern gab's mal wieder richtig Stress\nHeute, „Sorry, Leute, SMS!“\nDu wolltest nur mal deine Meinung sagen\nDu willst halt eben deine Freiheit haben\nDann willst du wieder voll dazugehör'n\nDann willst du wieder deine Treue schwör'n\nDann ist dir wieder alles viel zu viel\nDann willst du raus aus diesem wirren Spiel\n\nBist 'ne ambivalente, inkonsequente, crazy Person\n'Ne ambivalente, inkonsequente, crazy Person\n'Ne ambivalente, inkonsequente, crazy Person\nUnd du rennst und du brennst und du denkst\nDass du hängst, und du weiß nicht, wieso\n'Ne ambivalente, inkonsequente, crazy Person \n(crazy Person)\nCrazy Person \n(crazy Person)\n, crazy Person \n(crazy Person)\n\nAh, was wissen die Medien schon? Wir sind gegen den Strom\nWir trau'n nur Blogs, die mein'n, dass neben uns Aliens wohn'n\nDie unser Leben bedrohn'n, leiden am Facebook-Syndrom\nLediglich crazy Person'n, ah\nDie so inkonsequent sind und blind von glänzendem\nBildschirm, wir denken, wir sind schon Legenden\nWeißes und Hase, die Zeit lässt sich grade\nMit Gin Tonic Lemon sinnvoll verschwenden\nAmbivalenz, Angst, die uns bremst (bremst)\nLuzifer lockt uns mit Schlampen in' Benz (Benz)\nMit dem Kopf durch die Wand wie'n Gespenst (wuh)\nBis du merkst, dass du nur in 'nem Hamsterrad rennst\n\n\nBist 'ne ambivalente, inkonsequente, crazy Person \n(crazy Person)\nCrazy Person \n(crazy Person)\n, crazy Person \n(crazy Person)\nUnd du pushst und du planst und du tust, doch du ahnst\nDu hast keine Vision, keine Mission, keine Vision\n\n„Der Musiker slash Moderator slash Schauspieler splash Comedian slash Playboy slash Geschäftsmann und Freund aller Kinder Olli Schulz verschanzt sich seit gestern Abend auf seinem pompösen Anwesen in Potsdam. Mit einer gesellschaftskritischen Protestaktion will er auf sich aufmerksam machen, um mit erhobenen Zeigefinger auf die Anderen zu zeigen. Medienexperten gehen von einem Shitstorm aus. Karten für die Comeback-Tour sind ab nächsten Monat erhältlich.“\n\nBist 'ne ambivalente, inkonsequente, crazy Person\n'Ne ambivalente, inkonsequente, crazy Person\n'Ne ambivalente, inkonsequente, crazy Person\nUnd du rennst und du brennst und du denkst\nDass du hängst, und du weiß nicht, wieso\n'Ne ambivalente, inkonsequente, crazy Person \n(crazy Person)\nCrazy Person \n(crazy Person)\n, crazy Person \n(crazy Person)\nBist 'ne ambivalente, inkonsequente, crazy Person \n(crazy Person)\nCrazy Person \n(crazy Person)\n, crazy Person \n(crazy Person)\nUnd du pushst und du planst und du tust, doch du ahnst\nDu hast keine Vision, keine Mission, keine Vision
206|Pest im Paradies|Rakede|Im meinem Kopf ist ein Shortcut in eine andere Gegend\nIn meiner Tasche eine Falltüre auf andere Planeten\nIch denke Regen\nUnd es sickert durch die Decke\nIch denke Feuer\nUnd auf dem Tisch glüht das Besteck (Ich bin weg)\nVersteckt im Dschungel\nDer hinter meinen Augen wächst\nDoch jetzt ist alles verdreckt\nDie Bäume gefällt, die Tiere verreckt\nVon perfekt weißen Tauben ersetzt\nEs wachsen Augen und Ohren in den Hecken\nJemand kennt mein Versteck\n\nPest im Paradies, Gift in der Medizin\nJemand kennt mein Versteck\nDer Kopf ist gehackt\nEs gibt kein' Weg zu flieh'n\nPest im Paradies, Gift in der Medizin\nJemand kennt mein Versteck\nDer Kopf ist gehackt\nEs gibt kein' Weg zu flieh'n\n\n\nIn meinem Kopf sieht es aus wie auf Plakaten\nHübsche Leichen, mit schnellen Wagen\nSie suchen Herzen, die schlagen\nSie werden uns jagen, wenn sie merken, dass wir atmen\n\nIch kann die Fliegen jubeln hörn\nDu wirst wie die, du faulst hinter der Stirn\nSie bauen um in meinem Gehirn\nBald senden sie Werbung auf jedem Schirm\n\nJemand schleicht um meine Träume\nSucht Brücken in meinem Schlaf\nAugen an den Bäumen\n\nPest im Paradies, Gift in der Medizin\nJemand kennt mein Versteck\nDer Kopf ist gehackt\nEs gibt kein' Weg zu flieh'n\nPest im Paradies, Gift in der Medizin\nJemand kennt mein Versteck\nDer Kopf ist gehackt\nEs gibt kein' Weg zu flieh'n\n\n\nJemand schleicht durch meine Träume\nJemand stellt Fallen in meinem Schlaf\nJemand schleicht durch meine Träume\nJemand stellt Fallen in meinem Schlaf\n\nPest im Paradies, Gift in der Medizin\nJemand kennt mein Versteck\nDer Kopf ist gehackt\nEs gibt kein' Weg zu flieh'n\n\nIch will nicht werden, wie die\nIch will nicht reden, wie die\nIch will nicht gehen, wie die\nPest im Paradies
207|Teamgeist|Alligatoah|"\n""You all know""\n\nCheck!\nDu kommst mit Leine und Hund, dann bist du einer von uns\nMach den Hundegruß und stärke den Gemeinschaftsverbund\nSchon Caesar hatte Hunde laut der Legenden\nWir sind quasi seine Erben, wir sind Herrchenmenschen\nHüte dich vor einer Partnerschaftsromanze mit einer Katzenschlampe\nDas wär Rassenschande – Hundehalter! Wir müssen uns widersetzen jetzt\nKatzenhalter nehmen uns die Tierarztplätze weg\nDie könn'n ja Katzen streicheln, so lang sie's in ihrem Land machen\nHier brauchen sie klare Regeln – Zwangsjacken!\nIch hab' Angst, dass ich in zwei Jahren mit mei'm Labrador\nNicht mehr Gassi geh', sondern auf's Katzenklo\n\nUnd jetzt schmeiß eine Flasche, doch du bleibst eine Flasche\nDenn der Geist aus der Flasche macht dich high wie ein Drache\nAber unter den Wolken sind die streitenden Massen\nVon allen guten Geistern verlassen\nSchmeiß eine Flasche, doch du bleibst eine Flasche\nDenn der Geist aus der Flasche macht dich high wie ein Drache\nAber unter den Wolken sind die streitenden Massen\nVon allen guten Geistern verlassen\n\n\nDass ein Apfel auf dei'm Speiseplan ist\nMacht dich gleich sympathisch\n – \nApfelesser, wir sind einzigartig (Uh, yeah)\nTraditionsbewusst und doch modern\nEin Apfel am Tag hält den Doktor fern\nKrankheiten kriegst du, wenn du Birnen verspeist\nBirnen verlieren, wenn man Äpfel mit Birnen vergleicht (Ich schwöre!)\nWarum sieht man Birnenesser nie mit ihren Impfpässen?\nWer eine Birne isst, der würde auch ein Kind essen!\nWenn so ein Betrüger seinen Wohnort behält\nDreh' ich durch – Wir sind nicht der Obstkorb der Welt!\nGlaubst du, dass der Multivitamin-Irrwahn Glück bringt? (Haha)\nDann bist du Wirtschaftsfrüchtling\n\nUnd jetzt schmeiß eine Flasche, doch du bleibst eine Flasche\nDenn der Geist aus der Flasche macht dich high wie ein Drache\nAber unter den Wolken sind die streitenden Massen\nVon allen guten Geistern verlassen\nSchmeiß eine Flasche, doch du bleibst eine Flasche\nDenn der Geist aus der Flasche macht dich high wie ein Drache\nAber unter den Wolken sind die streitenden Massen\nVon allen guten Geistern verlassen\n\nDu wurdest wegen deiner Mütze verfolgt\nJetzt bist du nicht mehr allein, wir tragen Mützen mit Stolz\nWir sind das Mützenvolk, wir singen Mützenlieder\nIch hab' den größten Bommel, ich bin der Mützenführer\nAber kauf' nicht bei Hutträgern, auch nicht zum halben Preis (Ihh!)\nDie sind nicht alle gleich, doch fast alle gewaltbereit (Jawohl)\nDie sind im wahrsten Sinne unterbelichtet\nIch glaube Hutträger haben uns're Brunnen vergiftet\nGlaubst du nicht? Google mal die Hutlüge\nOder Hut Süß, hol' dir deine Wutschübe\nBei der Hutverbrennung ruft der Büttenredner\n„Wir sind nur besorgte Mützenträger!“\n\n\nUnd jetzt schmeiß eine Flasche, doch du bleibst eine Flasche\nDenn der Geist aus der Flasche macht dich high wie ein Drache\nAber unter den Wolken sind die streitenden Massen\nVon allen guten Geistern verlassen\nSchmeiß eine Flasche, doch du bleibst eine Flasche\nDenn der Geist aus der Flasche macht dich high wie ein Drache\nAber unter den Wolken sind die streitenden Massen\nVon allen guten Geistern verlassen\n\n""You all know"
208|Tausend Zweite Chancen|Timi Hendrix, Sapient|There was a cloud around my face\nI was surrounded by the haze\nA thousand second chances\nAnd a thousand apologies to you\nTo you, from me\nTo you, from me\nDu, du\nDer beste Mensch der Welt bist du\nIn Ostwestfal'n kommt selten mal die fucking Sonne vorbei\nLetzten Sommer hat's geschneit, mach mal Korn in die Sprite\nAlright, ohne dich wär' ich schon bei\nOpa auf der einen Wolke dort oben, 100.000 Meil'n (für immer)\nUnd Dunkelheit wurde prophezeit\nIch dachte Seele baumeln lassen, nein, das geht nicht ohne Seil\nTrailerpark for life, Wunderkind am Mic\nNeben dir ist niemand hier, für den ich Songs lieber schreib' (Baby)\nSorgen waren groß, Kontostand zu klein\nImmer unterwegs, ruf' dich an, du weinst (crazy), tut mir leid\nStändig Streit, jeder schreit, Temperament Bonnie und Clyde\nLass uns weg, allein wir zwei, egal, wohin, Hauptsache, weit\nTo you, you, you, you, you, you, you, you\nYou, you, you, you, you, you, you, you\nThere was a cloud around my face\nI was surrounded by the haze\nA thousand second chances\nAnd a thousand apologies to you\nTo you, from me\nTo you, from me, to you\nTo you, from me\nTo you, from me\nWie oft hast du mich schon aufgefang'n, gerettet?\n1000 zweite Chancen, und ich brauch' noch eine letzte\nDie Regenwolken hier beklauen unser Lächeln\nWas auch immer passiert, glaub mir, du bist der Beste\nDu, du\nDer beste Mensch der Welt bist du\nThere was a cloud around my face\nI was surrounded by the haze\nA thousand second chances\nAnd a thousand apologies to you\nTo you, from me\nTo you, from me, to you\nTo you, from me\nTo you, from me
209|Amsterdam - Single Mix|Fettes Brot|Refused - Servants Of Death\nTribe Society - Kings\nX Ambassadors - Gorgeous\nNicky Romero - Lighthouse - Radio Edit\nFLETCHER - War Paint\nThe Game - 100 (feat. Drake)\nKaptan - Anywhere We Go\nMiguel - leaves\nVince Staples - Dopeman\nYears & Years - Eyes Shut\nBassnectar - Speakerbox (feat. Lafa Taylor)\nOIJ - Blinded\nThe Front Bottoms - Cough It Out\nDear Rouge - Tongues\nFetty Wap - 679 (feat. Remy Boyz)\nChris Brown - Liquor\nXY&O - Low Tide\nJoy Williams - Before I Sleep\nColony House - Waiting for My Time to Come (Single Mix)\nKotomi - Swimming\nMiguel - Simple Things\nThe Fratellis - Baby Don't You Lie to Me!\nW. Darling - Learn To Love\nGallant - Weight In Gold\nRobin Thicke - Morning Sun\nJon Foreman - Your Love Is Enough\nSon Lux - Change Is Everything\nBilal - Money Over Love (feat. Kendrick Lamar)\nWale - The Girls on Drugs - Live\nAnne-Marie - Karate\nJimi Charles Moody - Other Man\nCalifornia Wives - The Heart Always Breaks\nThe Mowgli's - Summertime\nHunter Hunted - Lucky Day\nPrince Royce - Extraordinary\nGood Old War - Never Gonna See Me Cry\nKris Kross Amsterdam - Until The Morning - Original Mix\nthe bird and the bee - Los Angeles\nMatt Pond PA - The State of Gold, Pt. 2\nChet Faker - Bend\nLA Priest - Lady's In Trouble With The Law\nElephante - I Want You - Radio Edit\nKrystalmath - Same Mistake\nJack Grace - Hills\nKlyne - Paralyzed\nAstronauts, Etc. - Eye to Eye\nLolawolf - Every Fuckin Day\nLil Wayne - Nothing But Trouble\nZZ Ward - Lonely
210|Du driftest nach rechts|Fettes Brot|Früher warst du ein leuchtendes Vorbild in Sachen Haltung\nHast voller Begeisterung für Punk-Rock geschwärmt\nHeut sind wir leider nur noch äußerst selten einer Meinung\nIm letzten Jahr hab' ich dich nochmal ganz anders kennengelernt\n\nIch mag's nicht, wie du bist, wenn der Frust dich frisst\nDu mit verkniffenem Gesicht deinen Hass rauslässt\nWenn du Wohnungslose und Journalisten disst\nUnd von Geflüchteten als Touristen sprichst\nWenn du mich dann küsst, verspritzt du Gift\nUnd innerlich zerfrisst es mich\nBaby, du driftest\n\nDu driftest nach rechts!\nIch verlier' dich an die Dunkelheit\nNach rechts!\nKein Plan, wie viel Zeit uns noch bleibt\nDu driftest nach rechts!\nIch fürchte, bald ist es soweit\nNach rechts!\nDann muss ich geh'n, tut mir leid\n\nAhhh\nAhhh\nAhhh\nAhhh\n\n\nIch guck' mir alte Fotos an, wie verliebt wir war'n\nIch im Beastie-Boys-Shirt, du mit lila Haar'n\nHeute ist deine Welt nur noch schwarz und weiß\nIn deiner Facebook-Timeline Nazischeiß\nDu wünscht dir, wir hätten einen starken Führer\nIch wünsch' mir, es wäre zwischen uns wie früher\nWeil nichts mehr schön oder witzig ist\nSeitdem du nach rechts gedriftet bist, eh!\n\nDu bist nicht mehr, wie du warst\nUnsre Liebe ist im Arsch\nDu drehst dich nicht mehr um\nDenn du kennst nur noch eine Richtung\n\nDu driftest nach rechts!\nIch verlier' dich an die Dunkelheit\nNach rechts!\nKein Plan, wie viel Zeit uns noch bleibt\nDu driftest nach rechts!\nIch fürchte, bald ist es soweit\nNach rechts!\nDann muss ich geh'n, tut mir leid\n\n\nAhhh\nAhhh\nAhhh\nAhhh\n\nIch halt's nicht mehr aus\nMein Kopf so voll, mein Herz so leer\nIch halt's nicht mehr aus\nWas ich hier soll, weiß ich nicht mehr\nIch halt's nicht mehr aus\nDu driftest nach rechts und dein dummes Geschwätz\nHalt' ich nicht mehr aus\nIch bin raus!\n\nDu driftest nach rechts!\nIch verlier' dich an die Dunkelheit\nNach rechts!\nKein Plan, wie viel Zeit uns noch bleibt\nDu driftest nach rechts!\nIch fürchte, bald ist es soweit\nNach rechts!\nDann muss ich geh'n, tut mir leid\n\n\nAhhh\nAhhh\nAhhh\nAhhh
