der Auftritt beginnt                             |выступление начинается
leicht gereizt werden                            |легко раздражаться
überlaufen das Glas                              |переливаться через край
die Praxis besuchen                              |посетить практику
halbtags arbeiten                                |работать неполный день
ein Projekt beginnen                             |начать проект
das Konto eröffnen                               |открывать счет в банке
die grelle Farbe mildern                         |приглушать яркий цвет
sich von Sorgen befreien                         |избавиться от забот
der Trend setzt sich fort                        |тенденция продолжается
ein Elaborat verfassen                           |написать произведение
ein telefonisches Gespräch                       |телефонный разговор
das Lied singen                                  |петь песню
anschaulich machen                               |наглядно показать
die Aufheiterung kommt                           |улучшение настроения наступает
das Krankengeld erhalten                         |получать оплату по болезни
wer bist du?                                     |кто ты?
die Kosten ausrechnen                            |подсчитывать расходы
einen Deckel über den Topf stürzen               |накрыть горшок крышкой
sich bei der Verwaltung beschweren               |жаловаться в администрацию
los!                                             |давай!
früh aufwachen                                   |рано просыпаться
schau mal hier                                   |смотри-ка сюда
zuwenig Zeit                                     |слишком мало времени
ich meine                                        |я думаю
das Gespräch beginnen                            |начинать разговор
das Wörterbuch benutzen                          |пользоваться словарем
eine Rechnung begleichen                         |оплачивать счет
einteilen Aufgaben                               |(под)разделять задачи
lebenswichtige Informationen                     |жизненно важная информация
der Anhänger des Teams                           |сторонник команды
die Batterie ist leer                            |батарея разряжена
der Wagen fährt                                  |машина едет
jemand vermisst werden                           |пропасть без вести
die Anklage war auf dem Gutachten aufgebaut      |обвинение основывалось на заключении экспертизы
verärgern den Nachbarn                           |разозлить соседа
eine richtige Antwort                            |правильный ответ
die Selbstverwaltung fördern                     |поощрять самоуправление
das Konfekt essen                                |есть конфеты
der Südwesten ist warm                           |юго-запад теплый
etwas schiefgehen                                |не удаваться
einen Draht biegen                               |гнуть провод
erlangen das Ziel                                |достигать цели
das Hemd bügeln                                  |гладить рубашку
einschließen die Tür                             |запирать дверь
die Stube betreten                               |войти в комнату
die Verspätung melden                            |сообщать об опоздании
die Schwester besuchen                           |навестить сестру
Eier quirlen                                     |взбивать яйца
ein unentbehrliches Werkzeug                     |незаменимый инструмент
die Rechnung bezahlen                            |оплачивать счет
aus dem Haus gehen                               |выйти из дома
überwiegen die Vorteile                          |превышать преимущества
wenigstens einmal                                |по крайней мере один раз
der Vorsitzende spricht                          |председатель говорит
aufrecht stehen                                  |стоять прямо
der Fahrer fährt                                 |водитель едет
eine gefällige Antwort                           |любезный ответ
nach Amerika auswandern                          |эмигрировать в Америку
im Meer schwimmen                                |плавать в море
eine Nachricht mitteilen                         |сообщать новость
der Übergang ist schwer                          |переход трудный
Holz stapeln                                     |складывать дрова
ein hartnäckiger Kampf                           |упорная борьба
geboren werden                                   |родиться
einschenken den Wein                             |разливать вино
empfindlich Haut                                 |чувствительная кожа
mit zunehmender Geschwindigkeit                  |с возрастающей скоростью
ein beliebiges Beispiel                          |любой пример
der Spießbürger spricht                          |мещанин говорит
die Bibliothek nutzen                            |пользоваться библиотекой
sich durch die Menge drängen                     |проталкиваться через толпу
vor Angst beben                                  |дрожать от страха
der Rohstoff wird verarbeitet                    |сырье перерабатывается
der Rücken tut weh                               |спина болит
die Unterschrift leisten                         |ставить подпись
mit etwas renommieren                            |хвастаться чем-то
der Eigentümer wohnt hier                        |собственник живет здесь
der Schmerz nachlassen                           |боль проходит
jemanden mögen                                   |любить кого-то
die Eichel ist reif                              |желудь спелый
der Wintermantel ist von Motten beschädigt       |зимнее пальто изъедено молью
die finnische Sprache                            |финский язык
den Vögeln nachstellen                           |ловить птиц
eine unverschämte Forderung                      |наглое требование
zurück gehen                                     |идти назад
ein Ereignis feiern                              |отмечать событие
der fehlerfreie Test                             |безошибочный тест
ein Studium absolvieren                          |окончить учебное заведение
ein stumpfsinniges Gespräch                      |тупоумный разговор
der Abriss des Gebäudes                          |снос здания
die Spannung fühlen                              |чувствовать напряжение
Cello spielen                                    |играть на виолончели
Materialien bereitstellen                        |подготавливать материалы
der Lieblingsschriftsteller schreibt             |любимый писатель пишет
erheblich Unterschied                            |значительное различие
das Rettungsboot benutzen                        |использовать спасательную лодку
die Aufmerksamkeit ist wichtig                   |внимание важно
Geld benötigen                                   |нуждаться в деньгах
etwas machen                                     |делать что-то
eine verlässliche Quelle                         |надежный источник
sich für Musik begeistern                        |увлекаться музыкой
sie hat einige Kilo zugenommen                   |она прибавила в весе несколько килограммов
die Anmeldung ist offen                          |регистрация открыта
der Sportsfan jubelt                             |болельщик ликует
nach Moskau reisen                               |путешествовать в Москву
ein Auto verkaufen                               |продавать машину
die Ausstellung ist groß                         |выставка большая
vollstopfen die Tasche                           |набивать до отказа сумку
sich nach einem langen Tag hinlegen              |ложиться после долгого дня
die Zusammenfassung schreiben                    |писать резюме
ein verbotenes Gebiet                            |запрещенная зона
emigrieren in ein anderes Land                   |эмигрировать в другую страну
der Himmel ist blau                              |небо голубое
die Bewertung ist hoch                           |оценка высокая
die Bettwäsche ist sauber                        |постельное белье чистое
der Kürbis ist groß                              |тыква большая
gut essen                                        |хорошо кушать
ärgern das Kind                                  |злить ребенка
die Urkunde vorlegen                             |предъявлять документ
der Bulle brüllt                                 |бык ревет
die Schande vermeiden                            |избегать позора
der Fahrplan wurde geändert                      |расписание изменено
die Beglückwünschung ist herzlich                |поздравление сердечное
jemanden um Hilfe bitten                         |просить кого-то о помощи
das Ungeheuer sehen                              |увидеть чудовище
das Baujahr 2020                                 |год постройки 2020
habe mich gestritten                             |ссорился
jemanden ansprechen                              |обращаться к кому-то
sich abzeichnen durch Erfolg                     |выделяться успехом
an Gott glauben                                  |верить в Бога
die Platte servieren                             |подавать блюдо
das Laken wechseln                               |менять простыню
ein rosa Kleid                                   |розовое платье
eine gemäßigte Haltung                           |умеренная позиция
das hohe Fieber haben                            |иметь высокую температуру
den Schmerz lindern                              |облегчать боль
der Gegner kämpft                                |противник сражается
pünktlich ankommen                               |прибывать вовремя
für eine Erfindung werben                        |рекламировать изобретение
ein belegtes Brot                                |бутерброд
der Aufstieg ist steil                           |подъем крутой
entkorken die Flasche                            |откупоривать бутылку
ein Lied pfeifen                                 |насвистывать песню
sich beeilen                                     |спешить
zweifeln an der Wahrheit                         |сомневаться в правде
aus einem Traum aufwachen                        |проснуться от сна
das Pferd reiten                                 |ездить на лошади
der Luftverkehr nimmt zu                         |воздушное сообщение увеличивается
der Urheber ist bekannt                          |инициатор известен
große Wünsche begehren                           |желать больших вещей
mit dem Partner abrechnen                        |рассчитаться с партнером
von der Nachricht betroffen sein                 |быть поражённым новостью
entsorgen den Müll                               |утилизировать мусор
fahrlässige Tötung                               |убийство по неосторожности
die Seite wechseln                               |перейти на другую сторону
die Reise planen                                 |планировать путешествие
der Ausgang ist geschlossen                      |выход закрыт
wiederholen die Frage                            |повторять вопрос
der Zollbeamte kontrolliert                      |таможенник проверяет
der Deutsche spricht                             |немец говорит
die Arbeitsstelle ist wichtig                    |место работы важно
ein Bedürfnis haben                              |иметь потребность
ein rechtloser Mensch                            |бесправный человек
die Aufführung beginnt                           |спектакль начинается
Geld ausgeben                                    |тратить деньги
andererseits betrachtet                          |с другой стороны
ein Einzelzimmer mieten                          |снять одноместный номер
ein Programm präsentieren                        |представить программу
die Bude ist klein                               |ларек маленький
die gegenwärtige Situation                       |настоящая ситуация
die Entwicklung fördern                          |способствовать развитию
zum Scheitern verurteilen                        |обрекать на провал
das Bargeld abheben                              |снимать наличные деньги
der Übermut ist groß                             |задор велик
eine geisterhafte Erscheinung                    |призрачное явление
zwicken den Arm                                  |щипать руку
die Erstaufführung ist heute                     |премьера сегодня
überzeugende Argumente                           |убедительные аргументы
eine originelle Idee                             |оригинальная идея
du sollst lernen                                 |ты должен учиться
die Beute ist groß                               |добыча велика
einen Preis gewinnen                             |выиграть приз
die Neuerung einführen                           |ввести нововведение
der Halt ist sicher                              |опора надежная
eine Prüfung nachholen                           |навёрстывать экзамен
an der Entscheidung liegen                       |зависеть от решения
den Ofen feuern                                  |топить печь
ein Hindernis beseitigen                         |устранять препятствие
das Geschäftsmanagement studieren                |изучать управление бизнесом
der Krabbensalat ist lecker                      |крабовый салат вкусный
übersehen den Fehler                             |не заметить ошибку
eine Frage stellen                               |задавать вопрос
die Dose ist leer                                |коробка пуста
eingerechnet werden                              |быть включённым
die Kochplatte ist heiß                          |электрическая плитка горячая
der Beamte arbeitet                              |чиновник работает
sich an Regeln halten                            |придерживаться правил
das Krankenhaus verlassen                        |покидать больницу
der Schlauch ist lang                            |шланг длинный
von dem Lehrer                                   |от учителя
ein gelähmter Arm                                |парализованная рука
der König regiert                                |король правит
die Geldüberweisung ist angekommen               |денежный перевод получен
jemanden mit einem Geheimnis verblüffen          |ошеломлять секретом
die folgenden Tage                               |следующие дни
die Streitkräfte unterstützen                    |поддерживать вооруженные силы
das Anrecht haben                                |иметь право
eine belanglose Frage                            |незначительный вопрос
die Schwimmweste anziehen                        |надеть спасательный жилет
die Sorge ausdrücken                             |выразить заботу
ein Problem besprechen                           |обсуждать проблему
sich verpflichten zu einem Vertrag               |обязываться по договору
die Tiefe messen                                 |измерять глубину
bestürzt über eine Nachricht sein                |быть поражённым новостью
nach Gold schürfen                               |вести разведочные работы на золото
die Trockenheit spüren                           |ощущать сухость
die Strafe abmildern                             |смягчать наказание
mit der Vergangenheit abschließen                |покончить с прошлым
sich morgens kämmen                              |причесываться по утрам
das Schach spielen                               |играть в шахматы
die Wassermelone schneiden                       |резать арбуз
die Komödie anschauen                            |смотреть комедию
seine Schöpferkraft versiegt nie                 |его творческая энергия неиссякаема
ein schlimmes Problem                            |серьезная проблема
der Gasherd funktioniert                         |газовая плита работает
die Baumwolle ist weich                          |хлопок мягкий
die Oberfläche reinigen                          |очистить поверхность
wahr sein                                        |быть правдой
eine gefügte Struktur                            |податливая структура
einen Vertrag absprechen                         |обговаривать условия контракта
vortragen ein Gedicht                            |читать стихотворение
der Blutfluss stoppt                             |кровотечение останавливается
ein bisschen                                     |немного
der Korb ist leer                                |корзина пустая
ein Bild nageln                                  |прибивать картину
das Lokal betreten                               |войти в помещение
eine Reaktion auslösen                           |вызывать реакцию
das Herz hören                                   |слушать сердце
die Kaserne ist groß                             |казарма большая
ein gräßliches Verbrechen                        |ужасное преступление
die Kunstfaser ist stark                         |искусственное волокно крепкое
der Haken ist fest                               |крюк крепкий
das richtet sich nach den Umständen              |это зависит от обстоятельств
ein Ergebnis erzielen                            |достичь результата
eine Vorschrift verordnen                        |предписывать правило
die Chinesin spricht                             |китаянка говорит
das Licht ausschalten                            |выключать свет
wohin gehst du?                                  |куда ты идешь?
das Taschentuch guckt ihm aus der Tasche         |носовой платок выглядывает у него из кармана
der Tisch im Wohnzimmer                          |стол в гостиной
die braunen Augen                                |карие глаза
bereitwillig helfen                              |охотно помогать
man liest                                        |читают
das Genie bewundern                              |восхищаться гением
die Schuhreparatur durchführen                   |выполнять ремонт обуви
die Ware ausverkaufen                            |распродавать товар
das Öl wechseln                                  |менять масло
eine unentgeltliche Leistung                     |бесплатная услуга
die Rosinen essen                                |есть изюм
der Hafen ist groß                               |порт большой
ein Feuer ausbrechen                             |вспыхнуть пожар
ledig sein                                       |быть холостым
habe zubereitet                                  |приготовил(а) (о пище)
die Textilwaren kaufen                           |покупать текстильные изделия
über die Brücke                                  |через мост
der Schnee fällt                                 |снег идет
eine tragische Geschichte                        |трагическая история
die Gratulationen sind herzlich                  |поздравления сердечные
eine Gefahr ahnen                                |предчувствовать опасность
der Wipfel ist hoch                              |верхушка высокая
ein anspruchsvoller Kunde                        |требовательный клиент
dirigieren ein Orchester                         |дирижировать оркестром
vom Wetter abhängen                              |зависеть от погоды
im Jahr neunzehnhunderteinundneunzig             |в 1991 году
die modernste Technologie                        |самая современная технология
Wasser gefrieren                                 |морозить воду
der Industriebetrieb wächst                      |промышленное предприятие растет
aus der Haft entlassen                           |освободить из-под стражи
der Schiff fährt                                 |пароход плывет
man sagt                                         |говорят
sich für eine Prüfung anmelden                   |записаться на экзамен
die Diät ist wichtig                             |диета важна
sich zu einem Plan entschließen                  |решаться на план
die Leiter aufstellen                            |поставить лестницу
das Publikum applaudiert                         |публика аплодирует
das Haus bauen                                   |строить дом
zwingen zu arbeiten                              |принуждать работать
der Saum ist sauber                              |подол чистый
die Hochzeit ist schön                           |свадьба красивая
die Wartehalle betreten                          |входить в зал ожидания
der Schönheitssalon ist offen                    |салон красоты открыт
es wird zunehmend kälter                         |становится всё холоднее
der Handball wird gespielt                       |играют в ручной мяч
der Schüler lernt                                |ученик учится
der Stil ist modern                              |стиль современный
das Visum beantragen                             |подавать на визу
der Satz ist klar                                |предложение ясное
ein altes Haus abtragen                          |сносить старый дом
an etwas gewohnt sein                            |быть привычным к чему-то
einprägsam sein                                  |быть легко запоминающимся
wertvoller Rat                                   |ценный совет
mit Arbeit belastet                              |нагруженный работой
die Ohrenschmerzen lindern                       |облегчить боль в ушах
die Bäckerei duftet                              |пекарня пахнет
neben dem Haus                                   |рядом с домом
eine Sitzung tagen                               |проводить заседание
jemanden informieren                             |информировать кого-то
die Ansicht ist unterschiedlich                  |мнение разное
die Brille ist kaputt                            |очки сломаны
die Festigkeit ist hoch                          |прочность высокая
die Flugnummer ist falsch                        |номер рейса неверный
der Industrielle plant                           |промышленник планирует
jemanden grüßen                                  |приветствовать кого-то
zu einem Fest gratulieren                        |поздравлять с праздником
der Dank kommt                                   |благодарность приходит
der Bruder kommt                                 |брат приходит
das Wohnheim besuchen                            |посетить общежитие
das Fenster öffnen                               |открыть окно
ein Kleid färben                                 |красить платье
die Bewegung ist schnell                         |движение быстрое
um zehn Prozent steigen                          |подняться на десять процентов
eine befriedigende Antwort                       |удовлетворительный ответ
der Taschenrechner funktioniert                  |микрокалькулятор работает
das Essen servieren                              |подавать еду
die Marke erkennen                               |узнать знак
die Erfüllung ist notwendig                      |выполнение необходимо
die Regierung kritisieren                        |критиковать правительство
die Chiffre ist geheim                           |шифр секретный
empfehlen ein Buch                               |рекомендовать книгу
der Kronleuchter hängt                           |люстра висит
eine vermutliche Ursache                         |предположительная причина
der Vogelkäfig                                   |клетка для птиц
habe mich verlaufen                              |я заблудился
der August ist heiß                              |август жаркий
die Luftmatratze aufblasen                       |надувать надувной матрас
ein steifes Hemd                                 |жесткая рубашка
der Mittler vermittelt                           |посредник посредничает
etwa um die Mittagszeit                          |приблизительно в полдень
Sand in einen Behälter schütten                  |сыпать песок в контейнер
innerhalb eines Jahres                           |в течение года
errechnen die Kosten                             |вычислять расходы
sich herzlich bedanken                           |сердечно благодарить
der Titel ist lang                               |заголовок длинный
das Bild malen                                   |рисовать картину
die Darstellung ist klar                         |изложение ясно
die Atomwaffe ist gefährlich                     |атомное оружие опасное
ein gefütterter Mantel                           |пальто на подкладке
ein regelmäßiger Termin                          |регулярная встреча
das Zeugnis erhalten                             |получить свидетельство
den Raum räumen                                  |освобождать помещение
wieviel kostet das?                              |сколько это стоит?
zu einem Ergebnis führen                         |приводить к результату
wollen ein Eis                                   |хотеть мороженое
der Arbeitsplatz ist sicher                      |рабочее место безопасно
ein stabiles Gebäude                             |стабильное здание
das Ticket kaufen                                |покупать билет
die Sensation erleben                            |переживать сенсацию
expressiv auftreten                              |выступать выразительно
erweisen Dank                                    |выражать благодарность
das Konzept schreiben                            |писать конспект
der Schlafwagen ist bequem                       |спальный вагон удобный
eine andere Meinung                              |другое мнение
die Richtung ändern                              |изменить направление
zigmal wiederholt                                |десятки раз повторено
dir helfen                                       |помогать тебе
der Koffer ist voll                              |чемодан полный
der Spielfilm läuft                              |художественный фильм идет
die Nahrungsmittel kaufen                        |покупать пищевые продукты
zanken mit dem Bruder                            |ссориться с братом
der Leiter spricht                               |руководитель говорит
die Route planen                                 |планировать маршрут
die Unterhaltung genießen                        |наслаждаться развлечением
das fette Essen                                  |жирная еда
ein sonniger Tag                                 |солнечный день
das ist ausgeschlossen!                          |это исключено!
schon gemacht                                    |уже сделано
die Forschung ist wichtig                        |исследование важно
der Name ist bekannt                             |имя известно
das Schiff fahren                                |плавать на корабле
rasieren sich jeden Morgen                       |бриться каждое утро
der Journalist schreibt                          |журналист пишет
sich mit Computern auskennen                     |разбираться в компьютерах
in dem Dorf leben                                |жить в деревне
der Körperbau ist sportlich                      |телосложение спортивное
zirka zehn Minuten                               |около десяти минут
ein Loch graben                                  |копать яму
ein Erlebnis erzählen                            |рассказать о переживании
die Umweltverschmutzung reduzieren               |сокращать загрязнение окружающей среды
der Bogen ist gebogen                            |дуга согнута
die Gesellschaft ist groß                        |общество велико
der Strom fließt                                 |река течет
wiegen die Koffer                                |взвешивать чемоданы
der Stadtrand ist ruhig                          |окраина города спокойная
ein beanspruchter Muskel                         |нагруженная мышца
die Aktion läuft                                 |акция проходит
der Opa erzählt                                  |дедушка рассказывает
zurückweichen vor Gefahr                         |отступать перед опасностью
die Abkürzung ist einfach                        |сокращение простое
die Schulden begleichen                          |погашать долги
eine krumme Straße                               |кривая улица
eine Straße verengen sich                        |суживаться улица
ein abgesperrtes Gebiet                          |закрытая территория
die Disko ist laut                               |дискотека громкая
jemanden angreifen                               |нападать на кого-то
eine unerschöpfliche Quelle                      |неисчерпаемый источник
der Zorn ist stark                               |гнев сильный
eine verlobte Frau                               |обрученная женщина
die Dunkelheit ist tief                          |темнота глубокая
demonstrieren für Frieden                        |демонстрировать за мир
wirklich schön                                   |действительно красиво
ein schamhaftes Mädchen                          |стыдливая девочка
der Schatz ist versteckt                         |сокровище спрятано
entführen das Kind                               |похищать ребенка
eine uneingeschränkte Macht                      |неограниченная власть
die Herzinsuffizienz ist schwer                  |сердечная недостаточность тяжелая
jemanden beeindrucken                            |производить впечатление на кого-то
damit einverstanden                              |с этим согласен
das fettarme Gericht                             |нежирное блюдо
unterwegs sein                                   |быть в пути
die Hochachtung ist groß                         |глубокое уважение велико
der Anstieg der Kosten                           |увеличение затрат
das Misslingen vermeiden                         |избегать неудачи
die Beleidigung ist schlimm                      |оскорбление серьезное
der Hahn tropft                                  |кран капает
an jemanden senden                               |посылать кому-то
der Beitrag ist bezahlt                          |взнос оплачен
der Schluck ist klein                            |глоток маленький
das Glas füllen                                  |наполнять стакан
der Winter ist kalt                              |зима холодная
große Ausgaben machen                            |делать большие затраты
effizient handeln                                |действовать эффективно
dreimal wiederholen                              |повторять три раза
ein Gespräch aufnehmen                           |начать разговор
jemanden als Experten ansehen                    |рассматривать кого-то как эксперта
halb voll                                        |наполовину полный
der Wächter wacht                                |сторож дежурит
der Eilzug fährt                                 |скорый поезд едет
das Parkverbot beachten                          |соблюдать запрещение на стоянку
eine unnötige Sorge                              |необходимая забота
unter der Brücke                                 |под мостом
der Straßenrand ist frei                         |край дороги свободен
einen Patienten behandeln                        |лечить пациента
sich in der Badewanne baden                      |принимать ванну в ванной
ein paar Freunde                                 |несколько друзей
der Wasserstoff ist leicht                       |водород легкий
ein maximaler Wert                               |максимальное значение
das Wartezimmer betreten                         |войти в приемную
wachrufen Erinnerungen                           |воскрешать воспоминания
unter der Voraussetzung, dass...                 |при условии, что...
