of|IO|The color of the car is red.
bit|RG|She was a bit tired after the run.
absolutely|RG|I absolutely love this place.
trouble|NN1|He got into trouble at school.
seat|NN1|Please take a seat.
necessary|JJ|It is necessary to bring your ID.
democratic|JJ|They live in a democratic society.
address|VV0|Please address the envelope.
management|NN1|Management decided to hire more staff.
tomorrow|RT|We will meet tomorrow.
stick|VV0|The sticker won't stick to the wall.
discover|VV0|They discovered a hidden treasure.
user|NN1|He is an experienced computer user.
inside|II|The cat is inside the house.
nor|CCB|She didn't call, nor did she write.
through|II|We walked through the park.
mouth|NN1|He opened his mouth to speak.
travel|VV0|They love to travel together.
photograph|NN1|She took a beautiful photograph.
touch|VV0|Please don't touch the artwork.
suffer|VV0|He suffered a great loss.
heat|NN1|The heat was unbearable.
judge|NN1|The judge made a fair decision.
fall|NN1|The fall was hard on his back.
internet|NN1|The internet is slow today.
element|NN1|Water is an essential element.
wind|NN1|The wind blew strongly last night.
just|JJ|He is a just man.
interested|JJ|She is interested in art.
researcher|NN1|The researcher conducted a study.
capital|NN1|Paris is the capital of France.
hill|NN1|We hiked up the hill.
basic|JJ|This is a basic need.
engage|VV0|The gears engage smoothly.
smile|VV0|She smiled at the joke.
contract|NN1|He signed the contract.
apple|NN1|She ate an apple.
sales|NN2|The sales were up this quarter.
lake|NN1|The lake was calm.
gain|VV0|He gained a lot of experience.
location|NN1|The location was perfect for the event.
otherwise|RG|He was busy, otherwise he would have come.
highly|RG|She is highly skilled in programming.
cry|VV0|The baby started to cry.
associate|VV0|I associate summer with sunshine.
connection|NN1|There is a strong connection between them.
smart|JJ|He is a smart student.
ride|VV0|They decided to ride the bus.
presence|NN1|Her presence brightened the room.
crowd|NN1|A large crowd gathered at the event.
border|NN1|They crossed the border safely.
website|NN1|The website is under maintenance.
relation|NN1|The relation between them is strong.
volume|NN1|She turned up the volume.
extra|JJ|They had some extra food.
hire|VV0|They want to hire a new manager.
forest|NN1|We walked through the forest.
focus|NN1|Her main focus is on the project.
advice|NN1|He gave me good advice.
enemy|NN1|The soldiers fought the enemy.
female|JJ|She is a female artist.
glad|JJ|I'm glad you came.
kick|VV0|He kicked the ball hard.
actor|NN1|He is a famous actor.
topic|NN1|The topic was interesting.
session|NN1|The session ended early.
wine|NN1|They enjoyed a glass of wine.
youth|NN1|The youth of today are tech-savvy.
extend|VV0|He extended his hand to help.
surprise|NN1|The party was a surprise.
slightly|RG|She was slightly annoyed by the noise.
lift|VV0|He lifted the box easily.
excuse|VV0|Please excuse my mistake.
desire|NN1|She has a strong desire to learn.
anywhere|RG|You can sit anywhere you like.
grand|JJ|They had a grand celebration.
angry|JJ|He was angry about the delay.
struggle|VV0|She struggled to finish on time.
neck|NN1|He hurt his neck during the game.
generate|VV0|This machine generates electricity.
literature|NN1|She studied English literature.
capture|VV0|The camera captured the moment perfectly.
studio|NN1|She works in a recording studio.
circle|NN1|Draw a circle on the paper.
colleague|NN1|She is my colleague at work.
works|NN2|The construction works will begin next week.
comfortable|JJ|This chair is comfortable.
teaching|NN1|She enjoys teaching children.
live|JJ|The concert was live on TV.
zone|NN1|This area is a no-parking zone.
minority|NN1|They represent a small minority.
gender|NN1|We discussed gender roles in society.
domestic|JJ|They keep domestic animals on the farm.
percentage|NN1|A high percentage of people voted.
request|NN1|He made a special request.
fee|NN1|The entrance fee was $10.
tooth|NN1|He has a toothache.
self|NN1|She is finding her true self.
chapter|NN1|This is the final chapter of the book.
shift|VV0|He shifted the gears smoothly.
convention|NN1|They attended the annual convention.
scream|VV0|She screamed when she saw the spider.
extent|NN1|We don't know the full extent of the damage.
accuse|VV0|She accused him of lying.
farmer|NN1|The farmer works from dawn to dusk.
contribution|NN1|She made a valuable contribution to the project.
question|VV0|He questioned the decision.
era|NN1|This marks the end of an era.
expose|VV0|The scandal was exposed by the media.
guide|NN1|The tour guide was very knowledgeable.
escape|VV0|The prisoners tried to escape.
eliminate|VV0|They aim to eliminate all risks.
pretty|JJ|She wore a pretty dress.
muscle|NN1|He pulled a muscle while running.
far|RG|He lives far from here.
cycle|NN1|The water cycle is important for the environment.
judgment|NN1|Her judgment was fair and balanced.
lie|NN1|The lie caused a lot of trouble.
hand|VV0|He handed me the keys.
fast|JJ|The car is fast.
basketball|NN1|He plays basketball every weekend.
quote|VV0|She quoted a famous author.
immigration|NN1|Immigration policies have changed.
separate|VV0|They decided to separate the items.
flow|NN1|The flow of the river was strong.
technical|JJ|He has technical skills.
mark|NN1|He left a mark on the wall.
soil|NN1|The soil is rich in nutrients.
selection|NN1|The selection of books was impressive.
resolution|NN1|They passed a resolution at the meeting.
dude|NN1|That dude is really cool.
slow|VV0|Please slow down when driving.
essentially|RG|This is essentially the same idea.
offense|NN1|His offense was minor.
fairly|RG|The test was fairly easy.
pregnant|JJ|She is pregnant with her first child.
deficit|NN1|The deficit needs to be addressed.
philosophy|NN1|He teaches philosophy at the university.
prosecutor|NN1|The prosecutor presented the evidence.
knife|NN1|He cut the bread with a knife.
housing|NN1|Affordable housing is a priority.
pop|VV0|The balloon popped loudly.
publication|NN1|The publication is set for next month.
beneath|II|The cat is hiding beneath the bed.
pepper|NN1|She added pepper to the soup.
accomplish|VV0|He accomplished his goal.
consist|VV0|The recipe consists of eggs and milk.
engineering|NN1|He studied engineering at college.
jail|NN1|The criminal was sent to jail.
brief|JJ|She gave a brief summary.
shout|VV0|He shouted for help.
avenue|NN1|They walked down the avenue.
scholar|NN1|She is a respected scholar in her field.
illness|NN1|The illness spread quickly.
awesome|JJ|The view was awesome.
designer|NN1|She is a famous fashion designer.
retire|VV0|He plans to retire next year.
incredible|JJ|The show was incredible.
rarely|RG|He rarely misses a meeting.
giant|NN1|A giant lived in the castle.
stream|NN1|The stream flows through the forest.
twitter|NN1|She shared her thoughts on Twitter.
accurate|JJ|The report was accurate.
pay|NN1|He received his pay on Friday.
another|DD1|He needs another pen.
potentially|RG|This could potentially be dangerous.
slide|VV0|The kids love to slide down the hill.
rather|RG|She would rather stay home.
reputation|NN1|He has a good reputation.
giant|JJ|He caught a giant fish.
fishing|NN1|They went fishing on the weekend.
stranger|NN1|A stranger helped her find her way.
rape|NN1|The crime of rape is serious.
negotiation|NN1|The negotiation went smoothly.
sequence|NN1|The sequence of events was confusing.
weigh|VV0|She weighs the options carefully.
electronic|JJ|They bought a new electronic device.
impression|NN1|Her first impression was positive.
visible|JJ|The stars are visible tonight.
restore|VV0|They plan to restore the old house.
sauce|NN1|The pasta needs more sauce.
detect|VV0|He detected a faint smell.
apologize|VV0|She apologized for the mistake.
airline|NN1|The airline lost my luggage.
cent|NN1|The candy costs fifty cents.
grandmother|NN1|She visited her grandmother on Sunday.
manufacturer|NN1|The manufacturer recalled the product.
roll|NN1|He ate a roll with butter.
terrorist|NN1|The terrorist was captured.
violate|VV0|He violated the rules.
unlikely|JJ|It's unlikely to rain today.
idiot|NN1|He acted like an idiot.
stadium|NN1|The stadium was packed with fans.
mix|NN1|She made a mix of nuts and dried fruit.
incorporate|VV0|They will incorporate the new data.
taste|VV0|She tasted the soup before serving.
possess|VV0|He possesses a rare talent.
stake|NN1|The stakes are high in this game.
developer|NN1|He is a software developer.
tiger|NN1|The tiger roared loudly.
administrator|NN1|She is the school administrator.
publisher|NN1|The publisher accepted the manuscript.
variation|NN1|There is a variation in color.
tomato|NN1|She added a tomato to the salad.
contest|NN1|He won the contest.
load|NN1|The truck carried a heavy load.
narrator|NN1|The narrator told the story well.
surprise|VV0|They surprised her with a party.
purchase|NN1|The purchase was a good deal.
fate|NN1|She believed in fate.
surprising|JJ|The results were surprising.
adapt|VV0|They adapted quickly to the new environment.
random|JJ|The selection was random.
smell|NN1|The smell of flowers filled the air.
tourist|NN1|The tourist took many photos.
stable|JJ|The table is stable now.
update|NN1|He received an update on the situation.
friendship|NN1|Their friendship lasted for years.
humor|NN1|He has a good sense of humor.
chemical|NN1|The chemical reaction was interesting.
silly|JJ|The movie was silly but fun.
lifestyle|NN1|He enjoys a healthy lifestyle.
crap|NN1|This movie is total crap.
imagination|NN1|Her imagination knows no bounds.
drawing|NN1|She made a drawing of the house.
guide|VV0|He will guide you through the process.
segment|NN1|This segment of the show is interesting.
slight|JJ|There was a slight delay.
can|NN1|He opened a can of soda.
sue|VV0|She decided to sue the company.
notice|NN1|She put up a notice on the board.
canadian|JJ|He is a Canadian citizen.
pill|NN1|She took a pill for her headache.
terrorist|JJ|The terrorist threat was neutralized.
decrease|VV0|The prices will decrease next month.
dumb|JJ|He made a dumb mistake.
furthermore|RG|Furthermore, we need to consider the cost.
tactic|NN1|The tactic was successful.
nerve|NN1|She felt a nerve twitch.
aircraft|NN1|The aircraft took off smoothly.
duke|NN1|The duke lived in a large castle.
furniture|NN1|They bought new furniture for the house.
garage|NN1|The car is in the garage.
allegation|NN1|The allegation was proven false.
fake|JJ|The ID was fake.
grant|NN1|He received a research grant.
patient|JJ|She was patient with the children.
whoever|PNQV|Whoever wins the game gets a prize.
membership|NN1|She renewed her gym membership.
makeup|NN1|She bought some new makeup.
mall|NN1|They spent the afternoon at the mall.
courage|NN1|She showed great courage during the crisis.
mainstream|JJ|The idea became mainstream quickly.
delay|NN1|The flight was delayed due to weather.
communist|JJ|They lived under a communist regime.
palestinian|NN1|The Palestinian leader gave a speech.
till|CS|Let's wait till the rain stops.
function|VV0|The machine functions well.
soccer|NN1|He plays soccer every weekend.
uncomfortable|JJ|The chair is uncomfortable.
gospel|NN1|They sang a gospel song.
fabric|NN1|The dress is made of soft fabric.
admire|VV0|I admire her strength.
hunter|NN1|The hunter tracked the deer.
virtual|JJ|They attended a virtual meeting.
athletic|JJ|He has an athletic build.
sword|NN1|The knight carried a sword.
dose|NN1|He took the correct dose of medicine.
grave|NN1|They visited her grandfather's grave.
absorb|VV0|The sponge absorbs water.
nominee|NN1|The nominee gave a speech.
nail|NN1|He hammered the nail into the wall.
resign|VV0|She decided to resign from her job.
hardware|NN1|The computer hardware needs an upgrade.
snake|NN1|They found a snake in the garden.
depict|VV0|The painting depicts a peaceful scene.
gradually|RG|The pain gradually subsided.
starting|NN1|He had a great starting position in the race.
rescue|VV0|They rescued the dog from the fire.
praise|VV0|She praised his hard work.
van|NN1|They rented a van for the trip.
counsel|NN1|The lawyer provided good counsel.
motive|NN1|His motive was unclear.
chronic|JJ|She suffers from chronic pain.
cave|NN1|They explored the dark cave.
driving|JJ|He took a driving test today.
tag|NN1|He removed the price tag.
precious|JJ|She lost a precious ring.
agricultural|JJ|The country has a strong agricultural sector.
rape|VV0|He was accused of raping someone.
powder|NN1|She added baking powder to the recipe.
govern|VV0|The mayor governs the city well.
butt|NN1|He stubbed out the cigarette butt.
nonetheless|RG|Nonetheless, we should continue the project.
speed|VV0|He sped down the highway.
civilian|NN1|The war affected many civilians.
compound|NN1|The compound is secure.
upstairs|RL|She went upstairs to her room.
tune|VV0|He tuned the guitar.
jeans|NN2|She bought two pairs of jeans.
ranch|NN1|They own a large ranch in Texas.
pitcher|NN1|The pitcher threw a fastball.
behavioral|JJ|They studied behavioral patterns in animals.
advertisement|NN1|The advertisement was catchy.
blow|NN1|He dealt a blow to his opponent.
bitter|JJ|The medicine tasted bitter.
treasury|NN1|The treasury was guarded.
walking|NN1|Walking is great exercise.
greek|JJ|They visited Greek ruins.
estimated|JJ|The estimated time of arrival is 3 PM.
frame|VV0|She framed the picture.
republican|JJ|He is a Republican senator.
consent|NN1|He gave his consent to the operation.
banking|NN1|She works in the banking industry.
apology|NN1|He offered a sincere apology.
inspector|NN1|The inspector checked the building.
convey|VV0|He conveyed his thoughts clearly.
eating|NN1|Eating too much is bad for health.
custody|NN1|She has custody of the children.
horn|NN1|The car horn beeped loudly.
liability|NN1|The company accepted liability for the damages.
considering|CS|Considering the time, we should leave now.
retrieve|VV0|She retrieved the document from her desk.
goodness|NN1|She is known for her goodness.
repair|NN1|The repair took all day.
slavery|NN1|Slavery was abolished.
seal|VV0|He sealed the envelope.
entrepreneur|NN1|He is a successful entrepreneur.
unity|NN1|The team showed unity in their efforts.
treasure|NN1|They found buried treasure.
exploration|NN1|Space exploration is fascinating.
upcoming|JJ|They are excited for the upcoming event.
cruise|NN1|They went on a cruise.
electrical|JJ|The electrical system needs repair.
attraction|NN1|The attraction was closed for maintenance.
needle|NN1|She threaded the needle.
magnitude|NN1|The magnitude of the earthquake was surprising.
senior|NN1|He is a senior at the university.
chase|NN1|The chase ended quickly.
credibility|NN1|His credibility was questioned.
pursuit|NN1|The pursuit lasted for hours.
broadcast|NN1|The broadcast was interrupted.
repair|VV0|They will repair the car.
alright|RG|Everything will be alright.
frozen|JJ|The lake is frozen.
theology|NN1|He studies theology.
registration|NN1|The registration was completed.
beam|NN1|The beam supported the roof.
carbohydrate|NN1|She reduced her carbohydrate intake.
cloth|NN1|He wiped the table with a cloth.
thief|NN1|The thief was caught.
electoral|JJ|The electoral process was fair.
homework|NN1|He finished his homework.
continent|NN1|Europe is a continent.
accusation|NN1|The accusation was false.
jaw|NN1|His jaw dropped in shock.
dot|NN1|She placed a dot on the map.
sibling|NN1|He has two siblings.
thoroughly|RG|She cleaned the house thoroughly.
feed|NN1|They bought chicken feed.
popularity|NN1|The movie gained popularity.
poorly|RG|He performed poorly in the test.
stem|VV0|The issue stems from a misunderstanding.
presumably|RG|Presumably, they will arrive soon.
sculpture|NN1|The museum has a new sculpture.
bad|JJ|The weather is bad today.
practitioner|NN1|He is a medical practitioner.
conscience|NN1|His conscience is clear.
transport|NN1|They use public transport.
puzzle|NN1|The puzzle was difficult.
slice|VV0|She sliced the bread.
blend|VV0|He blended the ingredients.
elder|NN1|The village elder spoke.
conversion|NN1|The conversion was successful.
lightning|NN1|The lightning was intense.
instruct|VV0|He instructed the students.
curiosity|NN1|Her curiosity led her to explore.
speculation|NN1|There was speculation about the event.
ipad|NN1|She bought a new iPad.
cafe|NN1|They met at the cafe.
specialize|VV0|He specializes in surgery.
installation|NN1|The installation took hours.
banker|NN1|The banker approved the loan.
dying|JJ|The flowers are dying.
halloween|NN1|They decorated for Halloween.
unclear|JJ|The instructions were unclear.
guardian|NN1|She is the child's legal guardian.
emotionally|RG|She was emotionally drained.
verdict|NN1|The verdict was announced.
eighth|MD|She finished in eighth place.
chunk|NN1|He bit off a chunk of bread.
throne|NN1|The king sat on the throne.
collector|NN1|He is a coin collector.
whip|VV0|He whipped the cream.
courtroom|NN1|The courtroom was silent.
doorway|NN1|She stood in the doorway.
thou|PNQS|Thou shalt not lie.
plea|NN1|He made a plea for mercy.
destiny|NN1|She believes in destiny.
countless|JJ|He made countless mistakes.
emperor|NN1|The emperor ruled wisely.
discourage|VV0|She discouraged him from quitting.
dough|NN1|The dough is ready to bake.
balloon|NN1|The balloon popped suddenly.
sudden|RG|The change happened suddenly.
leak|VV0|Water leaks from the pipe.
usage|NN1|The usage is simple.
eyebrow|NN1|She raised an eyebrow.
align|VV0|He aligned the documents.
predator|NN1|The lion is a predator.
broker|NN1|The broker closed the deal.
wallet|NN1|He found his wallet.
haul|VV0|They hauled the cargo.
rib|NN1|He broke a rib.
supporting|JJ|She played a supporting role.
outbreak|NN1|The outbreak spread quickly.
weaken|VV0|The storm weakened.
editorial|JJ|He wrote an editorial piece.
authentic|JJ|The painting is authentic.
scent|NN1|The scent was pleasant.
surrender|VV0|They surrendered quickly.
shh|UH|Shh, don't make noise.
reasonably|RG|She is reasonably confident.
taxi|NN1|He hailed a taxi.
utterly|RG|I am utterly amazed.
bow|VV0|She bowed gracefully.
plaintiff|NN1|The plaintiff presented the case.
lesser|DAR|A lesser charge was filed.
frustrate|VV0|This puzzle frustrates me.
audio|JJ|The audio quality is clear.
subsequently|RG|He subsequently apologized.
inclusion|NN1|Inclusion is important.
miserable|JJ|He felt miserable today.
patron|NN1|The patron ordered coffee.
absurd|JJ|The idea was absurd.
shrimp|NN1|I cooked shrimp for dinner.
developed|JJ|It's a well-developed plan.
distress|NN1|She was in distress.
metropolitan|JJ|It's a metropolitan area.
isolated|JJ|The village is isolated.
swimming|NN1|Swimming is good exercise.
flu|NN1|He caught the flu.
tweet|VV0|She tweeted the news.
tenure|NN1|He has tenure at the university.
cooperative|JJ|They were cooperative.
integrated|JJ|The system is integrated.
egyptian|JJ|He studied Egyptian history.
pumpkin|NN1|They carved a pumpkin.
tighten|VV0|Tighten the screws.
contemplate|VV0|She contemplates her future.
stove|NN1|The stove is on.
coup|NN1|The coup was swift.
worldwide|JJ|It's a worldwide event.
start-up|NN1|The start-up grew fast.
reason|VV0|He reasoned with her.
supplement|NN1|He took a supplement daily.
circle|VV0|They circled the answer.
affection|NN1|She showed affection to her cat.
endorsement|NN1|The product got an endorsement.
compensate|VV0|He will compensate for the loss.
justification|NN1|She provided justification for her actions.
managing|JJ|He is the managing director.
neglect|VV0|They neglected the garden.
atheist|NN1|He is an atheist.
spider|NN1|A spider crawled up the wall.
fulfil|VV0|He fulfilled his duty.
sovereignty|NN1|They fought for sovereignty.
straighten|VV0|She straightened the picture.
summarize|VV0|Summarize the report.
sketch|NN1|He drew a quick sketch.
erase|VV0|Please erase the board.
immigrant|JJ|She is an immigrant worker.
parenting|NN1|Parenting is challenging.
spike|NN1|The spike in prices was sudden.
polling|NN1|Polling starts tomorrow.
sofa|NN1|She sat on the sofa.
thy|APPGE|Thy will be done.
great|JJ|He did a great job.
grade|VV0|She graded the papers.
transparent|JJ|The glass is transparent.
plunge|VV0|He plunged into the water.
humanitarian|JJ|She works for a humanitarian cause.
jerk|NN1|He is a real jerk.
explorer|NN1|The explorer discovered new lands.
partisan|JJ|It's a partisan issue.
precedent|NN1|This sets a new precedent.
nursing|NN1|Nursing is a noble profession.
span|NN1|The bridge spans the river.
empower|VV0|She empowered the team.
kilometer|NN1|He ran a kilometer today.
spark|NN1|A spark ignited the fire.
hometown|NN1|He returned to his hometown.
manipulation|NN1|The manipulation was obvious.
seminar|NN1|He attended a seminar.
trim|VV0|She trimmed the hedge.
prospective|JJ|He is a prospective buyer.
tub|NN1|The tub is full.
obsession|NN1|His obsession grew stronger.
liberation|NN1|They fought for liberation.
vinegar|NN1|Add vinegar to the salad.
ethnicity|NN1|Her ethnicity is diverse.
middle-class|JJ|They belong to the middle-class.
total|VV0|She totaled the score.
sympathetic|JJ|He was very sympathetic.
kidnap|VV0|The criminals kidnapped the child.
kind|JJ|She is very kind.
realization|NN1|The realization hit her suddenly.
bipartisan|JJ|It's a bipartisan effort.
cohort|NN1|The cohort graduated together.
fish|VV0|He fishes every weekend.
vow|VV0|They vowed to succeed.
comet|NN1|The comet streaked across the sky.
ground|VV0|He grounded the plane safely.
genome|NN1|The genome project was a success.
prey|NN1|The prey was caught.
misery|NN1|She lived in misery.
dioxide|NN1|Carbon dioxide is a gas.
handy|JJ|This tool is very handy.
revision|NN1|He made several revisions.
glorious|JJ|It was a glorious victory.
cinema|NN1|They went to the cinema.
sour|JJ|The milk turned sour.
shaft|NN1|The shaft was deep.
spokeswoman|NN1|The spokeswoman gave a statement.
handling|NN1|The handling was rough.
translator|NN1|The translator was efficient.
bully|VV0|The kids bullied him at school.
collision|NN1|The collision was unavoidable.
collaborate|VV0|They collaborated on the project.
bureaucracy|NN1|The bureaucracy slowed things down.
thanks|IF|Thanks for the help.
timber|NN1|The timber was freshly cut.
google|VV0|He googled the answer.
faction|NN1|A faction broke away.
premiere|NN1|They attended the premiere.
puppet|NN1|The puppet show was fun.
secretly|RG|He secretly admired her.
consultation|NN1|They had a consultation.
deaf|JJ|He is deaf in one ear.
median|JJ|The median income increased.
renewable|JJ|Renewable energy is the future.
paid|JJ|He is a paid employee.
broadly|RG|She broadly smiled.
umbrella|NN1|She opened the umbrella.
scrape|VV0|He scraped the ice.
assurance|NN1|She gave her assurance.
slate|NN1|The slate roof was repaired.
sleeping|JJ|The sleeping baby was calm.
maple|NN1|The maple tree is tall.
misleading|JJ|The information was misleading.
ruling|JJ|The ruling party won.
skiing|NN1|They love skiing in winter.
inning|NN1|The game lasted nine innings.
email|VV0|She emailed the report.
amend|VV0|They amended the contract.
embarrassment|NN1|His mistake caused embarrassment.
overturn|VV0|The judge overturned the decision.
aloud|RG|She read the story aloud.
mug|NN1|He drank from the mug.
peculiar|JJ|The situation was peculiar.
overweight|JJ|The cat is overweight.
nazi|NN1|The Nazi regime was brutal.
qualitative|JJ|It's a qualitative analysis.
stink|VV0|The garbage stinks.
corresponding|JJ|They found the corresponding answer.
whisper|NN1|Her whisper was soft.
exile|NN1|He lived in exile.
encouragement|NN1|She needed encouragement.
distinguished|JJ|He is a distinguished professor.
briefing|NN1|They attended a briefing.
vine|NN1|The vine grew rapidly.
opposing|JJ|The opposing team was strong.
dictator|NN1|The dictator ruled harshly.
satisfying|JJ|The meal was satisfying.
keen|JJ|He has a keen interest.
oppression|NN1|They fought against oppression.
feminine|JJ|The design is feminine.
scoring|NN1|The scoring was close.
dim|JJ|The room was dim.
standpoint|NN1|His standpoint is clear.
mind-set|NN1|He has a positive mind-set.
prohibition|NN1|Prohibition ended in 1933.
charitable|JJ|He made a charitable donation.
reported|JJ|The reported case was serious.
massacre|NN1|The massacre shocked everyone.
primitive|JJ|The tools are primitive.
african-american|NN1|African-Americans have a rich history.
printing|NN1|The printing was delayed.
terminate|VV0|They terminated the contract.
referendum|NN1|The referendum passed.
validate|VV0|She validated the results.
comprehend|VV0|He comprehended the text.
referral|NN1|The doctor gave a referral.
notorious|JJ|He is notorious for lateness.
severity|NN1|The severity of the storm was high.
implant|NN1|She got a dental implant.
wrestling|NN1|Wrestling is a popular sport.
magnet|NN1|The magnet stuck to the fridge.
livestock|NN1|They raised livestock on the farm.
whistle|NN1|She blew the whistle.
inconsistent|JJ|His results were inconsistent.
surplus|NN1|They had a surplus of goods.
nursery|NN1|The nursery was colorful.
flashlight|NN1|He used a flashlight in the dark.
syrup|NN1|She poured syrup on pancakes.
anchor|VV0|They anchored the boat.
millionaire|NN1|He became a millionaire.
independent|NN1|He is an independent contractor.
wrestle|VV0|They wrestled for fun.
intercept|VV0|The pass was intercepted.
called|JJ|The called number was busy.
burial|NN1|The burial was on Thursday.
tester|NN1|The tester checked the device.
pew|NN1|They sat in the front pew.
conditioning|NN1|The conditioning was intense.
worthwhile|JJ|It was a worthwhile effort.
tracking|JJ|They have a tracking system.
long-standing|JJ|They had a long-standing agreement.
dwarf|NN1|The dwarf stood proudly.
nationwide|JJ|It was a nationwide event.
thermal|JJ|They installed thermal insulation.
definitive|JJ|She gave a definitive answer.
intern|NN1|The intern was eager to learn.
networking|NN1|Networking is important in business.
remnant|NN1|Only a remnant was left.
garment|NN1|She bought a new garment.
niece|NN1|His niece is adorable.
ozone|NN1|Ozone protects us from UV rays.
pod|NN1|The peas were in the pod.
substantive|JJ|He made a substantive argument.
pair|VV0|They paired the socks.
underway|RG|The project is underway.
finely|RG|The herbs were finely chopped.
antique|JJ|The vase is an antique.
savannah|NN1|They visited the savannah.
coincide|VV0|Their schedules coincide.
statewide|JJ|It was a statewide initiative.
relocate|VV0|They relocated to a new city.
interim|JJ|He is the interim manager.
scam|NN1|The scam was exposed.
negatively|RG|She responded negatively.
ie|RG|I.e., it’s an abbreviation.
horrific|JJ|The accident was horrific.
dispose|VV0|He disposed of the trash.
strangely|RG|He acted strangely.
fearful|JJ|She was fearful of the dark.
pharmacy|NN1|She works at a pharmacy.
pancake|NN1|He made a pancake.
hurdle|NN1|She cleared the hurdle.
prevalent|JJ|The issue is prevalent.
leisure|NN1|She enjoys leisure time.
surge|VV0|The power surged suddenly.
blunt|JJ|His words were blunt.
insulin|NN1|She takes insulin daily.
shepherd|NN1|The shepherd guided the sheep.
unusually|RG|The weather was unusually cold.
contamination|NN1|The contamination was widespread.
mainland|NN1|They returned to the mainland.
pasture|NN1|The cows grazed in the pasture.
pastry|NN1|She baked a pastry.
slack|NN1|There was some slack in the rope.
allegiance|NN1|They pledged allegiance.
coupon|NN1|She used a coupon.
intermediate|JJ|He is at an intermediate level.
premature|JJ|The decision was premature.
formidable|JJ|The opponent was formidable.
inhale|VV0|She inhaled deeply.
cellphone|NN1|She lost her cellphone.
duck|VV0|He ducked under the branch.
awe|NN1|She gazed in awe.
grad|NN1|The grad received a diploma.
martial|JJ|He practices martial arts.
vineyard|NN1|They own a vineyard.
updated|JJ|The software is updated.
day-to-day|JJ|The day-to-day operations are smooth.
obscure|JJ|The answer was obscure.
shining|JJ|The star was shining brightly.
gardening|NN1|Gardening is her hobby.
lace|NN1|The lace was delicate.
compartment|NN1|She opened the compartment.
canned|JJ|They bought canned food.
deepen|VV0|They deepened the well.
broaden|VV0|She broadened her skills.
moan|VV0|He moaned in pain.
boot|VV0|He booted the computer.
four-year|JJ|It was a four-year plan.
trillion|MC|The budget is in trillions.
woo|VV0|He tried to woo her.
