speech_part|word_de|word_en
verb|bilden, bildet, bildete, hat gebildet|to form, educate
der|der Monat, -e|month
die|die Lösung, -en|solution
die|die Sache, -n|thing
adj|bekannt|well-known, famous
das|das Ziel, -e|destination, goal
verb|steigen, steigt, stieg, ist gestiegen|to climb, increase
adv|eher|sooner, earlier, more likely, rather
verb|essen, isst, aß, hat gegessen|to eat
die|die Minute, -n|minute
adv|die Nacht, -̈e|at night, nights
die|die Nacht, -̈e|night
der|der Platz, -̈e|place, room, square
adj|schlecht|bad
das|das Spiel, -e|game, match
die|die Familie, -n|family
pron|jemand|someone, somebody
pron|dessen|whose
verb|fallen, fällt, fiel, ist gefallen|to fall
num|zehn|ten
der|der Preis, -e|price, prize
adj|europäisch|European
adv|sonst|otherwise
der|der Staat, -en|state
verb|helfen, hilft, half, hat geholfen|to help
der|der Bereich, -e|area, region
adj|tatsächlich|real, actual
der|der Ort, -e|place, town, location
adv|der Abend, -e|in the evening
der|der Abend, -e|evening
adj|einzig|only, single
die|die Stelle, -n|place
adj|unterschiedlich|different
das|das Gesicht, -er|face
die|die Entwicklung, -en|development
die|die Uhr, -en|clock, watch, o’clock
pron|mehrere|several, multiple, various
verb|schließen, schließt, schloss, hat geschlossen|to close
adv|schließlich|finally, eventually
verb|legen, legt, legte, hat gelegt|to lay, put
adj|direkt|direct, straight
pron|daher|from, there, therefore
adj|offen|open
verb|erkennen, erkennt, erkannte, hat erkannt|to recognize, admit
die|die Person, -en|person
der|der Moment, -e|moment
die|die Schule, -n|school
pron|darin, drin, drinnen|in it, in there, inside
das|das Auto, -s|automobile, car
pron|niemand|no one, nobody
die|die Gesellschaft, -en|society, company
verb|warten, wartet, wartete, hat gewartet|to wait
verb|vorstellen, stellt vor, stellte vor, hat vorgestellt|to introduce, imagine
adj|früh|early
verb|treten, tritt, trat, hat getreten|to step
verb|reden, redet, redete, hat geredet|to talk
die|die Gruppe, -n|group
das|das Ding, -e|thing
part|na|well
verb|gewinnen, gewinnt, gewann, hat gewonnen|to win, gain
adv|zunächst|first, at first, for now
conj|damit|so that
die|die Tür, -en|door
der|der Schritt, -e|step
verb|entwickeln, entwickelt, entwickelte, hat entwickelt|to develop
adj|meiste|most
die|die Möglichkeit, -en|possibility, chance
der|der Sinn, -e|sense, meaning
verb|passieren, passiert, passierte, hat passiert|to take place, happen
adv|manchmal|sometimes
der|der Vergleich, -e|comparison
das|das System, -e|system
die|die Rolle, -n|role, roll
das|das Ergebnis, -se|result
verb|vergleichen, vergleicht, verglich, hat verglichen|to compare
adj|voll|full
verb|erwarten, erwartet, erwartete, hat erwartet|to expect
conj|obwohl|although
die|die Straße, -n|street
die|die Angst, -Äe|fear, anxiety
adj|allgemein|general
verb|fühlen, fühlt, fühlte, hat gefühlt|to feel
pron|jene (r, s)|that, those
verb|erinnern, erinnert, erinnerte, hat erinnert|to remind
part|oh|oh, aw
verb|bedeuten, bedeutet, bedeutete, hat bedeutet|to mean
die|die Stimme, -n|voice, vote
die|die Reaktion, -en|reaction
verb|wirken, wirkt, wirkte, hat gewirkt|to have an effect, take effect, work
verb|darstellen, stellt dar, stellte dar, hat dargestellt|to depict, portray, show
der|der Raum, -̈e|room, space
die (pl)|Eltern|parents
verb|bezeichnen, bezeichnet, bezeichnete, hat bezeichnet|to call, name
die|die Funktion, -en|function
adj|häufig|frequent
verb|erscheinen, erscheint, erschien, ist erschienen|to appear
die|USA (Vereinigte Staaten von Amerika)|USA, United States of America
der|der Flüchtling, -e|refugee
adv|früher|in former times
das|pro|pro
prep|pro|per
verb|ergeben, ergibt, ergab, hat ergeben|to result in, produce
verb|entscheiden, entscheidet, entschied, hat entschieden|to decide
die|die Universität, -en (Uni)|university
verb|betreffen, betrifft, betraf, hat betroffen|to affect, concern
adv|oben|above, up there
die|die Richtung, -en|direction
verb|bestimmen, bestimmt, bestimmte, hat bestimmt|to decide, determine
verb|fehlen, fehlt, fehlte, hat gefehlt|to lack, be missing, be absent
die|die Sprache, -n|language
das|das Produkt, -e|product
die|die Situation, -en|situation
adv|außerdem|besides, in addition
part|nämlich|you see, namely
adj|international|international
der|der Anfang, -̈e|beginning
num|sechs|six
verb|nutzen, nutzt, nutzte, hat genutzt|to use
adj|sozial|social
die|die Folge, -n|result, consequences
der|der Satz, -̈e|sentence
pron|manche (r, s)|some, many a
die|die Verbindung, -en|connection, link
verb|beschreiben, beschreibt, beschrieb, hat beschrieben|to describe
das|das Licht, -er|light
adj|ähnlich|similar
die|die Regel, -n|rule
prep|gegenüber|opposite
der|der Kollege, -n|colleague
adv|bisher|until now, up to now, yet
adj|tief|deep
adj|halb|half
verb|lachen, lacht, lachte, hat gelacht|to laugh
adv|ebenfalls|likewise, also, as well
adv|sofort|immediately
die|die Grenze, -n|border, frontier
verb|ändern, ändert, änderte, hat geändert|to change
die|die Entscheidung, -en|decision
verb|verlassen, verlässt, verließ, hat verlassen|to leave
die|die Idee, -n|idea
verb|verbinden, verbindet, verband, hat verbunden|to connect, link, unite
die|Milliarde, Mrd.|billion
adv|endlich|finally, at last
die|die Energie, -n|energy
adv|plötzlich|suddenly
pron|danach|after it, afterwards
die|die Kraft, -̈e|strength, power
adv|lieber|rather
verb|gehören, gehört, gehörte, hat gehört|to belong
verb|einsetzen, setzt ein, setzte ein, hat eingesetzt|to put in, insert
das|das Gefühl, -e|feeling
adv|trotzdem|nevertheless
verb|befinden (sich), befindet, befand, hat befunden|to be
die|die Information, -en|information
pron|dadurch|through it, as a result, as a consequence
pron|dagegen|against it, on the other hand
die|die Weise, -n|way, manner
die|die Zukunft, -̈e|future
verb|wachsen, wächst, wuchs, ist gewachsen|to grow
adv|bitte|please
adj|weiß|white
der|der Text, -e|text
adj|schwarz|black
verb|sterben, stirbt, starb, ist gestorben|to die
der|der Markt, -̈e|market
adj|rot|red
part|halt|just, simply
der|Meter, m|meter
adj|nahe, nah|near(by), close
prep|nahe, nah|near, close to
die|die Hilfe, -n|help
das|das Kapitel, -|chapter
verb|ausgehen, geht aus, ging aus, ist ausgegangen|to go out, assume
die|die Bedeutung, -en|meaning, significance
verb|betrachten, betrachtet, betrachtete, hat betrachtet|to look at, consider
die|die Chemie, -n|chemistry
die|die Luft, -̈e|air
der|der Körper, -|body
die|die Struktur, -en|structure
verb|stimmen, stimmt, stimmte, hat gestimmt|to be correct, vote, tune
verb|bitten, bittet, bat, hat gebeten|to request, ask
das|das Jahrhundert, -e|century
adj|wahrscheinlich|likely, probable
adv|wahrscheinlich|probably, likely
adj|öffentlich|public
pron|euch|you, yourselves
adv|insgesamt|in all, altogether, in total
verb|anfangen, fängt an, fing an, hat angefangen|to begin, start
adv|genug|enough
der, die|das Deutsche|German
verb|verändern, verändert, veränderte, hat verändert|to change
die|die Wohnung, -en|apartment, flat
verb|gelingen, gelingt, gelang, ist gelungen|to succeed
adv|bald|soon
adj|gering|low, small
der|der Film, -e|film, movie
verb|kaufen, kauft, kaufte, hat gekauft|to buy
verb|ansehen, sieht an, sah an, hat angesehen|to look at, watch
verb|öffnen, öffnet, öffnete, hat geöffnet|to open
die|die Musik, -en|music
verb|schauen, schaut, schaute, hat geschaut|to look
das|das Stück, -e|piece
adj|besondere (r, s)|special
adj|tot|dead
der|der Gott, -̈er|God
adj|völlig|completely, absolutely
adj|positiv|positive
das|das Gespräch, -e|conversation
pron|darum|around it, therefore
der|der Kunde, -n|customer, client
die|die Menge, -n|quantity, amount
die|die Regierung, -en|rule, government
die|die Antwort, -en|answer, reply
verb|annehmen, nimmt an, nahm an, hat angenommen|to accept, assume
adj|falsch|false, wrong
der|der Zusammenhang, -̈e|connection, context
adj|langsam|slow
der|der Arm, -e|arm
conj|nachdem|after
der|der Tisch, -e|table
verb|rufen, ruft, rief, hat gerufen|to call
verb|bieten, bietet, bot, hat geboten|to offer
das|das Herz, -en|heart
adv|zusammen|together
adv|inzwischen|in the meantime
adv|ebenso|just as, as much as, as well
der|der Boden, -̈|ground, floor, bottom
conj|bevor|before
verb|verwenden, verwendet, verwendete, hat verwendet|to use
die|die Politik, -en|politics
der|der Tod, -e|death
der|der Erfolg, -e|success
adv|zudem|moreover, furthermore, besides
die|die Bank, -̈e|bank, bench
prep|ab|from, as of
adj|persönlich|personal
der|der Präsident, -en|president
verb|holen, holt, holte, hat geholt|to get, fetch
der|der Junge, -n|boy
adj|sogenannt|so-called
die|die Polizei, -en|police
die|die Chance, -n|chance
adj|gewiss|certain
prep|innerhalb|within
die|die Kunst, -̈e|art
die|die Lage, -n|situation, location
der|der Schüler, -|pupil, student (USA)
adj|gesamt|whole, entire
der|der Druck, -̈e|pressure, printing
verb|verschwinden, verschwindet, verschwand, ist verschwunden|to disappear
verb|wohnen, wohnt, wohnte, hat gewohnt|to live
verb|bewegen, bewegt, bewegte, hat bewegt|to move
verb|enthalten, enthält, enthielt, hat enthalten|to contain
verb|aufnehmen, nimmt auf, nahm auf, hat aufgenommen|to take in, record, include
die (pl)|Kosten|costs, expenses
das|das Wintersemester, -|winter semester
verb|merken, merkt, merkte, hat gemerkt|to notice, remember
adj|fest|firm, solid
adj|aktuell|current
der|der Begriff, -e|concept, idea, term
verb|erleben, erlebt, erlebte, hat erlebt|to experience
adj|relativ|relative
prep|laut|according to
der|der Fuß, -̈e|foot
die (pl)|Daten|data
der|der Krieg, -e|war
der|der Gast, -̈e|guest
die|die Aussage, -n|statement
das|das Gesetz, -e|law
verb|planen, plant, plante, hat geplant|to plan
adj|schwierig|difficult, hard, tough
das|das Gut, -̈er|estate, good(s)
der|der Kilometer, -|kilometer
adj|zusätzlich|additional
verb|vergessen, vergisst, vergaß, hat vergessen|to forget
der|der Gedanke, -n|thought
verb|besitzen, besitzt, besaß, hat besessen|to own, have
part|ach|oh
die|die Partei, -en|(political) party
verb|freuen, freut, freute, hat gefreut|to be happy
verb|hängen, hängt, hängte, hat gehängt|to hang
verb|berichten, berichtet, berichtete, hat berichtet|to report
die|die Zelle, -n|cell
adj|eng|narrow, close
die|die Kultur, -en|culture
der|der Prozess, -e|trial, process
der|der Sohn, -̈e|son
der|der Dank|gratefulness
prep|trotz|in spite of
verb|fordern, fordert, forderte, hat gefordert|to demand, claim
verb|studieren, studiert, studierte, hat studiert|to study
verb|gefallen, gefällt, gefiel, hat gefallen|to please
das|das Mädchen, -|girl
das|verhalten|behavior
verb|verhalten|to behave, act
adv|mindestens|at least
adv|ziemlich|quite, fairly, pretty
das|das Interesse, -n|interest
verb|unterscheiden, unterscheidet, unterschied, hat unterschieden|to distinguish
adv|wobei|whereby, at what, whereat
adv|jeweils|each, each time
verb|reichen, reicht, reichte, hat gereicht|to reach, be enough
num|sieben|seven
adv|zumindest|at least
verb|schlagen, schlägt, schlug, hat geschlagen|to hit, beat
das|das Tier, -e|animal
adv|jedenfalls|in any case
part|am|the (+superlative)
verb|erhöhen, erhöht, erhöhte, hat erhöht|to raise, increase
verb|sorgen, sorgt, sorgte, hat gesorgt|to worry, take care
die|die Erfahrung, -en|experience
der|der Patient, -en|patient
adv|der Morgen, -|in the morning
der|der Morgen, -|morning
der|der Arzt, -Äe|physician, doctor
verb|geschehen, geschieht, geschah, ist geschehen|to happen, occur
das|Bayern|Bavaria
verb|lösen, löst, löste, hat gelöst|to solve, loosen
adv|irgendwie|somehow
verb|anbieten, bietet an, bot an, hat angeboten|to offer
verb|vorkommen, kommt vor, kam vor, ist vorgekommen|to happen, occur, seem
adj|okay|okay
das|okay|okay
verb|wünschen, wünscht, wünschte, hat gewünscht|to want, wish
verb|interessieren, interessiert, interessierte, hat interessiert|to interest
der|der Unterschied, -e|difference
das|das Foto, -s|photograph
verb|trinken, trinkt, trank, hat getrunken|to drink
pron|derselbe, dieselbe, dasselbe|the same (one, ones)
verb|wählen, wählt, wählte, hat gewählt|to choose, elect, vote
adj|gleichzeitig|simultaneous, at the same time
adj|knapp|scarce, slim
der|der Mitarbeiter, -|employee, co-worker
verb|übernehmen, übernimmt, übernahm, hat übernommen|to take over
das|das Glück|luck, fortune
adj|normal|normal
adv|leider|unfortunately
die|die Grundlage, -n|basis
num|acht|eight
die|die Leistung, -en|performance
verb|vorliegen, liegt vor, lag vor, hat vorgelegen|to be available, exist
verb|erfolgen, erfolgt, erfolgte, ist erfolgt|to take place, occur
die|die Beziehung, -en|relation, relationship
verb|zunehmen, nimmt zu, nahm zu, hat zugenommen|to increase
das|das Molekül, -e|molecule
verb|stattfinden, findet statt, fand statt, hat stattgefunden|to take place, occur
verb|ankommen, kommt an, kam an, ist angekommen|to arrive
das|auftreten, tritt auf, trat auf, ist aufgetreten|behavior, conduct, occurrence, appearance
verb|auftreten, tritt auf, trat auf, ist aufgetreten|to appear, occur
adv|insbesondere|especially
adj|technisch|technical
pron|wann|when
adv|los|rid of, going on
das|das Bett, -en|bed
die|die Höhe, -n|height, altitude
adj|wesentlich|essential, fundamental
adj|englisch|English
das|englisch|English
adv|zuletzt|last, finally, most recently
adj|rein|pure, clear, clean
das|das Zimmer, -|room
conj|indem|while, by
verb|bauen, baut, baute, hat gebaut|to build
das|das Verhältnis, -se|relationship
adj|selten|rare
die|die Zeitung, -en|newspaper
adj|innere (r, s)|internal
adv|beispielsweise, bspw.|for example, such as
die|die Bedingung, -en|condition, stipulation
das|das Fenster, -|window
der|der Zug, -̈e|train
adv|derzeit|at the moment
verb|funktionieren, funktioniert, funktionierte, hat funktioniert|to function, work
conj|sowohl|both . . . and
verb|schlafen, schläft, schlief, hat geschlafen|to sleep
prep|statt|instead of
das|das Werk, -e|work
adj|grün|green
der|der Bürger, -|citizen
verb|dienen, dient, diente, hat gedient|to serve
adj|echt|genuine, real
die|die Firma, -en|firm, company
die|die Wirtschaft, -en|economy, commerce
verb|stecken, steckt, steckte, hat gesteckt|to put, be located
verb|hoffen, hofft, hoffte, hat gehofft|to hope
verb|erfahren, erfährt, erfuhr, hat erfahren|to experience, find out
das|das Mittel, -|means
die|die Folie, -n|slide, foil
verb|leisten, leistet, leistete, hat geleistet|to perform, achieve, do
die|die Tochter, -̈|daughter
der|der Lehrer, -|teacher
verb|passen, passt, passte, hat gepasst|to fit
verb|beobachten, beobachtet, beobachtete, hat beobachtet|to observe, watch
die|die Einführung, -en|introduction
das|das Element, -e|element
verb|klingen, klingt, klang, hat geklungen|to sound
verb|lieben, liebt, liebte, hat geliebt|to love
die|die Dame, -n|lady
die|die Vorlesung, -en|lecture
verb|zählen, zählt, zählte, hat gezählt|to count
adv|meist|mostly, usually
adj|dunkel|dark
das|Österreich|Austria
das|das Modell, -e|model
die|die Bewegung, -en|movement, motion
adv|unten|down
die|die Mitte, -n|middle
adv|hin|there
prep|aufgrund|on the basis of, because of
verb|beschäftigen, beschäftigt, beschäftigte, hat beschäftigt|to employ, be busy, deal with
adv|zuvor|previously, before
adv|miteinander|with each other
adv|dennoch|nevertheless
verb|werfen, wirft, warf, hat geworfen|to throw
das|das Angebot, -e|offer, supply
das|das Projekt, -e|project
verb|verkaufen, verkauft, verkaufte, hat verkauft|to sell
verb|reagieren, reagiert, reagierte, hat reagiert|to react
der|der Autor, -en|author
verb|kriegen, kriegt, kriegte, hat gekriegt|to get, receive
adv|zirka, ca.|approximately
die|EU (Europäische Union)|EU
die|die Größe, -n|size, height
adj|hart|hard
adj|offenbar|apparent
der|der Bruder, -̈|brother
verb|beteiligen, beteiligt, beteiligte, hat beteiligt|to participate, contribute
die|die Phase, -n|phase
verb|angeben, gibt an, gab an, hat angegeben|to claim, declare, show off
die|die Reise, -n|journey, trip
adj|erfolgreich|successful
der|der Zustand, -̈e|condition, state
adj|wahr|true
die|die Reihe, -n|row, line
die|die Natur, -en|nature
verb|rechnen, rechnet, rechnete, hat gerechnet|to calculate, compute
adj|bloß|bare, mere
adv|bloß|only, simply, just
adj|notwendig|necessary
verb|entdecken, entdeckt, entdeckte, hat entdeckt|to discover
verb|dauern, dauert, dauerte, hat gedauert|to last, take (time)
adj|wirtschaftlich|economic, financial
adj|privat|private
adj|modern|modern
das|das Haar, -e|hair
adv|deswegen|therefore, that’s why
verb|spüren, spürt, spürte, hat gespürt|to sense, notice, feel
adj|unabhängig|independent
adv|morgen|tomorrow
der|der Rahmen, -|frame, framework
adv|übrigens|by the way
die|die Einheit, -en|unity, unit, entity
adv|überall|everywhere
verb|feststellen, stellt fest, stellte fest, hat festgestellt|to establish, detect, determine
der|der Stoff, -e|material, substance, fabric
die|die Rede, -n|speech, talk
verb|unterstützen, unterstützt, unterstützte, hat unterstützt|to support
adj|chemisch|chemical
adj|schlimm|bad, serious
adj|schlimm|worse
die|die Schweiz, -en|Switzerland
adv|irgendwann|sometime, some day
das|das Geschäft, -e|business, shop
conj|weder|neither . . . nor
der|der Anteil, -e|share, portion
die|die Angabe, -n|information, statement
das|das Team, -s|team
prep|außer|except, apart from
der|der Sommer, -|summer
das|das Hotel, -s|hotel
adj|laut|loud
num|eins|one
das|der Alter|age
die|die Sicherheit, -en|security, safety
die|SPD (Sozialdemokratische Partei Deutschlands)|SPD
adj|niedrig|low, base
adj|ständig|constant
der|der Einsatz, -̈e|insert, use, application, assignment
