adashmoq yo'lda|блуждать в дороге
hamma bilmoq|всё знать
binafsha gul|цветок фиалки
katta bino|большое здание
binokor ishchi|строитель рабочий
bir kun|один день
biram yaxshi|такой хороший
birdan kelmoq|вдруг прийти
birga ishlamoq|работать вместе
birinchi o'rin|первое место
birinchilik uchun|за первенство
birlashmoq davlatlar|объединяться государства
xalq birlik|народное единство
biroq haqiqat|но правда
birov kelgan|кто-то пришел
birpas kutmoq|немного подождать
bitta olma|один яблоко
biz ishlaymiz|мы работаем
bobo otasi|дедушка отец
bodom daraxti|дерево миндаля
bodring kesmoq|резать огурец
asal shirin|сладкий мед
bola o'ynayapti|ребенок играет
bolalik yillari|годы детства
kichik bolakay|маленький мальчик
bolta ishlatmoq|использовать топор
bolg'a urmoq|бить молотком
uy bor|дом есть
bozorga bormoq|идти на базар
bosmaxona ishlamoq|работать в типографии
tugmani bosmoq|нажать кнопку
boy odam|богатый человек
boya kelgan|немного раньше пришел
katta boylik|большое богатство
boychechak gullar|цветы подснежника
bozor ochildi|рынок открылся
bog' gullari|цветы сада
bog'bon ishlamoq|работать садовником
bog'lamoq arqonni|связывать веревку
bog'cha bolalari|дети детского сада
bosh og'rig'i|боль в голове
ishni boshlamoq|начинать работу
boshlang'ich maktab|начальная школа
boshliq kelgan|начальник пришел
boshqa odam|другой человек
boshqatdan boshlamoq|снова начинать
qiyin boshqotirma|трудная головоломка
bu kitob|эта книга
bugun kun|сегодня день
bugungi dars|сегодняшний урок
qog'ozni bukmoq|сгибать бумагу
bulbul kuylamoq|петь соловей
buloq suvi|вода из родника
bulut ustida | над облаком
bulutli kun|облачный день
mashinani buramoq|крутить руль
burgut parvozi|полет орла
katta burun|большой нос
burchini bajarmoq|исполнять долг
uy burchagi|угол дома
butun dunyo|весь мир
butunlay yangi|совсем новый
mehribon buva|добрый дедушка
aqlli buvi|умная бабушка
buyuk odam|великий человек
buyrak kasali|болезнь почек
buyum yig'moq|собирать вещи
devorni buzmoq|ломать стену
buzaq boqmoq|кормить теленка
bug'doy pishmoq|созревать пшеница
bug' chiqmoq|выходить пар
kuchli bug'u|сильный олень
bo'lak non|кусок хлеба
ishni bo'lmoq|разделять работу
bo'pti, kelaman|ладно, приду
oq bo'r|белый мел
bo'ri ovi|охота на волка
devorni bo'yamoq|красить стену
uzun bo'yin|длинная шея
bo'yoq ishlatmoq|использовать краску
yangi bo'yoqchi|новый маляр
qoidaga bo'ysunmoq|подчиняться правилу
bo'taloq boqmoq|кормить верблюжонка
qo'l bo'g'imi|сустав руки
bo'g'iq ovoz|хриплый голос
og'riqli bo'g'iz|больное горло
ishni bo'g'moq|душить работу
bo'sh xona|пустая комната
ishdan bo'shamoq|освобождаться от работы
mehribon dada|любящий отец
katta daftar|большая тетрадь
katta dahliz|большая прихожая
dahshatli voqea|ужасное событие
keng dala|широкое поле
dam olish|отдых
dam olish|отдыхать
dangasa odam|ленивый человек
yashil daraxt|зелёное дерево
og'ir dard|тяжёлая болезнь
darrov kelmoq|быстро прийти
qiziqarli dars|интересный урок
yangi darslik|новый учебник
katta darsxona|большая аудитория
katta darvoza|большие ворота
chuqur daryo|глубокая река
qulay dastak|удобная рукоятка
oq dastro'mol|белый носовой платок
katta dasturxon|большая скатерть
yaxshi dastyor|хороший помощник
boy davlat|богатое государство
bemorni davolamoq|лечить больного
ishni davom ettirmoq|продолжать работу
uzoq davr|долгий период
aylanma davra|круглый круг
kiyimni dazmollamoq|гладить одежду
mehnatkash dehqon|трудолюбивый крестьянин
haqiqatni demoq|говорить правду
katta deraza|большое окно
baland devor|высокая стена
doim bor|всегда есть
sariq don|желтое зерно
bir dona|одна штука
dorini ichmoq|принимать лекарство
jasur dovyurak|смелый храбрец
tilsiz duduq|немой заика
tez duduqlanmoq|быстро заикаться
yaxshi dugona|хорошая подруга
uzun dum|длинный хвост
tez dumalamoq|быстро кувыркаться
dumaloq shar|круглый шар
katta dunyo|большой мир
yaxshi duo|доброе благословение
mahoratli duradgor|умелый столяр
aniq durbin|точный бинокль
klassik dutor|классический дутар
yumshoq duxoba|мягкий бархат
dushanba kuni|день понедельника
yomon dushman|злой враг
tasodifan duch kelmoq|случайно повстречаться
do'kon sotib olish|покупать в магазине
katta do'l|большой град
rangli do'ppi|цветная тюбетейка
katta do'q|серьёзная угроза
sodiq do'st|верный друг
chin do'stlik|настоящая дружба
mulkdor ega|владелец собственности
tez egmoq|быстро наклонять
qattiq egov|жесткий напильник
metallni egovlamoq|опиливать металл
egri yo'l|кривая дорога
ehtimol bor|возможно есть
katta ehtiyot|большая осторожность
ehtiyot qilmoq|оберегать
ekin ekmoq|сеять посев
ishtonni ekmoq|шить штаны
temir elak|металлическое сито
elamoq urug'|сеять зерно
elektrchi o'quv|учеба электрика
ellik yoshi|пятьдесят лет
tez emaklamoq|быстро ползти
emlanish kuni|день прививки
keng en|широкая ширина
eng yaxshi|самый лучший
katta engak|большой подбородок
tez engashmoq|быстро наклоняться
endi bor|теперь есть
keng enli|широкий
tor ensiz|узкий
ishni eplamoq|справляться с работой
epchil bola|ловкий мальчик
ketidan ergashmoq|следовать за
tez erimoq|быстро таять
dangasa erinmoq|лениться
dangasa erinchoq|ленивый
sevimli erka|любимый
erkak kishi|мужчина
mehribon erkalamoq|ласкать
erkin bozor|свободный рынок
erta tong|рано утром
ertaga kelmoq|прийти завтра
ertagi tong|ранний рассвет
ertak aytmoq|рассказывать сказку
ertalab uyg'onmoq|просыпаться утром
ertalabki nonushta|утренний завтрак
es bor|есть ум
esankiramoq hayron|растеряться от удивления
esdalik sovg'a|памятный подарок
eski uy|старый дом
eskirmoq kiyim|изнашиваться одежда
eslamoq do'st|вспоминать друга
esli bola|умный ребенок
esmoq shamol|веет ветер
esnamoq kechasi|зевать ночью
esnoq paydo bo'lmoq|появляется зевота
etak tozalamoq|очищать подол
etik kiyish|надевать сапоги
ezma gap|надоедливая болтовня
ezmalanmoq suhbat|надоедливо болтать в разговоре
eshak haydash|гнать осла
eshik ochmoq|открывать дверь
eshitmoq yangilik|слушать новости
eshittirish boshlanadi|начинается передача
echkemar hayvon|варан животное
echki sut|козье молоко
e'lon qilish|делать объявление
e'tiroz bildirish|выражать несогласие
fahmni yo'qotmoq|терять рассудок
fahmli bola|понятливый ребенок
fahmsiz savol|бестолковый вопрос
fan o'rganish|изучение дисциплины
faqat mana|только так
farosatni namoyish etmoq|проявить находчивость
farosatli odam|сообразительный человек
farosatsiz ish|недогадливое дело
farq qilish|отличаться
farqlamoq ranglar|различать цвета
farrosh ishlash|работать уборщицей
farzand tug'ilish|рождение ребенка
fasl o'zgarish|смена времени года
favvora suv|фонтан вода
fe'l yomon|плохой характер
fikr bildirish|выражать мнение
fikrlamoq jim|размышлять тихо
fil kattalik|размер слона
filcha o'yin|игра слонёнка
firibgar odam|мошенник человек
foyda ko'rish|получать выгоду
foydalanmoq imkoniyat|пользоваться возможностью
foydali maslahat|полезный совет
foydasiz harakat|бесполезное действие
fursat topish|найти время
futbolchi gol|гол футболиста
gal keldi|пришла очередь
gap boshlamoq|начать разговор
gapirmoq so'zlarni|говорить слова
gaplashmoq telefonda|разговаривать по телефону
garang odam|глухой человек
garmdori pishib|красный перец созрел
gazli ichimlik|газированный напиток
gazmol mato|ткань материал
gilam tozalash|чистить ковёр
gilos pishgan|черешня созрела
goh keladi|иногда приходит
gugurt chaqmoq|зажигать спичку
gul ochildi|цветок распустился
gulbog' o'sdi|сад-цветник вырос
guldasta sovg'a|букет цветов подарок
guldon to'ldirish|наполнять вазу для цветов
gullamoq daraxt|цвести дерево
gulxan yoqish|разжигать костёр
gulzor bezamoq|украшать цветник
gulchambar taqmoq|надевать венок
gumon qilish|подозревать
gunohkor odam|виновник человек
gunohsiz bola|безгрешный ребенок
gung odam|немой человек
guruh yig'ilish|собрание группы
guvoh ko'rgan|очевидец видел
guvohnoma ko'rsatmoq|показывать удостоверение
go'dak yig'layapti|младенец плачет
go'zal manzara|прекрасный вид
go'zallik musobaqasi|конкурс красоты
go'sht qovurmoq|жарить мясо
go'shtli ovqat|мясное блюдо
go'shtsiz taom|блюдо без мяса
ha, yaxshi|да, хорошо
hafta kunlari|дни недели
hakka uchmoq|летать сорока
hali keladi|ещё придёт
halloslamoq yugurish|запыхаться от бега
halok bo'lmoq jangda|гибнуть в бою
halqa taqmoq|надевать кольцо
ham bo'ldi|тоже было
hamisha keladi|всегда приходит
hamma keladi|все приходят
hammom kirish|вход в баню
hamroh bo'lish|быть спутником
hamshira yordam|помощь медсестры
hansiramoq tez|тяжело дышать быстро
haqida gapirmoq|говорить о чём-то
haqiqiy do'st|истинный друг
haqorat qilmang|не оскорбляйте
haqoratlamoq ustozni|оскорблять учителя
haqorat qilmoq qadrni|оскорблять достоинство
har bir|каждый
har kuni yugurish|ежедневный бег
harakat qilmoq|стараться
harakatlanmoq boshlandi|движение началось
harakatchan odam|энергичный человек
harorat yuqori|высокая температура
harorat his qilmoq|чувствовать жар
harsillamoq yugurish|тяжело дышать от бега
harf yozmoq|писать букву
hassa bilan|с палкой
hatto uyda|даже дома
havas qildim|я желал
havaskor baliqchi|любитель рыбалки
havas qilmoq|желать
havo toza|чистый воздух
haydamoq mashina|управлять машиной
haydovchi kelgan|водитель приехал
hayot chiroyli|жизнь прекрасна
hayqirmoq yordam|кричать о помощи
hayron nigoh|удивлённый взгляд
hayron bo'lmoq|удивляться
hayvon uyquda|животное спит
hayvonot bog'i|зоопарк
hazil gap|шутка
hazilkash odam|шутник
hazillashmoq do'st bilan|шутить с другом
hasharot uchmoqda|летает насекомое
hech kim yo'q|никого нет
hech narsa qilmayman|ничего не делаю
hech qachon unutmang|никогда не забывайте
hid yo'q|нет запаха
hidlamoq gul|нюхать цветок
hidlanmoq baliq|рыба протухла
hidli gul|ароматный цветок
hikoya o'qimoq|читать рассказ
hilpiramoq bayroq|развеваться флаг
himoya qilmoq o'zini|защищать себя
hingillamoq bola|хихикать ребенок
hisoblamoq pul|считать деньги
holat yaxshi|хорошее состояние
holsiz odam|обессиленный человек
hosil yig'moq|собирать урожай
hovli tozalash|чистить двор
hovoncha bilan ezmoq|измельчать в ступке
hovuz suv|вода в пруду
hovuch suv|горсть воды
hozir keladi|сейчас придёт
hozirgi zamon|современное время
hudud keng|обширная территория
hunar o'rganish|учить ремесло
hurmat ko'rsatmoq|проявлять уважение
hurmatlamoq odamlarni|уважать людей
hurmatli inson|почтенный человек
hurmat qilmoq kattalarni|уважать старших
husn chiroyli|красивая красота
hushtak chalmoq|свистеть
ho'l mato|влажная ткань
ho'llamoq qo'l|мочить руку
ho'plamoq suv|глотать воду
ho'ngramoq bola|рыдать ребенок
idish yuvmoq|мыть посуду
iflos kiyim|грязная одежда
ifoda yuz|выражение лица
iflos qilmoq|загрязнять
ifodalamoq his|выражать чувство
ifodali nutq|выразительная речь
igna bilan|с иглой
ikkala qo'l|две руки
ikki kishi|двое людей
ikkilanmoq qaror|колебаться в решении
ildiz o'simlik|корень растения
ilgak osmoq|повесить на крючок
ilgari bo'lgan|раньше было
ilgarilamoq ishda|продвигаться на работе
ilimoq suv|нагревать воду
iliq havo|тёплый воздух
ilm fani|наука знания
ilmoq kiyim|зацеплять одежду
ilon chaqishi|укус змеи
iltimos qilmoq|просить
imlamoq ishora|манить знаком
imlo o'rganish|изучать орфографию
imo bilan|знаком
imorat katta|большое здание
in yasamoq|строить гнездо
indinga keladi|придёт послезавтра
ingichka ip|тонкая нить
ingramoq og'riq|стонать от боли
injiq bola|капризный ребенок
inoqlashmoq do'st|подружиться с другом
inson yaxshi|человек хороший
intizom qoidalari|правила дисциплины
intizomli talaba|дисциплинированный студент
intizomsiz ish|недисциплинированная работа
ip uzun|длинная нить
ipak kiyim|шёлковая одежда
ipak qurt o'sadi|растёт кокон шелкопряда
isimoq xona|нагревать комнату
isitma baland|высокая температура
isitmalamoq bola|температурить ребенок
ism yozmoq|писать имя
issiq suv|горячая вода
issiqxona qurish|строить теплицу
istak bor|есть желание
istamoq kitob|хотеть книгу
istiqlol kunlari|дни независимости
isqirt bola|неряха ребенок
it yugurmoq|бежать собака
itarmoq eshik|толкать дверь
ivimoq poyabzal|намокать обувь
ixlos yaxshi|преданность хорошая
ixtiyor kuchli|сильная воля
ixcham joy|миниатюрное место
iyak chiroyli|красивый подбородок
iqlim o'zgarish|изменение климата
iz qoldirmoq|оставлять след
izlamoq uy|искать дом
ig'vo tarqatmoq|провоцировать
ig'vogar odam|провокатор человек
ish boshlandi|работа началась
ishbilarmon odam|деловой человек
ishlamoq ko'p|много работать
ishonmoq do'st|доверять другу
ishonch bor|есть доверие
ishonchli odam|надёжный человек
ishqalamoq qo'l|тереть руку
ishtaha yaxshi|хороший аппетит
ishyoqmas odam|лентяй человек
ishchi keladi|рабочий приходит
ich ovqat|внутренность пищи
ichak og'riq|боль в кишке
ichida qidirish|искать внутри
ichimlik suv|питьевая вода
ichkari kirish|вход внутрь
ichki kiyim|внутренняя одежда
ichmoq suv|пить воду
jadval tayyorlash|составлять расписание
jahl chiqdi|злоба появилась
jahldor odam|злой человек
jahli chiqmoq|сердиться
jahon bo'ylab|по всему миру
jajji bola|маленький ребенок
jala yog'di|ливень прошел
jam bo'lmoq|собираться
jamlamoq kitoblar|собирать книги
janjal boshlamoq|начинать ссору
janjallashmoq do'st|ссориться с другом
janjalchi odam|спорщик человек
janub tomon|южная сторона
janubiy havo|южный воздух
jar chuqur|глубокий овраг
jaranglamoq qo'ng'iroq|звенеть звонок
jarima to'lash|платить штраф
javdiramoq ko'z|блестеть глаз
javob kutmoq|ждать ответ
javob bermoq o'qituvchi|отвечать учителю
jazo berish|давать наказание
jazolamoq bola|наказывать ребенка
jag' og'riq|боль в челюсти
jigar kasallik|болезнь печени
jilmaymoq bola|улыбаться ребенку
jilg'a oqmoq|течет ручей
jimjit xona|совершенно тихая комната
jimlik yoqimli|приятная тишина
jingalak soch|кудрявые волосы
jindek vaqt|немножко времени
jinni odam|сумасшедший человек
jismoniy mashqlar|физические упражнения
jiyan keldi|приехал племянник
jon bor|есть душа
jonajon yurtdosh|родной соотечественник
jonivor hayvon|живое существо животное
josus ma'lumot|информация шпиона
jovdiramoq ko'zlar|блестят глаза
joy bor|есть место
joylamoq kitob|помещать книгу
juda yaxshi|очень хорошо
juma kuni|день пятницы
jun gilam|шерстяной ковёр
juft juftlik|пара
jo'ja tug'ildi|цыплёнок родился
jo'mrak ochmoq|открывать кран
jo'namoq safar|отправляться в путешествие
jo'natmoq xat|отправлять письмо
jo'xori pishmoq|готовится кукуруза
kabi yaxshi|подобно хорошему
kaft ochmoq|развернуть ладонь
kalamush yugurmoq|бежать крыса
kalit topmoq|находить ключ
kalish kiyish|надевать калоши
kalta ko'ylak|короткое платье
kaltak urmoq|бить палкой
kaltaklamoq odam|колотить человека
kalxat uchmoq|летать коршун
kam pul|мало денег
kamaymoq suv|уменьшаться вода
kamar kiyish|надевать пояс
kambag'al odam|бедный человек
kamon o'qlamoq|натягивать лук
kampir kelgan|пришла старушка
kapalak uchmoq|летать бабочка
kapgir ishlatmoq|использовать шумовку
kaptar uchib ketdi|улетел голубь
kar odam|глухой человек
karam kesmoq|резать капусту
karra marta|раз
kasal odam|больной человек
kasal bo'lmoq|заболевать
kasallanmoq qish|болеть зимой
kasallik xavfli|опасная болезнь
kasalxona katta|большая больница
kasb tanlash|выбирать профессию
katak ichida|в клетке
katta uy|большой дом
kavlamoq yer|копать землю
kavshamoq non|жевать хлеб
kashta tikmoq|вышивать
kekkaymoq bosh|гордиться головой
keksa odam|пожилой человек
kelajak yorqin|яркое будущее
kelin keldi|пришла невеста
kelishmovchilik kuchli|сильное разногласие
kelmoq do'st|приходить друг
keltirmoq kitob|приносить книгу
kema katta|большой корабль
kenja o'g'il|младший сын
kerak emas|не нужно
kerakli narsa|нужная вещь
keraksiz qog'oz|ненужная бумага
kesak qo'lda|комок в руке
kesmoq tort|резать торт
ketma-ket kelish|приходить один за другим
ketmoq uyga|уходить домой
keyinroq keladi|потом придёт
keyingi safar|в следующий раз
kech keldi|поздно пришёл
kecha yig'ilish|вчера собрание
kechagi yangilik|вчерашние новости
kechasi yotish|ложиться ночью
kezak yerda|комок на земле
kechikmoq ish|опаздывать на работу
kechirmoq xato|прощать ошибку
kechki dastur|вечерняя программа
kechki ovqat|ужин
kechqurun uyda|вечером дома
keng ko'cha|широкая улица
kengaymoq doira|расширяться круг
kim keladi|кто придёт
kimdir eshikda|кто-то у двери
kiprik uzun|длинная ресница
kir kiyim|грязная одежда
kirmoq xona|входить в комнату
kitob o'qimoq|читать книгу
kiyik yugurmoq|бежать олень
kiyim tanlash|выбирать одежду
kiymoq poyabzal|надевать обувь
kishi keladi|человек приходит
kichik uy|маленький дом
kon qazimoq|добывать руду
koptok o'ynash|играть в мяч
korxona katta|большое предприятие
kosa to'ldirish|наполнять чашу
kovak topmoq|находить дупло
kovlamoq yer|копать землю
kul tozalash|чистить золу
kulgi yoqimli|приятный смех
kulgili hikoya|смешной рассказ
kulmoq hazil|смеяться над шуткой
kulrang kiyim|серая одежда
kumush uzuk|серебряное кольцо
kun o'tdi|день прошел
kungaboqar gullar|цветы подсолнечника
kunda ishlamoq|работать ежедневно
kunduz vaqti|дневное время
kunduzgi faoliyat|дневная деятельность
kurash maydoni|борьба арена
kurashmoq raqib bilan|бороться с соперником
kurashchi kuchli|сильный борец
kurka ovozi|звук индюка
kurtak o'sadi|растёт почка
kutmoq mehmon|ждать гостя
kutib olmoq do'st|встречать друга
kutubxona kitoblari|книги библиотеки
kuymoq non|сгорел хлеб
kuz kelishi|приход осени
kuzatmoq safar|провожать в путешествие
kuzgi kiyim|осенняя одежда
kuch katta|большая сила
kuchanmoq yuk|натуживаться с грузом
kuchaymoq tovush|усиливаться звук
kuchli odam|сильный человек
kuchsiz bola|слабый ребенок
kuchuk yugurmoqda|бежит собака
ko'k osmon|синее небо
ko'karmoq o'simlik|зеленеть растение
ko'kat yig'ish|собирать зелень
ko'klam keldi|пришла весна
ko'krak og'rig'i|боль в груди
ko'l manzarasi|вид на озеро
ko'mir qazish|добывать уголь
ko'mmoq xazina|закапывать сокровище
ko'nmoq taklif|соглашаться с предложением
ko'p odamlar|много людей
ko'paymoq son|увеличиваться число
ko'pik paydo bo'ldi|появилась пена
ko'pirmoq daryo|пенится река
ko'prik ustida|на мосту
ko'pchilik yig'ildi|собралось большинство
ko'r odam|слепой человек
ko'rgazma o'tkazish|проводить выставку
ko'rinish yaxshi|хороший вид
ko'rinmoq uzoqdan|виднеться издалека
ko'rmoq go'zallik|видеть красоту
ko'rsatkich baland|высокий показатель
ko'rsatmoq qo'l|показывать рукой
ko'tarmoq yuk|поднимать груз
ko'ylak kiyish|надевать платье
ko'z ko'r|глаз видит
ko'zgu qaramoq|смотреть в зеркало
ko'zoynak taqmoq|надевать очки
ko'cha tozalash|чистить улицу
ko'chat ekish|сажать саженцы
ko'chmoq uyga|переезжать в дом
ko'ngil ochish|открывать душу
ko'ngilchan odam|добродушный человек
lab shirin|сладкие губы
lab qirg'oqlari|берега реки
lagan katta|большое блюдо
lapashang odam|разиня человек
laqab berish|давать прозвище
laqma bola|простак ребенок
latta yuvmoq|стирать тряпку
lavlagi qaynatmoq|варить свеклу
laylak kelgan|прилетел аист
lekin yaxshi|но хорошо
likopda ovqat|еда на тарелке
lola ochildi|тюльпан распустился
lolaqizg'aldoq guli|цветок полевого мака
loy yo'l|грязная дорога
loyiq odam|достойный человек
loyqa suv|мутная вода
lochin uchmoqda|летит сокол
lug'at ochish|открывать словарь
lo'ppi yuz|пухлое лицо
madhiya kuylash|петь гимн
mahmadona aytmoq|говорить всезнайка
mahsulot sotish|продавать продукцию
majlis o'tkazish|проводить собрание
makkajo'xori yeyish|есть кукурузу
maktab binosi|здание школы
mamnun bo'lish|быть довольным
mana kitob|вот книга
manzara chiroyli|красивый вид
manzil yozmoq|писать адрес
maqol o'qish|читать пословицу
maqsad qo'ymoq|ставить цель
maqtamoq bola|хвалить ребенка
maqtanmoq yutuq|хвастаться достижением
maqtanchoq odam|хвастун человек
markaziy joy|центральное место
bir marta|один раз
masalan aytmoq|сказать например
masofa uzoq|большое расстояние
masxara kulgi|насмешка смех
masxaraboz kiyimi|клоун костюм
masxara qilmoq odamlar ustidan|насмехаться над людьми
mayda meva|мелкий фрукт
maydalamoq yong'oq|дробить орехи
maydon katta|большая площадь
maydoncha o'ynash|играть на площадке
mayin ovoz|нежный голос
mayiz yeyish|есть изюм
mayli, kel|ладно, приходи
maymun daraxtda|обезьяна на дереве
maysa o'smoqda|растет молодая трава
maza yaxshi|приятный вкус
mazali taom|вкусная еда
maza qilmoq hayot|наслаждаться жизнью
mashhur yozuvchi|знаменитый писатель
ma'lum bo'lish|стать известным
ma'no tushunmoq|понимать значение
mehmon kelmoqda|гость приходит
mehmon qilmoq|угощать гостя
mehmonxona toza|чистая гостиная
mehnat natijasi|результат труда
mehnat qilmoq shijoat bilan|трудиться с энтузиазмом
men kitob o'qiyman|я читаю книгу
meros qolmoq|остаться наследие
merosxo'r yigit|наследник юноша
meva bog'i|фруктовый сад
mevali daraxt|плодовое дерево
millat birligi|единство нации
milliy kiyim|национальная одежда
miltiq otmoq|стрелять из винтовки
misol keltirmoq|приводить пример
mitti bola|очень маленький ребенок
mix qoqmoq|забивать гвоздь
miya faoliyati|работа мозга
ming odam|тысяча людей
ming'irlamoq bola|ворчать ребенок
mol boqmoq|пасти скот
momaqaldiroq boshlanmoqda|начинается гроза
motam kuni|день траура
moy surmoq|наносить мазь
mozor ziyorati|посещение кладбища
muallim darsi|урок учителя
muddat tugadi|срок закончился
mudramoq kechqurun|дремать вечером
muhr qo'ymoq|ставить печать
mukofot olish|получать награду
mukofotlamoq bolani|награждать ребенка
mumkin, kel|возможно, приходи
muqova chiroyli|красивая обложка
muqovalamoq kitob|переплетать книгу
musobaqa boshlanmoqda|начинается соревнование
musobaqalashmoq sportda|соревноваться в спорте
mustaqil ishlash|работать самостоятельно
mustaqillik kuni|день независимости
muz erimoq|лед тает
muzlamoq suv|замерзает вода
muzqaymoq yemoq|есть мороженое
mug'ambir odam|хитрый человек
musht ko'tarmoq|поднимать кулак
mushtlamoq yuz|бить по лицу
mushtum qo'l|кулак руки
mushuk uyda|кошка дома
mo'l hosil|обильный урожай
mo'ralamoq eshikdan|подсматривать из-за двери
mo'ylov uzun|длинные усы
nabira kelmoqda|внук приходит
nafaqa olish|получать пенсию
nafaqaxo'r odam|пенсионер человек
nafas olish|дышать
nafasolmoq tez|быстро дышать
nafs kuchli|сильное желание
nam yer|влажная земля
namlamoq gul|увлажнять цветок
naqarot kuylash|петь припев
naqd pul|наличные деньги
nari bor|идти дальше
narsa yig'moq|собирать вещи
narvon chiqish|подниматься по лестнице
narx oshdi|цены повысились
navbat kutish|ждать очереди
navbatchi o'quvchi|дежурный ученик
navbatchilik vaqti|время дежурства
navro'z bayrami|праздник Навруз
nay chalmoq|играть на флейте
nayza otmoq|бросать копьё
na'matak qidirish|искать шиповник
nega kelmading?|почему не пришёл?
