|word|part_of_speech|lemma
4465|äußerer|Adjective|äußerer
4473|Wechselbar|Adjective|wechselbar
4506|bleib|Verb|bleiben
4516|Begebe|Verb|begeben
4536|hockn|Verb|hocken
4542|Egoallergie|Noun|die Egoallergie
4638|ohh|Interjection|oh
4653|Zeigen|Verb|zeigen
4657|umarmn|Verb|umarmen
4669|deine|Pronoun|dein
4672|gehn|Verb|gehen
4692|ausSieht|Verb|aussehen
4748|verlorn|Verb|verlieren
4755|ausSiehen|Verb|aussehen
4808|Früchte|Noun|die Frucht
4821|Nehm|Verb|nehmen
4829|Ess|Noun|das Essen
4840|lösch|Verb|löschen
4844|Welches|Pronoun|welches
4851|mitkomm|Verb|mitkommen
4879|Entscheidungsschwierigkeit|Noun|die Entscheidungsschwierigkeit
4885|Her|Noun|das Herz
4890|möchten|Verb|möchten
4902|Flieg|Verb|fliegen
4909|Gabi|Noun (Proper)|Gabi
4910|Gitte|Noun (Proper)|Gitte
4911|Gudrun|Noun (Proper)|Gudrun
4913|mitnehmn|Verb|mitnehmen
4921|Spazieren|Verb|spazieren
4925|Küss|Verb|küssen
4944|Netflix-Serie|Noun|die Netflix-Serie
4945|reinzieh|Verb|reinziehen
5001|Könnt|Verb|können
5033|verlier|Verb|verlieren
5110|Einfach|Adverb|einfach
5147|seim|Pronoun|sein
5155|ACAB|Noun (Proper)|ACAB
5163|Playsi|Noun (Proper)|Playsi
5166|fehln|Verb|fehlen
5193|Easy|Adjective|easy
5194|Gewinnen|Verb|gewinnen
5198|verliern|Verb|verlieren
5215|Dümmste|Adjective|dümmste
5229|Jeff|Noun (Proper)|Jeff
5230|Bezos|Noun (Proper)|Bezos
5259|Kapitalistisch|Adjective|kapitalistisch
5268|keinr|Pronoun|keiner
5279|Peut-être|Adverb|peut-être
5280|en|Article|en
5281|allemand|Noun|allemand
5287|Orelsan|Noun (Proper)|Orelsan
5300|Gewinnt|Verb|gewinnen
5324|Triffst|Verb|treffen
5330|Sagt|Verb|sagen
5335|keiner|Pronoun|keiner
5356|seIn|Verb|sein
5359|weils|Conjunction|weil
5428|Sodass|Conjunction|so dass
5438|Gleichgesinnten|Noun|der Gleichgesinnte
5458|Gibts|Verb|geben
5489|Wär|Verb|sein
5493|hätt|Verb|haben
5495|nen|Article|einen
5503|Makelloser|Adjective|makellos
5518|ers|Pronoun|er
5552|spieln|Verb|spielen
5586|Kritzelt|Verb|kritzeln
5594|Irgendwer|Pronoun|irgendwer
5596|Ehrenmedaille|Noun|die Ehrenmedaille
5600|Teilnehmerurkunde|Noun|die Teilnehmerurkunde
5608|Kriegt|Verb|kriegen
5645|unkapierbar|Adjective|unkapierbar
5653|untherapierbar|Adjective|untherapierbar
5661|Geb|Verb|geben
5671|Ahh|Interjection|Ah
5672|yea|Interjection|yea
5673|Kreislabor|Noun|das Kreislabor
5674|Ladies|Noun|die Lady
5675|and|Conjunction|and
5677|Wittert|Verb|wittern
5735|gefangener|Adjective|gefangen
5739|verwandte|Adjective|verwandt
5753|entdeckend|Verb|entdecken
5755|Versteckt|Adjective|versteckt
5763|weckend|Verb|wecken
5784|Innen|Noun|die Innen
5786|Yeah|Interjection|Yeah
5825|irgendeiner|Pronoun|irgendeiner
5856|ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZ|Noun (Proper)|Alphabet
5910|moonwalken|Verb|moonwalken
5915|rückwarts|Adverb|rückwärts
5920|mitSpielst|Verb|mitspielen
5939|wirst|Verb|werden
5975|Kommt|Verb|kommen
5977|beschreib|Verb|beschreiben
5996|ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZZZZZZZ|Noun (Proper)|Alphabet
6001|zusammenWeißt|Verb|zusammenweisen
6029|Geben|Verb|geben
6031|Nehmen|Verb|nehmen
6041|Haen|Verb|haen
6047|Mh|Interjektion|mh
6048|mh|Interjektion|mh
6056|Grüße|Das Substantiv|der Gruß
6059|beigefügt|Verb|beifügen
6086|meinn|Adjektiv|mein
6099|Spiderman-Dress|Das Substantiv|der Spiderman-Dress
6110|guck|Verb|gucken
6120|Mic|Das Substantiv|der Mikrofon
6124|Dat|Das Substantiv|das Datum
6128|Fisten|Verb|fisten
6135|schüttlen|Verb|schütteln
6139|abkrieg|Verb|abkriegen
6156|losBind|Verb|losbinden
6158|schonmal|Adverb|schon mal
6174|War|Verb|sein
6225|ooh|Interjektion|ooh
6227|Glaub|Verb|glauben
6248|Verlieb|Verb|verlieben
6255|wärs|Verb|wäre es
6259|such|Verb|suchen
6264|verzieh|Verb|verziehen
6268|Sofort|Adverb|sofort
6269|pack|Verb|packen
6276|mussn|Verb|müssen
6291|umdrehn|Verb|umdrehen
6302|Shneezin|Das Substantiv|der Shneezin
6308|hau|Verb|hauen
6311|weck|Verb|wecken
6353|nich|Adverb|nicht
6359|zeig|Verb|zeigen
6363|Kartentrick|Das Substantiv|der Kartentrick
6374|schwör|Verb|schwören
6442|Nimmt|Verb|nehmen
6449|rissen|Verb|reißen
6452|mussen|Verb|müssen
6460|Kriegn|Verb|kriegen
6512|Nimm|Verb|nehmen
6626|Glaubst|Verb|glauben
6642|mеhr|Adverb|mehr
6645|leg|Verb|legen
6648|niеder|Adverb|nieder
6656|kehr|Verb|kehren
6659|komm|Verb|kommen
6670|schuldest|Verb|schulden
6687|unsern|Pronomen|unseren
6692|mmh|Interjektion|mmh
6723|solltest|Verb|sollen
6728|Schwörn|Verb|schwören
6738|niederlegn|Verb|niederlegen
6752|wiederkomm|Verb|wiederkommen
6824|schuldeen|Verb|schulden
6898|verbring|Verb|verbringen
6973|allеin|Adjektiv|allein
6980|Immеr|Adverb|immer
7007|Mich|Pronomen|mich
7011|Wanken|Verb|wanken
7014|aufgeh|Verb|aufheben
7076|wirds|Verb|werden
7158|Allein|Adverb|allein
7166|vorübergehn|Verb|vorübergehen
7212|Siehst|Verb|sehen
7235|Lass|Verb|lassen
7241|nachDenk|Verb|nachdenken
7283|Fällt|Verb|fallen
7298|Welln|Verb|wellen
7388|schreisen|Verb|schreien
7528|Bifi|Das Substantiv|der Bifi
7532|Huch|Interjektion|huch
7534|teur|Adjektiv|teuer
7535|Koberind|Das Substantiv|das Koberind
7568|Lieber|Adjektiv|lieb
7585|aufgeweicht|Adjektiv|aufgeweicht
7587|Hörst|Verb|hören
7614|Ölfabrik|Das Substantiv|die Ölfabrik
7622|Töte|Verb|töten
7639|geröstet|Adjektiv|geröstet
7664|Drunter|Adverb|darunter
7715|Mediamarkt|Das Substantiv|der Mediamarkt
7731|Beachhotel|Das Substantiv|das Beachhotel
7732|geh|Verb|gehen
7738|unsrer|Pronomen|unser
7757|Einheimischen|Das Substantiv|der Einheimische
7773|andre|Adjektiv|anderer
7777|Langsam|Adjektiv|langsam
7778|brauch|Verb|brauchen
7789|Dringend|Adjektiv|dringend
7857|La-lass|Verb|lassen
7862|lie-lie-lie-liegen|Verb|liegen
7868|Boom-Boom-Boomerang|Das Substantiv|der Boomerang
7875|vergess|Verb|vergessen
7895|gefang|Verb|fangen
7915|Boom-Boom-Boomerangg|Das Substantiv|der Boomerang
7929|Boomerang|Das Substantiv|der Boomerang
7940|Wouh|Interjektion|wau
7997|Blaues|Adjektiv|blau
8007|Deutschlandpfeil|Das Substantiv|der Deutschlandpfeil
8008|Uns|Pronomen|wir
8009|gehts|Verb|gehen es
8022|Afterwork-Austern|Die Substantiv|die Afterwork-Auster
8023|Tze|Die Substantiv|die Tze
8024|Gigi|Die Substantiv|die Gigi
8025|DAgostino|Der Substantiv|der D'Agostino
8038|wussen|Verb|wissen
8044|Ah-ah|Interjektion|ah-ah
8047|Nah|Interjektion|nah
8048|rausGehts|Verb|rausgehen es
8058|Sugar|Der Substantiv|der Sugar
8060|unsr|Pronomen|unser
8073|Sei|Verb|sein
8082|no|Adverb|no
8102|Aha|Interjektion|aha
8124|probiern|Verb|probieren
8125|Fasch-is-mus|Der Substantiv|der Faschismus
8138|passiern|Verb|passieren
8149|Jedem|Pronomen|jeder
8177|Tss|Interjektion|tss
8182|Hush|Interjektion|hush
8183|hush|Interjektion|hush
8184|Honey|Das Substantiv|das Honey
8192|zerbrichn|Verb|zerbrechen
8206|aufHör|Verb|aufhören
8229|bestimm|Verb|bestimmen
8263|warn|Verb|warnen
8268|demonstriern|Verb|demonstrieren
8269|Wuff|Interjektion|wuff
8270|wuff|Interjektion|wuff
8272|Fünfhundertsechzig|Zahl|560
8276|Uhh|Interjektion|uhh
8279|Versehn|Verb|versehen
8295|verdrehn|Verb|verdrehen
8310|Sing|Verb|singen
8311|it|Pronomen|it (English)
8320|sollnen|Verb|sollen
8321|Gimme|Verb|give me (English)
8322|more|Adverb|more (English)
8337|Ja-ja|Interjektion|jaja
8342|Sehn|Verb|sehen
8380|wouh|Interjektion|woah
8386|Lets|Verb|let's (English)
8387|dance|Verb|tanzen
8396|Give|Verb|geben
8397|me|Pronomen|me (English)
8398|your|Pronomen|your (English)
8399|hand|Das Substantiv|die Hand
8406|Debattiern|Verb|debattieren
8420|arrangiern|Verb|arrangieren
8433|klingelst|Verb|klingeln
8457|Bitchdu|Die Substantiv|die Bitchdu
8487|werd|Verb|werden
8488|85|Zahl|85
8499|einwerf|Verb|einwerfen
8505|glеich|Adjektiv|gleich
8512|scheissе|Verb|scheißen
8517|Scheisse|Das Substantiv|die Scheiße
8519|Ohrenrauschen|Das Substantiv|das Ohrenrauschen
8527|würd|Verb|werden
8589|Erhythrozyt|Der Substantiv|der Erythrozyt
8590|Leukozyte|Die Substantiv|die Leukozyte
8592|Kotze-Tüte|Die Substantiv|die Kotztüte
8603|Eins-Komma-Neun-Tausend|Zahl|1,9 Tausend
8610|Neutrophil|Das Substantiv|das Neutrophil
8719|Vorbeieilenden|Die Substantiv|die Vorbeieilenden
8730|verborgnen|Adjektiv|verborgen
8733|lässt|Verb|lassen
8758|Naidoo|Der Substantiv|der Naidoo
8772|anziehn|Verb|anziehen
8815|Hättest|Verb|haben
8822|riech|Verb|riechen
8906|gestrittn|Verb|gestritten
8910|Heulkrampf|Der Substantiv|der Heulkrampf
8950|zetersn|Verb|zetern
8951|Merkt|Verb|merken
8970|Mon|Der Substantiv|der Mon
8971|Chérie|Die Substantiv|die Chérie
8992|wunderen|Verb|wundern
9013|Nachts|Adverb|nachts
9028|Superfähigkeit|Die Substantiv|die Superfähigkeit
9030|Gute-Nacht-zu-Mama-sagen-mini-Nüchternheit|Die Substantiv|die Gute-Nacht-zu-Mama-sagen-Mini-Nüchternheit
9061|andr|Adjektiv|andr-
9120|SMS-Kurznachricht|Die Substantiv|die SMS-Kurznachricht
9134|null|Pronomen|null
9158|Wellblechzaun|Der Substantiv|der Wellblechzaun
9172|gehaun|Verb|hauen
9182|Blum|Die Substantiv|die Blume
9222|schlechte|Adjektiv|schlecht
9226|engagiern|Verb|engagieren
9228|solln|Verb|sollen
9234|Parol|Die Substantiv|die Parole
9235|beschmiern|Verb|beschmieren
9304|Siehen|Verb|sehen
9322|ruhn|Verb|ruhen
9390|Sorry|Interjektion|sorry
9393|störn|Verb|stören
9401|sagteen|Verb|sagten
9405|up|Adverb|up (English)
9406|when|Adverb|wann (when)
9407|september|Der Substantiv|der September
9408|ends|Adverb|ends (English)
9417|verschlieren|Verb|verschlieren
9418|Müde|Adjektiv|müde
9419|lächelnd|Adjektiv|lächelnd
9424|2020|Numeral|2020
9427|Setz|Verb|setzen
9430|Billie|Substantiv|Billie
9464|der|Artikel|der
9483|Silvester|Substantiv|Silvester
9487|brennten|Verb|brennen
9488|Trump|Substantiv|Trump
9494|Iran-Krieg|Substantiv|Iran-Krieg
9495|anfing|Verb|anfangen
9499|Sidney|Substantiv|Sidney
9504|Flammen|Substantiv|die Flamme
9529|Schüsse|Substantiv|die Schüsse
9530|Achso|Interjektion|achso
9587|deutsche|Adjektiv|deutsch
9591|Lieblings-Virologe|Substantiv|der Lieblings-Virologe
9612|hol|Verb|holen
9618|dachteen|Verb|dachten
9620|wars|Verb|sein
9622|Kobe|Substantiv|Kobe
9626|magen|Substantiv|der Magen
9627|Fuck|Substantiv|Fuck
9639|dachten|Verb|denken
9661|TAZ|Substantiv|TAZ
9684|hättet|Verb|haben
9698|pennst|Verb|pennen
9705|When|Interjektion|when
9707|Ends|Verb|end
9794|angeguckt|Verb|angucken
9810|fleuchts|Verb|flüchten
9821|wärest|Verb|sein
9825|Wollte|Verb|wollen
9840|Machs|Verb|machen
9843|Denk|Verb|denken
9857|falln|Verb|fallen
9866|balleren|Verb|ballern
9874|musen|Verb|müssen
9907|akzeptiern|Verb|akzeptieren
9929|dressiern|Verb|dressieren
9946|sagn|Verb|sagen
9979|zurückschau|Verb|zurückschauen
9987|Wünschen|Verb|wünschen
9991|2015|Numeral|2015
9995|Oh-oh-oh|Interjektion|oh-oh-oh
10088|Bowlingkugel|Substantiv|die Bowlingkugel
10171|Eh-oh|Interjektion|eh-oh
10172|eh-oh|Interjektion|eh-oh
10173|Ah-ah-ahh|Interjektion|ah-ah-ahh
10180|Ah-ahh|Interjektion|ah-ahh
10283|Benz|Substantiv|Benz
10289|Uh-uh|Interjektion|uh-uh
10290|uh-uh-uh|Interjektion|uh-uh-uh
10311|Ah-ah-ah-ah-ah|Interjektion|ah-ah-ah-ah-ah
10383|verführn|Verb|verführen
10399|spaziern|Verb|spazieren
10400|La-la-la|Interjektion|la-la-la
10418|küsen|Verb|küssen
10426|weißt|Verb|wissen
10466|gestohlen|Adjektiv|gestohlen
10484|ah-ah-ah|Interjektion|ah-ah-ah
10501|hasben|Verb|haben
10505|Garantiert|Adjektiv|garantiert
10561|Cooles|Adjektiv|cool
10562|Outift|Substantiv|das Outfit
10574|Balenciaga|Substantiv|Balenciaga
10578|550|Numeral|550
10584|sechshundert|Numeral|sechshundert
10594|hättest|Verb|haben
10603|verkackt|Verb|verkacken
10616|Deichmann|Substantiv|Deichmann
10617|Victory|Substantiv|Victory
10619|Thrasher|Substantiv|Thrasher
10621|Fendi|Substantiv|Fendi
10622|FILA|Substantiv|FILA
10634|Gucci-Socke|Substantiv|die Gucci-Socke
10639|würdest|Verb|werden
10654|aussehn|Verb|aussehen
10655|Life|Substantiv|das Life
10687|Prada|Substantiv|Prada
10692|Supreme|Substantiv|Supreme
10705|Moncler|Substantiv|Moncler
10706|3700|Numeral|3700
10707|Gucci-Hemd|Substantiv|das Gucci-Hemd
10708|neunhundert|Numeral|neunhundert
10709|Ähm|Interjektion|ähm
10711|Vuitton|Substantiv|Vuitton
10712|Ankle|Substantiv|das Ankle
10713|Boots|Substantiv|die Boots
10714|1500|Numeral|1500
10729|Gucci|Substantiv|Gucci
10730|Dior|Substantiv|Dior
10732|PRADA|Substantiv|PRADA
10739|Gosha|Substantiv|Gosha
10740|Yeezy|Substantiv|Yeezy
10741|Vetements|Substantiv|Vetements
10764|Vetement|Substantiv|Vetement
10798|kommn|Verb|kommen
10807|Falscher|Adjektiv|falsch
10819|angesehn|Verb|ansehen
10825|Drei-K-Lederjacke|Substantiv|die Drei-K-Lederjacke
10848|resellen|Verb|resellen
10928|findn|Verb|finden
10937|feier|Verb|feiern
10939|tode|Substantiv|der Tod
10957|Tiefbraune|Adjektiv|tiefbraun
10996|gesehn|Verb|sehen
10998|frissen|Verb|fressen
11012|laute|Adjektiv|laut
11069|viele|Pronomen|viele
11081|euern|Pronomen|euer
11172|High|Adjektiv|high
11173|Class|Substantiv|die Class
11177|Middle|Substantiv|die Middle
11179|Überschlagene|Adjektiv|überschlagen
11197|ma|Pronomen|mein
11210|fahr|Verb|fahren
11216|Mecke|Substantiv|die Mecke
11223|runterkomm|Verb|runterkommen
11243|Vincent|Substantiv|Vincent
11244|van|Präposition|van
11245|Gogh|Substantiv|Gogh
11263|hör|Verb|hören
11269|Ja-ah|Interjektion|ja-ah
11270|ja-ah|Interjektion|ja-ah
11277|mitKomm|Verb|mitkommen
11295|Michelangelogen|Substantiv|Michelangelogen
11315|garkein|Adjektiv|gar kein
11327|Schwip|Substantiv|Schwip
11330|interpretier|Verb|interpretieren
11414|entfähren|Verb|entführen
11429|Dali|Substantiv|Dali
11430|Da|Partikel|da
11431|Vinci|Substantiv|Vinci
11439|haste|Verb|haben
11472|A4|Numeral|A4
11545|Cool|Adjektiv|cool
11554|Interpretationssache|Substantiv|die Interpretationssache
11577|aufstehn|Verb|aufstehen
11578|schaun|Verb|schauen
11586|nachschau|Verb|nachschauen
11598|freun|Verb|freuen
11606|lächlen|Verb|lächeln
11634|Zenith|Substantiv|das Zenith
11646|enfalten|Verb|entfalten
11680|singn|Verb|singen
11686|Einem|Pronomen|einem
11701|zweifel|Substantiv|der Zweifel
11734|Bist|Verb|sein
