-même (aujourd'hui-même)                                          | же (сегодня же)
appartenir à ...                                                  | принадлежать ..
appeler (téléphoner)                                              | звонить
appeler au secours                                                | звать на помощь
appeler les pompiers                                              | вызвать пожарных
applaudir                                                         | аплодировать
apprendre quelque chose d'un ami                                  | узнать от друга
approuver                                                         | одобрить
après (ça) = потом                                                | после этого
après demain                                                      | послезавтра
après que après avoir                                             | после того, как...
après quelque chose, après le dîner                               | после, после ужина
arriver                                                           | прибывать
as tu déjà vu quelque-chose comme ça ?                            | ты когда-нибудь видел что-либо подобное ?
assez                                                             | достАточно
assurer                                                           | страховка
athlète                                                           | атлЕт
atteindre, réussir                                                | добиваться - добиться
attentionné                                                       | заботливый
attentivement                                                     | осторОжно
attraper                                                          | ловИть
au dessus                                                         | вЫше
au dessus de qqc                                                  | над 
au printemps                                                      | веснОй
au printemps                                                      | веснОй
au revoir                                                         | до свидания
au sujet de                                                       | про 
au téléphone                                                      | по телефону
augmenter (intransitif)                                           | подорожать
augmenter, grandir, croître (intransitif)                         | расти (стУ, стёшь, стУт ; рос, рослА..) - вЫрасти
aussi vite que possible                                           | как можно скорее
aussi, pareillement                                               | тоже
aussi, si                                                         | такой/ая/ие (ou так, avec adverbe)
aussitôt après                                                    | тут же, сразу же
authentique                                                       | пОдлинный
automatique                                                       | автоматИческий
automne                                                           | Осень
autoriser quelque chose régler quelque chose                      | разрешать - разрешить
autour                                                            | вокрУг / кругОм
autrefois                                                         | когда-то
avant de faire qqc                                                | до того как,  прежде чем
avant que                                                         | пока не 
avare                                                             | жадный
avec succès                                                       | успешно
avertir                                                           | предупреждать
avertir                                                           | предупредить
avoir l'intention                                                 | намереваться
baisser (intransitif)                                             | подешеветь
balayer                                                           | подметать
beaucoup (quantités)                                              | много
beaucoup de (choses quantifiables)                                | много
beaucoup de gens                                                  | многие
beaucoup, très (intensité)                                        | очень
bien sur que non !                                                | конечно нет !
bien trop n'en faut                                               | лучше меньше да лучше
bien élevé                                                        | воспитанный
bien, bénéfice                                                    | благо
bientôt                                                           | скОро
bienvenue                                                         | добро пожаловать
blanc                                                             | белый
blesser                                                           | повредить
bleu clair                                                        | голубой
bleu foncé                                                        | синий
blouson                                                           | кУрика
bon (goût)                                                        | вкУсный
bon appétit                                                       | приятного аппетита
bon courage                                                       | удачи
bon voyage                                                        | счастливого пути
bon, délicieux                                                    | вкусный
bon, gentil                                                       | дОбрый
bonne chance                                                      | всего хорошего
bord, rive, littoral                                              | бЕрег
bouche                                                            | рот
bouger                                                            | двигаться
bouillir                                                          | кипеть
boulangerie                                                       | бУлочная
boulette de viande                                                | котлЕта
boxe                                                              | бокс
brillant                                                          | яркий
brun                                                              | брюнет
brune                                                             | брюнетка
brûler (intransitif)                                              | гореть
bâtiment                                                          | здАние
bête                                                              | глупый
c'est aussi mon avis                                              | я тоже так думаю
c'est une langue différente                                       | это другой язык
c'était longtemps après                                           | это было намного позже
cacher                                                            | прятать - спрятать
café (boisson)                                                    | кОфе
café (lieu)                                                       | кафЕ
cafétéria                                                         | буфЕт
cahier                                                            | тетрАдь
calendrier                                                        | календарь
calme                                                             | мИрный
calme 2                                                           | спокойный
calmer                                                            | успокаивать
campagne, village                                                 | дерЕвня
camping                                                           | кЭмпинг
canapé, divan                                                     | дивАн
car                                                               | так как
carrière                                                          | карьера
carte de crédit                                                   | кредИтная карта
casino                                                            | казинО
casser (briser)                                                   | (с)ломАть
cassé                                                             | слОманный , разбИтый
caviar                                                            | икрА
ce n'est pas aussi bien qu'il n'y paraît                          | не так хорошо, как кажется
ce n'est pas aussi simple que tu ne le crois                      | Это не так просто, как ты думаешь
ce n'est pas grave                                                | это нормально
ce sont des spectacles différents                                 | это разные спектакли
cela ne m'intéresse pas                                           | мне неинтересно
celui là                                                          | вон тот
certain                                                           | уверенный
certain (adj)                                                     | несомнЕнный
certains                                                          | некоторые
ces derniers temps                                                | последнее время
cesser                                                            | переставать - перестать
cesser                                                            | прекращать
chanceux                                                          | удачливый
changer sa vieille voiture contre une neuve                       | меня́ть ста́рую маши́ну на но́вую
chanter de joie                                                   | петь от радости
chanteur                                                          | певец
chaque jour, tous les jours                                       | кАждый день
chat                                                              | кот, кОшка
chemise                                                           | рубашка
chemisier                                                         | блУзка
cher...                                                           | уважаемый...
chercher                                                          | искать - поискать
chez (destination)                                                | к
chez...                                                           | У
chien (2)                                                         | пес
chinois                                                           | китаец
chocolat (à boire)                                                | какАо
choisir                                                           | выбирать - выбрать
choquer                                                           | шокировать
chrétien                                                          | христиАнин
chuchoter                                                         | шепнуть
cinq cents                                                        | пятьсот
cinéma                                                            | кинО
citadin                                                           | горожАнин
citoyen, des citoyens                                             | гражданИн, грАждане
citron                                                            | лимОн
clair                                                             | светлый
clairement                                                        | Ясно
classe                                                            | класс
coca cola                                                         | кОка-кОла
cognac                                                            | коньЯк
collègue                                                          | коллЕга
combattant                                                        | боец
combien ?                                                         | сколько ?
combien ? (pour demander le prix)                                 | почём
combien tu touches par mois ?                                     | сколько ты получаешь в месяц ?
commander                                                         | заказать
comme ça                                                          | как же
comment allez vous ?                                              | как поживаете?
comment dire ça en russe ?                                        | как это сказать по-русский ?
communiquer avec qq traîner avec qq                               | общаться - пообщаться
comparer                                                          | сравнивать
complet                                                           | комплЕктный, полный
compliqué                                                         | слОжный
compliqué                                                         | сложный
compositeur                                                       | композИтор
compris                                                           | ясно!
compter / considérer                                              | считать (normal) - посчитать
compter sur..                                                     | рассчитывать на...
concurrencer                                                      | конкурировать
conduire, accompagner à pied (determiné)                          | вести (ведУ, ведёшь, ведУт) - провести
conduire, accompagner à pied (indéterminé)                        | водить (вожУ, вОдишь, вОдят) - проводить
conduire, mener                                                   | вести - повести
conference                                                        | конферЕнция
confiant                                                          | доверчивый
confirmer                                                         | подтвердить
confondre                                                         | (пере)путать
congelé                                                           | замороженный
connu                                                             | извЕстный
conseiller                                                        | советовать
conseiller, recommander                                           | советовать - посоветовать
construire                                                        | стрОить - пострОить
continuer (de faire qqc) poursuivre (qqc)                         | продолжАть (n) - продолжить (должУ, дОлжишь, дОлжат)
contre                                                            | прОтив
contrôler                                                         | контролИровать
convaincre                                                        | уговорить
correct                                                           | прАвильный
corriger qqc                                                      | исправлять
courageux                                                         | храбрый
courageux                                                         | смелый
courir (aller vite)                                               | бегать - побежать
court                                                             | крАткий
couture                                                           | шов
coûter                                                            | стоить
craindre                                                          | бояться
crayon                                                            | карандАш
creuser                                                           | рыть
creuser                                                           | копать
crier                                                             | кричать
critiquer                                                         | критиковать
croire en                                                         | верить в 
croire en quelqu'un ou quelque chose                              | верить в
croire quelqu'un, croire à                                        | верить
croire quelqu'un, quelque chose                                   | верить кому (datif) поверить
cruel                                                             | жестОкий
créer                                                             | создать
culture                                                           | культУра
curieux                                                           | любопытный
célibataire                                                       | незамУжняя
célibataire                                                       | холостой
d'abord                                                           | сначала
d'accord !                                                        | соглАсен
d'habitude                                                        | обЫчно
d'âge moyen                                                       | средних лет
d'âge moyen                                                       | средних лет
dangereux                                                         | опАсный
dans la journée                                                   | днём
dans la nuit                                                      | нОчью
dans un an                                                        | через год
dans vingt minutes                                                | через 20 минут
danser                                                            | танцевАть 
de longue date                                                    | давний
de longues années                                                 | долгие годы
de même, également                                                | также
de poché                                                          | карманный
de source sûre                                                    | from reliable sources
de temps en temps                                                 | Изредка
de toute façon                                                    | в любОм случАе
de, du haut de il est tombé d'un arbre                            | с  он упал с дерева
de, à partir de, à cause de, de la part de                        | от
de... à... (à partir de .. jusqu'à)                               | от... до...
demain                                                            | зАвтра
demain                                                            | зАвтра
demander un service à                                             | просить 
demander à, interroger                                            | спрашивать 
demander, interroger                                              | спрашивать - спросить
dentiste                                                          | зубной врач
dependable                                                        | fiable
depuis combien de temps?                                          | как долго
dernier                                                           | последний
dernier, passé                                                    | прошлый
dernier, ultime                                                   | последний
derrière                                                          | за
derrière                                                          | позадИ
derrière qqc                                                      | за
des lacs                                                          | озёра
deux cent                                                         | двести
devant                                                            | пЕред
devant qqc                                                        | перед  (2)
devenir                                                           | становится - стать
devenir                                                           | становиться - стать 
devenir différent, changer                                        | измениться
devenir fou                                                       | сойти с ума
deviner                                                           | догадываться - догадаться
difficile                                                         | трУдный
différent                                                         | непохОжий
différent, autre (singulier)                                      | другой
différent, divers (pluriel)                                       | разный
dimanche                                                          | воскресенье
diminuer                                                          | уменьшаться - уменьшиться
dire au revoir                                                    | прощаться
directeur, directrice                                             | дирЕктор, директрИса
diriger (vt)                                                      | руководить
discothèque                                                       | дискотЕка
distrait                                                          | рассеянный
divorcer                                                          | развестись
dix mille                                                         | десять тысяч
doigt                                                             | палец
dollar                                                            | лОллар
dommage                                                           | жаль !
donc                                                              | же
dormir                                                            | спать - поспать
douche                                                            | душ
douter (vt)                                                       | сомневаться
doux                                                              | мЯгкий
douzaine                                                          | дюжина
doué                                                              | талантливый
drogué                                                            | наркоман
drôle                                                             | смешной
du boeuf                                                          | говядина
du mouton                                                         | баранина
du porc                                                           | свинина
du veau                                                           | телятина
dur (adj, pas mou)                                                | твёрдый
dur (pas doux)                                                    | жёсткий
débattre, discuter                                                | обсуждать - обсудить
décevoir                                                          | разочаровАть
déchirer                                                          | порвать
décider, résoudre                                                 | решать - решить
déclinaison de кто                                                | кого кого кому кем ком
déclinaison de что                                                | что чего чему чем чём
déclinaison troisième                                             | третий, третье, третья
décliner                                                          | отклонить
décrire                                                           | опИсывать - описать
décrocher                                                         | снять трубку
défendre                                                          | защищать
délabré                                                           | ветхий
déménager, traverser (en voiture)                                 | переезжать (normal), переехать (перееду, ...)
dénoncer                                                          | доносить - донести
dépenser                                                          | тратить
déplacer                                                          | переносить - перенести
désagréable                                                       | неприятный
détaillé                                                          | подробный
déterminer                                                        | определять - определить
déterrer                                                          | to unearth
eau gazeuse                                                       | газирОванная вода
education                                                         | образование
effectuer un stage                                                | проходить стажировку
elegant                                                           | элегантный
elle a gagné son pari                                             | она выиграла пари
elle est mariée                                                   | она замужем
elle fait de la natation                                          | она занимается плаванием
elle fait du piano                                                | она играет на пианино
embarrasser                                                       | смущать
embaucher                                                         | нанимать - нанять
embaucher                                                         | нанимать - нанять
embrasser                                                         | целовать (лУю, лУешь, лУют) - поцеловать
embêtant                                                          | надоедливый
emprunter                                                         | занимать - занять
en acier                                                          | стальной
en argent                                                         | серебряный
en automne                                                        | Осенью
en bonne santé                                                    | здорОвый
en béton                                                          | бетонный
en chocolat                                                       | шоколадный
en cuir                                                           | из кожи
en cuivre                                                         | медный
en face                                                           | напрОтив
en face de                                                        | напротив 
en face de qqc                                                    | напрОтив 
en fer                                                            | железный
en fourrure                                                       | меховой
en français                                                       | по-французски
en gros                                                           | оптом
en hiver                                                          | зимОй
en hiver, je fais du ski                                          | зимой я катаюсь на лыжах
en laine                                                          | шерстяной
en même temps                                                     | одновременно
en or                                                             | золотой
en pierre                                                         | каменный
en plastique                                                      | пластмассовый
en présence de, à l'époque de                                     | при 
en quelle année êtes vous nés?                                    | в каком году вы родились ?
en stage                                                          | на стажирОвку
en une heure                                                      | в течение часа
en été                                                            | лЕтом
en, fait de en bois, de bois                                      | из, из дерева
enceinte                                                          | беременная
enchanté                                                          | очень приятно
encore, toujours                                                  | всё ещё
endormi                                                           | сонный
enfin                                                             | наконец
ennuyer, embêter                                                  | надоедать - надоесть
ennuyeux                                                          | нУдный / скУчный
enragé                                                            | яростный
ensemble                                                          | вместе
ensuite                                                           | потом d'abord..., puis... = сначала..., а потом...
ensuite                                                           | затем
enthousiaste                                                      | энтузиаст
entraver                                                          | мешать - помешать
entre qqc                                                         | мЕжду
entrer                                                            | входить
entrée                                                            | вход
environ trois jours                                               | дня три
envoyer                                                           | посылАть (n) - послАть
envoyer                                                           | отправлять
espagnol, Espagnole                                               | испАнец, испАнка
espérer                                                           | надеяться - понадеяться
essayer, faire une tentative                                      | пытаться
essayer, goûter                                                   | прОбовать - попрОбовать
et après ?                                                        | ну, и что ?
et, aussi (insister)                                              | и
euro                                                              | Евро (invariable)
examiner                                                          | рассмотреть
excitant                                                          | увлекательный
excusez moi                                                       | простите
exiger                                                            | требовать - потребовать
expliquer                                                         | объяснять - объяснить
exporter                                                          | экспортировать
en une heure                                                      | за час
en un an                                                          | за год
quel mois?                                                        | в каком месяце ? 
en un mois                                                        | за месяц 
extrêmement                                                       | чрезвычАйно
exécuter                                                          | исполнять - исполнить
facile                                                            | нетрУдный
facile, facilement                                                | лёгкий, легкО
faible                                                            | слАбый
faire allusion, insinuer                                          | намекать, намекнуть
faire de la luge                                                  | катАться на сАнках
