|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
13|7|pron|Sie||Sie sollten Ihre Medikamente regelmäßig einnehmen.|you|you|You should take your medications regularly.|pronoun|Ich bitte Sie um Ihr Verständnis.|I ask you for your understanding.|sie;sollen;ihr;Medikament;regelmäßig;einnehmen
14|8|aux|werden (Futur)|werden, wird, wurde, ist geworden|Wir werden morgen die Ausstellung besuchen.|(future tense)|(future tense)|We will visit the exhibition tomorrow.|auxiliary verb|Ich werde bald als Lehrer arbeiten.|I’ll be working as a teacher soon.|wir;werden;morgen;der;Ausstellung;besuchen
15|8|aux|werden (Passivform)|werden, wird, wurde, ist geworden|Die Ergebnisse werden in Kürze veröffentlicht.|(passive voice)|(passive voice)|The results will be published shortly.|auxiliary verb|Das Auto wird gefahren.|The car is being driven.|der;Ergebnis;werden;in;Kürze;veröffentlichen
16|8|verb|werden|werden, wird, wurde, ist geworden|Er wird bald der Direktor des Instituts.|to become, get|to become|He will soon become the director of the institute.|verb|Der Junge wird zum Mann.|The boy becomes a man.|er;werden;bald;der;Direktor;der;Institut
16.001|8|verb|werden|werden, wird, wurde, ist geworden|Er wird bald befördert, wenn er weiter hart arbeitet.|to become, get|to get|He will get promoted soon if he keeps working hard.|verb|Der Junge wird zum Mann.|The boy becomes a man.|er;werden;bald;befördern;wenn;er;weiter;hart;arbeiten
17|9|prep|von||Er hat das Buch von seiner Freundin bekommen.|from, of|from|He got the book from his friend.|preposition|Benjamin ist der Bruder von Anna.|Benjamin is the brother of Anna.|er;haben;der;Buch;von;sein;Freundin;bekommen
17.001|9|prep|von||Das Bild, von dem du sprichst, ist sehr alt.|from, of|of|The picture you’re talking about is very old.|preposition|Benjamin ist der Bruder von Anna.|Benjamin is the brother of Anna.|der;Bild;von;der;du;sprichen;sein;sehr;alt
18|10|pron|ich||Ich freue mich auf das Konzert am Samstag.|I|I|I am looking forward to the concert on Saturday.|pronoun|Ich arbeite und du bleibst zu Hause.|I work and you stay home.|ich;freuen;sich;auf;der;Konzert;an;Samstag
19|11|part|nicht||Die chemische Reaktion ist nicht vollständig abgeschlossen.|not|not|The chemical reaction is not fully completed.|particle|Im Restaurant darf man nicht rauchen.|You can’t smoke in the restaurant.|der;chemisch;Reaktion;sein;nicht;vollständig;abschließen
20|12|pron|es||Es regnet den ganzen Tag, was schade ist.|it|it|It’s raining all day, which is a shame.|pronoun|Das Kind geht ins Bett, es ist müde.|The child goes to bed; she is tired.|es;regnen;der;ganz;Tag;wer;schade;sein
21|13|prep|mit||Ich habe den Bericht mit meinem Kollegen besprochen.|with|with|I discussed the report with my colleague.|preposition|Mein Bruder spielt mit Janosch Fußball im Garten.|My brother plays soccer in the garden with Janosch.|ich;haben;der;Bericht;mit;mein;Kollege;besprechen
22|14|pron|sich||Sie setzte sich ruhig hin und atmete tief ein.|-self|-self|She sat down calmly and took a deep breath.|pronoun|Das Kind sieht sich im Spiegel.|The child sees itself in the mirror.|sie;hinsetzen;sich;ruhig;hin;und;einatmen;tief;ein
23|15|pron|er||Er hat den Algorithmus optimiert und getestet.|he|he|He optimized and tested the algorithm.|pronoun|Jan hat gute Noten in der Schule, er ist ein kluges Kind.|Jan has good grades in school; he’s a smart child.|er;haben;der;Algorithmus;optimieren;und;testen
24|16|prep|auf||Das Buch liegt auf dem Tisch neben dem Fenster.|on, at, to|on|The book is on the table next to the window.|preposition|Auf dem Tisch steht ein Glas Wasser.|There’s a glass of water on the table.|der;Buch;liegen;auf;der;Tisch;neben;der;Fenster
24.001|16|prep|auf||Wir treffen uns morgen auf dem alten Marktplatz.|on, at, to|at|We will meet tomorrow at the old marketplace.|preposition|Auf dem Tisch steht ein Glas Wasser.|There’s a glass of water on the table.|wir;treffen;sich;morgen;auf;der;alt;Marktplatz
24.002|16|prep|auf||Er geht auf die Universität, um Medizin zu studieren.|on, at, to|to|He goes to the university to study medicine.|preposition|Auf dem Tisch steht ein Glas Wasser.|There’s a glass of water on the table.|er;gehen;auf;der;Universität;um;Medizin;zu;studieren
25|17|prep|für||Sie hat ein Geschenk für ihre Mutter gekauft.|for|for|She bought a gift for her mother.|preposition|Sie macht einen Kaffee für Max.|She’s making coffee for Max.|sie;haben;ein;Geschenk;für;ihr;Mutter;kaufen
26|18|adv|auch||Ich mag Pizza, aber auch Pasta ist lecker.|also, too|also|I like pizza, but pasta is also delicious.|adverb|Auch ich habe Geburtstag, nicht nur Markus.|It’s my birthday too, not just Markus’s.|ich;mögen;Pizza;aber;auch;Pasta;sein;lecker
26.001|18|adv|auch||Sie möchte auch an dem Wettbewerb teilnehmen.|also, too|too|She wants to participate in the competition too.|adverb|Auch ich habe Geburtstag, nicht nur Markus.|It’s my birthday too, not just Markus’s.|sie;möchten;auch;an;der;Wettbewerb;teilnehmen
27|19|prep|an||Wir treffen uns morgen an der Bushaltestelle.|at, on|at|We’ll meet tomorrow at the bus stop.|preposition|Das Bild hängt an der Wand.|The picture hangs on the wall.|wir;treffen;sich;morgen;an;der;Bushaltestelle
27.001|19|prep|an||Das Gemälde hing an der Wand und zog alle Blicke auf sich.|at, on|on|The painting hung on the wall, drawing all eyes to it.|preposition|Das Bild hängt an der Wand.|The picture hangs on the wall.|der;Gemälde;hing;an;der;Wand;und;ziehen;aller;Blick;auf;sich
28|20|conj|dass||Ich hoffe, dass wir bald wieder in den Urlaub fahren können.|that|that|I hope that we can go on vacation again soon.|conjunction|Ich vermute, dass der Zug wieder zu spät kommt.|I suspect the train will be late again.|ich;hoffen;dass;wir;bald;wieder;in;der;Urlaub;fahren;können
29|21|part|zu||Psychologen müssen zu ethischen Standards verpflichtet sein.|to|to|Psychologists have to be committed to ethical standards.|particle|Ich versuche, dich zu verstehen.|I’m trying to understand you.|Psychologe;müssen;zu;ethisch;Standard;verpflichten;sein
30|21|part|zu||Die Arbeit ist zu schwer für mich allein.|too|too|The work is too heavy for me alone. |particle|Es ist zu kalt für eine Party im Garten.|It’s too cold for a party in the garden.|der;Arbeit;sein;zu;schwer;für;mich;allein
31|21|prep|zu||Wir gehen zum Park, um frische Luft zu schnappen.|to|to|We’re going to the park to get some fresh air.|preposition|Heute gehe ich zu meiner Nachbarin.|Today I go to my neighbor.|wir;gehen;zu;Park;um;frisch;Luft;zu;schnappen
32|22|conj|als||Er agierte als Experte auf dem Gebiet der Quantenphysik.|as, when|as|He acted as an expert in the field of quantum physics.|conjunction|Als ich nach Hause komme, ist es schon dunkel.|When I get home, it’s already dark.|er;agieren;als;Experte;auf;der;Gebiet;der;Quantenphysik
32.001|22|conj|als||Als ich dort ankam, war es schon dunkel.|as, when|when|When I arrived there, it was already dark.|conjunction|Als ich nach Hause komme, ist es schon dunkel.|When I get home, it’s already dark.|als;ich;dort;ankommen;sein;es;schon;dunkel
33|22|part|als||Das Verhalten war stärker als erwartet ausgeprägt.|than|than|The behavior was more pronounced than expected.|particle|Tim ist Paulas großer Bruder, weil er älter ist als sie.|Tim is Paula’s big brother because he’s older than she is.|der;verhalten;sein;stark;als;erwarten;ausgeprägt
34|23|verb|können|können, kann, konnte, hat können|Er kann endlich seine Träume verwirklichen.|to be able to, can|to be able to|He is finally able to make his dreams come true.|verb|Die Kinder können schon Fahrrad fahren.|The children can already ride bicycles.|er;können;endlich;sein;Traum;verwirklichen
34.001|23|verb|können|können, kann, konnte, hat können|Man kann das Spiel echt schnell durchzocken, wenn man will.|to be able to, can|to can|You can finish the game really quickly if you want.|verb|Die Kinder können schon Fahrrad fahren.|The children can already ride bicycles.|man;können;der;Spiel;echt;schnell;durchzocken;wenn;man;wollen
35|24|pron|dies||Dies ist eine neue Entdeckung in der Molekularbiologie.|this, that|this|This is a new discovery in molecular biology.|pronoun|Besonders dieses Bild gefällt mir sehr.|I especially like this picture.|dieser;sein;ein;neu;Entdeckung;in;der;Molekularbiologie
35.001|24|pron|dies||Dies ist ein wichtiges Konzept in der Immunologie.|this, that|that|That is an important concept in immunology.|pronoun|Besonders dieses Bild gefällt mir sehr.|I especially like this picture.|dieser;sein;ein;wichtig;Konzept;in;der;Immunologie
36|25|part|wie||Er arbeitet genauso hart wie sein Bruder.|as|as|He works as hard as his brother.|particle|Johanna ist so alt wie Matthias.|Johanna is as old as Matthias.|er;arbeiten;genauso;hart;wie;sein;Bruder
37|25|pron|wie||Weißt du, wie man diesen Computer repariert?|how|how|Do you know how to fix this computer?|pronoun|Wie lange dauert es?|How long does it take?|Weißt;du;wie;man;dieser;Computer;reparieren
38|26|pron|wir||Wir haben uns entschieden, den Park zu besuchen.|we|we|We decided to visit the park.|pronoun|Fernando und ich wollen Urlaub machen, wir fahren im Sommer.|Fernando and I are going on vacation; we’re going in summer.|wir;haben;sich;entscheiden;der;Park;zu;besuchen
39|27|pron|ihr||Ich habe ihr gestern einen langen Brief geschrieben.|her, their, hers, theirs|her|I wrote her a long letter yesterday.|pronoun|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.|ich;haben;ihr;gestern;ein;lang;Brief;schreiben
39.001|27|pron|ihr||Ihr Hund ist sehr freundlich und liebt Spaziergänge.|her, their, hers, theirs|their|Their dog is very friendly and loves walks.|pronoun|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.|ihr;Hund;sein;sehr;freundlich;und;lieben;Spaziergang
39.002|27|pron|ihr||Das ist ihr Büro, in dem sie die gesamte Strategie entwirft.|her, their, hers, theirs|hers|This is hers office, where she designs the entire strategy.|pronoun|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.|der;sein;ihr;Büro;in;der;sie;der;gesamt;Strategie;entwerfen
39.003|27|pron|ihr||Das ist ihr Haus, das sie gerade renovieren.|her, their, hers, theirs|theirs|That house is theirs, the one they're currently renovating.|pronoun|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.|der;sein;ihr;Haus;der;sie;gerade;renovieren
40|27|pron|ihr||Ihr habt das Ziel in Rekordzeit erreicht.|you, her|you|You reached the goal in record time.|pronoun|Das Mädchen ärgert ihren Bruder.|The girl annoys her brother.|ihr;haben;der;Ziel;in;Rekordzeit;erreichen
40.001|27|pron|ihr||Ich kenne ihre Geschichte und finde sie sehr berührend.|you, her|her|I know her story, and I find it very touching.|pronoun|Das Mädchen ärgert ihren Bruder.|The girl annoys her brother.|ich;kennen;ihr;Geschichte;und;finden;sie;sehr;berührend
41|27|pron|Ihr||Ihr Herz pumpt täglich Millionen von Litern Blut.|your|your|Your heart pumps millions of liters of blood daily.|pronoun|Bitte geben Sie Ihr Blatt am Ende der Stunde ab.|Please hand in your paper at the end of the lesson.|ihr;Herz;pumpen;täglich;Million;von;Liter;Blut
42|28|adv|so||Sie reagierte so schnell, dass ich kaum mitkam.|thus, the way, such|thus|She reacted so quickly that I could barely keep up.|adverb|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.|sie;reagieren;so;schnell;dass;ich;kaum;mitkommen
42.001|28|adv|so||So, wie er spricht, könnte er ein Redner werden.|thus, the way, such|the way|The way he speaks, he could become a speaker.|adverb|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.|so;wie;er;sprechen;können;er;ein;Redner;werden
42.002|28|adv|so||Er hat so viel Arbeit, dass er kaum schlafen kann.|thus, the way, such|such|He has so much work that he can hardly sleep.|adverb|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.|er;haben;so;viel;Arbeit;dass;er;kaum;schlafen;können
43|28|part|so||Das war so schön, dass ich es nicht vergaß.|so|so|It was so beautiful that I didn’t forget it.|particle|Das Wetter ist heute so schön.|The weather is so nice today.|der;sein;so;schön;dass;ich;es;nicht;vergaß
44|29|prep|bei||Ich wurde von einem Freund bei der Arbeit überrascht.|by, with, at|by|I was surprised by a friend at work.|preposition|Jan ist bei einem neuen Arzt.|Jan’s with a new doctor.|ich;werden;von;ein;Freund;bei;der;Arbeit;überraschen
44.001|29|prep|bei||Er wohnt bei seinen Eltern auf dem Land.|by, with, at|with|He lives with his parents in the countryside.|preposition|Jan ist bei einem neuen Arzt.|Jan’s with a new doctor.|er;wohnen;bei;sein;Eltern;auf;der;Land
44.002|29|prep|bei||Ich treffe mich gleich bei der Arbeit mit Thomas.|by, with, at|at|I'm meeting Thomas at work soon.|preposition|Jan ist bei einem neuen Arzt.|Jan’s with a new doctor.|ich;treffen;sich;gleich;bei;der;Arbeit;mit;Thomas
45|30|pron|sein|seine, seiner, seines|Das ist sein Lieblingsbuch aus der Kindheit.|his, its|his|This is his favorite book from childhood.|pronoun|Der Junge ärgert seine Schwester.|The boy annoys his sister.|der;sein;sein;Lieblingsbuch;aus;der;Kindheit
45.001|30|pron|sein|seine, seiner, seines|Der Baum verlor sein Laub im kalten Winter.|his, its|its|The tree lost its leaves in the cold winter.|pronoun|Der Junge ärgert seine Schwester.|The boy annoys his sister.|der;Baum;verlieren;sein;Laub;in;kalt;Winter
46|31|conj|aber||Die Theorie ist gut, aber die Daten widersprechen ihr.|but|but|The theory is good, but the data contradict it.|conjunction|Die Sonne scheint, aber es ist trotzdem kalt.|The sun is shining, but it’s still cold.|der;Theorie;sein;gut;aber;der;Datum;widersprechen;ihr
47|31|part|aber||Du siehst aber echt müde aus, hast du wenig geschlafen?|(emphasis)|(emphasis)|You look pretty tired, did you sleep little?|particle|Das ist aber nicht nett von Tim.|That’s not nice of Tim.|du;aussiehst;aber;echt;müde;aus;haben;du;wenig;schlafen
48|32|pron|man||Man sollte immer ehrlich zu sich selbst sein.|one, you, they|one|One should always be honest with oneself.|pronoun|Hier erzählt man sich Geschichten.|They tell stories here.|man;sollen;immer;ehrlich;zu;sich;selbst;sein
48.001|32|pron|man||Man sollte jeden Tag etwas Neues lernen.|one, you, they|you|You should learn something new every day.|pronoun|Hier erzählt man sich Geschichten.|They tell stories here.|man;sollen;jeder;Tag;etwas;neue;lernen
48.002|32|pron|man||Man sollte immer auf seine Gesundheit achten.|one, you, they|they|They should always pay attention to their health.|pronoun|Hier erzählt man sich Geschichten.|They tell stories here.|man;sollen;immer;auf;sein;Gesundheit;achten
49|33|adv|noch||Der Wind wehte noch immer heftig durch die Straßen.|still, yet|still|The wind was still blowing fiercely through the streets.|adverb|Habt ihr sonst noch Fragen?|Do you still have any questions?|der;Wind;wehen;noch;immer;heftig;durch;der;Straße
49.001|33|adv|noch||Das Ergebnis ist noch unklar, aber wir arbeiten daran.|still, yet|yet|The result is still unclear, but we are working on it. |adverb|Habt ihr sonst noch Fragen?|Do you still have any questions?|der;Ergebnis;sein;noch;unklar;aber;wir;arbeiten;daran
50|34|prep|nach||Wir gehen nach dem Meeting zum Mittagessen.|after, toward|after|We will go for lunch after the meeting.|preposition|Nach dem Mittagessen gehen wir spazieren.|After lunch we go for a walk.|wir;gehen;nach;der;Meeting;zu;Mittagessen
50.001|34|prep|nach||Wir fahren nach Süden, um das Meer zu sehen.|after, toward|toward|We are heading toward the south to see the sea.|preposition|Nach dem Mittagessen gehen wir spazieren.|After lunch we go for a walk.|wir;fahren;nach;Süden;um;der;Meer;zu;sehen
51|35|conj|oder||Möchtest du Kaffee oder Tee zum Frühstück?|or|or|Would you like coffee or tea for breakfast?|conjunction|Kommst du mit dem Fahrrad oder fährst du mit dem Bus?|Are you coming by bike or are you going by bus?|Möchtest;du;Kaffee;oder;Tee;zu;Frühstück
52|36|pron|all||All die Dinge, die wir geplant haben, sind erledigt.|all|all|All the things we planned are done.|pronoun|Wir freuen uns alle auf den Urlaub.|We are all looking forward to our vacation.|all;der;Ding;der;wir;planen;haben;sein;erledigen
53|37|prep|aus||Die Forscher holten die Daten aus verschiedenen Quellen.|out, out of, from|out|The researchers gathered the data from various sources.|preposition|Thomas schaut aus dem Fenster.|Thomas looks out the window.|der;Forscher;holen;der;Datum;aus;verschieden;Quelle
53.001|37|prep|aus||Sie kam ganz aus dem Haus, als der Hund bellte.|out, out of, from|out of|She came right out of the house when the dog barked.|preposition|Thomas schaut aus dem Fenster.|Thomas looks out the window.|sie;kommen;ganz;aus;der;Haus;als;der;Hund;belln
53.002|37|prep|aus||Die Produkte stammen aus der Region Bayern.|out, out of, from|from|The products come from the Bavaria region.|preposition|Thomas schaut aus dem Fenster.|Thomas looks out the window.|der;Produkt;stammen;aus;der;Region;Bayern
54|38|pron|was||Weißt du, was er mir in seiner Nachricht gestanden hat?|what|what|Do you know what he confessed to me in his message?|pronoun|Was sagst du?|What do you say?|Weißt;du;was;er;mir;in;sein;Nachricht;stehen;haben
55|39|adv|nur||Ich brauche nur fünf Minuten, dann bin ich bereit.|only|only|I only need five minutes, then I’m ready.|adverb|Das kostet nur zwei Euro.|It only costs two euros.|ich;brauchen;nur;fünf;Minute;dann;sein;ich;bereit
56|40|verb|sagen|sagen, sagt, sagte, hat gesagt|Sie wollte etwas Wichtiges zu uns sagen.|to say, tell|to say|She wanted to say something important to us.|verb|Der Kollege sagt ihr, wo sie die Schlüssel findet.|The colleague tells her where to find the keys.|sie;wollen;etwas;Wichtiges;zu;uns;sagen
56.001|40|verb|sagen|sagen, sagt, sagte, hat gesagt|Er wollte mir unbedingt seine Geheimnisse sagen.|to say, tell|to tell|He absolutely wanted to tell me his secrets.|verb|Der Kollege sagt ihr, wo sie die Schlüssel findet.|The colleague tells her where to find the keys.|er;wollen;mir;unbedingt;sein;Geheimnis;sagen
57|41|adv|dann||Wir gehen zuerst einkaufen und dann zum Café.|then|then|We will first go shopping and then to the café.|adverb|Erst gehen wir einkaufen und dann in ein Restaurant.|First we go shopping, then we go to a restaurant.|wir;gehen;zuerst;einkaufen;und;dann;zu;Café
58|42|conj|wenn||Wenn du dich beeilst, können wir noch den Film sehen.|if, when|if|If you hurry, we can still catch the movie.|conjunction|Ich erzähle es dir, wenn wir uns sehen.|I’ll tell you when we see each other.|wenn;du;dich;beeilen;können;wir;noch;der;Film;sehen
58.001|42|conj|wenn||Wenn du fertig bist, können wir losgehen.|if, when|when|When you’re ready, we can go.|conjunction|Ich erzähle es dir, wenn wir uns sehen.|I’ll tell you when we see each other.|wenn;du;fertig;sein;können;wir;losgehen
59|43|verb|müssen|müssen, muss, musste, hat gemusst|Psychologen müssen ethische Richtlinien befolgen.|to have to, must|to have to|Psychologists have to follow ethical guidelines.|verb|Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.|I have to be home by nine o’clock or my mother will be angry.|Psychologe;müssen;ethisch;Richtlinie;befolgen
59.001|43|verb|müssen|müssen, muss, musste, hat gemusst|Wir müssen dringend einen Plan erstellen.|to have to, must|to must|We must urgently create a plan.|verb|Ich muss um neun zu Hause sein, sonst ist meine Mutter böse.|I have to be home by nine o’clock or my mother will be angry.|wir;müssen;dringend;ein;Plan;erstellen
60|44|conj|um||Er hat seine Hausaufgaben gemacht, um das Spiel zu sehen.|in order to|in order to|He did his homework in order to watch the game.|conjunction|Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.|I also work on weekends in order to pay for my vacation.|er;haben;sein;Hausaufgabe;machen;um;der;Spiel;zu;sehen
61|44|prep|um||Die Kinder spielten fröhlich um den Tisch.|around, at, about|around|The children played happily around the table.|preposition|Die Kinder laufen um den Baum.|The children run around the tree.|der;Kind;spielen;fröhlich;um;der;Tisch
61.001|44|prep|um||Wir treffen uns um acht Uhr an der Ecke der Straße.|around, at, about|at|We will meet at eight o'clock at the corner of the street.|preposition|Die Kinder laufen um den Baum.|The children run around the tree.|wir;treffen;sich;um;acht;Uhr;an;der;Ecke;der;Straße
61.002|44|prep|um||Wir haben um den richtigen Zeitpunkt gestritten.|around, at, about|about|We argued about the right timing.|preposition|Die Kinder laufen um den Baum.|The children run around the tree.|wir;haben;um;der;richtig;Zeitpunkt;streiten
62|45|part|ja||Ja, ich habe die E-Mail schon beantwortet.|yes, of course|yes|Yes, I've already answered the email.|particle|Ja, ich verstehe das.|Yes, I understand that.|ja;ich;haben;der;E-Mail;schon;beantworten
62.001|45|part|ja||Du weißt ja, dass er immer pünktlich ist.|yes, of course|of course|You know, of course, that he is always on time.|particle|Ja, ich verstehe das.|Yes, I understand that.|du;weißen;ja;dass;er;immer;pünktlich;sein
63|46|pron|keine|keine, keiner, keines|Es gibt keine bekannten Nebenwirkungen dieses Medikaments.|no (one)|no (one)|There are no known side effects of this medication.|pronoun|Sie haben keine Chance, das Spiel zu gewinnen.|They have no chance of winning the game.|es;geben;kein;bekannt;Nebenwirkung;dieser;Medikament
64|47|prep|über||Die Lampe hängt über dem großen Esstisch.|above, over, about|above|The lamp hangs above the large dining table.|preposition|Über mir fliegt ein Flugzeug.|There’s a plane flying above me.|der;Lampe;hängen;über;der;groß;Esstisch
64.001|47|prep|über||Der Vogel flog über das Dach, bevor er verschwand.|above, over, about|over|The bird flew over the roof before it disappeared.|preposition|Über mir fliegt ein Flugzeug.|There’s a plane flying above me.|der;Vogel;fliegen;über;der;Dach;bevor;er;verschwinden
64.002|47|prep|über||Das Buch handelt über die Geschichte Europas.|above, over, about|about|The book is about the history of Europe.|preposition|Über mir fliegt ein Flugzeug.|There’s a plane flying above me.|der;Buch;handeln;über;der;Geschichte;Europa
65|48|adv|da||Da drüben, hinter der Ecke, wartet ein Überraschung.|there|there|Over there, behind the corner, awaits a surprise.|adverb|Da hinten steht mein Auto.|There’s my car over there.|da;drüben;hinter;der;Ecke;warten;ein;Überraschung
66|48|conj|da||Ich gehe früh ins Bett, da ich morgen früh aufstehen muss.|because|because|I go to bed early because I have to get up early tomorrow.|conjunction|Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.|Because I have a new job, I’m moving to another city.|ich;gehen;früh;in;Bett;da;ich;morgen;früh;aufstehen;muss
67|49|verb|geben|geben, gibt, gab, hat gegeben|Er wollte mir einen Rat geben, aber ich hörte nicht zu.|to give|to give|He wanted to give me advice, but I didn’t listen.|verb|Timo gibt dem Verkäufer die Bücher.|Timo gives the books to the seller.|er;wollen;mir;ein;Rat;geben;aber;ich;zuhören;nicht;zu
68|50|prep|vor||Der Hund läuft vor dem Haus und bellt laut.|in front of, before, ago|in front of|The dog runs in front of the house and barks loudly.|preposition|Laura wartet vor der Tür auf ihre Freunde.|Laura is waiting in front of the door for her friends.|der;Hund;laufen;vor;der;Haus;und;belln;laut
