|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en
1794|1712|verb|betreten|betreten, betritt, betrat, hat betreten|Er betrat den Raum ohne zu zögern.|to enter, walk into/onto|to enter|He entered the room without hesitation.|verb|Wir dürfen das Haus nicht betreten, weil es hier nicht sicher ist.|We’re not allowed to enter the house because it’s not safe here.
1795|1713|die|die Regelung|die Regelungen|Die Regelung wurde pünktlich umgesetzt.|regulation, settlement|regulation|The regulation was implemented on time.|noun|Eine neue Regelung besagt, dass Jugendliche mit ihren Eltern schon mit 17 Jahren Auto fahren dürfen.|A new regulation states that young people are allowed to drive a car with their parents at the age of 17.
1796|1714|verb|teilnehmen|teilnehmen, nimmt teil, nahm teil, hat teilgenommen|Sie hat am Marathon teilgenommen.|to take part|to take part|She took part in the marathon.|verb|Angela nimmt an der Veranstaltung am Samstag teil.|Angela takes part in the event on Saturday.
1797|1715|verb|überwiegen|überwiegen, überwiegt, überwog, hat überwogen|Die Vorteile überwiegen die Nachteile.|to outweigh|to outweigh|The advantages outweigh the disadvantages.|verb|Weil die negativen Argumente überwiegen, entscheide ich mich dagegen.|Since the negative arguments outweigh the positive ones, I am against it.
1798|1716|verb|bedingen|bedingen, bedingt, bedingte, hat bedingt|Die Verzögerung hat das Problem bedingt.|to cause|to cause|The delay caused the problem.|verb|Die Ergebnisse des Experiments bedingen eine Änderung der ursprünglichen Annahme.|The results of the experiment cause a change in the original assumption.
1799|1717|die|die Gestalt|die Gestalten|Die Gestalt verschwand im Nebel.|shape, form, figure|figure|The figure disappeared in the fog.|noun|Der Mann hat zur Zeit der Tat eine dunkle Gestalt gesehen.|The man saw a dark figure at the time.
1800|1718|verb|zukommen|zukommen, kommt zu, kam zu, ist zugekommen|Das Auto kam schnell auf uns zu.|to come toward, be in store|to come toward|The car came quickly towards us.|verb|Ali kommt auf Emi zu und umarmt sie.|Ali comes toward Emi and embraces her.
1801|1719|verb|ablaufen|ablaufen, läuft ab, lief ab, hat abgelaufen|Der Vertrag läuft Ende des Jahres ab.|to run out, expire|expire|The contract will expire at the end of the year.|verb|Mein Pass läuft nächstes Jahr ab.|My passport expires next year.
1802|1720|der|der Minister|die Minister|Der Minister spricht im Parlament.|minister|minister|The minister is speaking in parliament.|noun|Wir wählen einen neuen Minister für das Amt für Bildung.|We elect a new minister for the Office of Education.
1803|1721|das|das Fahrzeug|die Fahrzeuge|Das Fahrzeug parkt direkt vor dem Haus.|vehicle|vehicle|The vehicle is parked directly in front of the house.|noun|Irgendwann fahren nur noch elektronische Fahrzeuge.|At some point, only electronic vehicles will be driving.
1804|1722|verb|fließen|fließen, fließt, floss, ist geflossen|Der Fluss fließt ruhig durch das Tal.|to flow|to flow|The river flows calmly through the valley.|verb|Durch Leipzig fließen zwei Flüsse.|Two rivers flow through Leipzig.
1805|1723|prep|gemäß||Gemäß den Regeln ist es erlaubt.|according to|according to|According to the rules, it is allowed.|preposition|Gemäß der Regeln dürfen Schüler die Schule nicht vor Ende des Unterrichts verlassen.|According to the rules, students are not allowed to leave the school before the end of the lesson.
1806|1724|der|der Vorwurf|die Vorwürfe|Der Vorwurf gegen ihn war unbegründet.|reproach, accusation|accusation|The accusation against him was unfounded.|noun|Meine Frau macht mir den Vorwurf, dass ich ihr nie zuhöre.|The accusation my wife makes is that I never listen to her.
1807|1725|adj|erforderlich||Die Genehmigung ist erforderlich.|required, necessary|required|The permit is required.|adjective|Herr Stein hat alle erforderlichen Voraussetzungen für den Job.|Mr. Stein has all the necessary requirements for the job.
1808|1726|die|die Haltung|die Haltungen|Seine Haltung war immer aufrecht.|posture, attitude|posture|His posture was always upright.|noun|Viele Leute, die am Schreibtisch arbeiten, haben keine gesunde Haltung.|Many people who work at desks do not have a healthy posture.
1809|1727|der|der Schriftsteller|die Schriftsteller|Der Schriftsteller schreibt Romane.|writer|writer|The writer writes novels.|noun|Bei einem Gespräch verrät der Schriftsteller erste Fakten zu seinem neuen Buch.|During a conversation, the writer reveals the first facts about his new book.
1810|1728|die|die Stimmung|die Stimmungen|Die Stimmung des Teams war optimistisch.|mood, atmosphere|mood|The team’s mood was optimistic.|noun|Die Stimmung auf der Geburtstagfeier von Ann-Katrin ist sehr gut.|The atmosphere at Ann-Katrin’s birthday party is very good.
1811|1729|adj|zufällig||Der zufällige Fund ändert das Projekt.|accidental, by chance|accidental|The accidental find changes the project.|adjective|Nora trifft beim Einkaufen zufällig ihren Bruder.|Nora meets her brother by chance while shopping.
1812|1730|adj|enorm||Der Aufwand für das Projekt war enorm.|enormous|enormous|The effort for the project was enormous.|adjective|Die Firma hat in diesem Jahr enorme Umsätze.|The company has enormous sales this year.
1813|1731|das|das Fach|die Fächer|Das Fach war sein Lieblingsbereich.|compartment, subject|subject|The subject was his favorite area.|noun|Chemie ist Frederiks bestes Fach in der Schule.|Chemistry is Frederik’s best subject at school.
1814|1732|verb|begrenzen|begrenzen, begrenzt, begrenzte, hat begrenzt|Wir müssen die Ausgaben begrenzen.|to limit, restrict|to limit|We need to limit the expenses.|verb|Sie möchten die wöchentliche Arbeitszeit auf 35 Stunden begrenzen.|They want to limit the weekly working hours to 35.
1815|1733|das|das Lied|die Lieder|Das Lied bleibt im Kopf hängen.|song|song|The song sticks in your head.|noun|Wir singen für sie ein Lied zu ihrem Geburtstag.|We’ll sing her a song for her birthday.
1816|1734|die|die Nation|die Nationen|Die Nation feierte ihre Unabhängigkeit.|nation|nation|The nation celebrated its independence.|noun|Jede Nation hat ihre eigene Sprache und ihre eigenen Traditionen.|Each nation has its own language and traditions.
1817|1735|die|die Verhandlung|die Verhandlungen|Die Verhandlung beginnt morgen.|negotiation|negotiation|The negotiation starts tomorrow.|noun|Morgen beginnen die Verhandlungen zu einem neuen Gesetz.|Negotiations on a new law begin tomorrow.
1818|1736|der|der Wein|die Weine|Der Wein schmeckt ausgezeichnet.|wine|wine|The wine tastes excellent.|noun|Dietmar bestellt im Restaurant eine teure Flasche Wein.|Dietmar orders an expensive bottle of wine at the restaurant.
1819|1737|die|die Auflage|die Auflagen|Die neue Auflage erschien gestern.|edition, condition, plating|edition|The new edition was released yesterday.|noun|Die Bibliothek führt nicht die neueste Auflage des Buches.|The library does not carry the latest edition of the book.
1820|1738|adj|billig||Das Material war zwar billig, aber gut.|cheap|cheap|The material was cheap, but good.|adjective|Einige billige Produkte halten nicht sehr lange.|Some cheap products do not last very long.
1821|1739|adj|dünn||Das dünne Papier reißt schnell.|thin|thin|The thin paper tears easily.|adjective|Auf dem See ist eine dünne Schicht Eis.|There’s a thin layer of ice on the lake.
1822|1740|verb|achten|achten, achtet, achtete, hat geachtet|Man muss auf die Details achten.|to respect, pay attention|to pay attention|You have to pay attention to the details.|verb|Kinder achten häufig nicht auf Autos, bevor sie über die Straße laufen.|Children often don’t pay attention to cars before they cross the road.
1823|1741|der|der Amerikaner|die Amerikaner|Der Amerikaner spricht Englisch.|American|American|The American speaks English.|noun|Ich bin stolz, ein Amerikaner zu sein und in New York zu wohnen.|I’m proud to be an American and live in New York.
1824|1742|der|der Anbieter|die Anbieter|Der Anbieter wurde gewechselt.|supplier|supplier|The supplier was changed.|noun|Für den neuen Vertrag seines Handys wechselt Kai zu einem anderen Anbieter.|Kai switches to another supplier for the new contract for his mobile phone.
1825|1743|die|die Industrie|die Industrien|Die Industrie boomt in dieser Region.|industry|industry|The industry is booming in this region.|noun|Die Industrie ist ein Teil der Wirtschaft.|The industry is part of the economy.
1826|1744|das|Spanien||Spanien ist ein beliebtes Reiseziel.|Spain|Spain|Spain is a popular travel destination.|noun|Ich freue mich auf meine erste Reise nach Spanien.|I’m looking forward to my first trip to Spain.
1827|1745|adv|ab||Ab ins Bett, morgen hast du Schule!|off, away|off|Off to bed, you have school tomorrow!|adverb|Kinder, es ist schon spät, ab ins Bett mit euch!|Kids, it’s getting late. Off to bed with you!
1828|1746|der|der Jude|die Juden|Der Jude erzählte uns seine Geschichte.|Jew|Jew|The Jew told us his story.|noun|Yom Kippur ist bei den Juden ein religiöser Tag.|Yom Kippur is a religious day for the Jews.
1829|1747|der|der Vorgang|die Vorgänge|Der Vorgang dauerte länger als erwartet.|procedure, process|procedure|The procedure took longer than expected.|noun|Der Lehrer erklärt die chemischen Vorgänge bei der Herstellung von Alkohol.|The teacher explains the chemical processes involved in the production of alcohol.
1830|1748|verb|ausgeben|ausgeben, gibt aus, gab aus, hat ausgegeben|Er gibt viel Geld für Bücher aus.|to spend|to spend|He spends a lot of money on books.|verb|Maria gibt ihr ganzes Geld für das Reisen aus.|Maria spends all her money traveling.
1831|1749|der|der Meister|die Meister|Der Meister lehrt seine Schüler gut.|master|master|The master teaches his students well.|noun|Unser Professor ist ein Meister in seinem Fach.|Our professor is a master in his field.
1832|1750|verb|umdrehen|umdrehen, dreht um, drehte um, hat umgedreht|Er drehte das Bild vorsichtig um.|to turn over, turn around|to turn over|He carefully turned the picture over.|verb|Dreh dich mal um, ich stehe hinter dir.|Turn around, I’m behind you.
1833|1751|adj|weitgehend||Die weitgehende Ruhe war angenehm.|extensive|extensive|The extensive calm was pleasant.|adjective|Der Professor stimmt der Aussage des Studenten weitgehend zu, aber nicht vollständig.|The professor agrees with the student’s statement extensively, but not completely.
1834|1752|adj|traurig||Er war traurig über die Nachricht.|sad|sad|He was sad about the news.|adjective|Lucy ist traurig, weil ihr Hund gestorben ist.|Lucy is sad because her dog died.
1835|1753|die|die Aufmerksamkeit|die Aufmerksamkeiten|Er bekam sofort volle Aufmerksamkeit.|attention|attention|He immediately received full attention.|noun|Vielen Dank für Ihre Aufmerksamkeit!|Thank you for your attention!
1836|1754|die|die Berechnung|die Berechnungen|Die Berechnung führt zum Ergebnis.|calculation|calculation|The calculation leads to the result.|noun|Nach den neuen Berechnungen der Manager kann sich die Firma einen zweiten Standort leisten.|According to the new calculations of the managers, the company can afford a second location.
1837|1755|adj|gegenseitig||Sie hatten gegenseitigen Respekt.|mutual, each other|mutual|They had mutual respect for each other.|adjective|Ole und Janosch werfen sich gegenseitig einen Ball zu.|Ole and Janosch throw each other a ball.
1838|1756|adj|kurzfristig||Die kurzfristige Planung bringt Stress.|at short notice|at short notice|The short-notice planning brings stress.|adjective|Leider muss meine Familie den Urlaub kurzfristig verschieben.|Unfortunately, my family has to postpone their vacation at short notice.
1839|1757|die|die Stufe|die Stufen|Die Stufe ist hoch, sei vorsichtig.|step, level|step|The step is high, be careful.|noun|Eine Treppe besteht aus mehreren Stufen.|A staircase consists of multiple steps.
1840|1758|das|das Urteil|die Urteile|Das Urteil wurde heute verkündet.|sentence, judgment|judgment|The judgment was announced today.|noun|Der Richter verkündet das Urteil am Ende des Prozesses.|The judge pronounces the sentence at the end of the trial.
1841|1759|adj|primär||Die primäre Aufgabe ist erledigt.|primary|primary|The primary task is completed.|adjective|Sein primäres Ziel war es, den Armen zu helfen.|His primary goal was to help the poor.
1842|1760|der|der Schnee||Der Schnee bedeckt die Straßen.|snow|snow|The snow covers the streets.|noun|Zu Weihnachten lag leider kein Schnee.|Unfortunately, there was no snow for Christmas.
1843|1761|adj|vollkommen||Das Projekt ist nun vollkommen.|complete, perfect|complete|The project is now complete.|adjective|Ein vollkommener Tag beginnt mit einem guten Kaffee.|A perfect day starts with a good coffee.
1844|1762|das|England||England liegt im Nordwesten Europas.|England|England|England is located in the northwest of Europe.|noun|England ist ein Land, das Teil des Vereinigten Königreichs ist.|England is a country that is part of the United Kingdom.
1845|1763|adj|massiv||Das massive Tor öffnete sich langsam.|solid, massive, severe|massive|The massive gate opened slowly.|adjective|Nach massiver Kritik zog er seine Aussage zurück.|After massive criticism, he withdrew his statement.
1846|1764|adj|sämtlich||Sämtliche Tickets sind ausverkauft.|all|all|All tickets are sold out.|adjective|In dem Verlag erscheinen sämtliche Werke von Hermann Hesse.|The publishing house publishes all works by Hermann Hesse.
1847|1765|verb|übersetzen|übersetzen, übersetzt, übersetzte, hat übersetzt|Sie übersetzt das Buch ins Deutsche.|to translate|to translate|She is translating the book into German.|verb|Sie hat mehrere spanische Romane ins Deutsche übersetzt.|She has translated several Spanish novels into German.
1848|1766|adj|dringend||Ein dringender Appell wurde gemacht.|urgent|urgent|An urgent appeal was made.|adjective|Der Patient benötigt dringend Ruhe.|The patient urgently needs rest.
1849|1767|verb|verursachen|verursachen, verursacht, verursachte, hat verursacht|Der Fehler verursacht Probleme.|to cause|to cause|The error causes problems.|verb|Zu viele süße Lebensmittel verursachen Probleme mit der Haut.|Too many sweet foods cause problems with the skin.
1850|1768|die|die Konkurrenz|die Konkurrenzen|Die Konkurrenz war hart, aber fair.|competition|competition|The competition was tough but fair.|noun|Die Firma ist ihrer Konkurrenz einen Schritt voraus.|The company is one step ahead of the competition.
1851|1769|der|der Muskel|die Muskeln|Der Muskel am Bein schmerzt stark.|muscle|muscle|The muscle in his leg hurts a lot.|noun|Weil Niklas jeden Tag trainiert, hat er starke Muskeln.|Because Niklas trains every day, he has strong muscles.
1852|1770|der|der Test|die Tests|Der Test war schwieriger als erwartet.|test|test|The test was more difficult than expected.|noun|Ich habe heute zwei Tests geschrieben und beide bestanden.|I took two tests today and passed them both.
1853|1771|der|der Süden|der Süden, Süd-|Der Süden lockt mit warmem Wetter.|south|south|The south attracts with warm weather.|noun|Robert wohnt im Norden von England, kommt aber ursprünglich aus dem Süden.|Robert lives in the north of England, but originally comes from the south.
1854|1772|adj|super||Das neue Restaurant ist wirklich super!|super, great|great|The new restaurant is really great!|adjective|Die Party war super und ich habe mich gut unterhalten.|The party was great, and I had a good time.
1855|1773|adj|ökonomisch||Das Land hat ökonomische Probleme.|economic|economic|The country has economic problems.|adjective|Die ökonomische Situation des Landes hat sich verbessert.|The economic situation in the country has improved.
1856|1774|die|die Erzählung|die Erzählungen|Die Erzählung fesselt die Zuhörer.|narration, story|story|The story captivates the listeners.|noun|Hermann Hesse hat viele Erzählungen geschrieben.|Hermann Hesse has written many stories.
1857|1775|die|die Initiative|die Initiativen|Die Initiative kam von den Mitarbeitern.|initiative|initiative|The initiative came from the employees.|noun|Die Initiative kämpft für soziale Gerechtigkeit.|The initiative fights for social justice.
1858|1776|das|das Flugzeug|die Flugzeuge|Das Flugzeug hob pünktlich ab.|airplane|airplane|The airplane took off on time.|noun|Mit dem Flugzeug kann man leicht von Kontinent zu Kontinent reisen.|You can easily travel from continent to continent by airplane.
1859|1777|die|die DNA|die DNA (DNS, Desoxyribonukleinsäure)|Die DNA-Analyse brachte Klarheit.|DNA, deoxyribonucleic acid|DNA|The DNA analysis brought clarity.|noun|Wissenschaftler erforschen die Zusammensetzung der menschlichen DNA.|Scientists study the composition of human DNA.
1860|1778|die|die Flüssigkeit|die Flüssigkeiten|Die Flüssigkeit fließt aus dem Glas.|liquid|liquid|The liquid flows out of the glass.|noun|Die Flasche enthält eine klare Flüssigkeit.|The bottle contains a clear liquid.
1861|1779|der|der Geburtstag|die Geburtstage|Mein Geburtstag wird groß gefeiert.|birthday|birthday|My birthday will be celebrated in a big way.|noun|Nina macht zu ihrem Geburtstag ein Fest.|Nina’s having a party on her birthday.
1862|1780|das|das Kleid|die Kleider|Das Kleid steht ihr wirklich gut.|dress|dress|The dress suits her really well.|noun|Linda sieht sehr gut aus in ihrem neuen Kleid.|Linda looks very good in her new dress.
1863|1781|adj|zeitlich||Alles wurde zeitlich erledigt.|in time|in time|Everything was completed in time.|adjective|Glaubst du, dass du es zeitlich schaffen wirst?|Do you think you’ll make it in time?
1864|1782|der|der Ball|die Bälle|Der Ball ist über den Zaun geflogen.|ball|ball|The ball flew over the fence.|noun|Der Ball ist rund.|The ball is round.
1865|1783|die|die Brust|die Brüste|Die Brust hebt sich beim Atmen.|breast, chest|chest|The chest rises with breathing.|noun|Die Mutter drückt das Baby an ihre Brust.|The mother presses the baby to her breast.
1866|1784|adj|elektronisch||Die elektronische Musik füllte den Raum.|electronic|electronic|The electronic music filled the room.|adjective|Im Internet gibt es gute elektronische Übersetzer.|There are good electronic translators on the internet.
1867|1785|verb|verabschieden|verabschieden, verabschiedet, verabschiedete, hat verabschiedet|Wir haben uns herzlich verabschiedet.|to say goodbye, pass|to say goodbye|We said goodbye warmly.|verb|Stephan und Irina verabschieden sich am Bahnhof.|Stephan and Irina say goodbye at the station.
1868|1786|verb|ausdrücken|ausdrücken, drückt aus, drückte aus, hat ausgedrückt|Er drückte seine Gefühle deutlich aus.|to express|to express|He expressed his feelings clearly.|verb|Der Maler drückt seine Gefühle durch die dunklen Farben aus.|The painter expresses his feelings through the dark colors.
1869|1787|das|das Detail|die Details|Jedes Detail des Plans wurde bedacht.|detail|detail|Every detail of the plan was considered.|noun|Wir haben eine Meldung von einem schweren Unfall auf der A7, bisher aber keine genauen Details.|We have a report of a serious accident on Route A7, but so far no exact details.
1870|1788|adj|demokratisch||Das Land hat ein demokratisches System.|democratic|democratic|The country has a democratic system.|adjective|Man muss die Ergebnisse einer demokratischen Wahl akzeptieren.|You have to accept the results of a democratic election.
1871|1789|die|die Variable|die Variablen|Die Variable beeinflusst das Ergebnis.|variable|variable|The variable influences the result.|noun|Die Variablen in der Gleichung sind X, Y und Z.|The variables in the equation are X, Y, and Z.
1872|1790|das|das Fleisch||Das Fleisch war zart und saftig.|meat, flesh|meat|The meat was tender and juicy.|noun|Ich esse nur Fleisch von Kühen, aber nicht von anderen Tieren.|I only eat meat from cows, but not from other animals.
1873|1791|adj|körperlich||Körperliche Bewegung ist wichtig.|physical|physical|Physical exercise is important.|adjective|Körperliche Aktivität ist genauso wichtig wie gesundes Essen.|Physical activity is as important as healthy food.
1874|1792|die|die Liste|die Listen|Die Liste der Teilnehmer ist lang.|list|list|The list of participants is long.|noun|Ich schreibe eine Liste mit Orten, die ich besichtigen möchte, während ich in Paris bin.|I’m writing a list of places I would like to visit while I’m in Paris.
1875|1793|verb|träumen|träumen, träumt, träumte, hat geträumt|Er träumt von einer besseren Welt.|to dream|to dream|He dreams of a better world.|verb|Viele Leute träumen davon, reich und mächtig zu werden.|Many people dream of becoming rich and powerful.
1876|1794|das|das Volumen|die Volumen|Das Volumen des Pakets ist groß.|volume, total amount|volume|The volume of the package is large.|noun|Was glaubst du, welche dieser Flaschen hat das größere Volumen?|Which of these bottles do you think has the larger volume?
1877|1795|verb|zugeben|zugeben, gibt zu, gab zu, hat zugegeben|Er musste endlich seinen Fehler zugeben.|to admit|to admit|He finally had to admit his mistake.|verb|Ich gebe zu, dass es mein Fehler war.|I admit it was my mistake.
1878|1796|part|ah||Ah, jetzt verstehe ich den Plan.|ah|ah|Ah, now I understand the plan.|particle|Ah, Alissa, wie schön dich zu sehen!|Ah, Alissa, how nice to see you!
1879|1797|das|das Drittel|die Drittel|Ein Drittel der Schüler fehlt.|third|third|A third of the students are absent.|noun|Ein Drittel ist einer von drei gleichen Teilen eines Ganzen.|A third is one of three equal parts of a whole.
1880|1798|verb|akzeptieren|akzeptieren, akzeptiert, akzeptierte, hat akzeptiert|Er akzeptiert die Entscheidung.|to accept|to accept|He accepts the decision.|verb|Du musst meine Entscheidung akzeptieren.|You have to accept my decision.
1881|1799|adj|endgültig||Die endgültige Antwort brachte Klarheit.|final|final|The final answer brought clarity.|adjective|Wir warten noch auf die endgültigen Ergebnisse.|We are still waiting for the final results.
1882|1800|adj|ewig||Die ewige Freundschaft übersteht alles.|eternal|eternal|The eternal friendship withstands everything.|adjective|Jeremy schwört seiner Frau ewige Liebe.|Jeremy swears eternal love to his wife.
1883|1801|die|die Perspektive|die Perspektiven|Die Perspektive änderte sich schnell.|perspective, prospects|perspective|The perspective changed quickly.|noun|Das Projekt hat keine Perspektive mehr, da es nicht mehr finanziell unterstützt wird.|The project has no prospects anymore, as it is no longer financially supported.
1884|1802|das|das Restaurant|die Restaurants|Das Restaurant bot köstliche Speisen an.|restaurant|restaurant|The restaurant offered delicious dishes.|noun|Wir gehen zum Abendessen in ein Restaurant.|We’re going to a restaurant for dinner.
1885|1803|verb|wandern|wandern, wandert, wanderte, ist gewandert|Sie sind durch die Berge gewandert.|to (go on a) walk or hike, migrate|to hike|They hiked through the mountains.|verb|Lucy wandert gern auf dem Land oder in den Bergen.|Lucy likes to hike in the country or in the mountains.
1886|1804|die|die Tasche|die Taschen|Sie packte die Tasche für die Reise.|pocket, bag|bag|She packed the bag for the trip.|noun|Ich verreise am liebsten mit nur einer Tasche.|I prefer to travel with only one bag.
1887|1805|verb|vornehmen (sich)|vornehmen (sich), nimmt vor, nahm vor, hat vorgenommen|Er nahm sich vor, mehr zu lesen.|to plan|to plan|He planned to read more.|verb|Iris nimmt sich vor, in der nächsten Prüfung besser zu sein.|Iris plans on being better in the next test.
1888|1806|der, die|die Beamte||Der Beamte kontrollierte die Papiere.|official, civil servant|official|The official checked the papers.|noun|Lehrer und Polizisten sind Beamte.|Teachers and police officers are civil servants.
1889|1807|verb|orientieren|orientieren, orientiert, orientierte, hat orientiert|Er orientiert sich nach Süden.|to orient|to orient|He is orienting himself towards the south.|verb|Beim Wandern orientieren sie sich mithilfe einer Karte.|When hiking, they orient themselves with the help of a map.
1890|1808|adj|schmal||Die schmale Gasse führt zum Marktplatz.|narrow, slender|narrow|The narrow alley leads to the market square.|adjective|Wir folgen einem schmalen Weg durch den Wald.|We are following a narrow track through the forest.
1891|1809|der|der Streit|die Streite|Der Streit eskalierte schnell.|argument, fight|argument|The argument escalated quickly.|noun|Ich bekomme mit den Nachbarn Streit wegen meines Hundes.|I’m getting into a fight with the neighbors about my dog.
1892|1810|adj|spannend||Der Film gestern war wirklich spannend.|exciting, thrilling|thrilling|The movie yesterday was really thrilling.|adjective|Die Handlung des Romans ist voller spannender Situationen.|The plot of the novel is full of exciting situations.
1893|1811|pron|wohin||Wohin gehst du jetzt so schnell?|where|where|Where are you going so quickly now?|pronoun|Wohin gehen wir heute Abend?|Where are we going tonight?
1894|1812|das|das Dach|die Dächer|Das Dach des Hauses wurde repariert.|roof|roof|The roof of the house was repaired.|noun|Wir bauen ein neues Dach für unser Haus.|We’re building a new roof for our house.
1895|1813|die|die Karriere|die Karrieren|Seine Karriere verlief steil nach oben.|career|career|His career took a steep upward path.|noun|Martha möchte sich auf ihre Karriere konzentrieren.|Martha wants to focus on her career.
1896|1814|verb|regeln|regeln, regelt, regelte, hat geregelt|Das Ampelsystem regelt den Verkehr.|to control, regulate, direct|to control|The traffic light system controls the traffic.|verb|Ein Polizist regelt den Verkehr an der Kreuzung.|A police officer directs the traffic at the intersection.
1897|1815|adv|insofern||Insofern ist der Plan gelungen.|as far as that goes, insofar, therefore|insofar|Insofar, the plan was successful.|adverb|Mit dem zweiten Platz habe ich nicht gerechnet, insofern bin ich mehr als zufrieden.|I didn’t expect to finish second, and therefore I am more than satisfied.
1898|1816|die|die Zigarette|die Zigaretten|Die Zigarette liegt auf dem Tisch.|cigarette|cigarette|The cigarette is lying on the table.|noun|Sie zündet sich eine Zigarette an.|She lights a cigarette for herself.
1899|1817|adj|bunt||Der Garten ist voller bunter Blumen.|colorful|colorful|The garden is full of colorful flowers.|adjective|Es gibt viele bunte Gemälde in der Ausstellung.|There are many colorful paintings at the exhibition.
1900|1818|die|die Falle|die Fallen|Die Falle wurde geschickt gestellt.|trap|trap|The trap was cleverly set.|noun|Die Männer legen im Wald Fallen, um Tiere zu fangen.|The men set traps in the forest to catch animals.
1901|1819|verb|verbreiten|verbreiten, verbreitet, verbreitete, hat verbreitet|Das Virus verbreitet sich schnell.|to spread|to spread|The virus spreads quickly.|verb|Die Polizei verbreitet die Meldung über die Medien.|The police spread the news through the media.
1902|1820|die|die Auswirkung|die Auswirkungen|Die Auswirkung war sofort spürbar.|effect|effect|The effect was immediately noticeable.|noun|Die Katastrophe wird noch jahrelange Auswirkungen auf die Umwelt haben.|The disaster will have an effect on the environment for years to come.
1903|1821|adv|einander||Sie haben sich ineinander verliebt.|each other|each other|They fell in love with each other.|adverb|Partner müssen einander vertrauen.|Partners must trust each other.
1904|1822|pron|weshalb||Weshalb bist du heute so still?|why|why|Why are you so quiet today?|pronoun|Weshalb sollte ich ihm helfen, er hilft mir nie.|Why should I help him, he never helps me.
1905|1823|der|der Unterricht|die Unterrichte|Der Unterricht beginnt um neun Uhr.|instruction, classes|classes|Classes start at nine o’clock.|noun|Der Unterricht endet am späten Nachmittag.|Classes end in the late afternoon.
1906|1824|das|das Bedürfnis|die Bedürfnisse|Das Bedürfnis nach Ruhe wächst.|need|need|The need for rest is growing.|noun|Wir tun alles, um die Bedürfnisse unserer Kunden zu befriedigen.|We do everything to satisfy our customers’ needs.
1907|1825|das|das Niveau|die Niveaus|Das Niveau steigt mit der Übung.|level, standard|level|The level increases with practice.|noun|Kunden möchten Qualität auf höchstem Niveau.|Customers want quality of the highest level.
1908|1826|die|die Tante|die Tanten|Meine Tante besuchte uns am Wochenende.|aunt|aunt|My aunt visited us over the weekend.|noun|Die Schwester meiner Mutter ist meine Tante.|My mother’s sister is my aunt.
1909|1827|die|die Prüfung|die Prüfungen|Er bestand die Prüfung mit guten Noten.|examination, test, exam|exam|He passed the exam with high marks.|noun|Am Ende des Wintersemesters schreiben die Studenten ihre Prüfungen.|At the end of the winter semester, students write their exams.
