|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en
3560|3460|adv|herunter||Er kletterte vorsichtig herunter.|down|down|He climbed down carefully.|adverb|Von den Bergen herunter weht ein kalter Wind.|A cold wind blows down from the mountains.
3561|3461|adv|hinterher||Hinterher gingen sie nach Hause.|after, afterwards|afterwards|Afterwards, they went home.|adverb|Sie gehen in ein Restaurant und hinterher zum Konzert.|They go to a restaurant and afterwards to the concert.
3562|3462|adj|kostenlos||Das kostenlose Angebot lockte viele an.|free (of charge)|free (of charge)|The free offer attracted many.|adjective|Das Hotel bietet kostenloses Internet.|The hotel offers free internet.
3563|3463|die|die Maus|die Mäuse|Die Maus huschte schnell über den Boden.|mouse|mouse|The mouse scurried quickly across the floor.|noun|Eine Maus ist ein kleines Tier.|A mouse is a small animal.
3564|3464|die|die Unabhängigkeit|die Unabhängigkeiten|Die Unabhängigkeit wurde erkämpft.|independence|independence|Independence was fought for.|noun|In den sechziger Jahren erklärten viele afrikanische Staaten ihre Unabhängigkeit.|In the 1960s many African states declared independence.
3565|3465|die|die Vene|die Venen|Die Vene am Arm war deutlich sichtbar.|vein|vein|The vein in his arm was clearly visible.|noun|Das Blut fließt durch die Venen zum Herzen.|Blood flows through the veins to the heart.
3566|3466|der|der Bestand|die Bestände|Der Bestand ist jetzt wieder da.|continuation, stock, supply|stock|The stock is now available again.|noun|Gemeinsam versuchen sie, den Bestand der Firma zu sichern.|Together they try to secure the continuation of the company.
3567|3467|adj|einzigartig||Das Design ist wirklich einzigartig.|unique|unique|The design is truly unique.|adjective|Jeder Mensch hat ein einzigartiges Gesicht.|Every human being has a unique face.
3568|3468|die|die Kohle|die Kohlen|Die Kohle im Grill brannte lange.|coal|coal|The coal in the grill burned for a long time.|noun|Kohle erzeugt Energie, wenn man sie verbrennt.|Coal produces energy when burned.
3569|3469|adj|reell||Der reelle Preis war unerwartet hoch.|real|real|The real price was unexpectedly high.|adjective|Sie hat keine reelle Chance zu gewinnen.|She has no real chance of winning.
3570|3470|verb|reiten|reiten, reitet, ritt, ist geritten|Er reitet gerne durch den Wald.|to ride|to ride|He likes to ride through the forest.|verb|Mein Bruder hat ein Pferd und reitet sehr gut.|My brother has a horse and rides very well.
3571|3471|das|das Smartphone|die Smartphones|Das Smartphone liegt auf dem Tisch.|smartphone|smartphone|The smartphone is on the table.|noun|Smartphones sind wie kleine Computer, die man in die Tasche stecken kann.|Smartphones are like small computers you can put in your pocket.
3572|3472|die|die Werkstatt|die Werkstätten|Die Werkstatt reparierte das Auto.|workshop, garage|garage|The garage repaired the car.|noun|Sie stellen Tische und Stühle aus Holz in ihrer Werkstatt her.|They produce wooden tables and chairs in their workshop.
3573|3473|die|die Kälte||Die Kälte dringt durch die Kleidung.|cold|cold|The cold penetrates through the clothing.|noun|Wasser gefriert bei dieser Kälte.|Water freezes in this cold.
3574|3474|das|das Kloster|die Klöster|Das Kloster liegt auf einem Hügel.|monastery, convent|monastery|The monastery is situated on a hill.|noun|In einem Kloster lebt eine christliche Gemeinschaft, die dort ihren Glauben ausübt.|In a monastery lives a Christian community that practices its faith there.
3575|3475|die|die Laune|die Launen|Heute hat sie wirklich gute Laune.|mood|mood|She is in a really good mood today.|noun|Wenn sie gute Laune hat, singt und lacht sie die ganze Zeit.|When she’s in a good mood, she sings and laughs all the time.
3576|3476|verb|nachfragen|nachfragen, fragt nach, fragte nach, hat nachgefragt|Sie hat immer danach nachgefragt.|to ask (sb), inquire|to inquire|She inquired about it.|verb|Sie fragt im Hotel nach, ob sie noch freie Zimmer haben.|She’s at the hotel asking if they have any rooms.
3577|3477|die|die Toilette|die Toiletten|Die Toilette war frisch geputzt.|toilet|toilet|The toilet was freshly cleaned.|noun|In der Stadt gibt es mehrere öffentliche Toiletten.|There are a number of public toilets in the city.
3578|3478|das|das Unglück|die Unglücke|Das Unglück ereignete sich plötzlich.|misfortune, disaster|disaster|The disaster occurred suddenly.|noun|Der Unfall ist ein großes Unglück für die Familie.|The accident constitutes a great misfortune for the family.
3579|3479|verb|verlegen|verlegen, verlegt, verlegte, hat verlegt|Er verlegte den Termin um eine Woche.|to misplace, postpone|to postpone|He postponed the appointment by a week.|verb|Ich weiß oft nicht, wo mein Handy ist, weil ich es ständig verlege.|I often don’t know where my cell phone is because I keep misplacing it.
3580|3480|die|die Eröffnung|die Eröffnungen|Die Eröffnung zog viele Besucher an.|opening|opening|The opening attracted many visitors.|noun|Jeder Kunde bekommt ein Geschenk bei der Eröffnung des Geschäfts.|Every customer receives a gift at the shop opening.
3581|3481|die|die Fragestellung|die Fragestellungen|Die Fragestellung ist komplex.|problem, question|problem|The problem is complex.|noun|Der Schüler versteht die Fragestellung nicht.|The student doesn’t understand the question.
3582|3482|der|der Grieche|die Griechen|Der Grieche kochte fantastisch.|Greek|Greek|The Greek cooked fantastically.|noun|Er ist ein Grieche aus Athen.|He’s a Greek from Athens.
3583|3483|adj|industriell||Die industrielle Anlage war riesig.|industrial|industrial|The industrial facility was enormous.|adjective|Die industrielle Revolution hat das Leben der Menschen radikal verändert.|The industrial revolution radically changed people’s lives.
3584|3484|verb|konfrontieren|konfrontieren, konfrontiert, konfrontierte, hat konfrontiert|Er konfrontierte ihn mit der Wahrheit.|to confront|to confront|He confronted him with the truth.|verb|Die Polizei konfrontiert sie mit allen Beweisen.|The police are confronting her with all the evidence.
3585|3485|der|der Sex||Der Film behandelt das Thema Sex offen.|sex|sex|The film addresses the topic of sex openly.|noun|Sie hat Sex und wird schwanger.|She has sex and gets pregnant.
3586|3486|pron|wovon||Wovon redest du eigentlich gerade?|from what, about what|about what|What are you actually talking about?|pronoun|Wovon reden sie?|What are they talking about?
3587|3487|adj|absurd||Diese Behauptung ist einfach absurd.|absurd|absurd|This claim is simply absurd.|adjective|Sie bezahlt eine absurde Menge Geld für das Auto.|She pays an absurd amount of money for the car.
3588|3488|die|die Miete|die Mieten|Die Miete wurde pünktlich bezahlt.|rent|rent|The rent was paid on time.|noun|Jeden Monat müssen sie die Miete für ihre Wohnung bezahlen.|Every month they have to pay the rent for their apartment.
3589|3489|verb|angehören|angehören, gehört an, gehörte an, hat angehört|Er gehört einer bekannten Gruppe an.|to belong|to belong|He belongs to a well-known group.|verb|Sie gehört keiner Partei an.|She doesn’t belong to any party.
3590|3490|der|der Apfel|die Äpfel|Der Apfel fiel direkt vom Baum.|apple|apple|The apple fell directly from the tree.|noun|An dem Baum hängen viele rote Äpfel.|There are a lot of red apples on that tree.
3591|3491|adj|autonom||Das autonome Fahrzeug fuhr sicher.|autonomous|autonomous|The autonomous vehicle drove safely.|adjective|Die Insel ist eine autonome Region und hat ein eigenes Parlament.|The island is an autonomous region and has its own parliament.
3592|3492|adj|blond||Das blonde Kind spielt draußen.|blond|blond|The blond child is playing outside.|adjective|Seine Haare sind nicht braun, sondern blond.|His hair isn’t brown, it’s blond.
3593|3493|adj|anstrengend||Die Arbeit war körperlich anstrengend.|exhausting|exhausting|The work was physically exhausting.|adjective|Er erholt sich von der anstrengenden Arbeit.|He’s recovering from his exhausting work.
3594|3494|der|der Bär|die Bären|Der Bär sucht Futter in den Bergen.|bear|bear|The bear searches for food in the mountains.|noun|Ein Bär ist ein großes braunes Tier, das in kalten Regionen lebt.|A bear is a large brown animal that lives in cold regions.
3595|3495|adv|hinzu||Hinzu kommt, dass es zu regnen beginnt.|in addition|in addition|In addition, it’s starting to rain.|adverb|Nach der Operation hat sie starke Schmerzen und hinzu kommt, dass sie Fieber hat.|After the operation, she’s in a lot of pain and, in addition, she has a fever.
3596|3496|adj|lateinisch||Die lateinische Sprache ist komplex.|Latin|Latin|The Latin language is complex.|adjective|Viele medizinische Begriffe sind lateinisch.|Many medical terms are Latin.
3597|3497|das|das Menschenrecht|die Menschenrechte|Das Menschenrecht ist unverzichtbar.|human right|human right|Human rights are indispensable.|noun|Menschenrechte sind die grundlegenden Rechte, die jede Person haben sollte.|Human rights are the fundamental rights that every person should have.
3598|3498|adj|mühsam||Die mühsame Arbeit dauerte lange.|strenuous, laborious|laborious|The laborious work took a long time.|adjective|Es ist mühsam, alle Fenster im Haus zu putzen.|It’s strenuous to clean all the windows in the house.
3599|3499|adj|präzise||Die Uhr war auf die Sekunde präzise.|precise|precise|The clock was precise to the second.|adjective|Der Artikel enthält präzise Informationen über sein privates Leben.|The article contains precise information about his private life.
3600|3500|der|der Wahnsinn||Das war der pure Wahnsinn gestern.|madness, insanity, lunacy|madness|That was pure madness yesterday.|noun|Wenn sie die Arbeit allein schaffen will, dann ist das absoluter Wahnsinn.|If she wants to do the job on her own, it would be absolute madness.
3601|3501|der|der Anruf|die Anrufe|Der Anruf kam unerwartet spät.|call|call|The call came unexpectedly late.|noun|Jede Woche bekommt Tom einen Anruf von seinen Eltern.|Every week Tom gets a call from his parents.
3602|3502|verb|feststehen|feststehen, steht fest, stand fest, hat festgestanden|Es stand fest, dass er gewinnen würde.|to be certain, fixed, firm|to be certain|It was certain that he would win.|verb|Es steht heute schon fest, dass wir nächstes Jahr nach Frankreich ziehen.|It is already certain that we will move to France next year.
3603|3503|der|der Sieger|die Sieger|Der Sieger erhielt eine Medaille.|winner|winner|The winner received a medal.|noun|Der Sieger des Wettkampfes erhält ein Geschenk.|The winner of the competition receives a gift.
3604|3504|die|die Unterkunft|die Unterkünfte|Die Unterkunft liegt direkt am See.|accommodation|accommodation|The accommodation is located directly by the lake.|noun|Sie sucht nach einer günstigen Unterkunft im Zentrum.|She is looking for cheap accommodations in the center.
3605|3505|die|die Verknüpfung|die Verknüpfungen|Die Verknüpfung war kompliziert.|combination, link|combination|The combination was complicated.|noun|Das Seminar ist eine gute Verknüpfung von Theorie und Praxis.|The seminar is a good combination of theory and practice.
3606|3506|verb|anfühlen|anfühlen, fühlt an, fühlte an, hat angefühlt|Das Kissen fühlt sich weich an.|to feel|to feel|The pillow feels soft.|verb|Martinas Hände fühlen sich schön weich an.|Martina’s hands feel nice and soft.
3607|3507|adj|düster||Der düstere Wald wirkt unheimlich.|gloomy|gloomy|The gloomy forest feels eerie.|adjective|Er sitzt in einem düsteren Zimmer ohne Licht.|He’s sitting in a gloomy room with no light.
3608|3508|verb|freisetzen|freisetzen, setzt frei, setzte frei, hat freigesetzt|Die Reaktion setzt Energie frei.|to release|to release|The reaction releases energy.|verb|Wenn man Stress hat, werden viele Hormone freigesetzt.|When you’re under stress, a lot of hormones are released.
3609|3509|der|der Kompromiss|die Kompromisse|Der Kompromiss wurde akzeptiert.|compromise|compromise|The compromise was accepted.|noun|Beide haben unterschiedliche Wünsche, aber einigen sich auf einen Kompromiss.|Both have different wishes, but agree on a compromise.
3610|3510|der|der Maßstab|die Maßstäbe|Der Maßstab ist zwei Meter lang.|scale, yardstick, standard|scale|The scale is two meters long.|noun|Die Karte zeigt das Land im Maßstab 1: 10000.|The map shows the country on a scale of 1: 10,000.
3611|3511|verb|skizzieren|skizzieren, skizziert, skizzierte, hat skizziert|Er skizziert den Entwurf auf Papier.|to outline, sketch|to sketch|He sketches the design on paper.|verb|Bevor der Architekt das Modell für das neue Gebäude entwirft, skizziert er es grob.|Before the architect designs the model for the new building, he sketches it roughly.
3612|3512|adj|starr||Der starre Blick machte uns nervös.|stiff, rigid, paralyzed|rigid|The rigid stare made us nervous.|adjective|Seine Hände sind starr vor Kälte.|His hands are frozen stiff.
3613|3513|der|der Vorhang|die Vorhänge|Der Vorhang öffnete sich langsam.|curtain|curtain|The curtain slowly opened.|noun|Sie zieht die Vorhänge vor das Fenster.|She pulls the curtains in front of the window.
3614|3514|die|die Währung|die Währungen|Die Währung des Landes ist stabil.|currency|currency|The currency of the country is stable.|noun|Der Euro ist die Währung in vielen europäischen Ländern.|The euro is the currency in many European countries.
3615|3515|die|die Wüste|die Wüsten|Die Wüste ist heiß und trocken.|desert|desert|The desert is hot and dry.|noun|In der Wüste ist es sehr heiß und das Wasser ist knapp.|In the desert it is very hot and water is scarce.
3616|3516|verb|berufen|berufen, beruft, berief, hat berufen|Er wurde in das Komitee berufen.|to appoint|to appoint|He was appointed to the committee.|verb|Mit 35 Jahren wird sie zur Professorin für deutsche Geschichte berufen.|At the age of 35 she is appointed professor of German history.
3617|3517|verb|eingreifen|eingreifen, greift ein, griff ein, hat eingegriffen|Die Polizei greift schnell ein.|to intervene|to intervene|The police intervene quickly.|verb|Die Lehrerin greift ein, um einen Streit zu verhindern.|The teacher intervenes to prevent a fight.
3618|3518|die|die Tasse|die Tassen|Die Tasse zerbricht beim Sturz.|cup|cup|The cup breaks upon falling.|noun|Ich nehme eine Tasse Tee.|I’ll have a cup of tea.
3619|3519|verb|unterstellen|unterstellen, unterstellt, unterstellte, hat unterstellt|Er unterstellte ihm böse Absichten.|to put in charge, imply, store|imply|He implied he had bad intentions.|verb|Ihnen wird die Abteilung für Forschung unterstellt.|You are in charge of the Research Department.
3620|3520|verb|vorbeigehen|vorbeigehen, geht vorbei, ging vorbei, ist vorbeigegangen|Er ging am Haus seiner Kindheit vorbei.|to go past, pass|to pass|He passed by his childhood home.|verb|Markus geht an uns vorbei, ohne mit uns zu reden.|Markus walks past us without talking to us.
3621|3521|die|die Flamme|die Flammen|Die Flamme brannte lichterloh.|flame|flame|The flame burned brightly.|noun|Gas brennt mit blauer Flamme.|Gas burns with a blue flame.
3622|3522|der|der Frühling|die Frühlinge|Der Frühling bringt Blumen und Wärme.|spring|spring|Spring brings flowers and warmth.|noun|Im März beginnt der Frühling und es wird wärmer.|In March spring begins and it gets warmer.
3623|3523|adj|langjährig||Sie haben eine langjährige Freundschaft.|long-standing|long-standing|They have a long-standing friendship.|adjective|Nach sieben Jahren beendet sie die langjährige Beziehung.|After seven years, she ends the long-standing relationship.
3624|3524|das|das Maximum|die Maxima|Das Maximum wurde gestern erreicht.|maximum|maximum|The maximum was reached yesterday.|noun|Stefanie rennt extrem schnell, aber sie hat ihr Maximum noch nicht erreicht.|Stefanie runs extremely fast, but she hasn’t reached her maximum yet.
3625|3525|das|das Militär||Das Militär marschierte durch die Stadt.|military|military|The military marched through the city.|noun|Das Militär benötigt neue Waffen und Flugzeuge.|The military needs new weapons and planes.
3626|3526|adv|oftmals||Er besucht uns oftmals am Wochenende.|frequently|frequently|He frequently visits us on weekends.|adverb|Marlene ist schon elf Jahre alt und bleibt oftmals abends allein zu Hause.|Marlene is already eleven years old and frequently stays home alone.
3627|3527|der|der Papst|die Päpste|Der Papst segnete die Gläubigen.|pope|pope|The pope blessed the believers.|noun|Papst ist der höchste Titel der katholischen Kirche.|Pope is the highest title in the Catholic Church.
